,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Production Budget:,Theater counts:,Infl. Adj. Dom. BO,Domestic Releases:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,Video Release:,Franchise:,Production/Financing Companies:,International Releases:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
85,https://www.the-numbers.com/movie/Halloween-H20,"['Adam Arkin', 'Michelle Williams', 'Adam Hann-Byrd', ""Jodi Lyn O'Keefe"", 'Josh Hartnett', 'LL Cool J', 'Joseph Gordon-Levitt', 'Jamie Lee Curtis']","[['Steve Miner', 'Director'], ['Robert Zappia', 'Screenwriter'], ['Harvey Weinstein', 'Co-Executive Producer'], ['Bob Weinstein', 'Co-Executive Producer'], ['John Ottman', 'Composer']]","$16,187,724 (29.4% of total gross)",3.40 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$17,000,000 (worldwide box office is 3.2 times production budget)","2,607 opening theaters/2,669 max. theaters, 6.4 weeks average run per theater","$107,618,918","August 5th, 1998 (Wide) by Miramax",R for terror violence/gore and language.,85 minutes,vs. Halloween: The Curse of Michael MyersCreate your own comparison chart…,Slasher Horror,Original Screenplay,Horror,Live Action,Contemporary Fiction,United States,English,,Halloween,,,"$55,041,738",,,,
86,https://www.the-numbers.com/movie/Snake-Eyes-(1998),"['John Heard', 'Carla Gugino', 'Stan Shaw', 'Kevin Dunn', 'Nicolas Cage', 'Gary Sinise']","[['Brian De Palma', 'Director'], ['Brian De Palma', 'Producer'], ['David Koepp', 'Screenwriter'], ['Brian De Palma', 'Story Creator'], ['David Koepp', 'Story Creator'], ['Louis A. Stroller', 'Executive Producer'], ['Stephen H. Burum', 'Cinematographer'], ['Anne Pritchard', 'Production Designer'], ['Bill Pankow', 'Editor'], ['Ryuichi Sakamoto', 'Composer'], ['Jeff Levine', 'Associate Producer']]","$16,310,373 (29.3% of total gross)",3.41 (domestic box office/biggest weekend),53.5% (domestic box office/worldwide),"$73,000,000 (worldwide box office is 1.4 times production budget)","2,713 opening theaters/2,718 max. theaters, 6.8 weeks average run per theater","$108,693,642","August 7th, 1998 (Wide) by Paramount Pictures",R for some violence,99 minutes,vs. Rush HourCreate your own comparison chart…,"Boxing, Crime Thriller, Corrupt Cops, Crime, Political Assassination, Government Corruption, Cover Up, FBI, Character POV shot, Non-Chronological, Film Noir, Political",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,United States,English,"September 10th, 2013 by Warner Home Video",,,,"$55,591,409","$48,300,000","$103,891,409",,
87,https://www.the-numbers.com/movie/Air-Bud-Golden-Receiver,[],[],"$2,603,726 (25.8% of total gross)",3.88 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),,"1,669 opening theaters/1,669 max. theaters, 6.0 weeks average run per theater","$22,489,832","August 14th, 1998 (Wide) by Miramax",G,90 minutes,vs. Are We Done Yet?Create your own comparison chart…,Animal Lead,Original Screenplay,Adventure,Live Action,Kids Fiction,,English,"December 18th, 1998 by Walt Disney Home Entertainment",Air Bud,,,"$10,093,523",,,,
88,https://www.the-numbers.com/movie/Avengers-The-(1998),[],[],"$10,305,957 (44.1% of total gross)",2.27 (domestic box office/biggest weekend),48.1% (domestic box office/worldwide),"$60,000,000 (worldwide box office is 0.8 times production budget)","2,466 opening theaters/2,466 max. theaters, 3.9 weeks average run per theater","$45,723,720","August 14th, 1998 (Wide) by Warner Bros.",PG-13 for brief strong language (previously rated PG),,vs. Avengers: Age of UltronCreate your own comparison chart…,,Based on TV,Adventure,Live Action,Contemporary Fiction,,,,,,,"$23,385,416","$25,200,000","$48,585,416",,
89,https://www.the-numbers.com/movie/How-Stella-Got-Her-Groove-Back,"['Taye Diggs', 'Whoopi Goldberg', 'Regina King', 'Angela Bassett']","[['Kevin Rodney Sullivan', 'Director'], ['Terry McMillan', 'Screenwriter'], ['Ronald Bass', 'Screenwriter'], ['Terry McMillan', 'Story based on the novel by'], ['Deborah Schindler', 'Producer'], ['Jennifer Ogden', 'Executive Producer'], ['Ronald Bass', 'Executive Producer'], ['Terry McMillan', 'Executive Producer'], ['Chester Kaczenski', 'Production Designer'], ['George Bowers', 'Editor']]","$11,318,919 (30.0% of total gross)",3.33 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$20,000,000 (worldwide box office is 1.9 times production budget)","1,395 opening theaters/2,169 max. theaters, 4.8 weeks average run per theater","$73,658,529","August 14th, 1998 (Wide) by 20th Century Fox",R for language and some sexuality,124 minutes,vs. Whiskey Tango FoxtrotCreate your own comparison chart…,"Divorcée Romance, African Americans, Vacation, Romantic Drama, Inspired by a True Story",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,United States,English,"March 6th, 2001 by Fox Home Entertainment",,"20th Century Fox, Deborah Schindler Productions",,"$37,672,944",,,,
90,https://www.the-numbers.com/movie/Return-to-Paradise,[],"[['Joseph Ruben', 'Director'], ['Wesley Strick', 'Screenwriter'], ['Bruce Robinson', 'Screenwriter'], ['Mark Mancina', 'Composer']]","$2,465,129 (29.5% of total gross)",3.39 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),,"965 opening theaters/985 max. theaters, 4.1 weeks average run per theater","$16,331,348","August 14th, 1998 (Wide) by Universal","R for language, drug content, some sexuality and a scene of violence",112 minutes,vs. The DepartedCreate your own comparison chart…,"Crime Drama, Narcotics, Death Row, Set in Malaysia, Romance, Relationships Gone Wrong, Remake, Foreign-Language Remake",Based on Movie,Drama,Live Action,Contemporary Fiction,United States,,,,,,"$8,352,677",,,,
91,https://www.the-numbers.com/movie/Slums-of-Beverly-Hills,[],"[['Tamara Jenkins', 'Director'], ['Tamara Jenkins', 'Screenwriter'], ['Rolfe Kent', 'Composer']]","$125,561 (2.3% of total gross)",5.18 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$5,000,000 (worldwide box office is 1.1 times production budget)","7 opening theaters/548 max. theaters, 4.3 weeks average run per theater","$10,759,152","August 14th, 1998 (Wide) by Fox Searchlight","R for strong sexual situations, nudity, language and drug content",91 minutes,vs. Running With ScissorsCreate your own comparison chart…,"Coming of Age, Comedy Drama, Money Troubles, Dysfunctional Family, 1970s, Set in California, Set in Los Angeles, F-Rated, Single Parent",Based on Real Life Events,Comedy,Live Action,Dramatization,,,"January 19th, 1999 by Fox Home Entertainment",,,,"$5,502,773",,,,
92,https://www.the-numbers.com/movie/Blade,"['Stephen Dorff', 'Kris Kristofferson', 'Wesley Snipes']","[['Stephen Norrington', 'Director'], ['David S. Goyer', 'Screenwriter'], ['Peter Frankfurt', 'Producer'], ['Wesley Snipes', 'Producer'], ['Robert Engelman', 'Producer'], ['Stan Lee', 'Executive Producer'], ['Avi Arad', 'Executive Producer'], ['Joseph Calamari', 'Executive Producer'], ['Lynn Harris', 'Executive Producer'], ['Theo Van de Sande', 'Director of Photography'], ['Kirk M. Petruccelli', 'Production Designer'], ['Paul Rubell', 'Editor'], ['Mark Isham', 'Composer']]","$17,073,856 (24.3% of total gross)",4.11 (domestic box office/biggest weekend),53.4% (domestic box office/worldwide),"$45,000,000 (worldwide box office is 2.9 times production budget)","2,322 opening theaters/2,389 max. theaters, 8.3 weeks average run per theater","$137,143,063","August 21st, 1998 (Wide) by New Line","R for strong, pervasive vampire violence and gore, language and brief sexuality",120 minutes,vs. DeadpoolCreate your own comparison chart…,"Marvel Comics, Vampire, Monster, Visual Effects, Action Horror",Based on Comic/Graphic Novel,Action,Live Action,Super Hero,United States,English,"December 22nd, 1998 by New Line Home Video",Blade,"Amen Ra Films, Imaginary Forces","October 29th, 2021 (Limited), released as Blade (4K Restoration) (United Kingdom)
","$70,141,876","$61,095,812","$131,237,688",,
93,https://www.the-numbers.com/movie/Dance-With-Me,"['Kris Kristofferson', 'Vanessa Williams', 'Chayanne']","[['Randa Haines', 'Director']]","$4,507,663 (28.3% of total gross)",3.53 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),,"1,467 opening theaters/1,467 max. theaters, 5.1 weeks average run per theater","$31,133,718","August 21st, 1998 (Wide) by Sony Pictures",PG for mild language and sensuality,126 minutes,vs. HoneyCreate your own comparison chart…,Dancing,Original Screenplay,Musical,Live Action,Contemporary Fiction,United States,English,"January 12th, 1999 by Sony Pictures Home Entertainment",,,,"$15,923,354",,,,
94,https://www.the-numbers.com/movie/Dead-Man-on-Campus,[],"[['Mark Mothersbaugh', 'Composer']]","$4,704,688 (31.2% of total gross)",3.20 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$14,000,000 (worldwide box office is 1.1 times production budget)","1,797 opening theaters/1,830 max. theaters, 5.3 weeks average run per theater","$29,455,342","August 21st, 1998 (Wide) by Paramount Pictures","R for drug use, language and crude sexual humor",,vs. Office SpaceCreate your own comparison chart…,College,Original Screenplay,Black Comedy,Live Action,Contemporary Fiction,,,,,MTV Films,,"$15,064,948",,,,
95,https://www.the-numbers.com/movie/Wrongfully-Accused,[],"[['Pat Proft', 'Director'], ['Pat Proft', 'Screenwriter']]","$3,504,630 (36.3% of total gross)",2.75 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),,"2,062 opening theaters/2,062 max. theaters, 3.5 weeks average run per theater","$18,853,942","August 21st, 1998 (Wide) by Warner Bros.",PG-13 for sex-related humor and language,86 minutes,Create your own comparison chart…,"Spoof, Fugitive / On the Run, Farcical / Slapstick Comedy, Wrongfully Convicted, Prison Break, Paralysis / Loss of a Limb, Musicians, Terrorism, Assassination",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,,,,,,"$9,642,860",,,,
96,https://www.the-numbers.com/movie/54,"['Ryan Phillippe', 'Salma Hayek', 'Neve Campbell', 'Mike Myers']","[['Mark Christpher', 'Director'], ['Marco Beltrami', 'Composer'], ['Mark Christpher', 'Screenwriter'], ['Harvey Weinstein', 'Executive Producer'], ['Bob Weinstein', 'Executive Producer']]","$6,611,532 (39.5% of total gross)",2.53 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$13,000,000 (worldwide box office is 1.3 times production budget)","1,859 opening theaters/1,869 max. theaters, 3.7 weeks average run per theater","$32,763,997","August 28th, 1998 (Wide) by Miramax","R for sexuality, drug use and language",92 minutes,vs. My All-AmericanCreate your own comparison chart…,"Set in New York City, 1970s, Designer Drugs, Disco, Historical Drama, LBGTQ, Dysfunctional Family, Epilogue, White Collar Crime",Original Screenplay,Drama,Live Action,Dramatization,United States,English,"April 26th, 2011 by Lionsgate Miramax",,,,"$16,757,163",,,,
97,https://www.the-numbers.com/movie/Why-Do-Fools-Fall-In-Love,[],"[['Gregory Nava', 'Director']]","$3,946,382 (31.6% of total gross)",3.17 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),,"1,369 opening theaters/1,377 max. theaters, 4.3 weeks average run per theater","$24,453,346","August 28th, 1998 (Wide) by Warner Bros.",R for language and some sexuality,116 minutes,vs. RayCreate your own comparison chart…,"African Americans, Singers, Jazz, Lawyers, Set in New York, Non-Chronological, Inheritance, Relationships Gone Wrong, Bigamy or Polygamy, Addiction, Narcotics, 1960s, 1980s, Romantic Drama",Based on Real Life Events,Drama,Live Action,Dramatization,,English,"January 19th, 1999 by Warner Home Video, released as Why Do Fools Fall in Love?",,,,"$12,506,676",,,,
98,https://www.the-numbers.com/movie/Knock-Off,"['Rob Schneider', 'Lela Rochon', 'Michael Fitzgerald Wong*', 'Carman Lee', 'Paul Sorvino', 'Jean-Claude Van Damme']","[['Tsui Hark', 'Director'], ['Steven E. de Souza', 'Screenwriter'], ['Nansun Shi', 'Producer'], ['Raymond Fung', 'Co-Producer'], ['Arthur Wong', 'Director of Photography'], ['James Leung', 'Production Designer'], ['Bill Lui', 'Production Designer'], ['Marco Mak Chi Sin', 'Editor'], ['Ron Mael', 'Composer'], ['Russell Mael', 'Composer'], ['Illana Diamant', 'Casting Director'], ['Lauris Freeman', 'Casting Director']]","$5,516,231 (53.5% of total gross)",1.87 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$35,000,000 (worldwide box office is 0.3 times production budget)","1,800 opening theaters/1,800 max. theaters, 3.5 weeks average run per theater","$20,177,741","September 4th, 1998 (Wide) by Sony Pictures",R for continuous violence and brief language,90 minutes,vs. Extreme OpsCreate your own comparison chart…,"Martial Arts, Action Thriller, Buddy Cop, Fashion, Terrorism, Organized Crime, Hong Kong",Original Screenplay,Action,Live Action,Contemporary Fiction,Hong Kong,English,"December 29th, 1998 by Sony Pictures Home Entertainment",,"Knock Films, A.V.V. Worldwide, Film Workshop Company, Val D’Doro Entertainment",,"$10,319,915",,,,
99,https://www.the-numbers.com/movie/Cube,[],"[['Vincenzo Natali', 'Director']]","$57,147 (11.7% of total gross)",8.56 (domestic box office/biggest weekend),5.5% (domestic box office/worldwide),"$250,000 (worldwide box office is 35.9 times production budget)","16 opening theaters/24 max. theaters, 6.6 weeks average run per theater","$956,532","September 11th, 1998 (Limited), released as The Cube",,90 minutes,vs. SawCreate your own comparison chart…,Isolation Horror,Original Screenplay,Thriller/Suspense,Live Action,Science Fiction,Canada,English,,Cube,,,"$489,220","$8,479,845","$8,969,065",,
100,https://www.the-numbers.com/movie/Rounders,[],"[['John Dahl', 'Director'], ['David Levien', 'Screenwriter'], ['Brian Koppelman', 'Screenwriter'], ['Harvey Weinstein', 'Executive Producer'], ['Bob Weinstein', 'Executive Producer'], ['Christopher Young', 'Composer']]","$8,459,126 (36.9% of total gross)",2.71 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$12,000,000 (worldwide box office is 1.9 times production budget)","2,176 opening theaters/2,198 max. theaters, 4.3 weeks average run per theater","$44,817,440","September 11th, 1998 (Wide) by Miramax","R for pervasive strong language, some sexuality and brief drug use",121 minutes,vs. 21Create your own comparison chart…,"Mafia, Gambling, Organized Crime, Voiceover/Narration, Lawyers, Life on the Outside, Addiction, Crime Drama, Money Troubles, Loan Shark",Original Screenplay,Drama,Live Action,Contemporary Fiction,United States,"English, French",,,,,"$22,921,898",,,,
101,https://www.the-numbers.com/movie/Simon-Birch,[],"[['Mark Steven Johnson', 'Director'], ['Mark Steven Johnson', 'Screenwriter'], ['John Irving', 'Story Creator']]","$3,321,370 (18.2% of total gross)",4.87 (domestic box office/biggest weekend),99.7% (domestic box office/worldwide),"$20,000,000 (worldwide box office is 0.9 times production budget)","596 opening theaters/930 max. theaters, 8.2 weeks average run per theater","$35,689,512","September 11th, 1998 (Wide) by Walt Disney","PG for language, emotional thematic elements, and an accident scene",114 minutes,vs. BirthCreate your own comparison chart…,"Comedy Drama, Bullies, 1960s, Prologue, Dwarfism, Non-Chronological, Voiceover/Narration",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,United States,,,,,,"$18,253,415","$57,176","$18,310,591",,
102,https://www.the-numbers.com/movie/One-True-Thing,[],"[['Carl Franklin', 'Director'], ['Karen Croner', 'Screenwriter']]","$6,606,455 (28.3% of total gross)",3.53 (domestic box office/biggest weekend),87.4% (domestic box office/worldwide),"$30,000,000 (worldwide box office is 0.9 times production budget)","1,590 opening theaters/1,636 max. theaters, 5.6 weeks average run per theater","$45,629,434","September 18th, 1998 (Wide) by Universal",R for language,127 minutes,vs. FlightCreate your own comparison chart…,"Family Drama, Cancer, Terminal Illness, Dysfunctional Family, You Can't Go Home Again, Writer's Block, Writing and Writers, College Professor, Infidelity, Non-Chronological",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,United States,,"August 10th, 1999 by Universal Home Entertainment",,,,"$23,337,196","$3,371,000","$26,708,196",,
