,territory,release_date,opening_wknd,opening_wknd_screens,max_screens,theatrical_engagements,total_bo,report_date,url,country_url,int_total,total_report_date
0,Australia,1/1/2021,"$2,008,565",421,421,"4,383","$15,487,574",1/2/2023,https://www.the-numbers.com/movie/Dry-The-(Australia),https://www.the-numbers.com/movie/Dry-The-(Australia)/Australia#tab=box-office,"$17,124,326",1/2/2023
1,Italy,11/11/2021,"$145,941",0,0,0,"$210,016",10/20/2022,https://www.the-numbers.com/movie/Dry-The-(Australia),https://www.the-numbers.com/movie/Dry-The-(Australia)/Italy#tab=box-office,"$17,124,326",1/2/2023
2,New Zealand,1/1/2021,"$175,621",109,116,886,"$1,050,153",7/6/2021,https://www.the-numbers.com/movie/Dry-The-(Australia),https://www.the-numbers.com/movie/Dry-The-(Australia)/New-Zealand#tab=box-office,"$17,124,326",1/2/2023
3,Russia (CIS),7/15/2021,"$135,358",633,633,"1,266","$268,800",10/20/2022,https://www.the-numbers.com/movie/Dry-The-(Australia),https://www.the-numbers.com/movie/Dry-The-(Australia)/Russia-(CIS)#tab=box-office,"$17,124,326",1/2/2023
4,South Korea,3/23/2022,$0,0,110,137,"$41,477",4/30/2022,https://www.the-numbers.com/movie/Dry-The-(Australia),https://www.the-numbers.com/movie/Dry-The-(Australia)/South-Korea#tab=box-office,"$17,124,326",1/2/2023
5,Spain,11/19/2021,"$66,306",161,161,161,"$66,306",11/25/2021,https://www.the-numbers.com/movie/Dry-The-(Australia),https://www.the-numbers.com/movie/Dry-The-(Australia)/Spain#tab=box-office,"$17,124,326",1/2/2023
0,Australia,1/1/2021,"$2,008,565",421,421,"4,383","$15,487,574",1/2/2023,https://www.the-numbers.com/movie/Dry-The-(Australia),https://www.the-numbers.com/movie/Dry-The-(Australia)/Australia#tab=box-office,"$17,124,326",1/2/2023
1,Italy,11/11/2021,"$145,941",0,0,0,"$210,016",10/20/2022,https://www.the-numbers.com/movie/Dry-The-(Australia),https://www.the-numbers.com/movie/Dry-The-(Australia)/Italy#tab=box-office,"$17,124,326",1/2/2023
2,New Zealand,1/1/2021,"$175,621",109,116,886,"$1,050,153",7/6/2021,https://www.the-numbers.com/movie/Dry-The-(Australia),https://www.the-numbers.com/movie/Dry-The-(Australia)/New-Zealand#tab=box-office,"$17,124,326",1/2/2023
3,Russia (CIS),7/15/2021,"$135,358",633,633,"1,266","$268,800",10/20/2022,https://www.the-numbers.com/movie/Dry-The-(Australia),https://www.the-numbers.com/movie/Dry-The-(Australia)/Russia-(CIS)#tab=box-office,"$17,124,326",1/2/2023
4,South Korea,3/23/2022,$0,0,110,137,"$41,477",4/30/2022,https://www.the-numbers.com/movie/Dry-The-(Australia),https://www.the-numbers.com/movie/Dry-The-(Australia)/South-Korea#tab=box-office,"$17,124,326",1/2/2023
5,Spain,11/19/2021,"$66,306",161,161,161,"$66,306",11/25/2021,https://www.the-numbers.com/movie/Dry-The-(Australia),https://www.the-numbers.com/movie/Dry-The-(Australia)/Spain#tab=box-office,"$17,124,326",1/2/2023
0,China,1/1/2021,"$2,980,000","21,914","25,594","64,601","$8,220,000",2/22/2021,https://www.the-numbers.com/movie/Octonauts-The-Ring-of-Fire-(2021-China),https://www.the-numbers.com/movie/Octonauts-The-Ring-of-Fire-(2021-China)/China#tab=box-office,"$8,437,314",6/17/2021
1,South Korea,4/28/2021,"$73,988",183,183,348,"$217,314",6/17/2021,https://www.the-numbers.com/movie/Octonauts-The-Ring-of-Fire-(2021-China),https://www.the-numbers.com/movie/Octonauts-The-Ring-of-Fire-(2021-China)/South-Korea#tab=box-office,"$8,437,314",6/17/2021
0,China,1/1/2021,"$2,980,000","21,914","25,594","64,601","$8,220,000",2/22/2021,https://www.the-numbers.com/movie/Octonauts-The-Ring-of-Fire-(2021-China),https://www.the-numbers.com/movie/Octonauts-The-Ring-of-Fire-(2021-China)/China#tab=box-office,"$8,437,314",6/17/2021
