,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Theater counts:,Infl. Adj. Dom. BO,Production Budget:,Domestic Releases:,Video Release:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,Production/Financing Companies:,International Releases:,Franchise:,Domestic Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales,International Box Office,Worldwide Box Office
49,https://www.the-numbers.com/movie/Twister,"['Helen Hunt', 'Bill Paxton', 'Cary Elwes', 'Jami Gertz', 'Lois Smith', 'Alan Ruck', 'Philip Seymour Hoffman', 'Jeremy Davies', 'Todd Field', 'Zach Grenier', 'Nicholas Sadler', 'Abraham Benrubi', 'Jake Busey', 'Scott Thomson']","[['Kathleen Kennedy', 'Producer'], ['Ian Bryce', 'Producer'], ['Michael Crichton', 'Producer'], ['Steven Spielberg', 'Executive Producer'], ['Walter F. Parkes', 'Executive Producer'], ['Laurie MacDonald', 'Executive Producer'], ['Gerald R. Molen', 'Executive Producer'], ['Jan De Bont', 'Director'], ['Michael Crichton', 'Screenwriter'], ['Anne-Marie Martin', 'Screenwriter'], ['Mark Mancina', 'Composer']]","$41,059,405 (17.0% of total gross)",5.89 (domestic box office/biggest weekend),48.8% (domestic box office/worldwide),"2,414 opening theaters/2,808 max. theaters, 11.5 weeks average run per theater","$501,421,377","$88,000,000 (worldwide box office is 5.6 times production budget)","May 10th, 1996 (Wide) by Warner Bros.","March 26th, 1997 by Warner Home Video",PG-13 for intense depiction of very bad weather,114 minutes,vs. Lethal Weapon 2Create your own comparison chart…,"Visual Effects, Disaster, Extreme Weather, Academics",Based on Fiction Book/Short Story,Action,Live Action,Contemporary Fiction,United States,English,"Warner Bros., Universal Pictures, Amblin Entertainment","May 30th, 1996 (Wide) (Australia)
",,"$241,688,385",,,"$254,011,615","$495,700,000"
50,https://www.the-numbers.com/movie/Welcome-to-the-Dollhouse,[],"[['Todd Solondz', 'Director'], ['Todd Solondz', 'Screenwriter'], ['Todd Solondz', 'Producer']]",,11.93 (domestic box office/biggest weekend),83.4% (domestic box office/worldwide),,"$8,709,703","$800,000 (worldwide box office is 6.3 times production budget)","May 10th, 1996 (Wide) by Sony Pictures Classics","August 3rd, 1999 by Sony Pictures Home Entertainment",R for language,87 minutes,vs. Beyond the Valley of the DollsCreate your own comparison chart…,"Coming of Age, Black Comedy, High School Hell, Bullies, Middle School, First Love, Drug Dealer, Missing Child",Original Screenplay,Black Comedy,Live Action,Contemporary Fiction,United States,,,,,"$4,198,137",,,"$836,657","$5,034,794"
51,https://www.the-numbers.com/movie/Trainspotting,[],"[['Danny Boyle', 'Director'], ['Irvine Welsh', 'Based on the novel by']]","$262,673 (1.6% of total gross)",11.77 (domestic box office/biggest weekend),23.1% (domestic box office/worldwide),"8 opening theaters/357 max. theaters, 11.8 weeks average run per theater","$34,235,599","$3,100,000 (worldwide box office is 23.1 times production budget)","July 19th, 1996 (Wide) by Miramax","March 25th, 1998 by Walt Disney Home Entertainment",R,93 minutes,vs. The Full MontyCreate your own comparison chart…,"Narcotics, Addiction, Voiceover/Narration, Non-Chronological, Death of a Son or Daughter, Hallucinations, Life Drama",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,United Kingdom,English,"Channel 4, Figment Films, Noel Gay Motion Picture Company","May 16th, 1996 (Wide) (Australia)
January 13th, 2017 (Limited), released as Trainspotting (Re: 2017) (United Kingdom)
March 11th, 2021 (Wide) (New Zealand)
July 2nd, 2021 (Wide) (United Kingdom)
July 15th, 2021 (Wide), released as На игле (Russia (CIS))
... Show all releases
",Trainspotting,"$16,501,785",,,"$55,047,150","$71,548,935"
52,https://www.the-numbers.com/movie/Flipper,[],[],"$4,209,525 (21.0% of total gross)",3.71 (domestic box office/biggest weekend),65.6% (domestic box office/worldwide),"2,385 opening theaters/2,419 max. theaters, 5.5 weeks average run per theater","$41,659,218","$25,530,000 (worldwide box office is 1.2 times production budget)","May 17th, 1996 (Wide) by Universal",,PG for some mild language and menacing action,95 minutes,vs. Free WillyCreate your own comparison chart…,Animal Lead,Based on TV,Adventure,Live Action,Kids Fiction,,English,,,,"$20,080,020",,,"$10,513,293","$30,593,313"
53,https://www.the-numbers.com/movie/Mission-Impossible,"['Jon Voight', 'Emmanuelle Beart', 'Henry Czerny', 'Jean Reno', 'Ving Rhames', 'Tom Cruise']","[['Brian De Palma', 'Director'], ['David Koepp', 'Screenwriter'], ['Robert Towne', 'Screenwriter'], ['David Koepp', 'Story Creator'], ['Steven Zaillian', 'Story Creator'], ['Bruce Geller', 'Based on the TV series'], ['Tom Cruise', 'Producer'], ['Paula Wagner', 'Producer'], ['Paul Hitchcock', 'Executive Producer'], ['Danny Elfman', 'Composer'], ['Norman Reynolds', 'Production Designer'], ['Stephen H. Burum', 'Director of Photography'], ['Paul Hirsch', 'Editor']]","$45,436,830 (25.1% of total gross)",3.98 (domestic box office/biggest weekend),39.5% (domestic box office/worldwide),"3,012 opening theaters/3,012 max. theaters, 8.5 weeks average run per theater","$375,475,994","$80,000,000 (worldwide box office is 5.7 times production budget)","May 21st, 1996 (Wide) by Paramount PicturesMay 14th, 2021 (Special Engagement) by Fathom Events","November 17th, 1998 by Paramount Home VideoDecember 4th, 2018 by Paramount Home Video, released as Mission Impossible-6 Movie Collection",PG-13 for some intense action violence.,111 minutes,vs. Mission: Impossible 2Create your own comparison chart…,"Secret Agent, Slow Motion Scene, Fugitive / On the Run, Non-Chronological, 1990s, Faked Death, Betrayal, Hostage, Escape, Framed, C.I.A., Falsely Accused",Based on TV,Action,Live Action,Contemporary Fiction,United States,English,Cruise-Wagner,,Mission: Impossible,"$180,981,886","$10,356,217","$10,356,217","$276,716,108","$457,697,994"
54,https://www.the-numbers.com/movie/Secrets-and-Lies,[],"[['Mike Leigh', 'Director'], ['Mike Leigh', 'Screenwriter'], ['Andrew Dickson', 'Composer']]","$189,050 (1.4% of total gross)",21.98 (domestic box office/biggest weekend),83.4% (domestic box office/worldwide),"17 opening theaters/296 max. theaters, 13.2 weeks average run per theater","$27,284,601","$4,500,000 (worldwide box office is 3.6 times production budget)","September 28th, 1996 (Wide) by October Films","March 30th, 2021 by Criterion",R for language,142 minutes,vs. The Good HeartCreate your own comparison chart…,"Comedy Drama, Adopted Family Seeking Reunion, Interracial Child, Dysfunctional Family, 1997 Oscars Best Picture Nominee",Original Screenplay,Drama,Live Action,Contemporary Fiction,United Kingdom,English,"Channel Four Films, Thin Man Films","May 24th, 1996 (Wide), released as Secrets And Lies (United Kingdom)
",,"$13,417,292","$13,549","$13,549","$2,673,582","$16,090,874"
55,https://www.the-numbers.com/movie/Spy-Hard,[],"[['Rick Friedberg', 'Director']]","$10,448,420 (38.8% of total gross)",2.58 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"2,286 opening theaters/2,319 max. theaters, 4.5 weeks average run per theater","$55,883,603","$18,000,000 (worldwide box office is 1.5 times production budget)","May 24th, 1996 (Wide) by Walt Disney",,PG-13 for crude humor and sexual innuendo,81 minutes,vs. Tyler Perry's A Madea ChristmasCreate your own comparison chart…,"Spoof, Farcical / Slapstick Comedy, Family Affair, Secret Agent, Out of Retirement",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,,,,,"$26,936,265",,,,
56,https://www.the-numbers.com/movie/Arrival-The-(1996),[],"[['David Twohy', 'Director'], ['David Twohy', 'Screenwriter'], ['Mayes C. Rubeo', 'Costume Designer']]","$4,806,763 (34.3% of total gross)",2.92 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,693 opening theaters/1,693 max. theaters, 3.8 weeks average run per theater","$29,111,440",,"May 31st, 1996 (Wide) by Orion Pictures","June 17th, 1997 by Live / Artisan, released as Arrival, The","PG-13 for some sci-fi violence and terror, and for brief language.",115 minutes,vs. ArrivalCreate your own comparison chart…,"Psychological Thriller, Alien Invasion, Surprise Twist, Fired, Environment",Original Screenplay,Thriller/Suspense,Live Action,Science Fiction,,,,,,"$14,031,906",,,,
57,https://www.the-numbers.com/movie/Dragonheart,[],"[['Rob Cohen', 'Director']]","$15,027,150 (29.3% of total gross)",3.42 (domestic box office/biggest weekend),49.2% (domestic box office/worldwide),"2,130 opening theaters/2,193 max. theaters, 6.6 weeks average run per theater","$106,564,277","$57,000,000 (worldwide box office is 1.8 times production budget)","May 31st, 1996 (Wide) by Universal","April 8th, 1997 by Universal Home Entertainment",PG-13 for action/violence,,vs. TwisterCreate your own comparison chart…,"Monster, Dragon",Original Screenplay,Adventure,Animation/Live Action,Fantasy,"Slovakia, United Kingdom, United States",English,"Raffaella De Laurentiis, Universal Pictures",,Dragonheart,"$51,364,680",,,"$53,000,000","$104,364,680"
58,https://www.the-numbers.com/movie/Eddie,[],"[['Steve Rash', 'Director'], ['Jon Connolly', 'Screenwriter']]","$8,041,972 (25.6% of total gross)",3.90 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,989 opening theaters/2,000 max. theaters, 5.1 weeks average run per theater","$65,080,856",,"May 31st, 1996 (Wide) by Walt Disney",,PG-13 for some language and brief sexuality,100 minutes,Create your own comparison chart…,"Basketball, Sports Comedy, Underdog, Set in New York City, Set in New York",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,,,,,"$31,369,401",,,,
