,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Theater counts:,Infl. Adj. Dom. BO,Production Budget:,Domestic Releases:,Video Release:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,Production/Financing Companies:,International Releases:,Franchise:,Domestic Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales,International Box Office,Worldwide Box Office
59,https://www.the-numbers.com/movie/Phantom-The,"['Treat Williams', 'Kristy Swanson', 'Catherine Zeta-Jones', 'James Remar', 'Patrick McGoohan', 'Billy Zane']","[['Simon Wincer', 'Director'], ['Robert Evans', 'Producer'], ['Alan Ladd, Jr.', 'Producer'], ['Jeffrey Boam', 'Screenwriter'], ['Richard Vane', 'Executive Producer'], ['Joe Dante', 'Executive Producer'], ['Jeffrey Boam', 'Co-Producer'], ['Graham Burke', 'Executive Producer'], ['Greg Coote', 'Executive Producer'], ['Peter Sjoquist', 'Executive Producer'], ['Bruce Sherlock', 'Executive Producer'], ['David Burr', 'Director of Photography'], ['Paul Peters', 'Production Designer'], ['O. Nicholas Brown', 'Editor'], ['David Newman', 'Composer']]","$5,072,346 (29.5% of total gross)",3.39 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"2,159 opening theaters/2,163 max. theaters, 4.7 weeks average run per theater","$35,726,898","$45,000,000 (worldwide box office is 0.4 times production budget)","June 7th, 1996 (Wide) by Paramount Pictures","June 10th, 1997 by Lionsgate Home Entertainment",PG for action/adventure violence and some mild language,100 minutes,vs. BladeCreate your own comparison chart…,"Comic Strip, Film Noir, Action Adventure, 1700s, Prologue, 1930s, Father’s Footsteps, Set in New York, Set in New York City, Cult Movie",Based on Comic/Graphic Novel,Action,Live Action,Super Hero,"Australia, United States",English,"Paramount Pictures, Robert Evans, Alan Ladd, Jr., Village Roadshow Productions",,,"$17,220,599",,,,
60,https://www.the-numbers.com/movie/Rock-The,"['Michael Biehn', 'William Forsythe', 'Sean Connery', 'Nicolas Cage', 'Ed Harris']","[['Michael Bay', 'Director'], ['Don Simpson', 'Producer'], ['Jerry Bruckheimer', 'Producer'], ['David Weisberg', 'Screenwriter'], ['Douglas S. Cook', 'Screenwriter'], ['Mark Rosner', 'Screenwriter'], ['David Weisberg', 'Story Creator'], ['Douglas S. Cook', 'Story Creator'], ['William Stuart', 'Executive Producer'], ['Sean Connery', 'Executive Producer'], ['Louis A. Stroller', 'Executive Producer'], ['John Schwartzman', 'Director of Photography'], ['Michael White', 'Production Designer'], ['Richard Francis-Bruce', 'Editor'], ['Nick Glennie-Smith', 'Composer'], ['Hans Zimmer', 'Composer']]","$25,069,525 (18.7% of total gross)",5.35 (domestic box office/biggest weekend),39.9% (domestic box office/worldwide),"2,392 opening theaters/2,426 max. theaters, 8.9 weeks average run per theater","$278,148,732","$75,000,000 (worldwide box office is 4.5 times production budget)","June 7th, 1996 (Wide) by Walt Disney","December 3rd, 1997 by Hollywood Home Video","R for strong violence, language and a sex scene",136 minutes,vs. Con AirCreate your own comparison chart…,,Original Screenplay,Action,Live Action,Contemporary Fiction,United States,English,Hollywood Pictures,"July 25th, 1996 (Wide) (Australia)
January 7th, 2021 (Wide) (New Zealand)
",,"$134,069,511",,,"$202,000,000","$336,069,511"
61,https://www.the-numbers.com/movie/Cable-Guy-The,"['Matthew Broderick', 'Leslie Mann', 'George Segal', 'Jim Carrey']","[['Ben Stiller', 'Director'], ['Andrew Licht', 'Producer'], ['Jeffrey A. Mueller*', 'Producer'], ['Judd Apatow', 'Producer'], ['Judd Apatow', 'Screenwriter'], ['Lou Holtz, Jr.', 'Story Creator'], ['Brad Grey', 'Executive Producer'], ['Bernie Brillstein', 'Executive Producer'], ['Marc Gurvitz', 'Executive Producer'], ['Robert Brinkmann', 'Director of Photography'], ['Sharon Seymour', 'Production Designer'], ['Steven Weisberg', 'Editor'], ['John Ottman', 'Composer'], ['William Beasley', 'Co-Producer']]","$19,806,226 (32.9% of total gross)",3.04 (domestic box office/biggest weekend),58.6% (domestic box office/worldwide),"2,657 opening theaters/2,657 max. theaters, 5.3 weeks average run per theater","$124,978,168","$47,000,000 (worldwide box office is 2.2 times production budget)","June 14th, 1996 (Wide) by Sony Pictures","December 3rd, 1996 by Sony Pictures Home Entertainment",PG-13 for dark thematic elements and crude humor,91 minutes,vs. Ace Ventura: When Nature CallsCreate your own comparison chart…,"Black Comedy, Mental Illness, Revenge, Hostage, Same Role, Multiple Actors, Framed, Slow Motion Scene, Prostitution, False Identity, Same Actor, Multiple Roles, Surprise Twist, Faked Death, Character POV shot, Architecture, Dysfunctional Family, Fired",Original Screenplay,Black Comedy,Live Action,Contemporary Fiction,United States,English,"Brillstein Entertianment Partners, Licht/Mueller Film Corp.",,,"$60,240,295",,,"$42,585,501","$102,825,796"
62,https://www.the-numbers.com/movie/Eraser,"['James Caan', 'James Coburn', 'Robert Pastorelli', 'Arnold Schwarzenegger', 'Vanessa Williams']","[['Chuck Russell', 'Director'], ['Arnold Kopelson', 'Producer'], ['Anne Kopelson', 'Producer'], ['Tony Puryear', 'Screenwriter'], ['Walon Green', 'Screenwriter'], ['Tony Puryear', 'Story Creator'], ['Michael Tadross', 'Executive Producer'], ['Charles Russell', 'Executive Producer'], ['Adam Greenberg', 'Director of Photography'], ['Bill Kenney', 'Production Designer'], ['Michael Tronick', 'Editor'], ['Stephen Brown', 'Co-Producer'], ['Caroline Pham', 'Co-Producer'], ['Alan Silvestri', 'Composer']]","$24,566,446 (24.3% of total gross)",4.12 (domestic box office/biggest weekend),43.2% (domestic box office/worldwide),"2,410 opening theaters/2,556 max. theaters, 8.0 weeks average run per theater","$210,153,906","$100,000,000 (worldwide box office is 2.3 times production budget)","June 21st, 1996 (Wide) by Warner Bros.","March 26th, 1997 by Warner Home Video",R for violent action throughout and some language,114 minutes,vs. Point BreakCreate your own comparison chart…,"Mafia, Visual Effects",Original Screenplay,Action,Live Action,Contemporary Fiction,United States,English,Warner Bros.,,,"$101,295,562",,,"$133,104,438","$234,400,000"
63,https://www.the-numbers.com/movie/Hunchback-of-Notre-Dame-The,"['Jason Alexander', 'Tom Hulce', 'Tony Jay', 'Paul Kandel', 'Charles Kimbrough', 'Kevin Kline', 'Demi Moore', 'David Ogden Stiers', 'Mary Wickes']","[['Gary Trousdale', 'Director'], ['Kirk Wise', 'Director'], ['Victor Hugo', 'Based on the novel by'], ['Don Hahn', 'Producer'], ['Tab Murphy', 'Animation Screenplay by'], ['Irene Mecchi', 'Animation Screenplay by'], ['Bob Tzudiker', 'Animation Screenplay by'], ['Noni White', 'Animation Screenplay by'], ['Jonathan Roberts', 'Animation Screenplay by'], ['Tab Murphy', 'Animation Story by'], ['Alan Menken', 'Composer'], ['Stephen Schwartz', 'Song Writer'], ['Alan Menken', 'Song Writer']]","$21,037,414 (21.0% of total gross)",4.76 (domestic box office/biggest weekend),30.8% (domestic box office/worldwide),"2,778 opening theaters/2,835 max. theaters, 8.4 weeks average run per theater","$207,754,126","$100,000,000 (worldwide box office is 3.3 times production budget)","June 21st, 1996 (Wide) by Walt Disney","March 18th, 2002 by Walt Disney Home Entertainment",G,91 minutes,vs. HerculesCreate your own comparison chart…,"Prologue, Romani, Voiceover/Narration, Non-Chronological, Romance, Love Triangle, Obsessive Love, Young Child Dealing with the Death of a Parent, Dysfunctional Family, Unexpected Families, Religious, Adopted Family",Based on Fiction Book/Short Story,Adventure,Hand Animation,Historical Fiction,United States,,Walt Disney Animation Studios,,The Hunchback of Notre Dame,"$100,138,851",,,"$225,361,149","$325,500,000"
64,https://www.the-numbers.com/movie/Lone-Star,[],"[['John Sayles', 'Director'], ['John Sayles', 'Screenwriter']]","$232,184 (1.8% of total gross)",16.09 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"21 opening theaters/214 max. theaters, 13.7 weeks average run per theater","$26,887,953","$5,000,000 (worldwide box office is 2.6 times production budget)","June 21st, 1996 (Wide) by Sony Pictures Classics",,"R for brief language, sex and violence",135 minutes,vs. RudderlessCreate your own comparison chart…,"Texas, Mystery Drama, Romance, Father’s Footsteps, Dysfunctional Family, Accidental Incest, Cover Up, Corrupt Cops, Gambling, Family Secrets",Original Screenplay,Drama,Live Action,Contemporary Fiction,United States,,,,,"$12,961,389",,,,
65,https://www.the-numbers.com/movie/Nutty-Professor-The-(1996),[],"[['David Newman', 'Composer'], ['Tom Shadyac', 'Director']]","$25,411,725 (19.7% of total gross)",4.99 (domestic box office/biggest weekend),47.0% (domestic box office/worldwide),"2,115 opening theaters/2,239 max. theaters, 10.2 weeks average run per theater","$267,245,372","$55,000,000 (worldwide box office is 5.0 times production budget)","June 28th, 1996 (Wide) by Universal","November 12th, 1996 by Universal Home Entertainment",PG-13 for crude humor and sexual references,95 minutes,vs. Pretty WomanCreate your own comparison chart…,"Visual Effects, Fat Suit, Same Actor, Multiple Roles",Remake,Comedy,Live Action,Kids Fiction,United States,English,,,Nutty Professor,"$128,814,019",,,"$145,000,000","$273,814,019"
66,https://www.the-numbers.com/movie/Striptease,[],"[['Andrew Bergman', 'Director'], ['Howard Shore', 'Composer']]","$12,322,069 (37.2% of total gross)",2.69 (domestic box office/biggest weekend),29.2% (domestic box office/worldwide),"1,970 opening theaters/1,979 max. theaters, 4.7 weeks average run per theater","$68,691,480","$50,000,000 (worldwide box office is 2.3 times production budget)","June 28th, 1996 (Wide) by Sony Pictures",,"R for nudity, erotic dancing and language",117 minutes,vs. ShowgirlsCreate your own comparison chart…,"Black Comedy, Strippers / Stripping, Relationships Gone Wrong, Child Neglect, Political, Political Campaign, FBI, Fired, Political Assassination",Based on Fiction Book/Short Story,Black Comedy,Live Action,Contemporary Fiction,United States,,,,,"$33,109,743",,,"$80,200,000","$113,309,743"
67,https://www.the-numbers.com/movie/Independence-Day,"['Will Smith', 'Bill Pullman', 'Jeff Goldblum', 'Mary McDonnell', 'Margaret Colin', 'Judd Hirsch', 'Randy Quaid', 'Robert Loggia', 'James Rebhorn', 'Harvey Fierstein', 'Adam Baldwin', 'Brent Spiner', 'James Duval', 'Vivica A. Fox*', 'Lisa Jakub', 'Ross Bagley', 'Mae Whitman', 'Bill Smitrovich', 'Kiersten Warren', 'Harry Connick, Jr.']","[['Roland Emmerich', 'Director'], ['Roland Emmerich', 'Screenwriter'], ['Dean Devlin', 'Screenwriter'], ['Dean Devlin', 'Producer'], ['Roland Emmerich', 'Executive Producer'], ['Ute Emmerich', 'Executive Producer'], ['William Fay', 'Executive Producer']]","$50,228,264 (16.4% of total gross)",6.10 (domestic box office/biggest weekend),37.5% (domestic box office/worldwide),"2,882 opening theaters/2,977 max. theaters, 13.2 weeks average run per theater","$635,197,299","$75,000,000 (worldwide box office is 10.9 times production budget)","July 2nd, 1996 (Wide) by 20th Century Fox","June 27th, 2000 by Fox Home Entertainment",PG-13 for sci-fi destruction and violence,145 minutes,vs. Independence Day: ResurgenceCreate your own comparison chart…,"Visual Effects, Alien Invasion, Intertitle, 3D Re-release, White House Under Attack",Original Screenplay,Adventure,Live Action,Science Fiction,United States,English,Centropolis Entertainment,,Independence Day,"$306,169,255",,,"$511,231,623","$817,400,878"
68,https://www.the-numbers.com/movie/Phenomenon-(1996),[],"[['Jon Turteltaub', 'Director'], ['Thomas Newman', 'Composer']]","$24,517,121 (23.4% of total gross)",4.27 (domestic box office/biggest weekend),68.8% (domestic box office/worldwide),"1,637 opening theaters/2,139 max. theaters, 10.1 weeks average run per theater","$217,077,504","$32,000,000 (worldwide box office is 4.8 times production budget)","July 5th, 1996 (Wide) by Walt Disney",,PG for language and mild sensuality.,123 minutes,vs. ElfCreate your own comparison chart…,"Romantic Drama, Supernatural",Original Screenplay,Drama,Live Action,Contemporary Fiction,United States,English,,,,"$104,636,382",,,"$47,400,000","$152,036,382"
69,https://www.the-numbers.com/movie/Harriet-the-Spy,[],[],"$6,601,651 (24.8% of total gross)",4.02 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,826 opening theaters/1,876 max. theaters, 5.4 weeks average run per theater","$55,123,832","$13,000,000 (worldwide box office is 2.0 times production budget)","July 10th, 1996 (Wide) by Paramount Pictures","February 25th, 1997 by Paramount Home Video",PG for mild language and some thematic elements,,vs. Spy KidsCreate your own comparison chart…,Coming of Age,Based on Fiction Book/Short Story,Adventure,Live Action,Kids Fiction,,,,,,"$26,570,048",,,,
70,https://www.the-numbers.com/movie/Courage-Under-Fire-(1996),"['Lou Diamond Phillips', 'Michael Moriarty', 'Matt Damon', 'Seth Gilliam', 'Bronson Pinchot', 'Scott Glenn', 'Denzel Washington', 'Meg Ryan']","[['Edward Zwick', 'Director'], ['John Davis', 'Producer'], ['Joseph M. Singer', 'Producer'], ['David T. Friendly', 'Producer'], ['Patrick Sheane Duncan', 'Screenwriter'], ['Joseph M. Caracciolo', 'Executive Producer'], ['Debra Martin Chase', 'Executive Producer'], ['Roger Deakins', 'Director of Photography'], ['John Graysmark', 'Production Designer'], ['Steven Rosenblum', 'Editor'], ['James Horner', 'Composer']]","$12,501,586 (21.2% of total gross)",4.72 (domestic box office/biggest weekend),58.5% (domestic box office/worldwide),"1,986 opening theaters/2,001 max. theaters, 8.8 weeks average run per theater","$122,411,990","$46,000,000 (worldwide box office is 2.2 times production budget)","July 12th, 1996 (Wide) by 20th Century Fox","August 19th, 1997 by 20th Century Studios",R for war violence and language.,111 minutes,vs. HeatCreate your own comparison chart…,"War Drama, Gulf War",Original Screenplay,Drama,Live Action,Historical Fiction,United States,English,20th Century Fox,,,"$59,003,384",,,"$41,829,761","$100,833,145"
71,https://www.the-numbers.com/movie/Visiteurs-Les,[],[],"$24,792 (3.8% of total gross)",20.11 (domestic box office/biggest weekend),0.7% (domestic box office/worldwide),"4 opening theaters/14 max. theaters, 1.3 weeks average run per theater","$1,367,201","$7,000,000 (worldwide box office is 14.1 times production budget)","July 12th, 1996 (Wide) by Miramax, released as The Visitors",,R for language,,vs. Edward ScissorhandsCreate your own comparison chart…,Time Travel,Original Screenplay,Comedy,Live Action,Fantasy,France,French,,,Visiteurs,"$659,000",,,"$98,095,000","$98,754,000"
72,https://www.the-numbers.com/movie/Kazaam,[],"[['Paul Michael Glaser', 'Director']]","$5,001,588 (26.5% of total gross)",3.77 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"2,012 opening theaters/2,019 max. theaters, 4.0 weeks average run per theater","$39,170,645",,"July 17th, 1996 (Wide) by Walt Disney","October 8th, 2002 by Walt Disney Home Entertainment",PG for action violence and language,93 minutes,vs. Double DragonCreate your own comparison chart…,,Original Screenplay,Adventure,Live Action,Kids Fiction,United States,English,,,,"$18,880,508",,,,
73,https://www.the-numbers.com/movie/Multiplicity,"['Eugene Levy', 'Brian Doyle-Murray', 'Harris Yulin', 'Richard Masur', 'Julie Bowen', 'John deLancie', 'Katie Schlossberg', 'Zack Duhame', 'Michael Keaton', 'Andie MacDowell']","[['Harold Ramis', 'Director'], ['Chris Miller', 'Screenwriter'], ['Mary Hale', 'Screenwriter'], ['Lowell Ganz', 'Screenwriter'], ['Babaloo Mandel', 'Screenwriter'], ['Chris Miller', 'Story based on the short story by'], ['Albert Harold Ramis', 'Producer'], ['Lee R. Mayes', 'Executive Producer'], ['Jackson DeGovia', 'Production Designer'], ['George Fenton', 'Composer']]","$5,075,340 (25.2% of total gross)",3.97 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"2,134 opening theaters/2,134 max. theaters, 3.7 weeks average run per theater","$41,769,818","$45,000,000 (worldwide box office is 0.4 times production budget)","July 17th, 1996 (Wide) by Sony Pictures","April 14th, 1998 by Sony Pictures Home Entertainment",PG-13 for sexual situations,117 minutes,vs. PaulCreate your own comparison chart…,"Cloning, Same Actor, Multiple Roles, Farcical / Slapstick Comedy, Workaholic, Fired, Dysfunctional Family, Mistaken Identity",Based on Fiction Book/Short Story,Comedy,Live Action,Science Fiction,United States,English,"Columbia Pictures, Trevor Albert Productions",,,"$20,133,326",,,,
74,https://www.the-numbers.com/movie/Fled,[],"[['Kevin Hooks', 'Director'], ['Preston A. Whitmore II', 'Screenwriter'], ['Graeme Revell', 'Composer']]","$5,405,855 (31.4% of total gross)",3.18 (domestic box office/biggest weekend),86.4% (domestic box office/worldwide),"2,104 opening theaters/2,104 max. theaters, 3.6 weeks average run per theater","$35,667,990","$30,000,000 (worldwide box office is 0.7 times production budget)","July 19th, 1996 (Wide) by MGM",,"R for strong sexuality, language and some violence",98 minutes,vs. FasterCreate your own comparison chart…,"Mafia, Action Comedy, FBI, Witness Tampering, Assassination, Heist, Fugitive / On the Run",Original Screenplay,Action,Live Action,Contemporary Fiction,,,,,,"$17,192,205",,,"$2,700,000","$19,892,205"
75,https://www.the-numbers.com/movie/Frighteners-The,"['Trini Alvarado', 'Peter Dobson', 'John Astin', 'Dee Wallace-Stone*', 'Jeffrey Combs', 'Jake Busey', 'Michael J. Fox']","[['Peter Jackson', 'Director'], ['Fran Walsh', 'Screenwriter'], ['Peter Jackson', 'Screenwriter'], ['Jamie Selkirk', 'Producer'], ['Peter Jackson', 'Producer'], ['Robert Zemeckis', 'Executive Producer'], ['Alun Bollinger', 'Director of Photography'], ['John Blick', 'Director of Photography'], ['Grant Major', 'Production Designer'], ['Jamie Selkirk', 'Editor'], ['Fran Walsh', 'Associate Producer'], ['Tim Sanders', 'Co-Producer'], ['Danny Elfman', 'Composer']]","$5,565,495 (33.6% of total gross)",2.97 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,669 opening theaters/1,675 max. theaters, 3.8 weeks average run per theater","$34,343,172",,"July 19th, 1996 (Wide) by Universal","August 26th, 1997 by Universal Home Entertainment",R for terror/violence,109 minutes,vs. Heavenly CreaturesCreate your own comparison chart…,"Heaven and Hell, Horror Comedy, Supernatural, Serial Killer, Bonnie and Clyde romance, Surprise Twist, Confidence Men, Haunting, Friendly Ghost",Original Screenplay,Horror,Live Action,Fantasy,United States,English,"Wingnut Films, Universal Pictures","December 26th, 1996 (Wide) (New Zealand)
October 28th, 2021 (Limited) (New Zealand)
",,"$16,553,635",,,$787,"$16,554,422"
76,https://www.the-numbers.com/movie/Time-to-Kill-A-(1996),"['Kevin Spacey', 'Sandra Bullock', 'Samuel L. Jackson', 'Matthew McConaughey']","[['Joel Schumacher', 'Director'], ['Akiva Goldsman', 'Screenwriter'], ['John Grisham', 'Story Creator'], ['Arnon Milchan', 'Producer'], ['Michael Nathanson', 'Producer'], ['Hunt Lowry', 'Producer'], ['John Grisham', 'Producer'], ['Larry Fulton', 'Production Designer'], ['William Steinkamp', 'Editor'], ['Elliot Goldenthal', 'Composer'], ['Peter Menzies Jr.', 'Director of Photography']]","$14,823,159 (13.6% of total gross)",7.34 (domestic box office/biggest weekend),71.4% (domestic box office/worldwide),"2,123 opening theaters/2,313 max. theaters, 10.5 weeks average run per theater","$225,652,545","$40,000,000 (worldwide box office is 3.8 times production budget)","July 24th, 1996 (Wide) by Warner Bros.","March 26th, 1997 by Warner Home Video",R for violence and some graphic language,149 minutes,vs. Lions for LambsCreate your own comparison chart…,"Lawyers, Sex Crimes, African Americans, Revenge, Courtroom Drama, Bigotry",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,United States,English,"TTK Productions, Regency Enterprises",,,"$108,766,007",,,"$43,500,000","$152,266,007"
77,https://www.the-numbers.com/movie/Adventures-of-Pinocchio-The,[],"[['Steve Barron', 'Director'], ['Sherry Miller', 'Screenwriter'], ['Steve Barron', 'Screenwriter'], ['Tom Benedek', 'Screenwriter'], ['Barry Berman', 'Screenwriter'], ['Carlo Collodi', 'Based on ""The Adventures of Pinocchio"" By']]","$3,832,551 (24.9% of total gross)",4.01 (domestic box office/biggest weekend),41.9% (domestic box office/worldwide),"1,779 opening theaters/1,879 max. theaters, 4.8 weeks average run per theater","$36,367,338","$25,000,000 (worldwide box office is 1.5 times production budget)","July 26th, 1996 (Wide) by New Line",,G,96 minutes,vs. Thomas and the Magic RailroadCreate your own comparison chart…,,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,Fantasy,"France, Germany, Italy, Malaysia, United Kingdom","English, Italian","New Line Cinema, Savoy Pictures, Kushner-Locke Company, Two Continental Films, Pangaea Holdings",,,"$15,382,170",,,"$21,300,000","$36,682,170"
78,https://www.the-numbers.com/movie/Kingpin,"['Bill Murray', 'Woody Harrelson', 'Randy Quaid', 'Vanessa Angel']","[['Bobby Farrelly', 'Director'], ['Peter Farrelly', 'Director'], ['Barry Fanaro', 'Screenwriter'], ['Mort Nathan', 'Screenwriter'], ['Brad Krevoy', 'Producer'], ['Steve Stabler', 'Producer'], ['Bradley Thomas', 'Producer'], ['Keith Samples', 'Executive Producer'], ['Mark Irwin', 'Director of Photography'], ['Sidney Jackson Bartholomew, Jr.*', 'Production Designer'], ['Christopher Greenbury', 'Editor'], ['Freedy Johnston', 'Composer'], ['Happy Walters', 'Music Supervisor'], ['Mary Zophres', 'Costume Designer'], ['Jim Burke', 'Co-Producer'], ['John Bertolli', 'Co-Producer']]","$5,582,079 (22.3% of total gross)",4.48 (domestic box office/biggest weekend),77.7% (domestic box office/worldwide),"1,956 opening theaters/1,975 max. theaters, 4.7 weeks average run per theater","$51,915,111","$25,000,000 (worldwide box office is 1.3 times production budget)","July 26th, 1996 (Wide) by MGM","October 14th, 2014 by Paramount Home Video",R for some crude sex-related humor,113 minutes,vs. The SitterCreate your own comparison chart…,"Country Mouse, City Mouse, Bowling, 1960s, Intertitle, 1970s, Paralysis / Loss of a Limb, Addiction, Money Troubles, Gambling, Confidence Men, Road Trip, Underdog, Comeback, Buddy Comedy, Amish, Scene in End Credits, Romance, Organized Crime",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,English,"Rysher Entertainment, Motion Picture Corporation of America",,,"$25,023,424",,,"$7,200,000","$32,223,424"
79,https://www.the-numbers.com/movie/Supercop,[],"[['Stanley Tong', 'Director']]","$5,503,176 (33.8% of total gross)",2.96 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,406 opening theaters/1,469 max. theaters, 4.6 weeks average run per theater","$33,755,971",,"July 26th, 1996 (Wide) by Miramax",,R for some violence,95 minutes,vs. Rush HourCreate your own comparison chart…,"Action Comedy, Police Detective, Buddy Cop",Original Screenplay,Action,Live Action,Contemporary Fiction,,,,,,"$16,270,600",,,,
80,https://www.the-numbers.com/movie/Chain-Reaction,[],"[['Andrew Davis', 'Director'], ['J.F. Lawton', 'Screenwriter'], ['Michael Bortman', 'Screenwriter'], ['Jerry Goldsmith', 'Composer']]","$7,545,944 (35.6% of total gross)",2.81 (domestic box office/biggest weekend),35.3% (domestic box office/worldwide),"2,255 opening theaters/2,556 max. theaters, 3.0 weeks average run per theater","$44,037,164","$55,000,000 (worldwide box office is 1.1 times production budget)","August 2nd, 1996 (Wide) by 20th Century Fox",,PG-13 for some intense action/violence.,107 minutes,vs. LockoutCreate your own comparison chart…,"Techno-Thriller, Framed, Fugitive / On the Run, Research Scientist, FBI, C.I.A., Government Corruption, Betrayal, Whistleblowers, Scientific Experiment Gone Awry",Original Screenplay,Thriller/Suspense,Live Action,Science Fiction,United States,English,,,,"$21,226,204",,,"$38,983,130","$60,209,334"
81,https://www.the-numbers.com/movie/Emma,[],"[['Douglas McGrath', 'Director'], ['Douglas McGrath', 'Screenwriter'], ['Harvey Weinstein', 'Executive Producer'], ['Bob Weinstein', 'Executive Producer']]","$240,649 (1.1% of total gross)",7.28 (domestic box office/biggest weekend),58.8% (domestic box office/worldwide),"9 opening theaters/848 max. theaters, 7.2 weeks average run per theater","$46,123,138","$5,900,000 (worldwide box office is 6.4 times production budget)","August 2nd, 1996 (Wide) by Miramax",,PG for brief mild language,120 minutes,vs. Shakespeare in LoveCreate your own comparison chart…,"Romance, Comedy Drama, Matchmaker, Relationships Gone Wrong",Based on Fiction Book/Short Story,Comedy,Live Action,Historical Fiction,,,,,,"$22,231,658",,,"$15,600,000","$37,831,658"
82,https://www.the-numbers.com/movie/Matilda,[],"[['Danny DeVito', 'Director'], ['David Newman', 'Composer'], ['Roald Dahl', 'Screenwriter'], ['Nicholas Kazan', 'Screenwriter'], ['Robin Swicord', 'Screenwriter'], ['Michael Shamberg', 'Producer'], ['Stacey Sher', 'Producer']]","$8,208,609 (24.8% of total gross)",4.03 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,975 opening theaters/2,006 max. theaters, 6.8 weeks average run per theater","$68,667,573",,"August 2nd, 1996 (Wide) by Sony Pictures","July 22nd, 1997 by Sony Pictures Home Entertainment","PG for elements of exaggerated meanness and ridicule, and for some mild language",102 minutes,vs. Charlie and the Chocolate FactoryCreate your own comparison chart…,,Based on Fiction Book/Short Story,Adventure,Live Action,Kids Fiction,United States,English,"Jersey Films, Tri-Star Pictures","November 12th, 2020 (Wide) (Australia)
",,"$33,098,222",,,,
83,https://www.the-numbers.com/movie/Escape-from-L-A,"['Stacy Keach', 'Steve Buscemi', 'Peter Fonda', 'Cliff Robertson', 'Kurt Russell']","[['John Carpenter', 'Director'], ['John Carpenter', 'Screenwriter']]","$8,912,557 (35.1% of total gross)",2.85 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"2,312 opening theaters/2,312 max. theaters, 4.5 weeks average run per theater","$52,752,103","$50,000,000 (worldwide box office is 0.5 times production budget)","August 9th, 1996 (Wide) by Paramount Pictures","August 5th, 1997 by Paramount Home Video",R for violence and some language,100 minutes,vs. The Darkest HourCreate your own comparison chart…,"Delayed Sequel, Action Adventure, Post Apocalypse, Near Future, Yesterday's Tomorrow, Political, Religious Extremism, Exile",Original Screenplay,Action,Live Action,Science Fiction,United States,English,,,Escape from New York,"$25,426,861",,,,
84,https://www.the-numbers.com/movie/Jack-(1996),['Bill Cosby'],"[['Francis Ford Coppola', 'Director'], ['James DeMonaco', 'Screenwriter'], ['Gary Nadeau', 'Screenwriter'], ['Michael Kamen', 'Composer']]","$11,191,496 (19.1% of total gross)",5.24 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,710 opening theaters/2,232 max. theaters, 8.7 weeks average run per theater","$121,606,222","$45,000,000 (worldwide box office is 1.3 times production budget)","August 9th, 1996 (Wide) by Walt Disney",,PG-13 for some sexual references,113 minutes,vs. Tin CupCreate your own comparison chart…,"Comedy Drama, Prologue, Troubled Pregnancy or Miscarriage, Medical and Hospitals, Home Schooled, Homeschooling, New Guy/Girl in School",Original Screenplay,Drama,Live Action,Contemporary Fiction,United States,,,,,"$58,617,334",,,,
85,https://www.the-numbers.com/movie/Alaska,[],[],"$2,914,992 (25.3% of total gross)",3.95 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,566 opening theaters/1,566 max. theaters, 4.8 weeks average run per theater","$23,878,506",,"August 14th, 1996 (Wide) by Sony Pictures",,PG for some mild language and adventure/peril,,vs. Below Her MouthCreate your own comparison chart…,,Original Screenplay,Adventure,Live Action,Contemporary Fiction,,,Castle Rock Entertainment,,,"$11,509,600",,,,
86,https://www.the-numbers.com/movie/House-Arrest,[],"[['Harry Winer', 'Director'], ['Michael Hitchcock', 'Screenwriter'], ['Bruce Broughton', 'Composer']]","$2,275,808 (32.9% of total gross)",3.03 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,623 opening theaters/1,623 max. theaters, 3.1 weeks average run per theater","$14,329,647",,"August 14th, 1996 (Wide) by MGM",,PG for thematic material and language,108 minutes,Create your own comparison chart…,"Family Comedy, Dysfunctional Family, Kidnap, Suburbs, Relationships Gone Wrong, Step-Family, Bullies, First Love",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,,,,,"$6,906,987",,,,
