,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Production Budget:,Theater counts:,Infl. Adj. Dom. BO,Domestic Releases:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production/Financing Companies:,Production Countries:,Languages:,International Releases:,Video Release:,Franchise:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
103,https://www.the-numbers.com/movie/Double-Jeopardy,"['Bruce Greenwood', 'Annabeth Gish', 'Tommy Lee Jones', 'Ashley Judd']","[['Bruce Beresford', 'Director']]","$23,162,542 (19.8% of total gross)",5.04 (domestic box office/biggest weekend),65.6% (domestic box office/worldwide),"$40,000,000 (worldwide box office is 4.4 times production budget)","2,547 opening theaters/3,002 max. theaters, 9.7 weeks average run per theater","$210,440,239","September 24th, 1999 (Wide) by Paramount Pictures","R for language, a scene of sexuality and some violence",105 minutes,vs. The FirmCreate your own comparison chart…,,Original Screenplay,Action,Live Action,Contemporary Fiction,,"Canada, Germany, United States",English,,"February 22nd, 2000 by Paramount Home Video",,"$116,735,231","$61,100,000","$177,835,231",,
104,https://www.the-numbers.com/movie/Adventures-of-Elmo-in-Grouchland-The,[],"[['John Debney', 'Composer']]","$3,255,033 (28.0% of total gross)",3.57 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$17,000,000 (worldwide box office is 0.7 times production budget)","1,210 opening theaters/1,212 max. theaters, 7.3 weeks average run per theater","$23,933,081","October 1st, 1999 (Wide) by Sony Pictures",G,77 minutes,vs. Thomas and the Magic RailroadCreate your own comparison chart…,,Based on TV,Adventure,Live Action,Kids Fiction,,,English,,"December 21st, 1999 by Columbia Pictures Home Entertainment, released as Adventures of Elmo in Grouchland, The",,"$11,634,458",,,,
105,https://www.the-numbers.com/movie/Drive-Me-Crazy,[],"[['John Schultz', 'Director'], ['Rob Thomas', 'Screenwriter']]","$6,846,112 (38.4% of total gross)",2.61 (domestic box office/biggest weekend),79.0% (domestic box office/worldwide),"$8,000,000 (worldwide box office is 2.8 times production budget)","2,222 opening theaters/2,235 max. theaters, 4.4 weeks average run per theater","$32,206,296","October 1st, 1999 (Wide) by 20th Century Fox","PG-13 for teen alcohol and drug use, and for language",91 minutes,vs. ExtractCreate your own comparison chart…,"Romantic Comedy, Fake Dating, Relationships Gone Wrong, Prom",Based on Fiction Book/Short Story,Romantic Comedy,Live Action,Contemporary Fiction,,,,,,,"$17,843,379","$4,748,072","$22,591,451",,
106,https://www.the-numbers.com/movie/Mystery-Alaska,"['Russell Crowe', 'Hank Azaria', 'Mary McCormack', 'Lolita Davidovich', 'Ron Eldard', 'Colm Meaney', 'Maury Chaykin', 'Burt Reynolds']","[['Jay Roach', 'Director'], ['David E. Kelley', 'Screenwriter'], [""Sean O'Byrne*"", 'Screenwriter'], ['David E. Kelley', 'Producer'], ['Howard Baldwin', 'Producer'], ['Dan Kolsrud', 'Executive Producer'], ['Rusty Smith', 'Production Designer'], ['Jon Poll', 'Editor'], ['Greg Hayden', 'Editor'], ['Carter Burwell', 'Composer'], ['Peter Deming', 'Director of Photography']]","$3,102,191 (34.9% of total gross)",2.87 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$28,000,000 (worldwide box office is 0.3 times production budget)","1,673 opening theaters/1,704 max. theaters, 3.5 weeks average run per theater","$16,050,425","October 1st, 1999 (Wide) by Walt Disney",R for language and sexuality,119 minutes,vs. Mr. Bean’s HolidayCreate your own comparison chart…,"Winter Sports, Hockey, Sports Comedy, Romance, Set in Alaska, Underdog",Original Screenplay,Comedy,Live Action,Contemporary Fiction,Hollywood Pictures,Canada,English,,"May 9th, 2000 by Walt Disney Home Entertainment",,"$8,891,623",,,,
107,https://www.the-numbers.com/movie/Siegfried-and-Roy-Masters-of-the-Impossible,[],[],"$24,637 (0.5% of total gross)",31.28 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),,"1 opening theaters/78 max. theaters, 9.9 weeks average run per theater","$9,123,141","October 1st, 1999 (IMAX) by IMAX Films",PG,,Create your own comparison chart…,,Based on Real Life Events,Documentary,Live Action,Factual,,United States,,,,,"$5,231,283",,,,
108,https://www.the-numbers.com/movie/Three-Kings,"['Spike Jonze', 'Nora Dunn', 'Jamie Kennedy', 'Mykelti Williamson', 'Cliff Curtis', 'Said Taghmaoui', 'George Clooney', 'Mark Wahlberg', 'Ice Cube']","[['David O. Russell', 'Director'], ['Charles Roven', 'Producer'], ['Paul Junger Witt', 'Producer'], ['Edward L. McDonnell', 'Producer'], ['David O. Russell', 'Screenwriter'], ['John Ridley', 'Story Creator'], ['Kelley Smith-Wait', 'Executive Producer'], ['Gregory Goodman', 'Executive Producer'], ['Bruce Berman', 'Executive Producer'], ['Newton Thomas Sigel', 'Director of Photography'], ['Catherine Hardwicke', 'Production Designer'], ['Robert K. Lambert*', 'Editor'], ['Douglas Segal', 'Co-Producer'], ['Kim Roth', 'Co-Producer'], ['Carter Burwell', 'Composer']]","$15,847,636 (26.1% of total gross)",3.83 (domestic box office/biggest weekend),56.3% (domestic box office/worldwide),"$48,000,000 (worldwide box office is 2.2 times production budget)","2,942 opening theaters/2,943 max. theaters, 6.4 weeks average run per theater","$109,335,726","October 1st, 1999 (Wide) by Warner Bros.","R for graphic war violence, language and some sexuality",114 minutes,vs. The Adventures of Elmo in GrouchlandCreate your own comparison chart…,"Black Comedy, War, Gulf War, Treasure Hunters, AWOL, Epilogue, Court Martial, Satire",Original Screenplay,Black Comedy,Live Action,Historical Fiction,TTK Productions,United States,English,,"April 11th, 2000 by Warner Home Video",,"$60,652,036","$47,100,000","$107,752,036",,
109,https://www.the-numbers.com/movie/Boys-Dont-Cry,"['Chloë Sevigny', 'Peter Sarsgaard', 'Brendan Sexton III', 'Hilary Swank']","[['Kimberly Peirce', 'Director'], ['Kimberly Peirce', 'Screenwriter'], ['Andy Bienen', 'Screenwriter'], ['Brad Simpson', 'Producer'], ['Caroline Kaplan', 'Producer'], ['Christine Vachon', 'Producer'], ['Eva Kolodner', 'Producer'], ['Jeffrey Sharp', 'Producer'], ['Pamela Koffler', 'Executive Producer'], ['Jonathan Sehring', 'Executive Producer']]","$73,720 (0.6% of total gross)",11.72 (domestic box office/biggest weekend),55.6% (domestic box office/worldwide),"$2,000,000 (worldwide box office is 10.4 times production budget)","2 opening theaters/365 max. theaters, 8.6 weeks average run per theater","$19,914,012","October 8th, 1999 (Limited) by Fox Searchlight",R,116 minutes,vs. Stop-LossCreate your own comparison chart…,"LGBTQ+, 1990s, Hate Crime, Biographical Drama, Biography, Unbelieving Police, Romance, Agitprop",Based on Real Life Events,Drama,Live Action,Dramatization,"Fox Searchlight Pictures, Independent Film Channel, Killer Films, Hart Sharp",United States,English,,"April 18th, 2000 by Fox Home Entertainment",,"$11,540,607","$9,200,393","$20,741,000",,
110,https://www.the-numbers.com/movie/Limey-The,[],"[['Steven Soderbergh', 'Director']]","$187,122 (5.9% of total gross)",8.43 (domestic box office/biggest weekend),53.0% (domestic box office/worldwide),"$10,000,000 (worldwide box office is 0.6 times production budget)","17 opening theaters/105 max. theaters, 9.2 weeks average run per theater","$5,746,032","October 8th, 1999 (Limited) by Artisan",R for violence and language,89 minutes,vs. RudderlessCreate your own comparison chart…,Film Noir,Original Screenplay,Drama,Live Action,Contemporary Fiction,,United States,English,,"December 10th, 2019 by Tribeca",,"$3,193,102","$2,836,945","$6,030,047",,
111,https://www.the-numbers.com/movie/Random-Hearts,[],"[['Sydney Pollack', 'Director']]","$13,012,585 (41.9% of total gross)",2.39 (domestic box office/biggest weekend),49.1% (domestic box office/worldwide),"$64,000,000 (worldwide box office is 1.0 times production budget)","2,697 opening theaters/2,697 max. theaters, 4.1 weeks average run per theater","$56,057,806","October 8th, 1999 (Wide) by Sony Pictures","R for brief violence, sexuality and language",,vs. What Lies BeneathCreate your own comparison chart…,"Romantic Drama, Romance, Police Detective, Internal Affairs, Corrupt Cops, Political, Political Campaign",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,,United States,,,,,"$31,054,924","$32,145,076","$63,200,000",,
112,https://www.the-numbers.com/movie/Superstar,"['Elaine Hendrix', 'Harland Williams', 'Mark McKinney', 'Glynis Johns', 'Molly Shannon', 'Will Ferrell']","[['Bruce McCulloch', 'Director']]","$8,912,743 (29.1% of total gross)",3.44 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$14,000,000 (worldwide box office is 2.2 times production budget)","1,943 opening theaters/2,016 max. theaters, 7.2 weeks average run per theater","$55,239,273","October 8th, 1999 (Wide) by Paramount Pictures",PG-13 for sex-related humor and language,,vs. Post GradCreate your own comparison chart…,"Saturday Night Live, Farcical / Slapstick Comedy, Orphan, Single Parent, Dysfunctional Family, Young Child Dealing with the Death of a Parent, Talent Contest, Social Outcast, Accidental Death",Based on TV,Comedy,Live Action,Contemporary Fiction,,,English,,,,"$30,628,981",,,,
