,territory,release_date,opening_wknd,opening_wknd_screens,max_screens,theatrical_engagements,total_bo,report_date,url,country_url,int_total,total_report_date
0,Australia,1/7/2005,"$1,103,603",225,226,"1,860","$6,651,405",9/23/2020,https://www.the-numbers.com/movie/Racing-Stripes,https://www.the-numbers.com/movie/Racing-Stripes/Australia#tab=box-office,"$40,036,911",9/23/2020
1,Rest of World,,,,,,"$33,385,506",,https://www.the-numbers.com/movie/Racing-Stripes,,"$40,036,911",9/23/2020
0,Australia,1/7/2005,"$1,103,603",225,226,"1,860","$6,651,405",9/23/2020,https://www.the-numbers.com/movie/Racing-Stripes,https://www.the-numbers.com/movie/Racing-Stripes/Australia#tab=box-office,"$40,036,911",9/23/2020
1,Rest of World,,,,,,"$33,385,506",,https://www.the-numbers.com/movie/Racing-Stripes,,"$40,036,911",9/23/2020
0,Australia,4/22/2005,"$523,314",172,172,597,"$1,295,735",9/10/2022,https://www.the-numbers.com/movie/White-Noise-(2005),https://www.the-numbers.com/movie/White-Noise-(2005)/Australia#tab=box-office,"$36,000,000",9/10/2022
1,Rest of World,,,,,,"$34,704,265",,https://www.the-numbers.com/movie/White-Noise-(2005),,"$36,000,000",9/10/2022
0,Australia,4/22/2005,"$523,314",172,172,597,"$1,295,735",9/10/2022,https://www.the-numbers.com/movie/White-Noise-(2005),https://www.the-numbers.com/movie/White-Noise-(2005)/Australia#tab=box-office,"$36,000,000",9/10/2022
1,Rest of World,,,,,,"$34,704,265",,https://www.the-numbers.com/movie/White-Noise-(2005),,"$36,000,000",9/10/2022
0,Australia,5/27/2005,"$604,672",157,157,543,"$1,440,944",9/25/2020,https://www.the-numbers.com/movie/Coach-Carter-(2005),https://www.the-numbers.com/movie/Coach-Carter-(2005)/Australia#tab=box-office,"$9,400,630",9/25/2020
1,Rest of World,,,,,,"$7,959,686",,https://www.the-numbers.com/movie/Coach-Carter-(2005),,"$9,400,630",9/25/2020
0,Australia,5/27/2005,"$604,672",157,157,543,"$1,440,944",9/25/2020,https://www.the-numbers.com/movie/Coach-Carter-(2005),https://www.the-numbers.com/movie/Coach-Carter-(2005)/Australia#tab=box-office,"$9,400,630",9/25/2020
1,Rest of World,,,,,,"$7,959,686",,https://www.the-numbers.com/movie/Coach-Carter-(2005),,"$9,400,630",9/25/2020
0,Australia,1/14/2005,"$1,299,700",226,231,"1,034","$3,883,473",9/10/2020,https://www.the-numbers.com/movie/Elektra,https://www.the-numbers.com/movie/Elektra/Australia#tab=box-office,"$32,414,911",9/10/2020
1,Rest of World,,,,,,"$28,531,438",,https://www.the-numbers.com/movie/Elektra,,"$32,414,911",9/10/2020
0,Australia,1/14/2005,"$1,299,700",226,231,"1,034","$3,883,473",9/10/2020,https://www.the-numbers.com/movie/Elektra,https://www.the-numbers.com/movie/Elektra/Australia#tab=box-office,"$32,414,911",9/10/2020
1,Rest of World,,,,,,"$28,531,438",,https://www.the-numbers.com/movie/Elektra,,"$32,414,911",9/10/2020
0,Australia,4/1/2005,$0,0,118,262,"$1,057,268",9/24/2020,https://www.the-numbers.com/movie/Assault-On-Precinct-13,https://www.the-numbers.com/movie/Assault-On-Precinct-13/Australia#tab=box-office,"$16,000,000",9/24/2020
1,Rest of World,,,,,,"$14,942,732",,https://www.the-numbers.com/movie/Assault-On-Precinct-13,,"$16,000,000",9/24/2020
0,Australia,4/1/2005,$0,0,118,262,"$1,057,268",9/24/2020,https://www.the-numbers.com/movie/Assault-On-Precinct-13,https://www.the-numbers.com/movie/Assault-On-Precinct-13/Australia#tab=box-office,"$16,000,000",9/24/2020
1,Rest of World,,,,,,"$14,942,732",,https://www.the-numbers.com/movie/Assault-On-Precinct-13,,"$16,000,000",9/24/2020
0,Australia,3/11/2005,$0,0,172,865,"$2,378,673",9/24/2020,https://www.the-numbers.com/movie/Are-We-There-Yet,https://www.the-numbers.com/movie/Are-We-There-Yet/Australia#tab=box-office,"$15,440,073",9/24/2020
1,Rest of World,,,,,,"$13,061,400",,https://www.the-numbers.com/movie/Are-We-There-Yet,,"$15,440,073",9/24/2020
0,Australia,3/11/2005,$0,0,172,865,"$2,378,673",9/24/2020,https://www.the-numbers.com/movie/Are-We-There-Yet,https://www.the-numbers.com/movie/Are-We-There-Yet/Australia#tab=box-office,"$15,440,073",9/24/2020
1,Rest of World,,,,,,"$13,061,400",,https://www.the-numbers.com/movie/Are-We-There-Yet,,"$15,440,073",9/24/2020
0,Australia,2/25/2005,$701,1,2,38,"$530,976",9/25/2020,https://www.the-numbers.com/movie/Aliens-of-the-Deep,https://www.the-numbers.com/movie/Aliens-of-the-Deep/Australia#tab=box-office,"$3,797,000",9/25/2020
1,Rest of World,,,,,,"$3,266,024",,https://www.the-numbers.com/movie/Aliens-of-the-Deep,,"$3,797,000",9/25/2020
0,Australia,2/25/2005,$701,1,2,38,"$530,976",9/25/2020,https://www.the-numbers.com/movie/Aliens-of-the-Deep,https://www.the-numbers.com/movie/Aliens-of-the-Deep/Australia#tab=box-office,"$3,797,000",9/25/2020
1,Rest of World,,,,,,"$3,266,024",,https://www.the-numbers.com/movie/Aliens-of-the-Deep,,"$3,797,000",9/25/2020
0,Australia,2/11/2005,"$1,297,805",205,205,941,"$3,483,233",9/10/2020,https://www.the-numbers.com/movie/Hide-and-Seek-(2005),https://www.the-numbers.com/movie/Hide-and-Seek-(2005)/Australia#tab=box-office,"$72,596,255",9/10/2020
1,Rest of World,,,,,,"$69,113,022",,https://www.the-numbers.com/movie/Hide-and-Seek-(2005),,"$72,596,255",9/10/2020
0,Australia,2/11/2005,"$1,297,805",205,205,941,"$3,483,233",9/10/2020,https://www.the-numbers.com/movie/Hide-and-Seek-(2005),https://www.the-numbers.com/movie/Hide-and-Seek-(2005)/Australia#tab=box-office,"$72,596,255",9/10/2020
1,Rest of World,,,,,,"$69,113,022",,https://www.the-numbers.com/movie/Hide-and-Seek-(2005),,"$72,596,255",9/10/2020
0,Australia,5/6/2005,"$24,494",1,2,12,"$464,514",9/25/2020,https://www.the-numbers.com/movie/Sharks-3D,https://www.the-numbers.com/movie/Sharks-3D/Australia#tab=box-office,"$5,500,000",9/25/2020
1,Rest of World,,,,,,"$5,035,486",,https://www.the-numbers.com/movie/Sharks-3D,,"$5,500,000",9/25/2020
0,Australia,5/6/2005,"$24,494",1,2,12,"$464,514",9/25/2020,https://www.the-numbers.com/movie/Sharks-3D,https://www.the-numbers.com/movie/Sharks-3D/Australia#tab=box-office,"$5,500,000",9/25/2020
1,Rest of World,,,,,,"$5,035,486",,https://www.the-numbers.com/movie/Sharks-3D,,"$5,500,000",9/25/2020
0,Australia,5/13/2005,"$81,942",40,40,107,"$201,203",9/25/2020,https://www.the-numbers.com/movie/Boogeyman,https://www.the-numbers.com/movie/Boogeyman/Australia#tab=box-office,"$20,440,477",9/25/2020
1,Rest of World,,,,,,"$20,239,274",,https://www.the-numbers.com/movie/Boogeyman,,"$20,440,477",9/25/2020
0,Australia,5/13/2005,"$81,942",40,40,107,"$201,203",9/25/2020,https://www.the-numbers.com/movie/Boogeyman,https://www.the-numbers.com/movie/Boogeyman/Australia#tab=box-office,"$20,440,477",9/25/2020
1,Rest of World,,,,,,"$20,239,274",,https://www.the-numbers.com/movie/Boogeyman,,"$20,440,477",9/25/2020
0,Australia,5/27/2005,"$505,700",86,86,396,"$1,472,740",9/25/2020,https://www.the-numbers.com/movie/Wedding-Date-The,https://www.the-numbers.com/movie/Wedding-Date-The/Australia#tab=box-office,"$15,448,043",9/25/2020
1,Rest of World,,,,,,"$13,975,303",,https://www.the-numbers.com/movie/Wedding-Date-The,,"$15,448,043",9/25/2020
0,Australia,5/27/2005,"$505,700",86,86,396,"$1,472,740",9/25/2020,https://www.the-numbers.com/movie/Wedding-Date-The,https://www.the-numbers.com/movie/Wedding-Date-The/Australia#tab=box-office,"$15,448,043",9/25/2020
1,Rest of World,,,,,,"$13,975,303",,https://www.the-numbers.com/movie/Wedding-Date-The,,"$15,448,043",9/25/2020
0,Australia,2/18/2005,$0,0,100,619,"$3,108,458",9/24/2020,https://www.the-numbers.com/movie/Bride-and-Prejudice,https://www.the-numbers.com/movie/Bride-and-Prejudice/Australia#tab=box-office,"$18,667,961",9/24/2020
1,Rest of World,,,,,,"$15,559,503",,https://www.the-numbers.com/movie/Bride-and-Prejudice,,"$18,667,961",9/24/2020
0,Australia,2/18/2005,$0,0,100,619,"$3,108,458",9/24/2020,https://www.the-numbers.com/movie/Bride-and-Prejudice,https://www.the-numbers.com/movie/Bride-and-Prejudice/Australia#tab=box-office,"$18,667,961",9/24/2020
1,Rest of World,,,,,,"$15,559,503",,https://www.the-numbers.com/movie/Bride-and-Prejudice,,"$18,667,961",9/24/2020
0,Australia,3/4/2005,"$2,781,813",370,370,"1,743","$11,048,298",9/24/2020,https://www.the-numbers.com/movie/Hitch,https://www.the-numbers.com/movie/Hitch/Australia#tab=box-office,"$189,000,000",9/24/2020
1,Rest of World,,,,,,"$177,951,702",,https://www.the-numbers.com/movie/Hitch,,"$189,000,000",9/24/2020
0,Australia,3/4/2005,"$2,781,813",370,370,"1,743","$11,048,298",9/24/2020,https://www.the-numbers.com/movie/Hitch,https://www.the-numbers.com/movie/Hitch/Australia#tab=box-office,"$189,000,000",9/24/2020
1,Rest of World,,,,,,"$177,951,702",,https://www.the-numbers.com/movie/Hitch,,"$189,000,000",9/24/2020
