,territory,release_date,opening_wknd,opening_wknd_screens,max_screens,theatrical_engagements,total_bo,report_date,url,country_url,int_total,total_report_date
0,Australia,2/14/2003,$0,0,5,17,"$2,783",5/29/2021,https://www.the-numbers.com/movie/Singin-in-the-Rain,https://www.the-numbers.com/movie/Singin-in-the-Rain/Australia#tab=box-office,"$41,009",2/16/2023
1,Italy,12/5/2022,$0,0,0,0,$0,,https://www.the-numbers.com/movie/Singin-in-the-Rain,https://www.the-numbers.com/movie/Singin-in-the-Rain/Italy#tab=box-office,"$41,009",2/16/2023
2,Portugal,12/19/1952,$0,0,1,2,"$1,275",8/30/2022,https://www.the-numbers.com/movie/Singin-in-the-Rain,https://www.the-numbers.com/movie/Singin-in-the-Rain/Portugal#tab=box-office,"$41,009",2/16/2023
3,Spain,8/2/2019,"$10,013",27,152,179,"$14,333",2/16/2023,https://www.the-numbers.com/movie/Singin-in-the-Rain,https://www.the-numbers.com/movie/Singin-in-the-Rain/Spain#tab=box-office,"$41,009",2/16/2023
4,United Kingdom,10/18/2019,"$22,618",31,31,31,"$22,618",10/23/2019,https://www.the-numbers.com/movie/Singin-in-the-Rain,https://www.the-numbers.com/movie/Singin-in-the-Rain/United-Kingdom#tab=box-office,"$41,009",2/16/2023
0,Australia,2/14/2003,$0,0,5,17,"$2,783",5/29/2021,https://www.the-numbers.com/movie/Singin-in-the-Rain,https://www.the-numbers.com/movie/Singin-in-the-Rain/Australia#tab=box-office,"$41,009",2/16/2023
1,Italy,12/5/2022,$0,0,0,0,$0,,https://www.the-numbers.com/movie/Singin-in-the-Rain,https://www.the-numbers.com/movie/Singin-in-the-Rain/Italy#tab=box-office,"$41,009",2/16/2023
2,Portugal,12/19/1952,$0,0,1,2,"$1,275",8/30/2022,https://www.the-numbers.com/movie/Singin-in-the-Rain,https://www.the-numbers.com/movie/Singin-in-the-Rain/Portugal#tab=box-office,"$41,009",2/16/2023
3,Spain,8/2/2019,"$10,013",27,152,179,"$14,333",2/16/2023,https://www.the-numbers.com/movie/Singin-in-the-Rain,https://www.the-numbers.com/movie/Singin-in-the-Rain/Spain#tab=box-office,"$41,009",2/16/2023
4,United Kingdom,10/18/2019,"$22,618",31,31,31,"$22,618",10/23/2019,https://www.the-numbers.com/movie/Singin-in-the-Rain,https://www.the-numbers.com/movie/Singin-in-the-Rain/United-Kingdom#tab=box-office,"$41,009",2/16/2023
0,Portugal,4/4/1953,$0,0,1,1,$376,10/20/2022,https://www.the-numbers.com/movie/Quiet-Man-The,https://www.the-numbers.com/movie/Quiet-Man-The/Portugal#tab=box-office,$376,10/20/2022
0,Portugal,4/4/1953,$0,0,1,1,$376,10/20/2022,https://www.the-numbers.com/movie/Quiet-Man-The,https://www.the-numbers.com/movie/Quiet-Man-The/Portugal#tab=box-office,$376,10/20/2022
