,url,cast,crew,Domestic Share:,Infl. Adj. Dom. BO,Opening Weekend:,Legs:,Theater counts:,Production Budget:,Domestic Releases:,Video Release:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,MPAA Rating:,Franchise:,Production/Financing Companies:,International Releases:,Domestic Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales,International Box Office,Worldwide Box Office
24,https://www.the-numbers.com/movie/Ladyhawke,"['Leo McKern', 'John Wood', 'Matthew Broderick', 'Rutger Hauer', 'Michelle Pfeiffer']","[['Richard Donner', 'Director'], ['Lauren Shuler Donner', 'Producer'], ['Richard Donner', 'Producer'], ['Harvey Bernhard', 'Executive Producer'], ['Vittorio Storaro', 'Director of Photography'], ['Andrew Powell', 'Composer'], ['Edward Khmara', 'Screenwriter'], ['Michael Thomas', 'Screenwriter'], ['Tom Mankiewicz', 'Screenwriter'], ['Edward Khmara', 'Story by']]",100.0% (domestic box office/worldwide),"$47,529,009","$3,450,536 (18.8% of total gross)",5.33 (domestic box office/biggest weekend),"1,057 opening theaters/1,057 max. theaters, 5.7 weeks average run per theater","$20,000,000 (worldwide box office is 0.9 times production budget)","April 12th, 1985 (Wide) by Warner Bros.","May 5th, 2015 by Warner Home Video",121 minutes,vs. Conan the BarbarianCreate your own comparison chart…,"Sword & Sorcerer, Action Adventure, Medieval, Human Animal Transformation, Fugitive / On the Run, Romance, Curses",Original Screenplay,Action,Live Action,Fantasy,United States,English,,,"Warner Bros., Twentieth Century Fox, Lauren Shuler Productions",,"$18,400,000","$824,420","$824,420",,
25,https://www.the-numbers.com/movie/Moving-Violations,[],"[['Neal Israel', 'Director'], ['Neal Israel', 'Screenwriter'], ['Pat Proft', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$27,380,841","$3,469,488 (32.7% of total gross)",3.06 (domestic box office/biggest weekend),"1,322 opening theaters/1,325 max. theaters, 3.9 weeks average run per theater",,"April 19th, 1985 (Wide) by 20th Century Fox","December 13th, 2016 by Kino Lorber",90 minutes,vs. Mr. 3000Create your own comparison chart…,"Farcical / Slapstick Comedy, Corrupt Cops, Corrupt Judge",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,English,,,,,"$10,600,000","$178,985","$178,985",,
26,https://www.the-numbers.com/movie/Just-One-of-the-Guys,"['Clayton Rohner', 'Billy Jacoby', 'Toni Hudson', 'William Zabka', 'Joyce Hyser']","[['Lisa Gottlieb', 'Director'], ['Dennis Feldman', 'Screenwriter'], ['Jeff Franklin', 'Screenwriter'], ['Andrew Fogelson', 'Producer'], ['Lou Lombardo', 'Editor'], ['Tom Scott', 'Composer'], ['John McPherson', 'Director of Photography']]",100.0% (domestic box office/worldwide),"$29,389,602","$3,307,171 (29.1% of total gross)",3.44 (domestic box office/biggest weekend),"1,215 opening theaters/1,215 max. theaters, 3.9 weeks average run per theater",,"April 26th, 1985 (Wide) by Sony Pictures","February 24th, 2004 by Sony Pictures Home Entertainment",101 minutes,vs. K-9Create your own comparison chart…,"Cross-Dressing, High School, Undercover, Romance, Bullies, Investigative Journalist, Woman in a Male Dominated Profession, Sexism, Relationship Advice, Romantic Comedy",Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,United States,English,,,"Columbia Pictures, Summa Entertainment Group",,"$11,377,655",,,,
27,https://www.the-numbers.com/movie/Stick,[],"[['Burt Reynolds', 'Director'], ['Elmore Leonard', 'Screenwriter'], ['Joseph C. Stinson*', 'Screenwriter'], ['Elmore Leonard', 'Story Creator']]",100.0% (domestic box office/worldwide),"$17,990,586","$3,358,299 (48.2% of total gross)",2.07 (domestic box office/biggest weekend),"1,173 opening theaters/1,173 max. theaters, 2.4 weeks average run per theater",,"April 26th, 1985 (Wide) by Universal",,109 minutes,vs. Police Academy 2: Their First AssignmentCreate your own comparison chart…,"Mafia, Action Thriller, Crime, Life on the Outside, Drug Dealer, Dysfunctional Family, Fugitive / On the Run, Kidnap, Voodoo, Rescue, Romance, Going Legit, Directing Yourself, Novel or Other Work Adapted by Author",Based on Fiction Book/Short Story,Action,Live Action,Contemporary Fiction,United States,,,,,,"$6,964,734",,,,
28,https://www.the-numbers.com/movie/Code-of-Silence,[],"[['Andrew Davis', 'Director']]",100.0% (domestic box office/worldwide),"$52,554,068","$5,512,461 (27.1% of total gross)",3.69 (domestic box office/biggest weekend),"1,810 opening theaters/1,810 max. theaters, 5.0 weeks average run per theater",,"May 3rd, 1985 (Wide) by Orion Pictures","June 23rd, 2011 by MGM Video",101 minutes,vs. Rambo: First Blood Part IICreate your own comparison chart…,"Action Thriller, Gangs, Gang Warfare",Original Screenplay,Action,Live Action,Contemporary Fiction,United States,English,R,,,,"$20,345,361",,,,
29,https://www.the-numbers.com/movie/Gotcha,"['Anthony Edwards', 'Linda Fiorentino']","[['Jeff Kanew', 'Director'], ['Paul G. Hensler', 'Producer'], ['Peter MacGregor-Scott', 'Supervising Producer'], ['Dan Gordon', 'Screenwriter'], ['Michael Levy', 'Executive Producer'], ['King Baggot', 'Director of Photography'], ['Bill Conti', 'Composer'], ['Paul G. Hensler', 'Story by'], ['Dan Gordon', 'Story by'], ['Paul G. Hensler', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$22,791,366","$2,360,484 (26.8% of total gross)",3.74 (domestic box office/biggest weekend),"1,218 opening theaters/1,218 max. theaters, 3.2 weeks average run per theater",,"May 3rd, 1985 (Wide) by Universal","June 1st, 2010 by Universal Home Entertainment, released as Gotcha!",101 minutes,vs. GothikaCreate your own comparison chart…,"Action Comedy, Cold War, Secret Agent, Mistaken Identity, Set in East / West Berlin, Romance, Set in Los Angeles, Commies",Original Screenplay,Action,Live Action,Contemporary Fiction,United States,English,PG-13 Appeal overturned,,,,"$8,823,269",,,,
30,https://www.the-numbers.com/movie/Brewsters-Millions,"['Lonette McKee', 'Stephen Collins', 'Hume Cronyn', 'Richard Pryor', 'John Candy']","[['Walter Hill', 'Director'], ['Lawrence Gordon', 'Producer'], ['Joel Silver', 'Producer'], ['Gene Levy', 'Executive Producer'], ['John Vallone', 'Production Designer'], ['Ric Waite', 'Director of Photography'], ['Ry Cooder', 'Composer'], ['Herschel Weingrod', 'Screenwriter'], ['Timothy Hyde Harris', 'Screenwriter']]",89.1% (domestic box office/worldwide),"$105,390,416","$9,858,905 (24.2% of total gross)",4.14 (domestic box office/biggest weekend),"1,521 opening theaters/1,521 max. theaters, 5.5 weeks average run per theater",,"May 22nd, 1985 (Wide) by Universal","May 21st, 2002 by Universal Home Entertainment",102 minutes,vs. Biloxi BluesCreate your own comparison chart…,"Rags to Riches, Inheritance, Riches to Rags, Farcical / Slapstick Comedy, Baseball, Political, Political Campaign",Based on Fiction Book/Short Story,Comedy,Live Action,Contemporary Fiction,United States,English,PG,,"Lawrence Gordon, Joel Silver Productions, Universal Pictures",,"$40,800,000",,,"$5,000,000","$45,800,000"
31,https://www.the-numbers.com/movie/Rambo-First-Blood-Part-II,"['Richard Crenna', 'Charles Napier', 'Steven Berkoff', 'Sylvester Stallone']","[['George P. Cosmatos', 'Director'], ['Buzz Feitshans', 'Producer'], ['David Morrell', 'Based on Characters Created by'], ['Kevin Jarre', 'Story by'], ['James Cameron', 'Screenwriter'], ['Sylvester Stallone', 'Screenwriter'], ['Mario Kassar', 'Executive Producer'], ['Andrew G. Vajna', 'Executive Producer'], ['Jerry Goldsmith', 'Composer']]",50.1% (domestic box office/worldwide),"$388,537,888","$25,520,843 (17.0% of total gross)",5.89 (domestic box office/biggest weekend),"2,074 opening theaters/2,074 max. theaters, 12.5 weeks average run per theater","$44,000,000 (worldwide box office is 6.8 times production budget)","May 22nd, 1985 (Wide) by Sony/TriStar","October 21st, 1998 by Live / Artisan",96 minutes,vs. First BloodCreate your own comparison chart…,"Rescue, Vietnam War, War",Based on Fiction Book/Short Story,Action,Live Action,Contemporary Fiction,United States,English,R,Rambo,"Anabasis Investments, Tri-Star Pictures",,"$150,415,432",,,"$149,984,568","$300,400,000"
32,https://www.the-numbers.com/movie/View-to-a-Kill-A,['Roger Moore'],"[['John Glen', 'Director'], ['Michael G. Wilson', 'Screenwriter'], ['Michael G. Wilson', 'Producer'], ['Albert R. Broccoli', 'Producer']]",33.0% (domestic box office/worldwide),"$130,002,081","$13,294,435 (26.4% of total gross)",3.79 (domestic box office/biggest weekend),"1,583 opening theaters/1,583 max. theaters, 7.1 weeks average run per theater","$30,000,000 (worldwide box office is 5.1 times production budget)","May 24th, 1985 (Wide) by MGM","October 2nd, 2012 by Fox Home Entertainment",131 minutes,vs. OctopussyCreate your own comparison chart…,Secret Agent,Based on Fiction Book/Short Story,Action,Live Action,Contemporary Fiction,"United Kingdom, United States",English,PG,James Bond,"Eon Productions, United Artists","September 24th, 2020 (Special Engagement) (Australia)
March 25th, 2022 (Limited), released as A View To A Kill (Re: 2022) (United Kingdom)
","$50,327,960",,,"$102,300,000","$152,627,960"
33,https://www.the-numbers.com/movie/Brazil-(1985),[],"[['Terry Gilliam', 'Director'], ['Michael Kamen', 'Composer']]",99.9% (domestic box office/worldwide),"$25,130,027","$30,099 (0.3% of total gross)",13.91 (domestic box office/biggest weekend),"1 opening theaters/173 max. theaters, 4.7 weeks average run per theater","$15,000,000 (worldwide box office is 0.7 times production budget)","December 18th, 1985 (Wide) by Universal","December 4th, 2012 by Criterion",132 minutes,vs. FargoCreate your own comparison chart…,"Visual Effects, Film Noir, Dystopia, Government Bureaucracy, Intentionally Anachronistic, Dream Sequence, Surprise Twist, Directing Yourself, Director Cameo",Original Screenplay,Black Comedy,Live Action,Fantasy,United States,English,R,,"Regency Enterprises, Brazil Productions","May 31st, 1985 (Wide) (Australia)
April 28th, 2017 (Wide), released as Brazil: O Outro Lado do Sonho (Portugal)
July 2nd, 2020 (Wide) (New Zealand)
","$9,929,135",,,"$5,349","$9,934,484"
