,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Production Budget:,Theater counts:,Infl. Adj. Dom. BO,Domestic Releases:,Video Release:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Languages:,Production/Financing Companies:,Production Countries:,Franchise:,International Releases:,Domestic Box Office,Est. Domestic DVD Sales,Total Est. Domestic Video Sales,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales
131,https://www.the-numbers.com/movie/Chak-De-India,[],[],"$351,887 (31.6% of total gross)",3.16 (domestic box office/biggest weekend),7.4% (domestic box office/worldwide),,"62 opening theaters/62 max. theaters, 3.3 weeks average run per theater","$1,484,174","August 10th, 2007 (Limited) by Yash Raj Films",,Not Rated,148 minutes,vs. Rocket Singh: Salesman of the YearCreate your own comparison chart…,Miscellaneous Sports,Original Screenplay,Drama,Live Action,Contemporary Fiction,"English, Hindi",,India,,,"$1,113,541",,,"$13,845,785","$14,959,326",
132,https://www.the-numbers.com/movie/Deux-jours-a-Paris,[],"[['Julie Delpy', 'Director'], ['Julie Delpy', 'Screenwriter']]","$173,641 (3.9% of total gross)",7.15 (domestic box office/biggest weekend),30.5% (domestic box office/worldwide),,"10 opening theaters/148 max. theaters, 7.7 weeks average run per theater","$5,909,836","August 10th, 2007 (Exclusive) by Samuel Goldwyn Films, released as 2 Days in Paris","February 5th, 2008 by Fox Home Entertainment, released as Two Days in Paris","R for sexual content, some nudity and language.",96 minutes,Create your own comparison chart…,"Screenplay Written By the Star, Directing Yourself, Comedy Drama, Romance, Vacation, Relationships Gone Wrong",Original Screenplay,Comedy,Live Action,Contemporary Fiction,"English, French",,"France, Germany",2 Days In,,"$4,433,994",,,"$10,087,671","$14,521,665",
133,https://www.the-numbers.com/movie/Rush-Hour-3,[],"[['Brett Ratner', 'Director'], ['Jeff Nathanson', 'Screenwriter'], ['Jay Stern', 'Producer'], ['Jonathan Glickman', 'Producer'], ['Andrew Z. Davis', 'Producer'], ['Toby Emmerich', 'Executive Producer'], ['James M. Freitag', 'Co-Producer']]","$49,100,158 (35.0% of total gross)",2.85 (domestic box office/biggest weekend),54.6% (domestic box office/worldwide),"$180,000,000 (worldwide box office is 1.4 times production budget)","3,778 opening theaters/3,778 max. theaters, 6.2 weeks average run per theater","$186,766,729","August 10th, 2007 (Wide) by New Line","December 23rd, 2007 by New Line Home Video","PG-13 for sequences of action violence, sexual content, nudity and language",91 minutes,vs. Lethal Weapon 2Create your own comparison chart…,"Buddy Cop, Buddy Comedy, Martial Arts, Organized Crime",Original Screenplay,Action,Live Action,Contemporary Fiction,"Cantonese, English, French, Japanese","New Line Cinema, Arthur Sarkissian, Roger Birnbaum",United States,Rush Hour,,"$140,125,968","$41,580,212","$41,580,212","$116,459,914","$256,585,882",
134,https://www.the-numbers.com/movie/Skinwalkers,[],"[['Jim Isaac', 'Director'], ['Andrew Lockington', 'Composer']]","$753,520 (73.9% of total gross)",1.35 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),,"745 opening theaters/745 max. theaters, 1.5 weeks average run per theater","$1,358,123","August 10th, 2007 (Wide) by Lionsgate/After Dark","November 27th, 2007 by Lionsgate Home Entertainment","PG-13 for intense sequences of violence and action, some sexual material and language",110 minutes,vs. Black SheepCreate your own comparison chart…,Werewolf,Original Screenplay,Horror,Live Action,Fantasy,English,"Lionsgate, After Dark Films, Stan Winston Productions, Skinwalkers DCP Inc, Red Moon Films Inc",United States,,,"$1,018,965","$36,915,396","$36,915,396",,,
135,https://www.the-numbers.com/movie/Stardust,"['Ricky Gervais', 'Jason Flemyng', 'Rupert Everett', ""Peter O'Toole"", 'Claire Danes', 'Michelle Pfeiffer', 'Robert De Niro', 'Charlie Cox', 'Sienna Miller']","[['Matthew Vaughn', 'Director'], ['Matthew Vaughn', 'Screenwriter'], ['Jane Goldman', 'Screenwriter'], ['Charles Vess', 'Illustrator'], ['Neil Gaiman', 'Story Creator'], ['Matthew Vaughn', 'Producer'], ['Lorenzo di Bonaventura', 'Producer'], ['Michael Dreyer', 'Producer'], ['Neil Gaiman', 'Producer'], ['David Womark', 'Executive Producer'], ['Kris Thykier', 'Executive Producer'], ['Peter Morton', 'Executive Producer'], ['Stephen Marks', 'Executive Producer'], ['Ben Davis', 'Director of Photography'], ['Gavin Bocquet', 'Production Designer'], ['Jon Harris', 'Editor'], ['Peter Chiang', 'Visual Effects Supervisor'], ['Ilan Eshkeri', 'Composer']]","$9,169,779 (23.7% of total gross)",4.21 (domestic box office/biggest weekend),28.2% (domestic box office/worldwide),"$70,000,000 (worldwide box office is 2.0 times production budget)","2,540 opening theaters/2,565 max. theaters, 5.1 weeks average run per theater","$51,494,529","August 10th, 2007 (Wide) by Paramount Pictures","December 18th, 2007 by Paramount Home Video",PG-13 for some fantasy violence and risque humor,128 minutes,vs. Indiana Jones and the Last CrusadeCreate your own comparison chart…,"Royalty, Pirates, Visual Effects",Based on Fiction Book/Short Story,Adventure,Live Action,Fantasy,English,"Matthew Vaughn, Lorenzo di Bonaventura","United Kingdom, United States",,,"$38,634,938","$26,183,301","$26,183,301","$98,387,307","$137,022,245",
136,https://www.the-numbers.com/movie/Death-at-a-Funeral,[],"[['Frank Oz', 'Director'], ['Dean Craig', 'Screenwriter'], ['Sidney Kimmel', 'Producer'], ['Share Stallings', 'Producer'], ['Laurence Malkin', 'Producer'], ['Diana Phillips', 'Producer'], ['William Horberg', 'Executive Producer'], ['Bruce Toll', 'Executive Producer'], ['Andreas Grosch', 'Executive Producer'], ['Philip Elway', 'Executive Producer']]","$1,282,973 (15.0% of total gross)",6.69 (domestic box office/biggest weekend),18.1% (domestic box office/worldwide),"$20,000,000 (worldwide box office is 2.4 times production budget)","260 opening theaters/324 max. theaters, 8.0 weeks average run per theater","$11,436,411","August 17th, 2007 (Wide) by MGM","February 26th, 2008 by MGM Video",R for language and drug content,91 minutes,vs. Pitch PerfectCreate your own comparison chart…,"Funeral Reunions, LGBTQ+, Dysfunctional Family, Narcotics, Ensemble, Writing and Writers, In-Laws / Future In-Laws, White Collar Crime, Blackmail, Black Comedy, Remade",Original Screenplay,Black Comedy,Live Action,Contemporary Fiction,English,"Metro-Goldwyn-Mayer Pictures, Sidney Kimmel Entertainment, Parabolic Pictures, Stable Way Entertainment, VIP Medienfonds 1+2, Target Media",United Kingdom,,"October 12th, 2007 (Wide), released as Death At A Funeral (Australia)
","$8,580,428",,,"$38,708,720","$47,289,148",
137,https://www.the-numbers.com/movie/Invasion-The,"['Nicole Kidman', 'Daniel Craig']","[['Oliver Hirschbiegel', 'Director'], ['David Kajganich', 'Screenwriter'], ['Jack Finney', 'Based on the novel ""The Body Snatchers""'], ['Roy Lee', 'Producer'], ['Doug Davison', 'Producer'], ['Susan Downey', 'Producer'], ['Steve Richards', 'Producer'], ['Ronand G. Smith', 'Producer'], ['Bruce Berman', 'Producer'], ['Roy Lee', 'Executive Producer'], ['Doug Davison', 'Executive Producer'], ['Susan Downey', 'Executive Producer'], ['Steve Richards', 'Executive Producer'], ['Ronald G. Smith', 'Executive Producer'], ['Bruce Berman', 'Executive Producer'], ['Rainer Klausmann', 'Cinematographer'], ['Joel Negron', 'Editor'], ['Hans Funck', 'Editor'], ['John Ottman', 'Composer'], ['Jack Fisk', 'Production Designer'], ['James Truesdale', 'Art Director'], ['Caty Maxey', 'Art Director'], ['Maria Nay', 'Set Decorator'], ['Leslie Frankenheimer', 'Set Decorator'], ['Jacqueline West', 'Costume Designer'], ['Mary Ellie', 'Sound Mixer'], ['David Kelson', 'Sound Mixer'], ['Bryan Watkins', 'Sound Designer'], ['Boyd Shermis', 'Visual Effects Supervisor'], ['David Gambino', 'Associate Producer'], ['Jessica Alan', 'Associate Producer'], ['Artist Robinson', 'Assistant Director'], ['Ronna Kress', 'Casting Director']]","$5,951,409 (39.5% of total gross)",2.53 (domestic box office/biggest weekend),37.5% (domestic box office/worldwide),"$80,000,000 (worldwide box office is 0.5 times production budget)","2,776 opening theaters/2,776 max. theaters, 2.9 weeks average run per theater","$20,091,617","August 17th, 2007 (Wide) by Warner Bros.","January 29th, 2008 by Warner Home Video, released as Invasion, The","PG-13 for violence, disturbing images and terror",99 minutes,vs. Boiler RoomCreate your own comparison chart…,"Alien Invasion, Psychological Thriller, Remake",Remake,Thriller/Suspense,Live Action,Science Fiction,English,"Village Roadshow Productions, Silver Pictures, Vertigo Films",United States,,,"$15,074,191","$5,167,859","$5,167,859","$25,072,851","$40,147,042",
138,https://www.the-numbers.com/movie/Last-Legion-The,[],"[['Doug Lefler', 'Director'], ['Raffaella De Laurentis', 'Producer'], ['Martha De Laurentiis', 'Producer'], ['Tarak Ben Ammar', 'Producer'], ['Jez Butterworth', 'Screenwriter'], ['Tom Butterworth', 'Screenwriter'], ['James Clayton', 'Executive Producer'], ['Duncan Reid', 'Executive Producer'], ['Harvey Weinstein', 'Executive Producer'], ['Patrick Doyle', 'Composer']]","$2,746,312 (46.3% of total gross)",2.16 (domestic box office/biggest weekend),23.4% (domestic box office/worldwide),"$67,000,000 (worldwide box office is 0.4 times production budget)","2,002 opening theaters/2,002 max. theaters, 2.2 weeks average run per theater","$7,906,539","August 17th, 2007 (Wide) by Weinstein/Dimension","December 18th, 2007 by Weinstein Co./Genius",PG-13 for sequences of intense action violence,110 minutes,vs. The Man From U.N.C.L.E.Create your own comparison chart…,"Sword & Sorcerer, Action Adventure, Ancient Rome",Based on Fiction Book/Short Story,Action,Live Action,Historical Fiction,English,"Dino De Laurentiis, Quinta Communications, Ingenious Film Partners","France, United Kingdom, United States",,,"$5,932,060",,,"$19,425,711","$25,357,771",
139,https://www.the-numbers.com/movie/Superbad,"['Seth Rogen', 'Bill Hader', 'Martha MacIsaac', 'Emma Stone', 'Aviva', 'Joe Lo Truglio', 'Kevin Corrigan', 'Jonah Hill', 'Michael Cera', 'Christopher Mintz-Plasse']","[['Greg Mottola', 'Director'], ['Seth Rogen', 'Screenwriter'], ['Evan Goldberg', 'Screenwriter'], ['Judd Apatow', 'Producer'], ['Shauna Robertson', 'Producer'], ['Seth Rogen', 'Executive Producer'], ['Evan Goldberg', 'Executive Producer'], ['Dara Weintraub', 'Co-Producer']]","$33,052,411 (27.2% of total gross)",3.67 (domestic box office/biggest weekend),71.5% (domestic box office/worldwide),"$17,500,000 (worldwide box office is 9.7 times production budget)","2,948 opening theaters/3,069 max. theaters, 6.5 weeks average run per theater","$161,892,113","August 17th, 2007 (Wide) by Sony Pictures","December 4th, 2007 by Sony Pictures Home Entertainment","R for pervasive crude and sexual content, strong language, drinking, some drug use and a fantasy/comic violent image - all involving teens",112 minutes,vs. BooksmartCreate your own comparison chart…,"Coming of Age, Judd Apatow Buddy Comedy",Original Screenplay,Comedy,Live Action,Contemporary Fiction,English,"Columbia Pictures, Judd Apatow",United States,,"November 19th, 2020 (Limited) (Australia)
","$121,463,226","$137,197,102","$140,972,519","$48,491,916","$169,955,142","$3,775,417"
140,https://www.the-numbers.com/movie/Heyy-Babyy,[],[],"$612,486 (43.4% of total gross)",2.30 (domestic box office/biggest weekend),7.7% (domestic box office/worldwide),,"68 opening theaters/68 max. theaters, 2.0 weeks average run per theater","$1,880,730","August 24th, 2007 (Limited) by Eros Entertainment, released as Hey Baby",,Not Rated,120 minutes,Create your own comparison chart…,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,Hindi,,India,,,"$1,411,065",,,"$17,018,886","$18,429,951",
