,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Production Budget:,Theater counts:,Infl. Adj. Dom. BO,International Releases:,Comparisons:,Genre:,Production Countries:,Languages:,Domestic Releases:,Video Release:,MPAA Rating:,Running Time:,Keywords:,Source:,Production Method:,Creative Type:,Production/Financing Companies:,Franchise:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic DVD Sales,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
31,https://www.the-numbers.com/movie/Alice-in-Wonderland-(2010),"['Mia Wasikowska', 'Helena Bonham Carter', 'Anne Hathaway', 'Crispin Glover', 'Matt Lucas', 'Lindsay Duncan', 'Geraldine James', 'Tim Pigott-Smith', 'Marton Csokas', 'Leo Bill', 'Frances de la Tour', 'Jemma Powell', 'John Hopkins', 'Stephen Fry', 'Michael Sheen', 'Timothy Spall', 'Barbara Windson*', 'Chistopher Lee*', 'Michael Gough', 'Jim Carter', 'Imelda Staunton', 'Paul Whitehouse', 'Johnny Depp', 'Alan Rickman']","[['Tim Burton', 'Director'], ['Linda Woolverton', 'Screenwriter'], ['Richard D. Zanuck', 'Producer'], ['Suzanne Todd', 'Producer'], ['Jennifer Todd', 'Producer'], ['Joe Roth', 'Producer'], ['Peter Tobyansen', 'Executive Producer'], ['Chris Lebenzon', 'Executive Producer'], ['Katterli Frauenfelder', 'Co-Producer'], ['Tom Peitzman', 'Co-Producer']]","$116,101,023 (34.7% of total gross)",2.88 (domestic box office/biggest weekend),32.6% (domestic box office/worldwide),"$200,000,000 (worldwide box office is 5.1 times production budget)","3,728 opening theaters/3,739 max. theaters, 7.2 weeks average run per theater","$442,623,199","March 4th, 2010 (Wide) (New Zealand)
","Blockbusters, 2010vs. Alice Through the Looking GlassCreate your own comparison chart…",Adventure,United States,English,"March 5th, 2010 (Wide) by Walt DisneyMarch 5th, 2010 (IMAX) by Walt Disney","June 1st, 2010 by Walt Disney Home Entertainment","PG for fantasy action/violence involving scary images and situations, and for a smoking caterpillar(Rating bulletin 2107, 2/10/2010)",108 minutes,"3-D, Arranged Marriage, Talking Animals, Dragon, Animal Lead, Same Actor, Multiple Roles, Non-Chronological, Sibling Rivalry, Twins, Hallucinations, IMAX: DMR, Live Action Cartoon, Motion Capture Performance, 3-D - Post-production Conversion",Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,"Walt Disney Pictures, Roth Films, Zancuk Company",Alice in Wonderland,"$334,191,110","$691,300,000","$1,025,491,110","$85,821,467","$35,190,594","$121,012,061"
32,https://www.the-numbers.com/movie/Brooklyns-Finest,"['Will Patton', 'Lili Taylor', ""Brian F. O'Byrne"", 'Shannon Kane', 'Ellen Barkin', 'Richard Gere', 'Don Cheadle', 'Ethan Hawke', 'Wesley Snipes']","[['Antoine Fuqua', 'Director']]","$13,350,299 (49.1% of total gross)",2.03 (domestic box office/biggest weekend),69.2% (domestic box office/worldwide),"$17,000,000 (worldwide box office is 2.3 times production budget)","1,936 opening theaters/1,939 max. theaters, 3.5 weeks average run per theater","$35,977,124","September 27th, 2012 (Wide) (Bolivia)
",vs. Straight Outta ComptonCreate your own comparison chart…,Thriller/Suspense,United States,English,"March 5th, 2010 (Wide) by Overture Films","July 6th, 2010 by Overture Films/Anchor Bay","R for bloody violence throughout, strong sexuality, nudity, drug content and pervasive language.",133 minutes,"Hood Film, Crime Thriller, NYPD, Money Troubles, Corrupt Cops, Retirement, One Last Job, Mistaken Identity, Undercover",Remake,Live Action,Contemporary Fiction,"Millennium Films, Thunder Road Film, Nu Image, Langley Films Inc",,"$27,163,593","$12,069,640","$39,233,233","$11,007,053","$3,886,760","$14,893,813"
33,https://www.the-numbers.com/movie/Green-Zone,['Matt Damon'],"[['Paul Greengrass', 'Director'], ['Brian Helgeland', 'Screenwriter'], ['Rajiv Chandrasekaran', 'Story Creator'], ['Tim Bevan', 'Producer'], ['Eric Fellner', 'Producer'], ['Lloyd Levin', 'Producer'], ['Paul Greengrass', 'Producer'], ['Debra Hayward', 'Executive Producer'], ['Liza Chasin', 'Executive Producer'], ['Mairi Bett', 'Co-Producer'], ['Barry Ackroyd', 'Director of Photography'], ['Dominic Watkins', 'Production Designer'], ['Christopher Rouse', 'Editor'], ['Sammy Sheldon', 'Costume Designer'], ['Peter Chiang', 'Visual Effects Supervisor'], ['John Powell', 'Composer'], ['Amanda Mackey', 'Casting Director'], ['Cathy Sandrich', 'Casting Director'], ['Dan Hubbard', 'Casting Director'], ['John Hubbard', 'Casting Director']]","$14,309,295 (40.3% of total gross)",2.48 (domestic box office/biggest weekend),36.4% (domestic box office/worldwide),"$100,000,000 (worldwide box office is 1.0 times production budget)","3,003 opening theaters/3,004 max. theaters, 3.7 weeks average run per theater","$47,014,853",,vs. Ben-HurCreate your own comparison chart…,Drama,United States,English,"March 12th, 2010 (Wide) by Universal","June 22nd, 2010 by Universal Home Entertainment",R for violence and language,114 minutes,"War, War Drama, 2000s, Iraq War, Set in Iraq",Based on Factual Book/Article,Live Action,Historical Fiction,"Universal Pictures, Working Title Films",,"$35,497,337","$62,025,683","$97,523,020","$18,068,635","$4,972,345","$23,040,980"
34,https://www.the-numbers.com/movie/Herisson-Le,"['Garance Le Guillermic', 'Josiane Balasko']",[],"$34,477 (4.2% of total gross)",16.64 (domestic box office/biggest weekend),4.9% (domestic box office/worldwide),,"15 opening theaters/38 max. theaters, 3.9 weeks average run per theater","$1,092,662","March 12th, 2010 (Wide) (Canada)
",Create your own comparison chart…,Drama,France,French,"March 12th, 2010 (Wide) (Canada)
August 19th, 2011 (Limited) by NeoClassics Films, released as The Hedgehog",,Not Rated,,,Based on Fiction Book/Short Story,Animation/Live Action,Contemporary Fiction,,,"$828,801","$16,006,387","$16,835,188",,,
35,https://www.the-numbers.com/movie/Our-Family-Wedding,"['Regina King', 'Forest Whitaker', 'America Ferrera', 'Carlos Mencia', 'Lance Gross']","[['Rick Famuyiwa', 'Director'], ['Wayne Conley', 'Screenwriter'], ['Malcolm Spellman', 'Screenwriter'], ['Rick Famuyiwa', 'Screenwriter']]","$7,629,862 (37.7% of total gross)",2.65 (domestic box office/biggest weekend),94.6% (domestic box office/worldwide),"$14,000,000 (worldwide box office is 1.5 times production budget)","1,605 opening theaters/1,609 max. theaters, 3.9 weeks average run per theater","$26,827,334",,vs. Seven PsychopathsCreate your own comparison chart…,Comedy,United States,English,"March 12th, 2010 (Wide) by Fox Searchlight","July 13th, 2010 by Fox Home Entertainment",PG-13 for some sexual content and brief strong language.,103 minutes,"Family Comedy, Romance, In-Laws / Future In-Laws, Wedding Day, Family Secrets, Bigotry, Doctors, Lawyers, Dysfunctional Family, Interracial Romance, African Americans, Hispanic",Original Screenplay,Live Action,Contemporary Fiction,"Fox Searchlight Pictures, Sneak Preview Entertainment",,"$20,255,281","$1,155,265","$21,410,546","$6,231,716","$1,127,675","$7,359,391"
36,https://www.the-numbers.com/movie/Remember-Me,"['Robert Pattinson', 'Emilie de Ravin']","[['Allen Coulter', 'Director'], ['Will Fetters', 'Screenwriter'], ['Nick Osborne', 'Producer'], ['Trevor Engelson', 'Producer'], ['Carol Cuddy', 'Executive Producer'], ['Robert Pattinson', 'Executive Producer']]","$8,089,139 (42.4% of total gross)",2.36 (domestic box office/biggest weekend),33.7% (domestic box office/worldwide),"$16,000,000 (worldwide box office is 3.5 times production budget)","2,212 opening theaters/2,215 max. theaters, 3.7 weeks average run per theater","$25,255,142",,vs. The NotebookCreate your own comparison chart…,Drama,United States,English,"March 12th, 2010 (Wide) by Summit Entertainment","June 22nd, 2010 by Summit Home Video","PG-13 for violence, sexual content, language and smoking(Rating bulletin 2104, 1/20/2010)",113 minutes,"Romance, Romantic Drama, Coming of Age, 1990s, 2000s, Terrorism, 9/11",Original Screenplay,Live Action,Contemporary Fiction,"Summit Entertainment, Underground Films",,"$19,068,240","$37,437,880","$56,506,120","$13,859,461","$1,232,873","$15,092,334"
37,https://www.the-numbers.com/movie/Shes-Out-of-My-League,"['T.J. Miller', 'Mike Vogel', 'Nate Torrence', 'Krysten Ritter', 'Geoff Stults', 'Lindsay Sloane', 'Jay Baruchel', 'Alice Eve']","[['Jim Field Smith', 'Director'], ['Sean Anders', 'Screenwriter'], ['John Morris', 'Screenwriter'], ['Jimmy Miller', 'Producer'], ['David Householter', 'Producer'], ['George Gatins', 'Executive Producer'], ['Jim Denault', 'Director of Photography'], ['Clayton Hartley', 'Production Designer'], ['Daniel Schalk', 'Editor'], ['Molly Maginnis', 'Costume Designer'], ['Deva Anderson', 'Music Supervisor'], ['Michael Andrews', 'Composer']]","$9,775,278 (30.5% of total gross)",3.27 (domestic box office/biggest weekend),65.8% (domestic box office/worldwide),"$20,000,000 (worldwide box office is 2.4 times production budget)","2,956 opening theaters/2,958 max. theaters, 4.0 weeks average run per theater","$42,397,144","June 17th, 2010 (Wide), released as Ela É Demais Para Mim (Portugal)
",vs. What's Your Number?Create your own comparison chart…,Romantic Comedy,United States,English,"March 12th, 2010 (Wide) by Paramount Pictures","June 22nd, 2010 by Dreamworks Video",R for language and sexual content(Rated 1/1/2010),105 minutes,,Original Screenplay,Live Action,Contemporary Fiction,"DreamWorks Pictures, Mosaic Media",,"$32,010,860","$16,670,117","$48,680,977","$10,816,843","$2,019,573","$12,836,416"
38,https://www.the-numbers.com/movie/Belka-i-Strelka-Zvezdnye-sobaki,[],"[['Inna Evlannikova', 'Director'], ['Svyatoslav Ushakov', 'Director']]",,,,"$25,000,000 (worldwide box office is 0.4 times production budget)",,,"March 18th, 2010 (Wide), released as Белка и Стрелка: Звездные собаки (Russia (CIS))
",vs. The Hero of Color CityCreate your own comparison chart…,Adventure,Russian Federation,Russian,,,"G(Rating bulletin 2144, 10/27/2010)",85 minutes,,Original Screenplay,Digital Animation,Kids Fiction,,,n/a,"$9,445,081","$9,445,081",,,
39,https://www.the-numbers.com/movie/Bounty-Hunter-The,"['Jennifer Aniston', 'Gerard Butler']","[['Andy Tennant', 'Director'], ['Sarah Thorp', 'Screenwriter'], ['Neal H. Moritz', 'Producer'], ['Wink Mordaunt', 'Executive Producer'], ['Ori Marmur', 'Executive Producer'], ['Robyn Meisinger', 'Executive Producer'], ['Donald J. Lee', 'Executive Producer'], ['Ryan Kavanaugh', 'Executive Producer'], ['Oliver Bokelberg', 'Director of Photography'], ['Troy Takaki', 'Editor'], ['Sophie de Rakoff', 'Costume Designer'], ['George Fenton', 'Composer']]","$20,686,423 (30.8% of total gross)",3.24 (domestic box office/biggest weekend),49.4% (domestic box office/worldwide),"$45,000,000 (worldwide box office is 3.0 times production budget)","3,074 opening theaters/3,118 max. theaters, 6.1 weeks average run per theater","$88,820,005",,vs. The Princess Diaries 2: Royal EngagementCreate your own comparison chart…,Romantic Comedy,United States,English,"March 19th, 2010 (Wide) by Sony Pictures","July 13th, 2010 by Sony Pictures Home Entertainment","PG-13 for sexual content including suggestive comments, language and some violence(Rating bulletin 2107, 2/10/2010)",111 minutes,Romance,Original Screenplay,Live Action,Contemporary Fiction,Columbia Pictures,,"$67,061,228","$68,747,609","$135,808,837","$21,047,718","$2,835,080","$23,882,798"
40,https://www.the-numbers.com/movie/City-Island,[],"[['Raymond De Felitta', 'Director'], ['Raymond De Felitta', 'Screenwriter']]","$32,001 (0.5% of total gross)",9.10 (domestic box office/biggest weekend),81.6% (domestic box office/worldwide),"$6,000,000 (worldwide box office is 1.4 times production budget)","2 opening theaters/269 max. theaters, 8.4 weeks average run per theater","$8,835,851",,vs. The Way Way BackCreate your own comparison chart…,Comedy,United States,English,"March 19th, 2010 (Limited) by Anchor Bay Entertainment","August 24th, 2010 by Anchor Bay Home Entertainment","PG-13 For sexual content, smoking and language",104 minutes,"Comedy Drama, Set in The Bronx, Set in New York City, Set in New York, Dysfunctional Family, Family Affair, Relatives Playing Relatives, Infidelity, College, Drop Out, Strippers / Stripping, Aspiring Actress / Actor",Original Screenplay,Live Action,Contemporary Fiction,,,"$6,671,283","$1,502,203","$8,173,486","$2,562,547","$375,367","$2,937,914"
