,territory,release_date,opening_wknd,opening_wknd_screens,max_screens,theatrical_engagements,total_bo,report_date,url,country_url,int_total,total_report_date
0,Australia,1/1/1965,$0,0,18,34,"$82,248",5/25/2021,https://www.the-numbers.com/movie/Sound-of-Music-The,https://www.the-numbers.com/movie/Sound-of-Music-The/Australia#tab=box-office,"$122,999,218",3/13/2023
1,New Zealand,5/7/2015,"$7,468",48,48,72,"$9,539",3/13/2023,https://www.the-numbers.com/movie/Sound-of-Music-The,https://www.the-numbers.com/movie/Sound-of-Music-The/New-Zealand#tab=box-office,"$122,999,218",3/13/2023
2,United Kingdom,3/29/1965,$0,0,10,10,"$8,227",5/24/2018,https://www.the-numbers.com/movie/Sound-of-Music-The,https://www.the-numbers.com/movie/Sound-of-Music-The/United-Kingdom#tab=box-office,"$122,999,218",3/13/2023
3,Rest of World,,,,,,"$122,899,204",,https://www.the-numbers.com/movie/Sound-of-Music-The,,"$122,999,218",3/13/2023
0,Australia,1/1/1965,$0,0,18,34,"$82,248",5/25/2021,https://www.the-numbers.com/movie/Sound-of-Music-The,https://www.the-numbers.com/movie/Sound-of-Music-The/Australia#tab=box-office,"$122,999,218",3/13/2023
1,New Zealand,5/7/2015,"$7,468",48,48,72,"$9,539",3/13/2023,https://www.the-numbers.com/movie/Sound-of-Music-The,https://www.the-numbers.com/movie/Sound-of-Music-The/New-Zealand#tab=box-office,"$122,999,218",3/13/2023
2,United Kingdom,3/29/1965,$0,0,10,10,"$8,227",5/24/2018,https://www.the-numbers.com/movie/Sound-of-Music-The,https://www.the-numbers.com/movie/Sound-of-Music-The/United-Kingdom#tab=box-office,"$122,999,218",3/13/2023
3,Rest of World,,,,,,"$122,899,204",,https://www.the-numbers.com/movie/Sound-of-Music-The,,"$122,999,218",3/13/2023
0,New Zealand,6/2/2022,$342,1,1,1,$342,6/7/2022,https://www.the-numbers.com/movie/Spy-Who-Came-in-from-the-Cold-The,https://www.the-numbers.com/movie/Spy-Who-Came-in-from-the-Cold-The/New-Zealand#tab=box-office,$342,6/7/2022
0,New Zealand,6/2/2022,$342,1,1,1,$342,6/7/2022,https://www.the-numbers.com/movie/Spy-Who-Came-in-from-the-Cold-The,https://www.the-numbers.com/movie/Spy-Who-Came-in-from-the-Cold-The/New-Zealand#tab=box-office,$342,6/7/2022
0,Australia,9/24/2020,"$2,900",2,2,6,"$3,562",12/18/2020,https://www.the-numbers.com/movie/Doctor-Zhivago,https://www.the-numbers.com/movie/Doctor-Zhivago/Australia#tab=box-office,"$142,558",2/22/2021
1,New Zealand,5/12/2011,$0,0,1,2,$503,2/22/2021,https://www.the-numbers.com/movie/Doctor-Zhivago,https://www.the-numbers.com/movie/Doctor-Zhivago/New-Zealand#tab=box-office,"$142,558",2/22/2021
2,Russia (CIS),7/1/2021,$0,0,0,0,$0,,https://www.the-numbers.com/movie/Doctor-Zhivago,https://www.the-numbers.com/movie/Doctor-Zhivago/Russia-(CIS)#tab=box-office,"$142,558",2/22/2021
3,United Kingdom,11/27/2015,"$24,581",8,23,69,"$138,493",7/20/2016,https://www.the-numbers.com/movie/Doctor-Zhivago,https://www.the-numbers.com/movie/Doctor-Zhivago/United-Kingdom#tab=box-office,"$142,558",2/22/2021
0,Australia,9/24/2020,"$2,900",2,2,6,"$3,562",12/18/2020,https://www.the-numbers.com/movie/Doctor-Zhivago,https://www.the-numbers.com/movie/Doctor-Zhivago/Australia#tab=box-office,"$142,558",2/22/2021
1,New Zealand,5/12/2011,$0,0,1,2,$503,2/22/2021,https://www.the-numbers.com/movie/Doctor-Zhivago,https://www.the-numbers.com/movie/Doctor-Zhivago/New-Zealand#tab=box-office,"$142,558",2/22/2021
2,Russia (CIS),7/1/2021,$0,0,0,0,$0,,https://www.the-numbers.com/movie/Doctor-Zhivago,https://www.the-numbers.com/movie/Doctor-Zhivago/Russia-(CIS)#tab=box-office,"$142,558",2/22/2021
3,United Kingdom,11/27/2015,"$24,581",8,23,69,"$138,493",7/20/2016,https://www.the-numbers.com/movie/Doctor-Zhivago,https://www.the-numbers.com/movie/Doctor-Zhivago/United-Kingdom#tab=box-office,"$142,558",2/22/2021
0,United Kingdom,3/20/2020,$0,0,98,99,"$9,761",5/11/2022,https://www.the-numbers.com/movie/Thunderball,https://www.the-numbers.com/movie/Thunderball/United-Kingdom#tab=box-office,"$77,600,000",5/11/2022
1,Rest of World,,,,,,"$77,590,239",,https://www.the-numbers.com/movie/Thunderball,,"$77,600,000",5/11/2022
0,United Kingdom,3/20/2020,$0,0,98,99,"$9,761",5/11/2022,https://www.the-numbers.com/movie/Thunderball,https://www.the-numbers.com/movie/Thunderball/United-Kingdom#tab=box-office,"$77,600,000",5/11/2022
1,Rest of World,,,,,,"$77,590,239",,https://www.the-numbers.com/movie/Thunderball,,"$77,600,000",5/11/2022
