,url,cast,crew,Domestic Share:,Infl. Adj. Dom. BO,Opening Weekend:,Legs:,Theater counts:,Production Budget:,Domestic Releases:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Franchise:,Video Release:,MPAA Rating:,Languages:,International Releases:,Production/Financing Companies:,Domestic Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales,International Box Office,Worldwide Box Office
35,https://www.the-numbers.com/movie/Life-of-Brian-(UK)-(1979),[],"[['Terry Jones', 'Director'], ['Graham Chapman', 'Screenwriter'], ['John Cleese', 'Screenwriter'], ['Terry Gilliam', 'Screenwriter'], ['Eric Idle', 'Screenwriter'], ['Terry Jones', 'Screenwriter'], ['Michael Palin', 'Screenwriter']]",98.3% (domestic box office/worldwide),"$30,041,461","$140,044 (0.7% of total gross)",144.11 (domestic box office/biggest weekend),"5 opening theaters/125 max. theaters, 2.4 weeks average run per theater","$4,000,000 (worldwide box office is 5.1 times production budget)","August 17th, 1979 (Wide) by Warner Bros., released as The Life of BrianApril 30th, 2004 (Limited) by Rainbow Releasing, released as The Life of BrianApril 18th, 2019 (Special Engagement) by Trafalgar Releasing",94 minutes,vs. My Blue HeavenCreate your own comparison chart…,"Same Actor, Multiple Roles, Religious, Satirical Comedy, Satire, Ancient Rome, Directing Yourself, Screenplay Written By the Star",Original Screenplay,Comedy,Live Action,Historical Fiction,United Kingdom,Monty Python,"January 29th, 2008 by Sony Pictures Home Entertainment, released as The Life of Brian",R,English,"April 12th, 2019 (Limited), released as Monty Python's Life of Brian (40th Anniversary) (United Kingdom)
April 18th, 2019 (Wide) (New Zealand)
April 19th, 2019 (Wide), released as Monty Python's Life Of Brian (40th Anniversary) (Australia)
April 7th, 2023 (Special Engagement), released as Monty Python’s Life Of Brian (Re: 2023) (United Kingdom)
",,"$20,182,359",,,"$340,137","$20,522,496"
36,https://www.the-numbers.com/movie/Seduction-of-Joe-Tynan-The,"['Alan Alda', 'Barbara Harris', 'Meryl Streep']","[['Jerry Schatzberg', 'Director'], ['Alan Alda', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$69,414,342",,,,,"August 17th, 1979 (Wide) by Universal",107 minutes,vs. The JerkCreate your own comparison chart…,"Life Drama, Screenplay Written By the Star, Political, Politicians, Infidelity, Dysfunctional Family, Workaholic, Relationships Gone Wrong, Washington, D.C., Faulty Memory",Original Screenplay,Drama,Live Action,Contemporary Fiction,United States,,,,,,,"$19,000,000",,,,
37,https://www.the-numbers.com/movie/10,"['Julie Andrews', 'Robert Webber', 'Dudley Moore', 'Bo Derek']","[['Blake Edwards', 'Director'], ['Blake Edwards', 'Screenwriter'], ['Blake Edwards', 'Producer'], ['Henry Mancini', 'Composer']]",100.0% (domestic box office/worldwide),"$217,054,818","$3,526,692 (6.8% of total gross)",14.78 (domestic box office/biggest weekend),"706 opening theaters/706 max. theaters, 1.0 weeks average run per theater",,"October 5th, 1979 (Wide) by Warner Bros.",118 minutes,vs. LovesickCreate your own comparison chart…,"Romance, Romantic Comedy, Mid-Life Crisis, Infidelity, Honeymoon, Relationships Gone Wrong",Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,United States,,,R,English,,Orion Pictures,"$52,134,699",,,,
38,https://www.the-numbers.com/movie/Starting-Over,"['Burt Reynolds', 'Jill Clayburgh', 'Candice Bergen']",[],100.0% (domestic box office/worldwide),"$139,559,358",,,,,"October 5th, 1979 (Wide) by Paramount Pictures",,vs. National Lampoon's Animal HouseCreate your own comparison chart…,Divorcée Romance,,,,,United States,,,,,,,"$38,200,000",,,,
39,https://www.the-numbers.com/movie/Black-Stallion-The,"['Kelly Reno', 'Mickey Rooney']","[['Carroll Ballard', 'Director']]",100.0% (domestic box office/worldwide),"$157,373,008",,,,"$2,700,000 (worldwide box office is 14.0 times production budget)","October 17th, 1979 (Wide) by United Artists, released as Black Stallion, The",118 minutes,vs. Son of Rambow: A Home MovieCreate your own comparison chart…,"Family Adventure, On a Boat, Marooned, Animal Lead, Horse Racing, Underdog",Based on Fiction Book/Short Story,Adventure,Live Action,Historical Fiction,United States,Black Stallion,"March 18th, 2014 by Fox/MGM",G,English,,,"$37,799,643","$1,730,141","$1,730,141",,
40,https://www.the-numbers.com/movie/And-Justice-For-All,['Al Pacino'],"[['Norman Jewison', 'Director']]",100.0% (domestic box office/worldwide),"$121,657,766",,,,,"October 19th, 1979 (Wide) by Columbia",,vs. West Side StoryCreate your own comparison chart…,"Courtroom Drama, Film Noir, Lawyers, Corrupt Judge, Sex Crimes, Prostitution, Suicide, Hostage",Original Screenplay,Drama,Live Action,,United States,,"January 16th, 2001 by Sony Pictures Home Entertainment, released as ...And Justice for All",,,,,"$33,300,000",,,,
41,https://www.the-numbers.com/movie/Meteor,[],"[['Ronald Neame', 'Director'], ['Stanley Mann', 'Screenwriter'], ['Edmund H. North', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$30,688,441",,,,"$16,000,000 (worldwide box office is 0.5 times production budget)","October 19th, 1979 (Wide) by American International Pictures",107 minutes,Create your own comparison chart…,"End of the World, Action Thriller, Political, Disaster, Ensemble, Development Hell",Original Screenplay,Action,Live Action,Science Fiction,United States,,"September 16th, 2014 by Kino Lorber",,"English, Russian",,,"$8,400,000","$140,261","$140,261",,
42,https://www.the-numbers.com/movie/Great-Santini-The,[],"[['Lewis John Carlino', 'Director'], ['Lewis John Carlino', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$25,573,699","$83,527 (1.2% of total gross)",83.81 (domestic box office/biggest weekend),"87 opening theaters/87 max. theaters, 1.0 weeks average run per theater",,"October 26th, 1979 (Wide) by Warner Bros.",115 minutes,Create your own comparison chart…,"Historical Drama, 1960s, Vietnam War, In a Plane, Dysfunctional Family, Domestic Abuse, Child Abuse, Young Child Dealing with the Death of a Parent, Bigotry, Death of a Best Friend",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,United States,,,,,,,"$7,000,000",,,,
43,https://www.the-numbers.com/movie/Rose-The,['Bette Midler'],"[['Mark Rydell', 'Director']]",100.0% (domestic box office/worldwide),"$106,678,883","$793,063 (2.7% of total gross)",36.82 (domestic box office/biggest weekend),"44 opening theaters/44 max. theaters, 1.0 weeks average run per theater","$8,500,000 (worldwide box office is 3.4 times production budget)","November 7th, 1979 (Wide) by 20th Century Fox",134 minutes,vs. The Work and the GloryCreate your own comparison chart…,"Performing Arts, Singers, Boss From Hell, Relationships Gone Wrong, Romance, Life Drama, On Tour, Addiction, Drug Overdose, You Can't Go Home Again, Inspired by a True Story, 1960s, Rock 'n' Roll",Original Screenplay,Drama,Live Action,Contemporary Fiction,United States,,"May 19th, 2015 by Criterion",,English,,,"$29,200,000","$243,074","$243,074",,
44,https://www.the-numbers.com/movie/Star-Trek-The-Motion-Picture,"['William Shatner', 'Leonard Nimoy', 'DeForest Kelley', 'James Doohan', 'George Takei', 'Nichelle Nichols', 'Walter Koenig', 'Stephen Collins']","[['Robert Wise', 'Director'], ['Jerry Goldsmith', 'Composer']]",59.2% (domestic box office/worldwide),"$300,521,927","$11,926,421 (14.5% of total gross)",6.81 (domestic box office/biggest weekend),"857 opening theaters/1,002 max. theaters, 2.7 weeks average run per theater","$35,000,000 (worldwide box office is 4.0 times production budget)","December 7th, 1979 (Wide) by Paramount PicturesMay 22nd, 2022 (Special Engagement) by Fathom Events (The Director’s Edition)
",132 minutes,vs. Star Trek II: The Wrath of KhanCreate your own comparison chart…,Visual Effects,Based on TV,Adventure,Live Action,Science Fiction,United States,Star Trek,"June 16th, 2006 by Paramount Home Video",PG for sci-fi action and mild language. ,English,"August 19th, 2022 (Wide), released as Star Trek: The Motion Picture (Director’s Edition 4K) (United Kingdom)
",Paramount Pictures,"$82,258,456","$618,817","$618,817","$56,741,544","$139,000,000"
45,https://www.the-numbers.com/movie/1941,"['Ned Beatty', 'Lorraine Gary', 'Murray Hamilton', 'Christopher Lee', 'Tim Matheson', 'Toshiro Mifune', 'Warren Oates', 'Robert Stack', 'Treat Williams', 'Dan Aykroyd', 'John Belushi']","[['Steven Spielberg', 'Director'], ['John Milius', 'Executive Producer'], ['Buzz Feitshans', 'Producer'], ['John Williams', 'Composer'], ['Robert Zemeckis', 'Story Creator'], ['Bob Gale', 'Story Creator'], ['John Milius', 'Story Creator'], ['Robert Zemeckis', 'Screenwriter'], ['Bob Gale', 'Screenwriter'], ['William A. Fraker', 'Director of Photography']]",36.0% (domestic box office/worldwide),"$142,282,362","$2,701,898 (7.9% of total gross)",12.65 (domestic box office/biggest weekend),"325 opening theaters/325 max. theaters, 1.0 weeks average run per theater","$32,000,000 (worldwide box office is 3.0 times production budget)","December 14th, 1979 (Wide) by Universal",116 minutes,vs. Close Encounters of the Third KindCreate your own comparison chart…,"World War II, War, Farcical / Slapstick Comedy, Ensemble, Set in Hollywood",Original Screenplay,Comedy,Live Action,Historical Fiction,United States,,"May 5th, 2015 by Universal Home Entertainment",PG,"English, German, Japanese",,"A-Team, Steven Spielberg, Universal-Columbia","$34,175,000","$527,790","$527,790","$60,700,000","$94,875,000"
46,https://www.the-numbers.com/movie/Jerk-The,['Steve Martin'],"[['Carl Reiner', 'Director']]",100.0% (domestic box office/worldwide),"$269,223,231",,,,,"December 14th, 1979 (Wide) by Universal",,vs. Going in StyleCreate your own comparison chart…,"Rags to Riches, Riches to Rags, Farcical / Slapstick Comedy, Inventor, Adopted Family, Road Trip",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,,"July 9th, 2013 by Universal Home Entertainment",R,,,,"$73,691,419",,,,
47,https://www.the-numbers.com/movie/Being-There,['Peter Sellers'],"[['Hal Ashby', 'Director']]",100.0% (domestic box office/worldwide),"$110,250,103",,,,,"December 19th, 1979 (Wide) by United Artists",130 minutes,vs. FargoCreate your own comparison chart…,"Satire, Satirical Comedy, Learning Disabilities, Political, Washington, D.C., Mistaken Identity",Based on Fiction Book/Short Story,Comedy,Live Action,Contemporary Fiction,United States,,"February 3rd, 2009 by Warner Home Video",,,,,"$30,177,511",,,,
48,https://www.the-numbers.com/movie/Electric-Horseman-The,"['Robert Redford', 'Jane Fonda']","[['Sydney Pollack', 'Director']]",100.0% (domestic box office/worldwide),"$155,890,495",,,,,"December 19th, 1979 (Wide) by Universal",,vs. All That JazzCreate your own comparison chart…,,,,,,United States,,,PG,,,,"$42,670,138",,,,
49,https://www.the-numbers.com/movie/Kramer-vs-Kramer,[],"[['Robert Benton', 'Director']]",100.0% (domestic box office/worldwide),"$364,011,064",,35.42 (domestic box office/biggest weekend),,,"December 19th, 1979 (Wide) by Columbia",105 minutes,Best Picture Oscar Winnersvs. Mrs. DoubtfireCreate your own comparison chart…,"Romantic Drama, 1980 Oscars Best Picture Nominee, Oscars Best Picture Winner",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,United States,,,PG,,,,"$106,260,000",,,,
50,https://www.the-numbers.com/movie/All-That-Jazz,['Roy Scheider'],"[['Bob Fosse', 'Director']]",100.0% (domestic box office/worldwide),"$138,184,500","$86,229 (0.2% of total gross)",438.64 (domestic box office/biggest weekend),"5 opening theaters/5 max. theaters, 1.0 weeks average run per theater",,"December 20th, 1979 (Wide) by 20th Century Fox",123 minutes,vs. MoonrakerCreate your own comparison chart…,"Performing Arts, Biographical Drama, Biography, Autobiographical, Addiction, Relationships Gone Wrong, Movie Director, 1980 Oscars Best Picture Nominee",Original Screenplay,Drama,Live Action,Contemporary Fiction,United States,,"April 3rd, 2007 by Fox Home Entertainment",,English,"November 5th, 2020 (Wide) (Australia)
August 20th, 2023 (Limited) (Australia)
",,"$37,823,676",,,,
51,https://www.the-numbers.com/movie/Black-Hole-The,[],[],100.0% (domestic box office/worldwide),"$130,944,308",,,,"$20,000,000 (worldwide box office is 1.8 times production budget)","December 21st, 1979 (Wide) by Walt Disney",,vs. TronCreate your own comparison chart…,Robot,Original Screenplay,,,Science Fiction,United States,,"March 4th, 1980 by Buena Vista Home Entertainment, released as The Black Hole ",,,,,"$35,841,901",,,,
