,url,cast,crew,Domestic Share:,Infl. Adj. Dom. BO,Opening Weekend:,Legs:,Theater counts:,Production Budget:,Domestic Releases:,Video Release:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production/Financing Companies:,Production Countries:,Languages:,Franchise:,International Releases:,Domestic Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales,International Box Office,Worldwide Box Office
90,https://www.the-numbers.com/movie/Accused-The,[],[],100.0% (domestic box office/worldwide),"$71,571,327","$4,316,369 (13.5% of total gross)",7.43 (domestic box office/biggest weekend),"796 opening theaters/930 max. theaters, 7.6 weeks average run per theater",,"October 14th, 1988 (Wide) by Paramount Pictures","January 4th, 2002 by Paramount Home Video",R,111 minutes,vs. BabelCreate your own comparison chart…,"Courtroom Drama, Sex Crimes, Inspired by a True Story",Original Screenplay,Drama,Live Action,Contemporary Fiction,,United States,English,,,"$32,078,318",,,,
91,https://www.the-numbers.com/movie/Pumpkinhead,"['Jeff East', 'Kerry Remsen', 'Kimberly Ross', 'Brian Bremer', 'Madeleine Taylor Holmes', 'Lance Henriksen', 'John DiAquino', 'Cynthia Bain']","[['Stan Winston', 'Director'], ['Mark Patrick Carducci', 'Screenwriter'], ['Gary Gerani', 'Screenwriter'], ['Mark Patrick Carducci', 'Story Creator'], ['Stan Winston', 'Story Creator'], ['Richard C. Weinman*', 'Story Creator'], ['Ed Justin', 'Story Creator'], ['Bill Blake', 'Producer']]",100.0% (domestic box office/worldwide),"$10,040,169",,15.50 (domestic box office/biggest weekend),,,"October 14th, 1988 (Wide) by United Artists","September 9th, 2014 by Shout Factory",,86 minutes,vs. How to Train Your Dragon 2Create your own comparison chart…,"Supernatural Horror, Supernatural, Cult Movie, Prologue, 1950s, Accidental Death, Covering Up an Accidental Death, Death of a Son or Daughter, Revenge, Witches",Based on Poem,Horror,Live Action,Fantasy,,United States,English,,,"$4,385,516","$729,447","$729,447",,
92,https://www.the-numbers.com/movie/Mystic-Pizza,[],"[['Donald Petrie', 'Director'], ['Amy Jones', 'Screenwriter'], ['Perry Howze', 'Screenwriter'], ['Randy Howze', 'Screenwriter'], ['Alfred Uhry', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$28,740,045","$1,163,939 (9.1% of total gross)",9.09 (domestic box office/biggest weekend),"401 opening theaters/440 max. theaters, 4.8 weeks average run per theater","$6,000,000 (worldwide box office is 2.1 times production budget)","October 21st, 1988 (Wide) by Samuel Goldwyn Films","April 11th, 1995 by Anchor Bay Home Entertainment",R,104 minutes,vs. Ta Ra Rum PumCreate your own comparison chart…,"Comedy Drama, Romance, Sibling Rivalry, Relationships Gone Wrong, Bigotry, Dysfunctional Family, Infidelity, The Other Woman, Restaurants",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,United States,,,,"$12,793,213",,,,
93,https://www.the-numbers.com/movie/Without-a-Clue,[],"[['Thom Eberhardt', 'Director'], ['Gary Murphy', 'Screenwriter'], ['Larry Strawther', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$17,849,148","$1,246,772 (15.6% of total gross)",5.95 (domestic box office/biggest weekend),"280 opening theaters/460 max. theaters, 2.2 weeks average run per theater",,"October 21st, 1988 (Wide) by Orion Pictures","March 31st, 2015 by Olive",,107 minutes,vs. The Adventure of Sherlock Holmes' Smarter BrotherCreate your own comparison chart…,"Crime Comedy, Private Investigator, Doctors, Secret Identity, False Identity, Police Detective, Writing and Writers, Scotland Yard, 1880s, Spoof",Original Screenplay,Comedy,Live Action,Historical Fiction,,United Kingdom,English,,,"$8,000,000","$264,629","$264,629",,
94,https://www.the-numbers.com/movie/Everybodys-All-American,[],"[['Taylor Hackford', 'Director'], ['James Newton Howard', 'Composer']]",100.0% (domestic box office/worldwide),"$28,197,842","$3,425,796 (27.1% of total gross)",3.69 (domestic box office/biggest weekend),"1,122 opening theaters/1,123 max. theaters, 2.9 weeks average run per theater",,"November 4th, 1988 (Wide) by Warner Bros.",,R,127 minutes,vs. Any Given SundayCreate your own comparison chart…,"Football, Sports Drama, College Sports, Athletes Past Their Prime, 1950s, Money Troubles, Romance, Relationships Gone Wrong, Infidelity, Gambling",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,,United States,English,,,"$12,638,294",,,,
95,https://www.the-numbers.com/movie/They-Live,[],"[['John Carpenter', 'Director'], ['Frank Armitage*', 'Screenwriter'], ['Larry Franco', 'Producer']]",100.0% (domestic box office/worldwide),"$29,004,866","$4,827,903 (37.1% of total gross)",2.69 (domestic box office/biggest weekend),"1,463 opening theaters/1,463 max. theaters, 2.0 weeks average run per theater","$4,000,000 (worldwide box office is 3.3 times production budget)","November 4th, 1988 (Wide) by Universal","October 22nd, 1992 by Universal Home Entertainment",R,93 minutes,vs. Young FrankensteinCreate your own comparison chart…,"Advertising and Marketing, Action Thriller, Alien Invasion, Betrayal, Collaborator, Surprise Twist, Homeless, Drifter",Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Science Fiction,Alive Films,United States,English,,"October 19th, 2018 (Wide), released as They Live (1988) (rs: 2018) (Australia)
October 26th, 2018 (Limited) (United Kingdom)
December 15th, 2022 (Limited) (New Zealand)
","$13,000,000",,,"$1,044","$13,001,044"
96,https://www.the-numbers.com/movie/U2-Rattle-and-Hum,[],"[['Phil Joanou', 'Director']]",100.0% (domestic box office/worldwide),"$19,189,665","$3,821,351 (44.4% of total gross)",2.25 (domestic box office/biggest weekend),"1,391 opening theaters/1,391 max. theaters, 2.0 weeks average run per theater",,"November 4th, 1988 (Wide) by Paramount Pictures",,,,vs. U2 3DCreate your own comparison chart…,Rock 'n' Roll,Based on Real Life Events,Concert/Performance,Live Action,Factual,,United States,,,,"$8,600,823",,,,
97,https://www.the-numbers.com/movie/Childs-Play,[],"[['Tom Holland', 'Director'], ['Don Mancini', 'Screenwriter'], ['John Lafia', 'Screenwriter'], ['Tom Holland', 'Screenwriter']]",75.2% (domestic box office/worldwide),"$74,476,044","$6,583,963 (19.8% of total gross)",5.05 (domestic box office/biggest weekend),"1,377 opening theaters/1,490 max. theaters, 5.0 weeks average run per theater","$9,000,000 (worldwide box office is 4.9 times production budget)","November 9th, 1988 (Wide) by United Artists","April 27th, 1995 by MGM Video",R,87 minutes,vs. Black SwanCreate your own comparison chart…,"Living Toys, Supernatural, Supernatural Horror, Voodoo, Killer Inanimate Objects, Fugitive / On the Run, Serial Killer",Original Screenplay,Horror,Live Action,Contemporary Fiction,,United States,English,Child's Play,,"$33,244,684",,,"$10,952,000","$44,196,684"
98,https://www.the-numbers.com/movie/Cry-in-the-Dark-A,[],"[['Fred Schepisi', 'Director'], ['Robert Caswell', 'Screenwriter'], ['Fred Schepisi', 'Screenwriter'], ['John Bryson', 'Story Creator']]",100.0% (domestic box office/worldwide),"$15,414,513","$1,561,793 (22.6% of total gross)",4.42 (domestic box office/biggest weekend),"334 opening theaters/334 max. theaters, 1.0 weeks average run per theater",,"November 11th, 1988 (Wide) by Warner Bros.",,,121 minutes,Create your own comparison chart…,"Biographical Drama, Biography, Animals Gone Bad, Death of a Son or Daughter, Unbelieving Police, Falsely Accused, 1980s, Australia, Media Circus",Based on Factual Book/Article,Drama,Live Action,Dramatization,,"Australia, United States",English,,,"$6,908,797",,,,
99,https://www.the-numbers.com/movie/Ernest-Saves-Christmas,[],"[['John R. Cherry, III', 'Director']]",100.0% (domestic box office/worldwide),"$62,922,954","$5,710,734 (20.2% of total gross)",4.94 (domestic box office/biggest weekend),"1,634 opening theaters/1,640 max. theaters, 5.7 weeks average run per theater",,"November 11th, 1988 (Wide) by Walt Disney","September 3rd, 2002",PG,95 minutes,vs. Ernest Goes to CampCreate your own comparison chart…,"Christmas, Farcical / Slapstick Comedy, Fired, Taxi Driver, Santa Claus, Autumn Years, Runaway, Retirement, Movie Business, TV Industry",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,United States,English,Ernest,,"$28,202,109",,,,
