,url,cast,crew,Domestic Share:,Infl. Adj. Dom. BO,Opening Weekend:,Legs:,Theater counts:,Production Budget:,Domestic Releases:,Comparisons:,Production Countries:,Video Release:,Running Time:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production/Financing Companies:,Languages:,International Releases:,Franchise:,MPAA Rating:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
43,https://www.the-numbers.com/movie/Escape-from-New-York-(1981),[],"[['John Carpenter', 'Director'], ['John Carpenter', 'Screenwriter'], ['Nick Castle', 'Screenwriter']]",99.9% (domestic box office/worldwide),"$83,271,184","$4,162,385 (16.5% of total gross)",6.06 (domestic box office/biggest weekend),"579 opening theaters/579 max. theaters, 2.8 weeks average run per theater","$6,000,000 (worldwide box office is 4.2 times production budget)","July 10th, 1981 (Wide) by Avco Embassy",vs. Treasure PlanetCreate your own comparison chart…,United States,"June 6th, 2000 by MGM Video",98 minutes,"Hostage, Action Thriller, Rescue, Near Future, Yesterday's Tomorrow, Set in New York, Set in New York City, Politicians, 1990s, Crime Boss, Death of a Girlfriend / Boyfriend, Voiceover/Narration, Dystopia",Original Screenplay,Action,Live Action,Science Fiction,,English,"November 22nd, 2018 (Limited) (United Kingdom)
November 23rd, 2018 (Wide), released as Escape From New York (1981) (re: 2018) (Australia)
April 29th, 2021 (Limited) (New Zealand)
August 26th, 2021 (Wide), released as Побег из Нью-Йорка (Russia (CIS))
November 1st, 2022 (Limited) (Germany)
... Show all releases
",Escape from New York,R,"$25,244,700","$31,285","$25,275,985",,
44,https://www.the-numbers.com/movie/Fox-and-the-Hound-The,[],[],100.0% (domestic box office/worldwide),"$144,804,295","$4,215,000 (9.6% of total gross)",9.11 (domestic box office/biggest weekend),"1,030 opening theaters/1,567 max. theaters, 4.9 weeks average run per theater",,"July 10th, 1981 (Wide) by Walt DisneyMarch 25th, 1988 (Wide) by Walt Disney",vs. The Black CauldronCreate your own comparison chart…,United States,"March 4th, 1994 by Walt Disney (United Kingdom)October 10th, 2006 by Walt Disney Home Entertainment, released as Fox and the Hound, The (25th Anniversary Edition)",83 minutes,"Animal Lead, Talking Animals, Orphan, Revenge",Based on Fiction Book/Short Story,Adventure,Hand Animation,Kids Fiction,,English,,The Fox and the Hound,G,"$43,899,231",,,,
45,https://www.the-numbers.com/movie/Arthur-(1981),[],[],100.0% (domestic box office/worldwide),"$267,611,173","$2,719,534 (3.3% of total gross)",16.29 (domestic box office/biggest weekend),"701 opening theaters/949 max. theaters, 21.7 weeks average run per theater",,"July 17th, 1981 (Wide) by Warner Bros.",vs. The Cannonball RunCreate your own comparison chart…,United States,,97 minutes,"Shrinking, Tiny Worlds, Dubbed with New Dialogue",Original Screenplay,Comedy,Live Action,Contemporary Fiction,"McCormic, MBST Entertainment, Benderspink Productions",English,,Arthur,PG,"$81,464,486",,,,
46,https://www.the-numbers.com/movie/Endless-Love-(1981),"['Shirley Knight', 'Don Murray', 'Richard Kiley', 'Penelope Milford', 'Beatrice Straight', 'Brooke Shields', 'Martin Hewitt']","[['Franco Zeffirelli', 'Director'], ['Dyson Lovell', 'Producer'], ['Keith Barish', 'Executive Producer'], ['Judith Rascoe', 'Screenwriter'], ['Scott Spencer', 'Story Creator']]",100.0% (domestic box office/worldwide),"$108,852,513","$4,162,921 (12.6% of total gross)",7.93 (domestic box office/biggest weekend),"580 opening theaters/632 max. theaters, 4.5 weeks average run per theater",,"July 17th, 1981 (Wide) by Universal",vs. Continental DivideCreate your own comparison chart…,United States,"January 13th, 2015 by Universal Home Entertainment",116 minutes,"Remade, Romantic Drama, Romance, Dysfunctional Family, Obsessive Love, Arson, Mental Hospital, Relationships Gone Wrong, Young Child Dealing with the Death of a Parent, Accidental Death",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,"Polygram Pictures, Universal Pictures, A Keith Barish, Dyson",English,,,R,"$33,000,000",,,,
47,https://www.the-numbers.com/movie/Blow-Out,[],"[['Brian De Palma', 'Director'], ['Brian De Palma', 'Screenwriter'], ['George Litto', 'Producer'], ['Pino Donaggio', 'Composer']]",100.0% (domestic box office/worldwide),"$45,346,090","$3,000,000 (21.8% of total gross)",4.58 (domestic box office/biggest weekend),"708 opening theaters/708 max. theaters, 3.6 weeks average run per theater","$18,000,000 (worldwide box office is 0.8 times production budget)","July 24th, 1981 (Wide) by Filmways Pictures",vs. Fatal AttractionCreate your own comparison chart…,United States,,108 minutes,"Crime Thriller, Movie Maker, Politicians, Sex Scandal, Political, Cover Up, Car Accident",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,,,"August 5th, 2021 (Wide) (New Zealand)
",,,"$13,747,234",$754,"$13,747,988",,
48,https://www.the-numbers.com/movie/Comin-at-Ya,[],[],100.0% (domestic box office/worldwide),"$22,113,969","$143,446 (2.1% of total gross)",4.23 (domestic box office/biggest weekend),"15 opening theaters/202 max. theaters, 4.0 weeks average run per theater",,"July 24th, 1981 (Exclusive) by Filmways PicturesAugust 21st, 1981 (Wide) by Filmways Pictures",Create your own comparison chart…,"Italy, Spain, United States",,,,,,,,,,,,,"$6,704,127",,,,
49,https://www.the-numbers.com/movie/Eye-of-the-Needle,[],"[['Richard Marquand', 'Director'], ['Stanley Mann', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$57,998,599","$1,832,928 (10.4% of total gross)",9.59 (domestic box office/biggest weekend),"458 opening theaters/467 max. theaters, 2.0 weeks average run per theater",,"July 24th, 1981 (Wide) by United Artists",vs. Star Wars Ep. VI: Return of the JediCreate your own comparison chart…,United Kingdom,,112 minutes,"War, World War II, Political Thriller, Secret Agent, 1940s, Relationships Gone Wrong, Infidelity, Romance",Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Historical Fiction,,,,,,"$17,583,000",,,,
50,https://www.the-numbers.com/movie/Tarzan-The-Ape-Man,[],"[['John Derek', 'Director']]",100.0% (domestic box office/worldwide),"$120,611,882","$6,700,809 (18.3% of total gross)",5.46 (domestic box office/biggest weekend),"930 opening theaters/1,113 max. theaters, 4.6 weeks average run per theater",,"July 24th, 1981 (Wide) by MGM",vs. AlphaCreate your own comparison chart…,United States,,106 minutes,"Heroic Adventure, 1910s, Kidnap, Rescue, Family Affair",Based on Fiction Book/Short Story,Adventure,Live Action,Historical Fiction,,,,,,"$36,565,000",,,,
51,https://www.the-numbers.com/movie/Wolfen,[],"[['Michael Wadleigh', 'Director'], ['David Eyre', 'Screenwriter'], ['Michael Wadleigh', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$36,284,168","$3,037,911 (27.6% of total gross)",3.62 (domestic box office/biggest weekend),"967 opening theaters/967 max. theaters, 2.4 weeks average run per theater",,"July 24th, 1981 (Wide) by Warner Bros.",vs. The CrowCreate your own comparison chart…,United States,"June 2nd, 2015 by Warner Home Video",114 minutes,"Supernatural Horror, Native Americans, Native American Folklore, Werewolf, Police Detective, Romance, Land Developer",Based on Fiction Book/Short Story,Horror,Live Action,Fantasy,,English,,,,"$11,000,000",,,"$302,307","$302,307"
52,https://www.the-numbers.com/movie/Zorro-The-Gay-Blade,[],"[['Peter Medak', 'Director']]",100.0% (domestic box office/worldwide),"$32,985,609",,7.97 (domestic box office/biggest weekend),,,"July 24th, 1981 (Wide) by 20th Century Fox",Create your own comparison chart…,United States,,93 minutes,"Action Comedy, Spoof, LGBTQ+, 1800s, Set in Spain, Set in Los Angeles, Inheritance, Father’s Footsteps, Twins, Same Actor, Multiple Roles, Secret Identity, Prologue",Based on Fiction Book/Short Story,Comedy,Live Action,Historical Fiction,,,,,,"$10,000,000",,,,
