,territory,release_date,opening_wknd,opening_wknd_screens,max_screens,theatrical_engagements,total_bo,report_date,url,country_url,int_total,total_report_date
0,Australia,7/31/1998,$0,0,5,8,"$78,310",4/2/2021,https://www.the-numbers.com/movie/North-by-Northwest,https://www.the-numbers.com/movie/North-by-Northwest/Australia#tab=box-office,"$97,845",3/6/2023
1,New Zealand,11/12/2020,$249,1,1,6,"$2,427",3/6/2023,https://www.the-numbers.com/movie/North-by-Northwest,https://www.the-numbers.com/movie/North-by-Northwest/New-Zealand#tab=box-office,"$97,845",3/6/2023
2,Portugal,3/9/1960,$0,0,1,1,$927,12/28/2022,https://www.the-numbers.com/movie/North-by-Northwest,https://www.the-numbers.com/movie/North-by-Northwest/Portugal#tab=box-office,"$97,845",3/6/2023
3,Spain,9/25/2020,"$6,230",25,25,25,"$6,239",10/1/2020,https://www.the-numbers.com/movie/North-by-Northwest,https://www.the-numbers.com/movie/North-by-Northwest/Spain#tab=box-office,"$97,845",3/6/2023
4,United Kingdom,10/20/2017,"$9,942",3,3,3,"$9,942",10/25/2017,https://www.the-numbers.com/movie/North-by-Northwest,https://www.the-numbers.com/movie/North-by-Northwest/United-Kingdom#tab=box-office,"$97,845",3/6/2023
0,Australia,7/31/1998,$0,0,5,8,"$78,310",4/2/2021,https://www.the-numbers.com/movie/North-by-Northwest,https://www.the-numbers.com/movie/North-by-Northwest/Australia#tab=box-office,"$97,845",3/6/2023
1,New Zealand,11/12/2020,$249,1,1,6,"$2,427",3/6/2023,https://www.the-numbers.com/movie/North-by-Northwest,https://www.the-numbers.com/movie/North-by-Northwest/New-Zealand#tab=box-office,"$97,845",3/6/2023
2,Portugal,3/9/1960,$0,0,1,1,$927,12/28/2022,https://www.the-numbers.com/movie/North-by-Northwest,https://www.the-numbers.com/movie/North-by-Northwest/Portugal#tab=box-office,"$97,845",3/6/2023
3,Spain,9/25/2020,"$6,230",25,25,25,"$6,239",10/1/2020,https://www.the-numbers.com/movie/North-by-Northwest,https://www.the-numbers.com/movie/North-by-Northwest/Spain#tab=box-office,"$97,845",3/6/2023
4,United Kingdom,10/20/2017,"$9,942",3,3,3,"$9,942",10/25/2017,https://www.the-numbers.com/movie/North-by-Northwest,https://www.the-numbers.com/movie/North-by-Northwest/United-Kingdom#tab=box-office,"$97,845",3/6/2023
0,Australia,4/8/1960,$0,0,0,0,$0,,https://www.the-numbers.com/movie/Pillow-Talk,https://www.the-numbers.com/movie/Pillow-Talk/Australia#tab=box-office,$0,
0,Australia,4/8/1960,$0,0,0,0,$0,,https://www.the-numbers.com/movie/Pillow-Talk,https://www.the-numbers.com/movie/Pillow-Talk/Australia#tab=box-office,$0,
0,South Korea,11/24/1972,$0,0,1,3,"$16,094",6/14/2023,https://www.the-numbers.com/movie/Solomon-and-Sheba,https://www.the-numbers.com/movie/Solomon-and-Sheba/South-Korea#tab=box-office,"$16,094",6/14/2023
0,South Korea,11/24/1972,$0,0,1,3,"$16,094",6/14/2023,https://www.the-numbers.com/movie/Solomon-and-Sheba,https://www.the-numbers.com/movie/Solomon-and-Sheba/South-Korea#tab=box-office,"$16,094",6/14/2023
0,New Zealand,6/10/2021,$0,0,1,1,$64,5/16/2022,https://www.the-numbers.com/movie/Rio-Bravo,https://www.the-numbers.com/movie/Rio-Bravo/New-Zealand#tab=box-office,$64,5/16/2022
