,id,date,rank,gross,pct_change,theaters,per_theater,total_gross,kind,kind_num,pct_lw
0,https://www.the-numbers.com/movie/Bu-neng-shuo-de-mi-mi-(Hong-Kong)/South-Korea#tab=box-office,2016/11/25,-,"$6,899", ,23,$300,"  $972,342",weekend,464,
1,https://www.the-numbers.com/movie/Bu-neng-shuo-de-mi-mi-(Hong-Kong)/South-Korea#tab=box-office,2016/12/02,-,"$5,376",-22%,31,$173,"  $981,711",weekend,465,
2,https://www.the-numbers.com/movie/Bu-neng-shuo-de-mi-mi-(Hong-Kong)/South-Korea#tab=box-office,2020/03/13,20,"$10,681", ,108,$99,"  $967,615",weekend,636,
3,https://www.the-numbers.com/movie/Bu-neng-shuo-de-mi-mi-(Hong-Kong)/South-Korea#tab=box-office,2020/03/20,-,$985,-91%,9,$109,"  $978,654",weekend,637,
0,https://www.the-numbers.com/movie/Bu-neng-shuo-de-mi-mi-(Hong-Kong)/South-Korea#tab=box-office,2016/11/25,-,"$6,899", ,23,$300,"  $972,342",weekend,464,
1,https://www.the-numbers.com/movie/Bu-neng-shuo-de-mi-mi-(Hong-Kong)/South-Korea#tab=box-office,2016/12/02,-,"$5,376",-22%,31,$173,"  $981,711",weekend,465,
2,https://www.the-numbers.com/movie/Bu-neng-shuo-de-mi-mi-(Hong-Kong)/South-Korea#tab=box-office,2020/03/13,20,"$10,681", ,108,$99,"  $967,615",weekend,636,
3,https://www.the-numbers.com/movie/Bu-neng-shuo-de-mi-mi-(Hong-Kong)/South-Korea#tab=box-office,2020/03/20,-,$985,-91%,9,$109,"  $978,654",weekend,637,
0,https://www.the-numbers.com/movie/Evangerion-Shin-Gekijoban-Jo/Australia#tab=box-office,2017/07/21,16,"$40,951", ,15,"$2,730","  $40,951",weekend,1,
0,https://www.the-numbers.com/movie/Evangerion-Shin-Gekijoban-Jo/New-Zealand#tab=box-office,2017/07/21,-,$666, ,1,$666,  $666,weekend,1,
1,https://www.the-numbers.com/movie/Evangerion-Shin-Gekijoban-Jo/New-Zealand#tab=box-office,2017/07/28,20,"$5,450",+718%,6,$908,"  $6,122",weekend,2,
0,https://www.the-numbers.com/movie/Evangerion-Shin-Gekijoban-Jo/South-Korea#tab=box-office,2022/10/14,-,"$9,855", ,13,$758,"  $9,855",weekend,769,
0,https://www.the-numbers.com/movie/Evangerion-Shin-Gekijoban-Jo/Australia#tab=box-office,2017/07/21,16,"$40,951", ,15,"$2,730","  $40,951",weekend,1,
0,https://www.the-numbers.com/movie/Evangerion-Shin-Gekijoban-Jo/New-Zealand#tab=box-office,2017/07/21,-,$666, ,1,$666,  $666,weekend,1,
1,https://www.the-numbers.com/movie/Evangerion-Shin-Gekijoban-Jo/New-Zealand#tab=box-office,2017/07/28,20,"$5,450",+718%,6,$908,"  $6,122",weekend,2,
