,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Theater counts:,Infl. Adj. Dom. BO,Production Budget:,Domestic Releases:,Video Release:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,MPAA Rating:,International Releases:,Franchise:,Production/Financing Companies:,Domestic Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales,International Box Office,Worldwide Box Office
25,https://www.the-numbers.com/movie/Still-Smokin,[],"[['Tommy Chong', 'Director'], ['Tommy Chong', 'Screenwriter'], ['Cheech Marin', 'Screenwriter'], ['George S. Clinton', 'Composer']]","$3,085,705 (19.9% of total gross)",5.04 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"710 opening theaters/730 max. theaters, 6.9 weeks average run per theater","$45,247,393",,"May 6th, 1983 (Wide) by Paramount Pictures",,,vs. Monty Python's The Meaning of LifeCreate your own comparison chart…,"Sketch Comedy, Fictionalized Version of Yourself, Segments, Directing Yourself, Screenplay Written By the Star",Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Netherlands, United States",,,,Cheech & Chong,,"$15,543,000",,,,
26,https://www.the-numbers.com/movie/Blue-Thunder,[],"[['John Badham', 'Director']]","$8,258,149 (19.5% of total gross)",5.12 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,539 opening theaters/1,555 max. theaters, 7.2 weeks average run per theater","$123,178,868",,"May 13th, 1983 (Wide) by Sony Pictures","May 15th, 1995 by Sony Pictures Home Entertainment",,vs. FlashdanceCreate your own comparison chart…,,Original Screenplay,Action,Live Action,Contemporary Fiction,United States,English,R,,,,"$42,313,354",,,,
27,https://www.the-numbers.com/movie/Breathless-(1983),['Richard Gere'],"[['Jim McBride', 'Director'], ['L.M. Kit Carson', 'Screenwriter'], ['Jim McBride', 'Screenwriter']]","$4,384,369 (22.0% of total gross)",4.54 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,161 opening theaters/1,166 max. theaters, 5.0 weeks average run per theater","$57,960,223","$7,000,000 (worldwide box office is 2.8 times production budget)","May 13th, 1983 (Wide) by Orion Pictures","August 14th, 2012 by Anchor Bay Home Entertainment",97 minutes,vs. The Break-UpCreate your own comparison chart…,"Film Noir, Action Thriller, Police Shooting, Car Chase",Remake,Action,Live Action,Contemporary Fiction,United States,English,"R for bloody violence.(Rating bulletin 2205, 1/11/2012)",,,,"$19,910,002",,,,
28,https://www.the-numbers.com/movie/Spacehunter-Adventures-in-the-Forbidden-Zone,[],[],"$7,053,016 (42.8% of total gross)",2.34 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,338 opening theaters/1,344 max. theaters, 3.1 weeks average run per theater","$47,970,058",,"May 20th, 1983 (Wide) by Sony Pictures","May 2nd, 2017 by Mill Creek Entertainment",,vs. Star Wars Ep. VI: Return of the JediCreate your own comparison chart…,3-D - Shot in 3-D,Original Screenplay,Adventure,Live Action,Science Fiction,"Canada, United States",,,,,,"$16,478,265","$83,384","$83,384",,
29,https://www.the-numbers.com/movie/Star-Wars-Ep-VI-Return-of-the-Jedi,"['Billy Dee Williams', 'Anthony Daniels', 'David Prowse', 'Kenny Baker', 'Peter Mayhew', 'Frank Oz', 'Mark Hamill', 'Harrison Ford', 'Carrie Fisher']","[['Richard Marquand', 'Director'], ['Lawrence Kasdan', 'Screenwriter'], ['George Lucas', 'Screenwriter'], ['George Lucas', 'Story by'], ['Howard Kazanjian', 'Producer'], ['George Lucas', 'Executive Producer'], ['John Williams', 'Composer']]","$23,019,618 (7.3% of total gross)",13.75 (domestic box office/biggest weekend),65.6% (domestic box office/worldwide),"1,002 opening theaters/2,111 max. theaters, 19.3 weeks average run per theater","$852,828,248","$32,500,000 (worldwide box office is 14.8 times production budget)","May 25th, 1983 (Wide) by 20th Century FoxMarch 29th, 1985 (Wide) by 20th Century FoxMarch 14th, 1997 (Wide) by 20th Century FoxApril 28th, 2023 (Limited) by 20th Century Studios","September 12th, 2006 by Fox Home Entertainment, released as Star Wars Episode VI - Return of the Jedi (1983 & 2004 versions)",133 minutes,vs. Star Wars Ep. I: The Phantom MenaceCreate your own comparison chart…,Visual Effects,Original Screenplay,Adventure,Live Action,Science Fiction,United States,English,PG for sci-fi action violence,"June 2nd, 1983 (Wide) (United Kingdom)
October 27th, 1983 (Wide) (Australia)
April 24th, 1997 (Wide) (New Zealand)
September 25th, 2020 (Special Engagement) (Australia)
April 28th, 2023 (Limited), released as Star Wars: Episode VI - Return Of The Jedi (40th Anniversary) (United Kingdom)
... Show all releases
",Star Wars,Lucasfilm,"$316,465,003","$3,405,297","$3,405,297","$165,900,281","$482,365,284"
30,https://www.the-numbers.com/movie/Chained-Heat,"['Stella Stevens', 'Henry Silva', 'Linda Blair', 'John Vernon', 'Sybil Danning', 'Tamara Dobson']","[['Paul Nicholas', 'Director'], ['Vincent Mongol*', 'Screenwriter'], ['Paul Nicholas', 'Screenwriter']]","$2,252,682 (36.6% of total gross)",2.73 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"404 opening theaters/417 max. theaters, 2.6 weeks average run per theater","$17,903,279",,"May 27th, 1983 (Wide) by Jensen Farley Pictures",,95 minutes,vs. The Concrete JungleCreate your own comparison chart…,"Crime Drama, Cruel Wardens or Prison Guards, Prison, Prison Riot, Bigotry",Original Screenplay,Drama,Live Action,Contemporary Fiction,"German Democratic Republic, United States",,,,Chained Heat,,"$6,149,983",,,,
31,https://www.the-numbers.com/movie/Man-with-Two-Brains-The,[],"[['Carl Reiner', 'Director'], ['Steve Martin', 'Screenwriter'], ['Carl Reiner', 'Screenwriter'], ['George Gipe', 'Screenwriter']]","$3,498,931 (33.8% of total gross)",2.96 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,203 opening theaters/1,203 max. theaters, 3.2 weeks average run per theater","$30,140,002",,"June 3rd, 1983 (Wide) by Warner Bros.",,,vs. The JerkCreate your own comparison chart…,"Body Swap, Farcical / Slapstick Comedy, Serial Killer, Relationships Gone Wrong, Gold Digger, Screenplay Written By the Star",Original Screenplay,Comedy,Live Action,Science Fiction,United States,,,,,,"$10,353,438",,,,
32,https://www.the-numbers.com/movie/Psycho-II,[],"[['Richard Franklin', 'Director'], ['Jerry Goldsmith', 'Composer']]","$8,310,244 (26.0% of total gross)",3.85 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,448 opening theaters/1,448 max. theaters, 5.5 weeks average run per theater","$93,155,554",,"June 3rd, 1983 (Wide) by Universal",,113 minutes,vs. The House on Sorority RowCreate your own comparison chart…,"Delayed Sequel, Mental Illness, Framed, Serial Killer, Dysfunctional Family, Surprise Twist, Psychological Horror, Familial Murder",Original Screenplay,Horror,Live Action,Contemporary Fiction,United States,,,,Psycho,,"$32,000,000",,,,
33,https://www.the-numbers.com/movie/WarGames,[],"[['John Badham', 'Director']]","$6,227,804 (8.4% of total gross)",11.95 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"843 opening theaters/977 max. theaters, 17.6 weeks average run per theater","$216,685,165","$12,000,000 (worldwide box office is 6.2 times production budget)","June 3rd, 1983 (Wide) by MGM","April 29th, 1998 by MGM Video",,vs. Under the SkinCreate your own comparison chart…,"Video Game, Artificial Intelligence, Techno-Thriller",Original Screenplay,Thriller/Suspense,Live Action,Science Fiction,United States,,R,,,,"$74,433,837",,,,
34,https://www.the-numbers.com/movie/Trading-Places,"['Ralph Bellamy', 'Don Ameche', 'Denholm Elliott', 'Jamie Lee Curtis', 'Dan Aykroyd', 'Eddie Murphy']","[['John Landis', 'Director'], ['Aaron Russo', 'Producer'], ['Timothy Harris*', 'Screenwriter'], ['Herschel Weingrod', 'Screenwriter'], ['George Folsey, Jr.', 'Executive Producer'], ['Elmer Bernstein', 'Composer']]","$7,348,200 (8.1% of total gross)",12.30 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,375 opening theaters/1,387 max. theaters, 13.3 weeks average run per theater","$263,164,438",,"June 8th, 1983 (Wide) by Paramount Pictures","September 24th, 2002 by Paramount Home Video",116 minutes,vs. Star Wars Ep. VI: Return of the JediCreate your own comparison chart…,"Rags to Riches, Prostitution, Gambling, Confidence Men",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,English,R,,,Paramount Pictures,"$90,400,000",,,,
35,https://www.the-numbers.com/movie/Octopussy,['Roger Moore'],"[['John Glen', 'Director'], ['Michael G. Wilson', 'Screenwriter'], ['Michael G. Wilson', 'Executive Producer'], ['Albert R. Broccoli', 'Producer']]","$8,902,564 (13.1% of total gross)",7.63 (domestic box office/biggest weekend),36.2% (domestic box office/worldwide),"1,311 opening theaters/1,339 max. theaters, 10.0 weeks average run per theater","$197,664,439","$27,500,000 (worldwide box office is 6.8 times production budget)","June 10th, 1983 (Wide) by MGM","February 12th, 2013 by Fox/MGM",131 minutes,vs. RocknRollaCreate your own comparison chart…,"Secret Agent, Action Thriller, East Germany, Set in West Germany, Set in East / West Berlin, Set in India, Smuggler, Cold War",Based on Fiction Book/Short Story,Action,Live Action,Contemporary Fiction,United Kingdom,English,PG,"September 25th, 2020 (Limited) (Australia)
March 25th, 2022 (Limited), released as Octopussy (Re: 2022) (United Kingdom)
",James Bond,"Eon Productions, United Artists","$67,900,000",,,"$119,600,000","$187,500,000"
36,https://www.the-numbers.com/movie/Superman-III,[],"[['Richard Lester', 'Director']]","$13,352,357 (22.3% of total gross)",4.49 (domestic box office/biggest weekend),74.8% (domestic box office/worldwide),"1,759 opening theaters/1,763 max. theaters, 6.0 weeks average run per theater","$174,522,917","$39,000,000 (worldwide box office is 2.1 times production budget)","June 17th, 1983 (Wide) by Warner Bros.",,,vs. Superman IICreate your own comparison chart…,"D.C. Comics, Visual Effects",Based on Comic/Graphic Novel,Adventure,Live Action,Super Hero,United Kingdom,English,PG,,Superman,,"$59,950,623",,,"$20,249,377","$80,200,000"
37,https://www.the-numbers.com/movie/Survivors-The,[],"[['Michael Ritchie', 'Director'], ['Michael Leeson', 'Screenwriter']]","$3,044,927 (21.7% of total gross)",4.60 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,006 opening theaters/1,014 max. theaters, 3.6 weeks average run per theater","$40,755,551",,"June 22nd, 1983 (Wide) by Sony Pictures",,102 minutes,Create your own comparison chart…,"Crime Comedy, Survivalist, Hitmen, Revenge, Set in New York City, Set in Vermont",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,,,,,,"$14,000,000",,,,
38,https://www.the-numbers.com/movie/Porkys-II-The-Next-Day,[],"[['Bob Clark', 'Director']]","$7,054,988 (20.9% of total gross)",4.79 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,511 opening theaters/1,564 max. theaters, 5.8 weeks average run per theater","$98,276,972",,"June 24th, 1983 (Wide) by 20th Century Fox",,,vs. Private SchoolCreate your own comparison chart…,"Teenage Sex Comedy, Ku Klux Klan, Political, Political Campaign",Original Screenplay,Comedy,Live Action,Historical Fiction,"Canada, United States",English,,,Porky's,,"$33,759,266",,,,
39,https://www.the-numbers.com/movie/Twilight-Zone-The-Movie,"['Dan Aykroyd', 'Albert Brooks', 'Scatman Crothers', 'John Lithgow', 'Vic Morrow', 'Kathleen Quinlan']","[['George Miller', 'Director'], ['Joe Dante', 'Director'], ['John Landis', 'Director'], ['Steven Spielberg', 'Director'], ['Richard Matheson', 'Screenwriter'], ['George Clayton Johnson', 'Screenwriter'], ['Josh Rogan', 'Screenwriter'], ['John Landis', 'Written By'], ['George Clayton Johnson', 'Story Creator'], ['Frank Marshall', 'Executive Producer'], ['Jerry Goldsmith', 'Composer'], ['Steven Spielberg', 'Producer'], ['John Landis', 'Producer']]","$6,614,366 (22.4% of total gross)",4.46 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,275 opening theaters/1,288 max. theaters, 5.0 weeks average run per theater","$85,877,774","$10,000,000 (worldwide box office is 3.0 times production budget)","June 24th, 1983 (Wide) by Warner Bros.",,101 minutes,vs. E.T. the Extra-TerrestrialCreate your own comparison chart…,"Segments, In a Plane, Scary Kids, Bigotry, Posthumous Release, Voiceover/Narration, Archival Footage of Previous Installment, Genre Mashup, Supernatural, Monster, Time Travel",Based on TV,Horror,Live Action,Fantasy,United States,,PG,,,Warner Bros.,"$29,500,000",,,,
40,https://www.the-numbers.com/movie/Stroker-Ace,[],"[['Hal Needham', 'Director'], ['Hugh Wilson', 'Screenwriter'], ['Hal Needham', 'Screenwriter']]","$4,668,135 (35.9% of total gross)",2.78 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,385 opening theaters/1,385 max. theaters, 3.0 weeks average run per theater","$37,844,443",,"July 1st, 1983 (Wide) by Universal","October 20th, 1998 by Warner Home Video",94 minutes,vs. The Lonely LadyCreate your own comparison chart…,"Auto Racing, Sports Comedy, Romance, Professional Rivalry, NASCAR",Based on Fiction Book/Short Story,Comedy,Live Action,Contemporary Fiction,United States,,,,,,"$13,000,000",,,,
41,https://www.the-numbers.com/movie/Staying-Alive,[],"[['Sylvester Stallone', 'Director']]","$12,146,143 (19.0% of total gross)",5.26 (domestic box office/biggest weekend),50.7% (domestic box office/worldwide),"1,660 opening theaters/1,747 max. theaters, 7.4 weeks average run per theater","$185,849,619",,"July 15th, 1983 (Wide) by Paramount Pictures","October 8th, 2002 by Paramount Home Video",,vs. Saturday Night FeverCreate your own comparison chart…,,Based on Fiction Book/Short Story,Musical,Live Action,Contemporary Fiction,United States,English,PG,,Saturday Night Fever,,"$63,841,474",,,"$62,200,000","$126,041,474"
