,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Production Budget:,Theater counts:,Infl. Adj. Dom. BO,Domestic Releases:,Video Release:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,Franchise:,Production/Financing Companies:,International Releases:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
71,https://www.the-numbers.com/movie/Scary-Movie,"['Lochlyn Munro', 'Regina Hall', 'Dave Sheridan', 'Dan Joffre', 'Carmen Electra', 'Kurt Fuller', 'David L. Lander', 'Shawn Wayans', 'Marlon Wayans', 'Cheri Oteri', 'Shannon Elizabeth', 'Anna Faris']","[['Keenen Ivory Wayans', 'Director'], ['Shawn Wayans', 'Screenwriter'], ['Marlon Wayans', 'Screenwriter'], ['Buddy Johnson', 'Screenwriter'], ['Phil Beauman', 'Screenwriter'], ['Jason Friedberg', 'Screenwriter'], ['Aaron Seltzer', 'Screenwriter'], ['Eric L. Gold', 'Producer'], ['Lee R. Mayes', 'Producer'], ['Brad Grey', 'Executive Producer'], ['Peter Safran', 'Executive Producer'], ['Lisa Suzanne Blum', 'Co-Producer']]","$42,346,669 (27.0% of total gross)",3.71 (domestic box office/biggest weekend),56.6% (domestic box office/worldwide),"$19,000,000 (worldwide box office is 14.6 times production budget)","2,912 opening theaters/3,301 max. theaters, 8.6 weeks average run per theater","$267,137,524","July 7th, 2000 (Wide) by Miramax/Dimension","December 12th, 2000 by Dimension Home","R for strong crude sexual humor, language, drug use and violence",88 minutes,vs. Nutty Professor II: The KlumpsCreate your own comparison chart…,"Spoof, Horror Comedy",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,English,Scary Movie,"Wayans Brothers Entertainment, Gold-Miller, Brad Grey",,"$157,019,771","$120,180,229","$277,200,000",,
72,https://www.the-numbers.com/movie/X-Men-(2000),"['Halle Berry', 'Famke Janssen', 'James Marsden', 'Bruce Davison', 'Rebecca Romijn-Stamos*', 'Ray Park', 'Tyler Mane', 'Anna Paquin', 'Patrick Stewart', 'Hugh Jackman', 'Ian McKellen']","[['Bryan Singer', 'Director'], ['David Hayter', 'Screenwriter'], ['Tom DeSanto', 'Story Creator'], ['Bryan Singer', 'Story Creator'], ['Stan Lee', 'Based on the Marvel Comics series'], ['Lauren Shuler Donner', 'Producer'], ['Ralph Winter', 'Producer'], ['Avi Arad', 'Executive Producer'], ['Stan Lee', 'Executive Producer'], ['Richard Donner', 'Executive Producer'], ['Tom DeSanto', 'Executive Producer'], ['Joel Simon', 'Co-Producer'], ['Michael Kamen', 'Composer'], ['William S. Todman, Jr.', 'Co-Producer'], ['John Wright', 'Editor']]","$54,471,475 (34.6% of total gross)",2.89 (domestic box office/biggest weekend),53.0% (domestic box office/worldwide),"$75,000,000 (worldwide box office is 4.0 times production budget)","3,025 opening theaters/3,112 max. theaters, 7.0 weeks average run per theater","$267,613,795","July 14th, 2000 (Wide) by 20th Century Fox","November 21st, 2000 by Fox Home EntertainmentNovember 1st, 2016 by Fox Home Entertainment, released as X-Men Collection",PG-13 for sci-fi action violence,104 minutes,vs. X-Men 2Create your own comparison chart…,"Visual Effects, Marvel Comics, Mutants, Terrorism, 2000s, High School, Set in New York, 1940s, Nazis",Based on Comic/Graphic Novel,Action,Live Action,Super Hero,United States,English,X-Men,"20th Century Fox, Marvel Studios, Donners’ Company, Bad Hat Harry Productions",,"$157,299,717","$139,572,650","$296,872,367",,
73,https://www.the-numbers.com/movie/In-Crowd-The,[],"[['Mary Lambert', 'Director'], ['Mark Gibson', 'Screenwriter'], ['Philip Halprin', 'Screenwriter']]","$1,505,551 (28.9% of total gross)",3.47 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$15,000,000 (worldwide box office is 0.3 times production budget)","1,357 opening theaters/1,357 max. theaters, 2.4 weeks average run per theater","$8,876,514","July 19th, 2000 (Wide) by Warner Bros.",,"PG-13 for violence, sexuality, language and drug content",105 minutes,vs. TuristasCreate your own comparison chart…,"Psychological Thriller, Famously Bad, Mental Hospital, Mental Illness, Dysfunctional Family, Sibling Rivalry, Death of a Sibling, Familial Murder, Framed",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,United States,English,,,,"$5,217,498",,,,
74,https://www.the-numbers.com/movie/Loser,[],"[['Amy Heckerling', 'Director']]","$6,008,611 (38.9% of total gross)",2.57 (domestic box office/biggest weekend),84.7% (domestic box office/worldwide),"$20,000,000 (worldwide box office is 0.9 times production budget)","2,016 opening theaters/2,016 max. theaters, 2.9 weeks average run per theater","$26,308,923","July 21st, 2000 (Wide) by Sony Pictures",,"R for language, drug content, violence and some sexuality",,vs. The SwitchCreate your own comparison chart…,"College, Romance",Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,United States,,,,,"$15,464,026","$2,786,080","$18,250,106",,
75,https://www.the-numbers.com/movie/Pokemon-2000,[],[],"$19,575,608 (44.7% of total gross)",2.23 (domestic box office/biggest weekend),32.7% (domestic box office/worldwide),"$30,000,000 (worldwide box office is 4.5 times production budget)","2,752 opening theaters/2,752 max. theaters, 4.7 weeks average run per theater","$74,426,581","July 21st, 2000 (Wide) by Warner Bros.",,G,,vs. Pokemon: The First MovieCreate your own comparison chart…,"Toy Adaptations, Anime",Based on TV,Adventure,Hand Animation,Kids Fiction,Japan,,Pokemon,,"November 19th, 2020 (Limited) (Australia)
","$43,746,923","$90,200,000","$133,946,923",,
76,https://www.the-numbers.com/movie/What-Lies-Beneath,"['Harrison Ford', 'Michelle Pfeiffer']","[['Robert Zemeckis', 'Director'], ['Clark Gregg', 'Screenwriter'], ['Sarah Kernochan', 'Story Creator'], ['Clark Gregg', 'Story Creator'], ['Steve Starkey', 'Producer'], ['Robert Zemeckis', 'Producer'], ['Jack Rapke', 'Producer'], ['Joan Bradshaw', 'Executive Producer'], ['Mark Johnson', 'Executive Producer'], ['Alan Silvestri', 'Composer']]","$29,702,959 (19.1% of total gross)",5.23 (domestic box office/biggest weekend),53.9% (domestic box office/worldwide),"$90,000,000 (worldwide box office is 3.2 times production budget)","2,813 opening theaters/2,925 max. theaters, 11.1 weeks average run per theater","$264,491,291","July 21st, 2000 (Wide) by Dreamworks SKG","January 31st, 2001 by Dreamworks Video","PG-13 for terror/violence, sensuality and brief language",126 minutes,vs. Cast AwayCreate your own comparison chart…,,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,United States,English,,"DreamWorks Pictures, 20th Century Fox, ImageMovers",,"$155,464,351","$133,229,638","$288,693,989",,
77,https://www.the-numbers.com/movie/Thomas-and-the-Magic-Railroad,"['Peter Fonda', 'Mara Wilson', 'Alec Baldwin']","[['Britt Allcroft', 'Director'], ['Barry London', 'Producer'], ['Brent Baum', 'Producer'], ['Britt Allcroft', 'Producer'], ['Charles Falzon', 'Producer']]","$4,154,932 (26.1% of total gross)",3.83 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$19,000,000 (worldwide box office is 0.8 times production budget)","2,106 opening theaters/2,110 max. theaters, 4.1 weeks average run per theater","$27,069,923","July 26th, 2000 (Wide) by Destination FilmsOctober 24th, 2020 (Special Engagement) by Shout! Factory","October 31st, 2000 by Sony Pictures Home Entertainment",G,85 minutes,vs. The Powerpuff GirlsCreate your own comparison chart…,Family Movie,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,Kids Fiction,United States,English,,"Gullane, Destination Films, Isle of Man Film",,"$15,911,332",,,,
78,https://www.the-numbers.com/movie/Nutty-Professor-II-The-Klumps,[],"[['David Newman', 'Composer'], ['Peter Segal', 'Director']]","$42,518,830 (34.5% of total gross)",2.90 (domestic box office/biggest weekend),74.1% (domestic box office/worldwide),"$84,000,000 (worldwide box office is 2.0 times production budget)","3,242 opening theaters/3,251 max. theaters, 8.0 weeks average run per theater","$209,783,640","July 28th, 2000 (Wide) by Universal","December 5th, 2000 by Universal Home Entertainment",PG-13 for crude humor and sex-related material,106 minutes,vs. Scary MovieCreate your own comparison chart…,"Visual Effects, Fat Suit, Same Actor, Multiple Roles",Remake,Comedy,Live Action,Contemporary Fiction,United States,English,Nutty Professor,,,"$123,307,945","$43,000,000","$166,307,945",,
79,https://www.the-numbers.com/movie/Coyote-Ugly,"['Adam Garcia', 'Melanie Lynskey', 'John Goodman', 'Piper Perabo', 'Maria Bello']","[['David McNally', 'Director'], ['Gina Wendkos', 'Screenwriter'], ['Jerry Bruckheimer', 'Producer'], ['Chad Oman', 'Producer'], ['Mike Stenson', 'Executive Producer'], ['Scott Gardenhour', 'Executive Producer'], ['Jon Hutman', 'Production Designer'], ['William Goldenberg', 'Editor'], ['Trevor Horn', 'Composer'], ['Amir Mokri', 'Director of Photography']]","$17,319,282 (28.5% of total gross)",3.51 (domestic box office/biggest weekend),53.4% (domestic box office/worldwide),"$45,000,000 (worldwide box office is 2.5 times production budget)","2,653 opening theaters/2,664 max. theaters, 7.0 weeks average run per theater","$103,415,592","August 4th, 2000 (Wide) by Walt Disney","June 12th, 2001 by Walt Disney Home Entertainment",PG-13 for sensuality.,101 minutes,vs. Gone in 60 SecondsCreate your own comparison chart…,"Musicians, Comedy Drama",Based on Real Life Events,Drama,Live Action,Contemporary Fiction,United States,English,,"Touchstone Pictures, Jerry Bruckheimer Films","December 29th, 2000 (Wide) (Australia)
","$60,786,269","$53,130,205","$113,916,474",,
80,https://www.the-numbers.com/movie/Hollow-Man,"['Josh Brolin', 'Kim Dickens', 'Greg Grunberg', 'Joey Slotnick', 'Mary Jo Randle', 'William Devane', 'Elisabeth Shue', 'Kevin Bacon']","[['Paul Verhoeven', 'Director'], ['Jerry Goldsmith', 'Composer']]","$26,414,386 (36.1% of total gross)",2.77 (domestic box office/biggest weekend),38.3% (domestic box office/worldwide),"$90,000,000 (worldwide box office is 2.1 times production budget)","2,956 opening theaters/2,956 max. theaters, 5.6 weeks average run per theater","$141,936,467","August 4th, 2000 (Wide) by Sony Pictures","January 2nd, 2001 by Columbia Pictures Home Entertainment","R for strong violence, language and some sexuality/nudity.",112 minutes,vs. Resident Evil: AfterlifeCreate your own comparison chart…,Slasher Horror,Original Screenplay,Horror,Live Action,Science Fiction,United States,English,Hollow Man,,,"$73,209,340","$117,990,660","$191,200,000",,
