,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Production Budget:,Theater counts:,Infl. Adj. Dom. BO,Domestic Releases:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,International Releases:,Production/Financing Companies:,Video Release:,Franchise:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
111,https://www.the-numbers.com/movie/Trapped,"['Courtney Love', 'Kevin Bacon', 'Pruitt Taylor Vince', 'Dakota Fanning', 'Charlize Theron', 'Stuart Townsend']","[['Luis Mandoki', 'Director'], ['Mimi Polk Gitlin*', 'Producer'], ['Luis Mandoki', 'Producer'], ['Greg Iles', 'Screenwriter'], ['Greg Iles', 'Story based on the book by'], ['Mark Canton', 'Executive Producer'], ['Hanno Huth', 'Executive Producer'], ['Neil Canton', 'Executive Producer'], ['Glen Ballard', 'Executive Producer'], ['Ricky Hess', 'Executive Producer'], ['Frederick Elmes', 'Director of Photography'], ['Piotr Sobocinski', 'Director of Photography'], ['Richard Sylbert', 'Production Designer'], ['Jerry Greenberg', 'Editor'], ['Carsten Lorenz', 'Co-Producer'], ['Nathan Kahane', 'Co-Producer'], ['Michael McDonnell', 'Co-Producer'], ['John Ottman', 'Composer'], ['Michael Kaplan', 'Costume Designer'], ['Louis DiGiaimo', 'Casting Director']]","$3,210,765 (46.4% of total gross)",2.15 (domestic box office/biggest weekend),98.7% (domestic box office/worldwide),"$30,000,000 (worldwide box office is 0.2 times production budget)","2,227 opening theaters/2,227 max. theaters, 2.5 weeks average run per theater","$10,916,986","September 20th, 2002 (Wide) by Sony Pictures","R for violence, language and sexual content",101 minutes,vs. Secret in Their EyesCreate your own comparison chart…,"Kidnap, Crime Thriller, Crime, Doctors, Revenge, Death of a Son or Daughter",Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Contemporary Fiction,"Germany, United States",English,"April 25th, 2003 (Limited) (United Kingdom)
","Columbia Pictures, Senator Entertainment, Canton Company, Mandolin Entertainment, Propaganda Films","December 24th, 2002 by Sony Pictures Home Entertainment",,"$6,916,869","$88,599","$7,005,468",,
112,https://www.the-numbers.com/movie/Moonlight-Mile,[],"[['Brad Silberling', 'Director'], ['Mark Isham', 'Composer'], ['Brad Silberling', 'Screenwriter']]","$329,771 (4.8% of total gross)",3.63 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$21,000,000 (worldwide box office is 0.3 times production budget)","22 opening theaters/437 max. theaters, 5.7 weeks average run per theater","$10,778,932","September 27th, 2002 (Limited) by Walt Disney",PG-13 for some sensuality and brief strong language,117 minutes,vs. Bad Lieutenant: Port of Call New OrleansCreate your own comparison chart…,"Romantic Drama, Inspired by a True Story, Autobiographical, Death of a Girlfriend / Boyfriend, Death of a Son or Daughter, Romance, Missing in Action",Original Screenplay,Drama,Live Action,Contemporary Fiction,United States,,,,,,"$6,830,957",,,,
113,https://www.the-numbers.com/movie/Sweet-Home-Alabama,"['Josh Lucas', 'Patrick Dempsey', 'Fred Ward', 'Mary Kay Place', 'Jean Smart', 'Candice Bergen', 'Reese Witherspoon']","[['Andy Tennant', 'Director'], ['C. Jay Cox', 'Screenwriter'], ['Douglas J. Eboch', 'Story Creator'], ['Neal H. Moritz', 'Producer'], ['Stokely Chaffin', 'Producer'], ['Jon Jashni', 'Executive Producer'], ['Wink Mordaunt', 'Executive Producer'], ['Michael Fottrell', 'Executive Producer'], ['Andrew Dunn', 'Director of Photography'], ['Clay A. Griffith', 'Production Designer'], ['Troy Takaki', 'Editor'], ['Tracey Wadmore-Smith', 'Editor'], ['George Fenton', 'Composer'], ['R.J. Palmer', 'Sound Editor']]","$35,648,740 (28.0% of total gross)",3.57 (domestic box office/biggest weekend),69.8% (domestic box office/worldwide),"$38,000,000 (worldwide box office is 4.8 times production budget)","3,293 opening theaters/3,313 max. theaters, 7.9 weeks average run per theater","$200,718,737","September 27th, 2002 (Wide) by Walt Disney",PG-13 for some language/sexual references,109 minutes,vs. HitchCreate your own comparison chart…,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,English,,Touchstone Pictures,"February 4th, 2003 by Buena Vista Home Entertainment",,"$127,214,072","$55,151,042","$182,365,114",,
114,https://www.the-numbers.com/movie/Tuxedo-The,"['Jason Isaacs', 'Debi Mazar', 'Peter Stormare', 'Jackie Chan', 'Jennifer Love Hewitt']","[['Kevin Donovan', 'Director'], ['Christophe Beck', 'Composer'], ['John Debney', 'Composer']]","$15,051,028 (29.8% of total gross)",3.36 (domestic box office/biggest weekend),48.4% (domestic box office/worldwide),"$60,000,000 (worldwide box office is 1.7 times production budget)","3,022 opening theaters/3,022 max. theaters, 5.4 weeks average run per theater","$79,817,688","September 27th, 2002 (Wide) by Dreamworks SKG","PG-13 for action violence, sexual content and language",98 minutes,vs. Resident Evil: RetributionCreate your own comparison chart…,"Action Comedy, Secret Agent, Mistaken Identity",Original Screenplay,Action,Live Action,Science Fiction,United States,"Cantonese, English",,"DreamWorks Pictures, Vanguard Films, Parkes+Macdonald Productions","February 25th, 2003 by Dreamworks Video",,"$50,586,000","$53,843,625","$104,429,625",,
115,https://www.the-numbers.com/movie/Wasabi,[],[],"$17,560 (21.5% of total gross)",3.34 (domestic box office/biggest weekend),1.2% (domestic box office/worldwide),"$15,300,000 (worldwide box office is 0.5 times production budget)","5 opening theaters/10 max. theaters, 2.6 weeks average run per theater","$128,664","September 27th, 2002 (Limited) by Sony Pictures",R,,vs. Khiladi 786Create your own comparison chart…,,,,,,,,,,,,"$81,525","$6,918,475","$7,000,000",,
116,https://www.the-numbers.com/movie/Jonah-A-VeggieTales-Movie,[],[],"$6,201,345 (24.3% of total gross)",4.12 (domestic box office/biggest weekend),99.9% (domestic box office/worldwide),"$14,000,000 (worldwide box office is 1.8 times production budget)","940 opening theaters/1,625 max. theaters, 7.3 weeks average run per theater","$40,350,192","October 4th, 2002 (Wide) by ArtisanMay 15th, 2023 (Wide) by Seven Minds Family Films",G for General Audiences,,vs. FrozenCreate your own comparison chart…,Religious,Based on Religious Text,Adventure,Digital Animation,Kids Fiction,United States,English,,,"March 4th, 2003 by Lionsgate Home Entertainment, released as Jonah - A VeggieTales Movie",VeggieTales,"$25,571,351","$37,428","$25,608,779",,
117,https://www.the-numbers.com/movie/Red-Dragon,"['Ralph Fiennes', 'Harvey Keitel', 'Emily Watson', 'Mary-Louise Parker', 'Philip Seymour Hoffman', 'Anthony Hopkins', 'Edward Norton']","[['Brett Ratner', 'Director'], ['Ted Tally', 'Screenwriter'], ['Thomas Harris', 'Story Creator'], ['Dino De Laurentiis', 'Producer'], ['Martha De Laurentiis', 'Producer'], ['Andrew Z. Davis', 'Executive Producer'], ['Dante Spinotti', 'Director of Photography'], ['Kristi Zea', 'Production Designer'], ['Mark Helfrich', 'Editor'], ['Francine Maisler', 'Casting Director'], ['Betsy Heimann', 'Costume Designer'], ['Danny Elfman', 'Composer']]","$36,540,945 (39.3% of total gross)",2.54 (domestic box office/biggest weekend),45.0% (domestic box office/worldwide),"$78,000,000 (worldwide box office is 2.6 times production budget)","3,357 opening theaters/3,363 max. theaters, 5.1 weeks average run per theater","$146,712,765","October 4th, 2002 (Wide) by Universal",R,124 minutes,vs. HulkCreate your own comparison chart…,"Serial Killer, Cannibalism",Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Contemporary Fiction,United States,English,,"Universal Pictures, Imagine Entertainment","August 5th, 2003 by Universal Home Entertainment",Hannibal Lecter,"$92,955,420","$113,500,000","$206,455,420",,
118,https://www.the-numbers.com/movie/Bowling-for-Columbine,[],"[['Michael Moore', 'Director'], ['Jeff Gibbs', 'Composer']]","$209,148 (1.0% of total gross)",13.84 (domestic box office/biggest weekend),37.0% (domestic box office/worldwide),"$3,000,000 (worldwide box office is 19.4 times production budget)","8 opening theaters/248 max. theaters, 19.5 weeks average run per theater","$33,734,403","October 11th, 2002 (Limited) by MGM",R,119 minutes,vs. MilkCreate your own comparison chart…,,Based on Real Life Events,Documentary,Live Action,Factual,United States,English,"November 15th, 2002 (Wide) (United Kingdom)
",,"August 19th, 2003 by MGM Video",,"$21,576,018","$36,664,469","$58,240,487",,
119,https://www.the-numbers.com/movie/Brown-Sugar,[],[],"$10,738,882 (39.2% of total gross)",2.55 (domestic box office/biggest weekend),96.6% (domestic box office/worldwide),"$8,000,000 (worldwide box office is 3.5 times production budget)","1,372 opening theaters/1,378 max. theaters, 4.7 weeks average run per theater","$43,183,758","October 11th, 2002 (Wide) by 20th Century Fox",PG-13 for sexual content and language,,vs. The Best ManCreate your own comparison chart…,"African Americans, Romance",Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,,,"July 18th, 2003 (Wide) (United Kingdom)
",,"February 11th, 2003 by Fox Home Entertainment",,"$27,362,712","$952,560","$28,315,272",,
120,https://www.the-numbers.com/movie/Knockaround-Guys,"['Andrew Davoli', 'Barry Pepper', 'Vin Diesel', 'Seth Green', 'Dennis Hopper', 'John Malkovich']","[['Brian Koppelman', 'Director'], ['David Levien', 'Director'], ['Brian Koppelman', 'Screenwriter'], ['David Levien', 'Screenwriter'], ['Clint Mansell', 'Composer']]","$5,016,852 (43.0% of total gross)",2.32 (domestic box office/biggest weekend),93.9% (domestic box office/worldwide),"$15,000,000 (worldwide box office is 0.8 times production budget)","1,806 opening theaters/1,806 max. theaters, 2.9 weeks average run per theater","$18,403,411","October 11th, 2002 (Wide) by New Line","R for violence, language and some drug use",92 minutes,vs. One DayCreate your own comparison chart…,"Mafia, Crime Drama, Dysfunctional Family, Father’s Footsteps, Organized Crime, No Honor Among Thieves, Found Money, Sheriff",Original Screenplay,Drama,Live Action,Contemporary Fiction,United States,English,"March 13th, 2003 (Wide) (Australia)
",,,,"$11,660,180","$759,520","$12,419,700",,
