,id,date,rank,gross,pct_change,theaters,per_theater,total_gross,kind,kind_num,pct_lw
0,https://www.the-numbers.com/movie/Where-Eagles-Dare/New-Zealand#tab=box-office,2020/12/11,-,$218, ,1,$218,  $218,weekend,1,
1,https://www.the-numbers.com/movie/Where-Eagles-Dare/New-Zealand#tab=box-office,2021/02/19,-,$164, ,1,$164,  $436,weekend,11,
0,https://www.the-numbers.com/movie/Where-Eagles-Dare/New-Zealand#tab=box-office,2020/12/11,-,$218, ,1,$218,  $218,weekend,1,
1,https://www.the-numbers.com/movie/Where-Eagles-Dare/New-Zealand#tab=box-office,2021/02/19,-,$164, ,1,$164,  $436,weekend,11,
0,https://www.the-numbers.com/movie/Love-Bug-The/Australia#tab=box-office,2020/10/09,-,$297, ,1,$297,"  $5,223",weekend,1,
0,https://www.the-numbers.com/movie/Love-Bug-The/New-Zealand#tab=box-office,2021/01/08,-,$22, ,1,$22,  $22,weekend,1,
1,https://www.the-numbers.com/movie/Love-Bug-The/New-Zealand#tab=box-office,2021/01/15,-,$17,-23%,1,$17,  $234,weekend,2,
0,https://www.the-numbers.com/movie/Love-Bug-The/Australia#tab=box-office,2020/10/09,-,$297, ,1,$297,"  $5,223",weekend,1,
0,https://www.the-numbers.com/movie/Love-Bug-The/New-Zealand#tab=box-office,2021/01/08,-,$22, ,1,$22,  $22,weekend,1,
1,https://www.the-numbers.com/movie/Love-Bug-The/New-Zealand#tab=box-office,2021/01/15,-,$17,-23%,1,$17,  $234,weekend,2,
0,https://www.the-numbers.com/movie/Midnight-Cowboy/United-Kingdom#tab=box-office,2019/09/13,-,"$11,276", ,6,"$1,879","  $11,276",weekend,1,
0,https://www.the-numbers.com/movie/Midnight-Cowboy/United-Kingdom#tab=box-office,2019/09/13,-,"$11,276", ,6,"$1,879","  $11,276",weekend,1,
0,https://www.the-numbers.com/movie/Once-Upon-a-Time-in-the-West/Australia#tab=box-office,2018/11/23,-,$464, ,1,$464,  $464,weekend,1,
1,https://www.the-numbers.com/movie/Once-Upon-a-Time-in-the-West/Australia#tab=box-office,2019/04/05,-,"$1,122", ,1,"$1,122","  $1,577",weekend,20,
0,https://www.the-numbers.com/movie/Once-Upon-a-Time-in-the-West/Netherlands#tab=box-office,2016/11/04,25,"$20,856", ,16,"$1,304","  $31,327",weekend,1,
1,https://www.the-numbers.com/movie/Once-Upon-a-Time-in-the-West/Netherlands#tab=box-office,2016/11/11,29,"$13,918",-33%,19,$733,"  $55,340",weekend,2,
0,https://www.the-numbers.com/movie/Once-Upon-a-Time-in-the-West/New-Zealand#tab=box-office,2020/11/20,-,$408, ,1,$408,  $408,weekend,1,
1,https://www.the-numbers.com/movie/Once-Upon-a-Time-in-the-West/New-Zealand#tab=box-office,2021/05/28,-,$149, ,1,$149,  $575,weekend,28,
2,https://www.the-numbers.com/movie/Once-Upon-a-Time-in-the-West/New-Zealand#tab=box-office,2021/08/06,-,$247, ,1,$247,  $803,weekend,38,
3,https://www.the-numbers.com/movie/Once-Upon-a-Time-in-the-West/New-Zealand#tab=box-office,2022/11/18,-,$116, ,1,$116,  $592,weekend,105,
0,https://www.the-numbers.com/movie/Once-Upon-a-Time-in-the-West/Portugal#tab=box-office,2020/08/07,-,$570, ,1,$570,  $682,weekend,"2,628",
1,https://www.the-numbers.com/movie/Once-Upon-a-Time-in-the-West/Portugal#tab=box-office,2020/08/28,22,$596, ,1,$596,"  $1,285",weekend,"2,631",
