,id,date,rank,gross,pct_change,theaters,per_theater,total_gross,kind,kind_num,pct_lw
0,https://www.the-numbers.com/movie/Paranormal-Activity-The-Marked-Ones,"Jan 3, 2014",2,"$18,343,611", ,"2,867","$6,398","  $18,343,611",weekend,1,
1,https://www.the-numbers.com/movie/Paranormal-Activity-The-Marked-Ones,"Jan 10, 2014",9,"$6,284,630",-66%,"2,883","$2,180","  $28,456,019",weekend,2,
2,https://www.the-numbers.com/movie/Paranormal-Activity-The-Marked-Ones,"Jan 17, 2014",18,"$1,400,117",-78%,"1,569",$892,"  $31,333,225",weekend,3,
3,https://www.the-numbers.com/movie/Paranormal-Activity-The-Marked-Ones,"Jan 24, 2014",26,"$301,127",-78%,527,$571,"  $32,098,495",weekend,4,
4,https://www.the-numbers.com/movie/Paranormal-Activity-The-Marked-Ones,"Jan 31, 2014",42,"$80,064",-73%,150,$534,"  $32,286,497",weekend,5,
5,https://www.the-numbers.com/movie/Paranormal-Activity-The-Marked-Ones,"Feb 7, 2014",40,"$68,701",-14%,103,$667,"  $32,385,051",weekend,6,
6,https://www.the-numbers.com/movie/Paranormal-Activity-The-Marked-Ones,"Feb 14, 2014",45,"$40,740",-41%,62,$657,"  $32,447,650",weekend,7,
0,https://www.the-numbers.com/movie/Paranormal-Activity-The-Marked-Ones,"Jan 2, 2014",P,"$1,200,000", ,0, ,"  $1,200,000",daily, , 
1,https://www.the-numbers.com/movie/Paranormal-Activity-The-Marked-Ones,"Jan 3, 2014",-,"$8,722,144", ,"2,867","$3,042","  $8,722,144",daily,1, 
2,https://www.the-numbers.com/movie/Paranormal-Activity-The-Marked-Ones,"Jan 4, 2014",-,"$6,494,106",-26%,"2,867","$2,265","  $15,216,250",daily,2, 
3,https://www.the-numbers.com/movie/Paranormal-Activity-The-Marked-Ones,"Jan 5, 2014",-,"$3,127,361",-52%,"2,867","$1,091","  $18,343,611",daily,3, 
4,https://www.the-numbers.com/movie/Paranormal-Activity-The-Marked-Ones,"Jan 6, 2014",4,"$1,100,541",-65%,"2,867",$384,"  $19,444,152",daily,4, 
