,territory,release_date,opening_wknd,opening_wknd_screens,max_screens,theatrical_engagements,total_bo,report_date,url,country_url,int_total,total_report_date
0,Australia,11/5/2020,$305,1,1,1,"$1,514,243",11/13/2020,https://www.the-numbers.com/movie/Intersection,https://www.the-numbers.com/movie/Intersection/Australia#tab=box-office,"$1,514,243",11/13/2020
0,Australia,11/5/2020,$305,1,1,1,"$1,514,243",11/13/2020,https://www.the-numbers.com/movie/Intersection,https://www.the-numbers.com/movie/Intersection/Australia#tab=box-office,"$1,514,243",11/13/2020
0,Turkey,2/27/2015,"$397,578",272,272,"1,078","$1,759,935",12/30/2018,https://www.the-numbers.com/movie/8-Seconds,https://www.the-numbers.com/movie/8-Seconds/Turkey#tab=box-office,"$1,759,935",12/30/2018
0,Turkey,2/27/2015,"$397,578",272,272,"1,078","$1,759,935",12/30/2018,https://www.the-numbers.com/movie/8-Seconds,https://www.the-numbers.com/movie/8-Seconds/Turkey#tab=box-office,"$1,759,935",12/30/2018
0,New Zealand,6/10/1994,$0,0,1,1,$45,9/7/2020,https://www.the-numbers.com/movie/Four-Weddings-and-a-Funeral,https://www.the-numbers.com/movie/Four-Weddings-and-a-Funeral/New-Zealand#tab=box-office,"$190,194,977",2/17/2023
1,United Kingdom,2/10/2023,"$1,492",1,1,1,"$32,386,725",2/17/2023,https://www.the-numbers.com/movie/Four-Weddings-and-a-Funeral,https://www.the-numbers.com/movie/Four-Weddings-and-a-Funeral/United-Kingdom#tab=box-office,"$190,194,977",2/17/2023
2,Rest of World,,,,,,"$157,808,207",,https://www.the-numbers.com/movie/Four-Weddings-and-a-Funeral,,"$190,194,977",2/17/2023
0,New Zealand,6/10/1994,$0,0,1,1,$45,9/7/2020,https://www.the-numbers.com/movie/Four-Weddings-and-a-Funeral,https://www.the-numbers.com/movie/Four-Weddings-and-a-Funeral/New-Zealand#tab=box-office,"$190,194,977",2/17/2023
1,United Kingdom,2/10/2023,"$1,492",1,1,1,"$32,386,725",2/17/2023,https://www.the-numbers.com/movie/Four-Weddings-and-a-Funeral,https://www.the-numbers.com/movie/Four-Weddings-and-a-Funeral/United-Kingdom#tab=box-office,"$190,194,977",2/17/2023
2,Rest of World,,,,,,"$157,808,207",,https://www.the-numbers.com/movie/Four-Weddings-and-a-Funeral,,"$190,194,977",2/17/2023
0,United Kingdom,9/4/2015,"$968,895",427,427,853,"$1,874,203",9/16/2015,https://www.the-numbers.com/movie/No-Escape-(1994),https://www.the-numbers.com/movie/No-Escape-(1994)/United-Kingdom#tab=box-office,"$1,874,203",9/16/2015
0,United Kingdom,9/4/2015,"$968,895",427,427,853,"$1,874,203",9/16/2015,https://www.the-numbers.com/movie/No-Escape-(1994),https://www.the-numbers.com/movie/No-Escape-(1994)/United-Kingdom#tab=box-office,"$1,874,203",9/16/2015
