,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Production Budget:,Theater counts:,Infl. Adj. Dom. BO,International Releases:,Running Time:,Comparisons:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,Domestic Releases:,Production/Financing Companies:,Video Release:,MPAA Rating:,Keywords:,Franchise:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic DVD Sales,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
174,https://www.the-numbers.com/movie/Bones-and-All-(2022),"['Michael Stuhlbarg', 'André Holland', 'Chloë Sevigny', 'David Gordon Green', 'Jessica Harper', 'Jake Horowitz', 'Mark Rylance', 'Taylor Russell', 'Timothée Chalamet']","[['Luca Guadagnino', 'Director'], ['David Kajganich', 'Screenwriter'], ['Camille DeAngelis', 'Story based on the novel by'], ['Luca Guadagnino', 'Producer'], ['David Kajganich', 'Producer'], ['Theresa Park', 'Producer'], [""Francesco Melzi d'Eril"", 'Producer'], ['Marco Morabito', 'Producer'], ['Lorenzo Mieli', 'Producer'], ['Gabriele Moratti', 'Producer'], ['Peter Spears', 'Producer'], ['Timothée Chalamet', 'Producer'], ['Giovanni Corrado', 'Executive Producer'], ['Raffaella Viscardi', 'Executive Producer'], ['Moreno Zani', 'Executive Producer'], ['Marco Colombo', 'Executive Producer'], ['Jonathan Montepare', 'Executive Producer'], ['Trent Reznor', 'Music By'], ['Atticus Ross', 'Music by']]","$121,004 (1.5% of total gross)",3.47 (domestic box office/biggest weekend),55.5% (domestic box office/worldwide),,"5 opening theaters/2,727 max. theaters, 2.7 weeks average run per theater","$7,834,908","November 17th, 2022 (Limited) (New Zealand)
November 23rd, 2022 (Wide) (France)
November 24th, 2022 (Limited) (Australia)
November 24th, 2022 (Wide) (Germany)
November 24th, 2022 (Limited) (Italy)
... Show all releases
",130 minutes,vs. The FabelmansCreate your own comparison chart…,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Historical Fiction,"Italy, United States",English,"November 18th, 2022 (Limited) by United ArtistsNovember 23rd, 2022 (Expands Wide) by United Artists","Frenesy Film, Per Capita, The Apartment, 3 Marys Entertainment S.R.I., Memo Films, Metro-Goldwyn-Mayer Pictures, Tenderstories, Elafilm , Wise Pictures, Excelsa , Serfis, Piace, A Cor Cordium","December 23rd, 2022 by MGM Video","R for strong, bloody and disturbing violent content, language throughout, some sexual content and brief graphic nudity.(Rating bulletin 2736 (cert #53846), 6/15/2022)","Filmed in Ohio, United States, Coming of Age, Romance, Cannibalism, 1980s, Psychological Thriller",,"$7,834,907","$6,284,369","$14,119,276",,,
175,https://www.the-numbers.com/movie/She-Said-(2022),"['Patricia Clarkson', 'Andre Braugher', 'Jennifer Ehle', 'Samantha Morton', 'Carey Mulligan', 'Zoe Kazan']","[['Maria Schrader', 'Director'], ['Rebecca Lenkiewicz', 'Screenwriter'], ['Jodi Kantor', 'Story Creator'], ['Megan Twohey', 'Story Creator'], ['Rebecca Corbett', 'Story Creator'], ['Dede Gardner', 'Producer'], ['Jeremy Kleiner', 'Producer'], ['Brad Pitt', 'Executive Producer'], ['Lila Yacoub', 'Executive Producer'], ['Megan Ellison', 'Executive Producer'], ['Sue Naegle', 'Executive Producer'], ['Hansjorg Weissbrich', 'Editor'], ['Nicholas Britell', 'Music by'], ['Natasha Braier', 'Director of Photography'], ['Meredith Lippincott', 'Production Designer'], ['Brittany Loar', 'Costume Designer'], ['Francine Maisler', 'Casting Director']]","$2,217,010 (38.1% of total gross)",2.63 (domestic box office/biggest weekend),41.8% (domestic box office/worldwide),,"2,022 opening theaters/2,023 max. theaters, 2.8 weeks average run per theater","$5,825,995","November 17th, 2022 (Wide) (Australia)
November 17th, 2022 (Wide) (Azerbaijan)
November 17th, 2022 (Wide) (Bosnia and Herzegovina)
November 17th, 2022 (Wide) (Denmark)
November 17th, 2022 (Wide), released as She Said (她說) (Hong Kong)
... Show all releases
",129 minutes,vs. The Chosen Season 3: Episodes 1 & 2Create your own comparison chart…,Based on Factual Book/Article,Drama,Live Action,Dramatization,United States,English,"November 18th, 2022 (Wide) by Universal","Annapurna Pictures, Plan B Entertainment, Universal Pictures","January 10th, 2023 by Universal Home Entertainment","R for language and descriptions of sexual assault.(Rating bulletin 2746 (cert #54018), 8/24/2022)","Sex Crimes, Investigative Journalist, F-Rated, F-Rated, Triple, Docudrama, Social Justice, News, Sexism, Movie Business",,"$5,825,995","$8,120,969","$13,946,964",,,
176,https://www.the-numbers.com/movie/Chosen-The-Season-3-Episodes-1-and-2-(2022),[],[],"$8,772,746 (60.0% of total gross)",1.67 (domestic box office/biggest weekend),99.5% (domestic box office/worldwide),,"2,027 opening theaters/2,042 max. theaters, 2.2 weeks average run per theater","$14,612,089","November 18th, 2022 (Limited) (New Zealand)
November 18th, 2022 (Wide) (United Kingdom)
",150 minutes,vs. She SaidCreate your own comparison chart…,Based on Religious Text,Drama,Live Action,Dramatization,United States,English,"November 18th, 2022 (Wide) by Fathom Events",Angel Studios,,,"Religious, Bible Epic",The Chosen,"$14,612,089","$67,552","$14,679,641",,,
177,https://www.the-numbers.com/movie/Nin-Hao-Bei-Jing-(2022-China),[],"[['Xixi Cao (曹茜茜)', 'Director']]",,,,,,,"November 18th, 2022 (Limited) (China)
",110 minutes,Create your own comparison chart…,Original Screenplay,Drama,Live Action,Contemporary Fiction,China,Mandarin,,,,,,,n/a,"$7,460,000","$7,460,000",,,
178,https://www.the-numbers.com/movie/Strange-World-(2022),[],"[['Don Hall', 'Director'], ['Qui Nguyen', 'Screenwriter'], ['Roy Conli', 'Producer'], ['Sarah K. Reimers', 'Editor'], ['Henry Jackman', 'Composer']]","$12,151,384 (32.0% of total gross)",3.12 (domestic box office/biggest weekend),54.6% (domestic box office/worldwide),"$135,000,000 (worldwide box office is 0.5 times production budget)","4,174 opening theaters/4,174 max. theaters, 4.5 weeks average run per theater","$37,968,963","November 22nd, 2022 (Wide), released as Strange World (Странный мир) (Russia (CIS))
November 23rd, 2022 (Wide) (Belgium)
November 23rd, 2022 (Wide), released as Un Mondo Misterioso (Italy)
November 23rd, 2022 (Wide), released as Strange World (ストレンジ・ワールド/もうひとつの世界) (Japan)
November 23rd, 2022 (Wide) (Netherlands)
... Show all releases
",102 minutes,vs. LightyearCreate your own comparison chart…,Original Screenplay,Adventure,Digital Animation,Kids Fiction,United States,English,"November 23rd, 2022 (Wide) by Walt Disney","Walt Disney Pictures, Walt Disney Animation Studios","December 23rd, 2022 by Disney+","PG for action/peril and some thematic elements.(Rating bulletin 2752 (cert #53990), 10/5/2022)","Family Adventure, Missing Person, Father’s Footsteps, Explorer, Dysfunctional Family",,"$37,968,963","$31,610,726","$69,579,689",,,
179,https://www.the-numbers.com/movie/Devotion-(2022),"['Christina Jackson', 'Glen Powell', 'Jonathan Majors']","[['J.D. Dillard', 'Director'], ['Jake Crane', 'Screenwriter'], ['Jonathan A. Stewart', 'Screenwriter'], ['Adam Makos', 'Story based on the book by'], ['Thad Luckinbill', 'Producer'], ['Trent Luckinbill', 'Producer'], ['Molly Smith', 'Producer'], ['Rachel Smith', 'Producer'], ['J.D. Dillard', 'Executive Producer'], ['Glen Powell', 'Executive Producer'], ['Robert Simonds', 'Executive Producer'], ['Adam Fogelson', 'Executive Producer'], ['John Friedberg', 'Executive Producer']]","$5,902,803 (28.8% of total gross)",3.47 (domestic box office/biggest weekend),95.6% (domestic box office/worldwide),,"3,405 opening theaters/3,458 max. theaters, 4.0 weeks average run per theater","$20,511,939","November 24th, 2022 (Wide), released as Devotion - Uma História de Heróis (Portugal)
December 1st, 2022 (Wide), released as Historia De Honor (Mexico)
December 1st, 2022 (Limited), released as Devotion (Двойная петля) (Russia (CIS))
December 2nd, 2022 (Limited) (Finland)
December 8th, 2022 (Wide), released as Irmãos de Honra (Brazil)
... Show all releases
",138 minutes,vs. Spirit UntamedCreate your own comparison chart…,Based on Factual Book/Article,Action,Live Action,Dramatization,United States,English,"November 23rd, 2022 (Wide) by Sony Pictures","Black Label Media, Stage 6 Films, STX Films","January 8th, 2023 by Sony Pictures Home Entertainment","PG-13 for strong language, some war action/violence, and smoking.(Rating bulletin 2720 (cert #53572), 2/23/2022)","Action Thriller, Filmed in Georgia, United States, Navy, War",,"$20,511,938","$949,942","$21,461,880",,,
180,https://www.the-numbers.com/movie/Glass-Onion-A-Knives-Out-Mystery-(2022),"['Daniel Craig', 'Edward Norton', 'Janelle Monáe', 'Kathryn Hahn', 'Leslie Odom Jr.', 'Jessica Henwick', 'Madelyn Cline', 'Kate Hudson', 'Dave Bautista']","[['Rian Johnson', 'Director'], ['Rian Johnson', 'Screenwriter'], ['Rian Johnson', 'Producer'], ['Ram Bergman', 'Producer']]","$9,200,000 (61.3% of total gross)",1.63 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),,"696 opening theaters/696 max. theaters, 1.0 weeks average run per theater","$15,000,000","November 23rd, 2022 (Wide) (Australia)
November 23rd, 2022 (Wide) (Germany)
November 23rd, 2022 (Wide) (Italy)
November 23rd, 2022 (Wide) (Spain)
December 22nd, 2022 (Wide), released as Glass Onion - Une histoire à couteaux tirés (France)
... Show all releases
",139 minutes,vs. Jurassic ParkCreate your own comparison chart…,Original Screenplay,Drama,Live Action,Contemporary Fiction,United States,English,"November 23rd, 2022 (Wide) by Netflix","T-Street, Media Rights Capital, Lionsgate","December 23rd, 2022 by Netflix","PG-13 for strong language, some violence, sexual material and drug content.(Rating bulletin 2736 (cert #53766), 6/15/2022)","Crime Drama, Set in Greece, Murder Mystery",Knives Out,"$15,000,000",,,,,
181,https://www.the-numbers.com/movie/Olppaemi-(2022-South-Korea),[],"[['Tae Jin Ahn (안태진)', 'Director']]",,,,,,,"November 23rd, 2022 (Limited) (South Korea)
April 20th, 2023 (Limited), released as The Night Owl (Ночная сова) (Russia (CIS))
",,Create your own comparison chart…,Original Screenplay,Thriller/Suspense,Live Action,Historical Fiction,Republic of Korea,Korean,,,,,,,n/a,"$26,668,156","$26,668,156",,,
182,https://www.the-numbers.com/movie/Roald-Dahls-Matilda-The-Musical-(2022),"['Emma Thompson', 'Andrea Riseborough', 'Stephen Graham', 'Alisha Weir']","[['Matthew Warchus', 'Director'], ['Dennis Kelly', 'Screenwriter'], ['Roald Dahl', 'Story Creator'], ['Tim Bevan', 'Producer'], ['Eric Fellner', 'Producer'], ['Jon Finn', 'Producer'], ['Luke Kelly', 'Producer']]",,,,,,,"November 25th, 2022 (Wide), released as Roald Dahl’s Matilda the Musical (United Kingdom)
December 2nd, 2022 (Wide), released as Roald Dahl’s Matilda the Musical (Ireland)
December 8th, 2022 (Limited), released as Roald Dahl’s Matilda the Musical (Australia)
",116 minutes,vs. MatildaCreate your own comparison chart…,Based on Musical or Opera,Musical,Live Action,Contemporary Fiction,"United Kingdom, United States",English,"December 9th, 2022 (Limited) by Netflix, released as Roald Dahl’s Matilda the Musical",,"December 25th, 2022 by Netflix, released as Roald Dahl’s Matilda the Musical","PG for thematic elements, exaggerated bullying and some language.(Rating bulletin 2731 (cert #53716), 5/11/2022)",Disrupted by COVID-19 pandemic,,n/a,"$35,617,477","$35,617,477",,,
183,https://www.the-numbers.com/movie/Violent-Night-(2022),"['John Leguizamo', 'Cam Gigandet', 'Alex Hassell', 'Alexis Louder', 'Edi Patterson', ""Beverly D'Angelo"", 'David Harbour']","[['Tommy Wirkola', 'Director'], ['Patrick Casey', 'Screenwriter'], ['Josh Miller', 'Screenwriter'], ['Kelly McCormick', 'Producer'], ['David Leitch', 'Producer'], ['Guy Danella', 'Producer'], ['Marc S. Fischer', 'Executive Producer']]","$13,450,240 (26.9% of total gross)",3.72 (domestic box office/biggest weekend),65.3% (domestic box office/worldwide),"$20,000,000 (worldwide box office is 3.8 times production budget)","3,682 opening theaters/3,723 max. theaters, 5.1 weeks average run per theater","$50,057,405","November 30th, 2022 (Wide) (Belgium)
November 30th, 2022 (Wide) (Egypt)
November 30th, 2022 (Wide) (France)
November 30th, 2022 (Wide) (Indonesia)
November 30th, 2022 (Wide) (Philippines)
... Show all releases
",112 minutes,vs. KrampusCreate your own comparison chart…,Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,English,"December 2nd, 2022 (Wide) by Universal","87North, Universal Pictures","January 20th, 2023 by Universal Home Entertainment","R for strong bloody violence, language throughout and some sexual references.(Rating bulletin 2741 (cert #53925), 7/20/2022)","Action Comedy, Christmas, Santa Claus",,"$50,057,405","$26,542,572","$76,599,977",,,
