,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Theater counts:,Infl. Adj. Dom. BO,Production Budget:,Domestic Releases:,Video Release:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production/Financing Companies:,Production Countries:,Languages:,Franchise:,MPAA Rating:,International Releases:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
10,https://www.the-numbers.com/movie/Hitcher-The,[],"[['Robert Harmon', 'Director'], ['Eric Red', 'Screenwriter'], ['Mark Isham', 'Composer']]","$2,134,214 (36.5% of total gross)",2.74 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"794 opening theaters/794 max. theaters, 2.6 weeks average run per theater","$14,446,748",,"February 21st, 1986 (Wide) by Sony/TriStar","April 16th, 2003 by HBO Home Video",97 minutes,vs. Wolf CreekCreate your own comparison chart…,"Road Trip, Psychological Horror, Serial Killer, Cult Movie, Hitchhiker, Framed, Fugitive / On the Run, Remade",Original Screenplay,Horror,Live Action,Contemporary Fiction,,United States,,,R,,"$5,844,868",,,,
11,https://www.the-numbers.com/movie/Nine-1-2-Weeks,[],"[['Adrian Lyne', 'Director']]","$328,804 (4.9% of total gross)",9.15 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"28 opening theaters/250 max. theaters, 7.5 weeks average run per theater","$16,646,494","$18,000,000 (worldwide box office is 0.4 times production budget)","February 21st, 1986 (Wide) by MGM",,,vs. The DescendantsCreate your own comparison chart…,Erotic Thriller,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Contemporary Fiction,,United States,,,,,"$6,734,844",,,,
12,https://www.the-numbers.com/movie/House-(1986),"['George Wendt', 'Richard Moll', 'Kay Lenz', 'William Katt']","[['Steve Miner', 'Director'], ['Ethan Wiley', 'Screenwriter'], ['Sean S. Cunningham*', 'Producer'], ['Fred Dekker', 'Story Creator']]","$6,423,972 (33.0% of total gross)",3.03 (domestic box office/biggest weekend),87.8% (domestic box office/worldwide),"1,440 opening theaters/1,440 max. theaters, 4.6 weeks average run per theater","$48,061,254",,"February 28th, 1986 (Wide) by New World",,93 minutes,vs. Hot Shots! Part DeuxCreate your own comparison chart…,"Suicide, Writing and Writers, Inheritance, Relationships Gone Wrong, Missing Child, Missing Person, Writer's Block, Vietnam War, Returning Soldiers, Dream Sequence, Non-Chronological, Haunted House, Divorced Couple Falling Back in Love, PTSD, Alternative Dimensions / Parallel universe, Revenge, Haunting, Rescue, Supernatural, Horror Comedy",Original Screenplay,Horror,Live Action,Fantasy,,United States,English,House,R for some violence and terror,,"$19,444,631","$2,700,000","$22,144,631",,
13,https://www.the-numbers.com/movie/Pretty-in-Pink,"['Harry Dean Stanton', 'Annie Potts', 'James Spader', 'Molly Ringwald', 'Jon Cryer']","[['Howard Deutch', 'Director'], ['Lauren Shuler*', 'Producer'], ['John Hughes', 'Screenwriter'], ['John Hughes', 'Executive Producer'], ['Michael Chinich', 'Executive Producer'], ['Michael Gore', 'Composer'], ['Richard Marks', 'Editor']]","$6,065,870 (15.0% of total gross)",6.67 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"827 opening theaters/1,117 max. theaters, 12.2 weeks average run per theater","$100,033,733",,"February 28th, 1986 (Wide) by Paramount Pictures","February 9th, 2016 by Paramount Home Video",96 minutes,vs. The Breakfast ClubCreate your own comparison chart…,"Cross-Class Romance, Romantic Comedy, Love Triangle, Coming of Age, Bullies",Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,,United States,English,,PG-13,"April 25th, 1986 (Wide), released as Pretty In Pink (Australia)
","$40,471,663","$4,493","$40,476,156",,
14,https://www.the-numbers.com/movie/Care-Bears-Movie-II-A-New-Generation,[],"[['Dale Schott', 'Director']]","$243,161 (2.8% of total gross)",3.43 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"55 opening theaters/1,467 max. theaters, 3.4 weeks average run per theater","$21,109,157",,"March 7th, 1986 (Wide) by Sony Pictures","April 8th, 2003 by Sony Pictures Home Entertainment",72 minutes,vs. The Adventures of Sharkboy and Lavagirl in 3-DCreate your own comparison chart…,Toy Adaptations,Based on TV,Adventure,Hand Animation,Fantasy,"Columbia Pictures, Nelvana-Ellipse","Canada, United States",English,Care Bears,G,,"$8,540,346",,,,
15,https://www.the-numbers.com/movie/Highlander,"['Roxanne Hart', 'Clancy Brown', 'Sean Connery', 'Christopher Lambert']","[['Russell Mulcahy', 'Director'], ['Peter S. Davis', 'Producer'], ['William N. Panzer', 'Producer'], ['Gregory Widen', 'Screenwriter'], ['Peter Bellwood', 'Screenwriter'], ['Larry Ferguson', 'Screenwriter'], ['Gregory Widen', 'Story by'], ['E.C. Monell', 'Executive Producer'], ['Michael Kamen', 'Composer']]","$2,453,021 (41.6% of total gross)",2.41 (domestic box office/biggest weekend),45.7% (domestic box office/worldwide),"1,040 opening theaters/1,040 max. theaters, 1.0 weeks average run per theater","$14,583,014","$16,000,000 (worldwide box office is 0.8 times production budget)","March 7th, 1986 (Wide) by 20th Century Fox","January 1st, 1998 by Anchor Bay Home Entertainment",116 minutes,vs. Conan the DestroyerCreate your own comparison chart…,"Non-Chronological, Intertitle, Voiceover/Narration, Prologue, Death of a Spouse or Fiancée / Fiancé, Mentor, Revenge, 1500s, Set in Scotland, Set in New York City, Cult Movie, Action Adventure",Original Screenplay,Action,Live Action,Fantasy,"Thorn EMI, Davis Entertainment, Panzer","United Kingdom, United States",English,Highlander,"R for strong action violence, a scene of sexuality and some language.","February 8th, 2019 (Wide), released as Highlander (re:2019) (Australia)
February 18th, 2021 (Wide) (New Zealand)
September 6th, 2022 (Special Engagement) (Germany)
","$5,900,000","$7,000,000","$12,900,000",,
16,https://www.the-numbers.com/movie/Room-with-a-View-A,"['Maggie Smith', 'Denholm Elliott', 'Judi Dench', 'Simon Callow', 'Daniel Day-Lewis', 'Helena Bonham Carter', 'Julian Sands']","[['James Ivory', 'Director'], ['Ruth Prawar Jhabvala', 'Screenwriter'], ['E.M. Forster', 'Story Creator'], ['Ismail Merchant', 'Producer'], ['Gianni Quaranta', 'Production Designer'], ['Brian Ackland-Snow', 'Production Designer'], ['Humphrey Dixon', 'Editor'], ['Richard Robbins', 'Composer'], ['Tony Pierce-Roberts', 'Director of Photography']]",,32.23 (domestic box office/biggest weekend),99.6% (domestic box office/worldwide),,"$51,595,803","$3,000,000 (worldwide box office is 7.0 times production budget)","March 7th, 1986 (Wide) by Cinecom",,115 minutes,vs. Howards EndCreate your own comparison chart…,"Romantic Drama, 1900s, Relationships Gone Wrong, Set in Italy, Set in London, Cross-Class Romance, 1987 Oscars Best Picture Nominee",Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction,"Merchant Ivory Productions, Goldcrest Films, Cinecom",United Kingdom,English,,Not Rated,"July 10th, 1986 (Wide) (Australia)
June 24th, 1989 (Wide) (South Korea)
February 18th, 2021 (Wide) (New Zealand)
","$20,966,644","$75,363","$21,042,007",,
17,https://www.the-numbers.com/movie/Boys-Next-Door-The,"['Charlie Sheen', 'Maxwell Caulfield']","[['Penelope Spheeris', 'Director'], ['Glen Morgan', 'Screenwriter'], ['James Wong', 'Screenwriter'], ['George S. Clinton', 'Composer']]",,,100.0% (domestic box office/worldwide),,"$12,358,482",,"March 14th, 1986 (Wide) by New World","September 20th, 2011 by Image Entertainment Video",90 minutes,Create your own comparison chart…,"Crime Drama, Graduation, Vacation, Crime Spree, Spree Killer, Death of a Best Friend, Set in Los Angeles",Original Screenplay,Drama,Live Action,Contemporary Fiction,,United States,English,,R,,"$5,000,000",,,,
18,https://www.the-numbers.com/movie/Crossroads-(1986),[],"[['Walter Hill', 'Director'], ['John Fusco', 'Screenwriter'], ['Mark Carliner', 'Producer']]","$2,071,680 (35.5% of total gross)",2.82 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"982 opening theaters/982 max. theaters, 2.0 weeks average run per theater","$14,432,315",,"March 14th, 1986 (Wide) by Sony Pictures","January 12th, 2021 by Mill Creek Entertainment",96 minutes,vs. LegendCreate your own comparison chart…,"Music Industry, Rhythm and Blues, Supernatural, Life Drama, Road Trip, Faustian, The Devil, Musicians, Romance, Relationships Gone Wrong, Runaway, Step-Family, Dysfunctional Family, First Love",Original Screenplay,Drama,Live Action,Contemporary Fiction,,United States,English,,,,"$5,839,031",,,"$38,690","$38,690"
19,https://www.the-numbers.com/movie/Gung-Ho,[],"[['Ron Howard', 'Director'], ['Thomas Newman', 'Composer']]","$7,170,830 (19.6% of total gross)",5.11 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,150 opening theaters/1,175 max. theaters, 10.6 weeks average run per theater","$90,492,843","$18,000,000 (worldwide box office is 2.0 times production budget)","March 14th, 1986 (Wide) by Paramount Pictures",,112 minutes,vs. WillowCreate your own comparison chart…,"Comedy Drama, Culture Clash, Fired, Money Troubles, Set in Pennsylvania, United States, Unemployed, Scene in End Credits",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,United States,"English, Japanese",,,,"$36,611,610",,,,
