,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Production Budget:,Theater counts:,Infl. Adj. Dom. BO,Domestic Releases:,International Releases:,Video Release:,MPAA Rating:,Running Time:,Franchise:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production/Financing Companies:,Production Countries:,Languages:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic DVD Sales,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Insidious-The-Last-Key,"['Angus Sampson', 'Leigh Whannell', 'Josh Stewart', 'Caitlin Gerard', 'Lin Shaye']","[['Adam Robitel', 'Director'], ['Leigh Whannell', 'Screenwriter'], ['Leigh Whannell', 'Character Creator'], ['Jason Blum', 'Producer'], ['Oren Peli', 'Producer'], ['James Wan', 'Producer'], ['Leigh Whannell', 'Producer'], ['Steven Schneider', 'Executive Producer'], ['Bailey Conway-Anglewicz*', 'Executive Producer'], ['Couper Samuelson', 'Executive Producer'], ['Charles Layton', 'Executive Producer'], ['Brian Kavanaugh-Jones', 'Executive Producer'], ['Toby Oliver', 'Director of Photography'], ['Melanie Paizes-Jones', 'Production Designer'], ['Tim Alverson', 'Editor'], ['Joseph Bishara', 'Composer'], ['Rick A. Osako', 'Co-Producer'], ['Jeanette Volturno*', 'Co-Producer'], ['Lisa Norcia', 'Costume Designer'], ['Terri Taylor', 'Casting Director']]","$29,581,355 (43.7% of total gross)",2.29 (domestic box office/biggest weekend),39.2% (domestic box office/worldwide),"$10,000,000 (worldwide box office is 17.3 times production budget)","3,116 opening theaters/3,150 max. theaters, 4.1 weeks average run per theater","$77,710,067","January 5th, 2018 (Wide) by Universal","January 3rd, 2018 (Wide) (Jamaica)
January 3rd, 2018 (Wide), released as La Noche del Demonio La Ultima Llave (Mexico)
January 3rd, 2018 (Wide) (Trinidad)
January 4th, 2018 (Wide) (Bahrain)
January 4th, 2018 (Wide) (Central America)
... Show all releases
","March 20th, 2018 by Universal Home Entertainment","PG-13 for disturbing thematic content, violence and terror, and brief strong language.(Rating bulletin 2496 (Cert #50733), 10/4/2017)",103 minutes,Insidious,vs. Insidious: The Red DoorCreate your own comparison chart…,"Supernatural, Haunting, Haunted House, Screenplay Written By the Star, Prequel, Inbetwequel, Supernatural Horror",Original Screenplay,Horror,Live Action,Contemporary Fiction,"Blumhouse, Stage 6 Films, Universal Pictures",United States,English,"$67,745,330","$105,066,641","$172,811,971","$1,897,246","$1,890,426","$3,787,672"
1,https://www.the-numbers.com/movie/Arif-v-216-(Turkey),[],[],,,,,,,,"January 5th, 2018 (Wide) (Turkey)
",,,125 minutes,,Create your own comparison chart…,,Original Screenplay,Comedy,Live Action,Science Fiction,,Turkey,Turkish,n/a,"$16,495,648","$16,495,648",,,
2,https://www.the-numbers.com/movie/Gnome-Alone-(Canada-2017),"['Becky G', 'Josh Peck', 'Tara Strong', 'Olivia Holt', 'David Koechner', 'Jeff Dunham', 'Patrick Stump', 'Nash Grier', 'Madison De La Garza', 'George Lopez']","[['Peter Lepeniotis', 'Director'], ['Michael Schwartz', 'Screenwriter'], ['Zina Zaflow', 'Screenwriter'], ['Robert Moreland', 'Story by'], ['Jared Micah Herman', 'Story by'], ['Kyle Newman', 'Story by'], ['Peter Lepeniotis', 'Story by'], ['John H. Williams', 'Producer']]",,,,,,,,"January 5th, 2018 (Wide) (Spain)
January 26th, 2018 (Wide) (Poland)
February 2nd, 2018 (Wide), released as Patrulha de Gnomos (Portugal)
February 16th, 2018 (Wide), released as Гномчета вкъщи (Bulgaria)
February 22nd, 2018 (Wide), released as ГНОМЫ В ДОМЕ (Russia (CIS))
... Show all releases
","October 19th, 2018 by Netflix","PG for some rude humor/behavior.(Rating bulletin 2481 (Cert #51113), 6/21/2017)",89 minutes,,vs. Sgt. Stubby: An American HeroCreate your own comparison chart…,"Good vs. Evil, High School, New Guy/Girl in School, Supernatural, Living Toys",Based on Fiction Book/Short Story,Adventure,Digital Animation,Kids Fiction,"Vanguard Animation, 3QU Media, Cinesite","Canada, United States",English,n/a,"$10,924,451","$10,924,451",,,
3,https://www.the-numbers.com/movie/Leisure-Seeker-The-(Italy),"['Christian McKay', 'Janel Moloney', 'Dana Ivey', 'Dick Gregory', 'Helen Mirren', 'Donald Sutherland']","[['Paolo Virzi', 'Director'], ['Fabrizio Donvito', 'Producer'], ['Marty Eli Schwartz', 'Producer'], ['Marco Cohen', 'Producer'], ['Benedetto Habib', 'Producer'], ['Alessandro Mascheroni', 'Executive Producer'], ['Dov Mamann', 'Executive Producer'], ['Daniel Campos Pavoncelli', 'Executive Producer'], ['Cobi Benatoff', 'Executive Producer'], ['David Grumbach', 'Executive Producer'], ['Mathieu Robinet', 'Executive Producer'], ['Gilles Sousa', 'Executive Producer'], ['Bryan Thomas', 'Executive Producer'], ['Stephen Amidon', 'Screenwriter'], ['Francesca Archibugi', 'Screenwriter'], ['Francesco Piccolo', 'Screenwriter'], ['Paolo Virzi', 'Screenwriter'], ['Michael Zadoorian', 'Story based on the book by'], ['Carlo Virzi', 'Composer'], ['Luca Bigazzi', 'Director of Photography'], ['Jacopo Quadri', 'Editor'], ['Richard A. Wright', 'Production Designer'], ['Massimo Cantini Parrini', 'Costume Designer'], ['James Spies', 'Line Producer'], ['Elisabetta Boni', 'Co-Producer']]","$113,708 (3.5% of total gross)",6.11 (domestic box office/biggest weekend),16.7% (domestic box office/worldwide),,"28 opening theaters/353 max. theaters, 4.3 weeks average run per theater","$3,698,359","March 9th, 2018 (Limited) by Sony Pictures Classics","January 5th, 2018 (Wide) (France)
January 5th, 2018 (Wide) (Netherlands)
January 18th, 2018 (Wide), released as Ella & John - The Leisure Seeker  (Italy)
February 23rd, 2018 (Wide) (China)
March 23rd, 2018 (Wide), released as El Viaje de sus vidas (Spain)
... Show all releases
","July 10th, 2018 by Sony Pictures Home Entertainment","R for some sexual material.(Rating bulletin 2481 (Cert #51041), 6/21/2017)",112 minutes,,vs. All is LostCreate your own comparison chart…,"Road Trip, Autumn Years, Recreational Vehicle, Retirement Home, Infidelity, Terminal Illness, Dysfunctional Family, Alzheimer, Faulty Memory",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,"Indiana Production Company, RAI Cinema, Motorino Amaranto, 3 Marys Entertainment S.R.I.","France, Italy",English,"$3,224,126","$16,116,412","$19,340,538","$207,554",,"$207,554"
4,https://www.the-numbers.com/movie/Wu-Wen-Xi-Dong-(China),[],[],,,,,,,,"January 9th, 2018 (Wide) (China)
",,,150 minutes,,Create your own comparison chart…,,Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction,,China,Mandarin,n/a,"$119,035,160","$119,035,160",,,
5,https://www.the-numbers.com/movie/Agnyaathavaasi-(India),[],[],,,,,,,,"January 10th, 2018 (Wide) (India)
January 12th, 2018 (Limited) (United Kingdom)
",,,158 minutes,,vs. Baahubali 2: The ConclusionCreate your own comparison chart…,,Original Screenplay,Action,Live Action,Contemporary Fiction,,India,Telugu,n/a,"$11,158,499","$11,158,499",,,
6,https://www.the-numbers.com/movie/Geugeotmani-Nae-Sesang-(S-Korea),[],"[['Choi Sung-hyun', 'Director']]",,,,,,,"January 25th, 2018 (Limited) by CJ Entertainment, released as Keys to the Heart","January 10th, 2018 (Wide) (South Korea)
February 9th, 2018 (Wide), released as Keys To The Heart (Australia)
February 9th, 2018 (Wide), released as Keys To The Heart (New Zealand)
October 12th, 2023 (Limited), released as Geugeotmani Nae Sesang (Катастрофа) (Russia (CIS))
",,Not Rated,120 minutes,,Create your own comparison chart…,"Family Movie, Boxing, Autism, Big Brother, Child Prodigy, Musicians, Dysfunctional Family",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,Republic of Korea,Korean,n/a,"$24,376,704","$24,376,704",,,
7,https://www.the-numbers.com/movie/Proud-Mary,"['Billy Brown', 'Jahi Di’Allo Winston', 'Danny Glover', 'Taraji P. Henson']","[['Babak Najafi', 'Director'], ['Paul Schiff', 'Producer'], ['Tai Duncan', 'Producer'], ['John Stuart', 'Screenwriter'], ['Christian Swegal', 'Screenwriter'], ['Steven Antin', 'Screenwriter'], ['John Stuart Newman', 'Story by'], ['Christian Swegal', 'Story by'], ['Glenn S. Gainor', 'Executive Producer'], ['Taraji P. Henson', 'Executive Producer'], ['Dan Laustsen', 'Director of Photography'], ['Carl Sprague', 'Production Designer'], ['Evan Schiff', 'Editor'], ['Fil Eisler', 'Composer'], ['Pilar McCurry', 'Music Supervisor'], ['Deborah Newhall', 'Costume Designer']]","$9,959,053 (47.7% of total gross)",2.10 (domestic box office/biggest weekend),96.1% (domestic box office/worldwide),"$30,000,000 (worldwide box office is 0.7 times production budget)","2,125 opening theaters/2,125 max. theaters, 2.9 weeks average run per theater","$23,938,223","January 12th, 2018 (Wide) by Sony Pictures","January 10th, 2018 (Wide) (Jamaica)
January 10th, 2018 (Wide) (Trinidad)
January 11th, 2018 (Wide) (Aruba)
January 11th, 2018 (Wide) (Curacao)
January 11th, 2018 (Wide) (Suriname)
... Show all releases
","March 27th, 2018 by Sony Pictures Home Entertainment","R for violence.(Rating bulletin 2508 (Cert #51045), 1/3/2018)",88 minutes,,vs. Red SparrowCreate your own comparison chart…,"Assassination, Hitmen, Woman in a Male Dominated Profession, Set in Boston, Hitman Killing an Innocent Bystander, Action Thriller, Narcotics, Drug Dealer, No Honor Among Thieves",Original Screenplay,Action,Live Action,Contemporary Fiction,"Screen Gems, Paul Schiff Productions",United States,English,"$20,868,638","$840,901","$21,709,539","$1,932,737","$989,056","$2,921,793"
8,https://www.the-numbers.com/movie/Benedetta-Follia-(Italy)-(2018),[],[],,,,,,,,"January 11th, 2018 (Wide) (Italy)
January 25th, 2019 (Wide) (Spain)
",,,109 minutes,,Create your own comparison chart…,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,,Italy,Italian,n/a,"$10,599,900","$10,599,900",,,
9,https://www.the-numbers.com/movie/Commuter-The,"['Vera Farmiga', 'Patrick Wilson', 'Jonathan Banks', 'Sam Neill', 'Liam Neeson']","[['Jaume Collet-Serra', 'Director'], ['Byron Willinger', 'Screenwriter'], ['Phil de Blasi', 'Screenwriter'], ['Byron Willinger', 'Story by'], ['Phil de Blasi', 'Story by'], ['Andrew Rona', 'Producer'], ['Alex Heineman', 'Producer'], ['Michael Dreyer', 'Executive Producer'], ['Juan Sola', 'Executive Producer'], ['Jaume Collet-Serra', 'Executive Producer'], ['Ron Halpern', 'Executive Producer'], ['Didier Lupfer', 'Executive Producer'], ['Roque Banos', 'Composer'], ['Paul Cameron', 'Director of Photography'], ['Richard Bridgland', 'Production Designer'], ['Nicolas de Toth', 'Editor'], ['Jill Taylor', 'Costume Designer'], ['Reg Poerscout-Edgerton', 'Casting Director']]","$13,701,452 (37.7% of total gross)",2.65 (domestic box office/biggest weekend),30.7% (domestic box office/worldwide),"$40,000,000 (worldwide box office is 3.0 times production budget)","2,892 opening theaters/2,892 max. theaters, 3.5 weeks average run per theater","$41,689,721","January 12th, 2018 (Wide) by Lionsgate","January 11th, 2018 (Wide) (South Korea)
January 12th, 2018 (Wide), released as Без последна спирка (Bulgaria)
January 12th, 2018 (Wide) (Germany)
January 12th, 2018 (Wide), released as Slaptas keleivis (Lithuania)
January 12th, 2018 (Wide) (Netherlands)
... Show all releases
","April 3rd, 2018 by Lionsgate Home Entertainment","PG-13 for some intense action/violence, and language.(Rating bulletin 2485 (Cert #51144), 7/19/2017)",105 minutes,,vs. Cold PursuitCreate your own comparison chart…,"Organized Crime, Trains, Trapped, Ex-cop, IMAX: DMR, Action Thriller",Original Screenplay,Action,Live Action,Contemporary Fiction,"StudioCanal, The Picture Company, Ombra Films, Lionsgate",United States,English,"$36,343,858","$82,165,978","$118,509,836","$3,528,143","$4,220,929","$7,749,072"
