,territory,release_date,opening_wknd,opening_wknd_screens,max_screens,theatrical_engagements,total_bo,report_date,url,country_url,int_total,total_report_date
0,Portugal,1/15/1999,$0,0,1,1,$140,8/10/2021,https://www.the-numbers.com/movie/Sixth-Sense-The,https://www.the-numbers.com/movie/Sixth-Sense-The/Portugal#tab=box-office,"$379,300,000",8/10/2021
1,Rest of World,,,,,,"$379,299,860",,https://www.the-numbers.com/movie/Sixth-Sense-The,,"$379,300,000",8/10/2021
0,Portugal,1/15/1999,$0,0,1,1,$140,8/10/2021,https://www.the-numbers.com/movie/Sixth-Sense-The,https://www.the-numbers.com/movie/Sixth-Sense-The/Portugal#tab=box-office,"$379,300,000",8/10/2021
1,Rest of World,,,,,,"$379,299,860",,https://www.the-numbers.com/movie/Sixth-Sense-The,,"$379,300,000",8/10/2021
0,Australia,7/8/1999,$0,0,0,0,$0,,https://www.the-numbers.com/movie/Blast-from-the-Past,https://www.the-numbers.com/movie/Blast-from-the-Past/Australia#tab=box-office,$0,
0,Australia,7/8/1999,$0,0,0,0,$0,,https://www.the-numbers.com/movie/Blast-from-the-Past,https://www.the-numbers.com/movie/Blast-from-the-Past/Australia#tab=box-office,$0,
0,New Zealand,10/21/1999,$0,0,1,1,$68,8/24/2020,https://www.the-numbers.com/movie/October-Sky,https://www.the-numbers.com/movie/October-Sky/New-Zealand#tab=box-office,"$425,933",8/24/2020
1,Rest of World,,,,,,"$425,865",,https://www.the-numbers.com/movie/October-Sky,,"$425,933",8/24/2020
0,New Zealand,10/21/1999,$0,0,1,1,$68,8/24/2020,https://www.the-numbers.com/movie/October-Sky,https://www.the-numbers.com/movie/October-Sky/New-Zealand#tab=box-office,"$425,933",8/24/2020
1,Rest of World,,,,,,"$425,865",,https://www.the-numbers.com/movie/October-Sky,,"$425,933",8/24/2020
0,New Zealand,4/22/1999,$0,0,1,1,$445,5/18/2021,https://www.the-numbers.com/movie/Office-Space,https://www.the-numbers.com/movie/Office-Space/New-Zealand#tab=box-office,"$1,351,895",5/18/2021
1,Rest of World,,,,,,"$1,351,450",,https://www.the-numbers.com/movie/Office-Space,,"$1,351,895",5/18/2021
0,New Zealand,4/22/1999,$0,0,1,1,$445,5/18/2021,https://www.the-numbers.com/movie/Office-Space,https://www.the-numbers.com/movie/Office-Space/New-Zealand#tab=box-office,"$1,351,895",5/18/2021
1,Rest of World,,,,,,"$1,351,450",,https://www.the-numbers.com/movie/Office-Space,,"$1,351,895",5/18/2021
0,Germany,7/4/2023,$0,0,0,0,$0,,https://www.the-numbers.com/movie/Cruel-Intentions-(1999),https://www.the-numbers.com/movie/Cruel-Intentions-(1999)/Germany#tab=box-office,"$37,573,641",
0,Germany,7/4/2023,$0,0,0,0,$0,,https://www.the-numbers.com/movie/Cruel-Intentions-(1999),https://www.the-numbers.com/movie/Cruel-Intentions-(1999)/Germany#tab=box-office,"$37,573,641",
0,Australia,3/15/1999,$0,0,1,3,"$107,765",6/25/2019,https://www.the-numbers.com/movie/Extreme,https://www.the-numbers.com/movie/Extreme/Australia#tab=box-office,"$13,499,624",6/25/2019
1,Rest of World,,,,,,"$13,391,859",,https://www.the-numbers.com/movie/Extreme,,"$13,499,624",6/25/2019
0,Australia,3/15/1999,$0,0,1,3,"$107,765",6/25/2019,https://www.the-numbers.com/movie/Extreme,https://www.the-numbers.com/movie/Extreme/Australia#tab=box-office,"$13,499,624",6/25/2019
1,Rest of World,,,,,,"$13,391,859",,https://www.the-numbers.com/movie/Extreme,,"$13,499,624",6/25/2019
0,Australia,6/25/1999,$0,0,60,97,"$1,390,144",1/15/2021,https://www.the-numbers.com/movie/10-Things-I-Hate-About-You,https://www.the-numbers.com/movie/10-Things-I-Hate-About-You/Australia#tab=box-office,"$22,235,984",5/22/2023
1,New Zealand,6/3/1999,$0,0,30,53,"$10,309",5/22/2023,https://www.the-numbers.com/movie/10-Things-I-Hate-About-You,https://www.the-numbers.com/movie/10-Things-I-Hate-About-You/New-Zealand#tab=box-office,"$22,235,984",5/22/2023
2,Rest of World,,,,,,"$20,835,531",,https://www.the-numbers.com/movie/10-Things-I-Hate-About-You,,"$22,235,984",5/22/2023
0,Australia,6/25/1999,$0,0,60,97,"$1,390,144",1/15/2021,https://www.the-numbers.com/movie/10-Things-I-Hate-About-You,https://www.the-numbers.com/movie/10-Things-I-Hate-About-You/Australia#tab=box-office,"$22,235,984",5/22/2023
1,New Zealand,6/3/1999,$0,0,30,53,"$10,309",5/22/2023,https://www.the-numbers.com/movie/10-Things-I-Hate-About-You,https://www.the-numbers.com/movie/10-Things-I-Hate-About-You/New-Zealand#tab=box-office,"$22,235,984",5/22/2023
2,Rest of World,,,,,,"$20,835,531",,https://www.the-numbers.com/movie/10-Things-I-Hate-About-You,,"$22,235,984",5/22/2023
0,Australia,4/9/1999,$0,0,50,107,"$4,393,636",12/11/2020,https://www.the-numbers.com/movie/Matrix-The,https://www.the-numbers.com/movie/Matrix-The/Australia#tab=box-office,"$291,980,811",10/19/2022
1,Netherlands,8/29/2019,"$228,502",79,80,258,"$439,939",10/19/2022,https://www.the-numbers.com/movie/Matrix-The,https://www.the-numbers.com/movie/Matrix-The/Netherlands#tab=box-office,"$291,980,811",10/19/2022
2,New Zealand,4/8/1999,$0,0,4,19,"$2,063",1/24/2022,https://www.the-numbers.com/movie/Matrix-The,https://www.the-numbers.com/movie/Matrix-The/New-Zealand#tab=box-office,"$291,980,811",10/19/2022
3,Russia (CIS),12/9/2021,"$129,918",260,494,"1,003","$388,361",10/19/2022,https://www.the-numbers.com/movie/Matrix-The,https://www.the-numbers.com/movie/Matrix-The/Russia-(CIS)#tab=box-office,"$291,980,811",10/19/2022
4,South Korea,5/15/1999,$0,0,69,96,"$255,897",12/15/2021,https://www.the-numbers.com/movie/Matrix-The,https://www.the-numbers.com/movie/Matrix-The/South-Korea#tab=box-office,"$291,980,811",10/19/2022
5,Spain,6/28/2019,"$73,798",129,221,402,"$134,712",12/9/2021,https://www.the-numbers.com/movie/Matrix-The,https://www.the-numbers.com/movie/Matrix-The/Spain#tab=box-office,"$291,980,811",10/19/2022
6,Turkey,9/3/1999,$0,0,8,8,"$430,743",12/16/2021,https://www.the-numbers.com/movie/Matrix-The,https://www.the-numbers.com/movie/Matrix-The/Turkey#tab=box-office,"$291,980,811",10/19/2022
7,United Kingdom,7/12/2019,"$205,639",286,338,692,"$566,576",12/10/2021,https://www.the-numbers.com/movie/Matrix-The,https://www.the-numbers.com/movie/Matrix-The/United-Kingdom#tab=box-office,"$291,980,811",10/19/2022
8,Rest of World,,,,,,"$285,368,884",,https://www.the-numbers.com/movie/Matrix-The,,"$291,980,811",10/19/2022
0,Australia,4/9/1999,$0,0,50,107,"$4,393,636",12/11/2020,https://www.the-numbers.com/movie/Matrix-The,https://www.the-numbers.com/movie/Matrix-The/Australia#tab=box-office,"$291,980,811",10/19/2022
