,territory,release_date,opening_wknd,opening_wknd_screens,max_screens,theatrical_engagements,total_bo,report_date,url,country_url,int_total,total_report_date
0,New Zealand,11/3/2022,$625,1,1,1,$625,11/7/2022,https://www.the-numbers.com/movie/Barry-Lyndon,https://www.the-numbers.com/movie/Barry-Lyndon/New-Zealand#tab=box-office,"$198,512",3/15/2023
1,Portugal,2/26/1977,$0,0,1,5,"$15,789",4/23/2019,https://www.the-numbers.com/movie/Barry-Lyndon,https://www.the-numbers.com/movie/Barry-Lyndon/Portugal#tab=box-office,"$198,512",3/15/2023
2,United Kingdom,7/29/2016,"$29,889",20,56,135,"$182,098",3/15/2023,https://www.the-numbers.com/movie/Barry-Lyndon,https://www.the-numbers.com/movie/Barry-Lyndon/United-Kingdom#tab=box-office,"$198,512",3/15/2023
0,New Zealand,11/3/2022,$625,1,1,1,$625,11/7/2022,https://www.the-numbers.com/movie/Barry-Lyndon,https://www.the-numbers.com/movie/Barry-Lyndon/New-Zealand#tab=box-office,"$198,512",3/15/2023
1,Portugal,2/26/1977,$0,0,1,5,"$15,789",4/23/2019,https://www.the-numbers.com/movie/Barry-Lyndon,https://www.the-numbers.com/movie/Barry-Lyndon/Portugal#tab=box-office,"$198,512",3/15/2023
2,United Kingdom,7/29/2016,"$29,889",20,56,135,"$182,098",3/15/2023,https://www.the-numbers.com/movie/Barry-Lyndon,https://www.the-numbers.com/movie/Barry-Lyndon/United-Kingdom#tab=box-office,"$198,512",3/15/2023
0,Australia,3/8/2019,$884,1,1,1,$884,3/18/2019,https://www.the-numbers.com/movie/Tommy,https://www.the-numbers.com/movie/Tommy/Australia#tab=box-office,"$22,953",10/20/2022
1,New Zealand,3/10/2022,$0,0,1,1,$596,10/20/2022,https://www.the-numbers.com/movie/Tommy,https://www.the-numbers.com/movie/Tommy/New-Zealand#tab=box-office,"$22,953",10/20/2022
2,United Kingdom,11/22/2019,"$4,817",3,4,15,"$21,473",1/8/2020,https://www.the-numbers.com/movie/Tommy,https://www.the-numbers.com/movie/Tommy/United-Kingdom#tab=box-office,"$22,953",10/20/2022
0,Australia,3/8/2019,$884,1,1,1,$884,3/18/2019,https://www.the-numbers.com/movie/Tommy,https://www.the-numbers.com/movie/Tommy/Australia#tab=box-office,"$22,953",10/20/2022
1,New Zealand,3/10/2022,$0,0,1,1,$596,10/20/2022,https://www.the-numbers.com/movie/Tommy,https://www.the-numbers.com/movie/Tommy/New-Zealand#tab=box-office,"$22,953",10/20/2022
2,United Kingdom,11/22/2019,"$4,817",3,4,15,"$21,473",1/8/2020,https://www.the-numbers.com/movie/Tommy,https://www.the-numbers.com/movie/Tommy/United-Kingdom#tab=box-office,"$22,953",10/20/2022
0,Australia,10/8/2020,$208,1,1,2,"$27,385",10/19/2022,https://www.the-numbers.com/movie/Monty-Python-and-the-Holy-Grail-(1975),https://www.the-numbers.com/movie/Monty-Python-and-the-Holy-Grail-(1975)/Australia#tab=box-office,"$1,601,252",10/19/2022
