,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Production Budget:,Theater counts:,Infl. Adj. Dom. BO,International Releases:,Running Time:,Comparisons:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,Domestic Releases:,Video Release:,MPAA Rating:,Keywords:,Production/Financing Companies:,Franchise:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic DVD Sales,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Baksoogundal,[],[],,,,,,,"January 1st, 2013 (Wide), released as Man on the Edge (International title)
 (South Korea)
",127 minutes,Create your own comparison chart…,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,Republic of Korea,Korean,,,,,,,n/a,"$23,593,168","$23,593,168",,,
1,https://www.the-numbers.com/movie/Promised-Land-(2011),"['John Krasinski', 'Frances McDormand', 'Rosemarie DeWitt', 'Scoot McNairy', 'Titus Welliver', 'Hal Holbrook', 'Matt Damon']","[['Gus Van Sant', 'Director'], ['John Krasinski', 'Screenwriter'], ['Matt Damon', 'Screenwriter'], ['Dave Eggers', 'Story Creator'], ['Matt Damon', 'Producer'], ['John Krasinski', 'Producer'], ['Chris Moore', 'Producer'], ['Gus Van Sant', 'Executive Producer'], ['Ron Schmidt', 'Executive Producer'], ['Jeff Skoll', 'Executive Producer'], ['Jonathan King', 'Executive Producer'], ['Mike Sablone', 'Co-Producer'], ['Drew Vinton', 'Co-Producer'], ['Linus Sandgren', 'Director of Photography'], ['Billy Rich', 'Editor'], ['Daniel B. Clancy', 'Production Designer'], ['Juliet Polcsa', 'Costume Designer'], ['Danny Elfman', 'Composer'], ['Brian Reitzell', 'Music Supervisor'], ['Francine Maisler', 'Casting Director'], ['Ron Schmidt', 'Unit Production Manager'], ['Richard E. Chapla', 'Unit Production Manager'], ['David Webb', 'First Assistant Director'], ['Neil Lewis', 'Second Assistant Director'], ['Isabel Freer', 'Associate Producer'], ['Tami Goldman', 'Post-Production Supervisor'], ['Gregory Weimerskirch', 'Art Director'], ['Rebecca Brown', 'Set Decorator']]","$173,915 (2.3% of total gross)",1.88 (domestic box office/biggest weekend),61.3% (domestic box office/worldwide),"$15,000,000 (worldwide box office is 0.8 times production budget)","25 opening theaters/1,676 max. theaters, 2.1 weeks average run per theater","$9,886,703",,106 minutes,vs. The Shawshank RedemptionCreate your own comparison chart…,Original Screenplay,Drama,Live Action,Historical Fiction,United States,English,"December 28th, 2012 (Oscar Qualifying Run) by Focus FeaturesJanuary 4th, 2013 (Expands Wide) by Focus Features","April 23rd, 2013 by Universal Home Entertainment","R for language.(Rating bulletin 2238, 8/29/2012)","Inspired by a True Story, Environment, Corporate Malfeasance, Agitprop, Screenplay Written By the Star, False Identity, Life Drama, Life in a Small Town, Life on a Farm, Romance","Focus Features, Participant Media, Image Nation Abu Dhabi, Sunday Night, Pearl Street, Media Farm",,"$7,597,898","$4,796,664","$12,394,562","$3,306,257","$1,228,589","$4,534,846"
2,https://www.the-numbers.com/movie/Texas-Chainsaw-3D-(2013),"['Alexandra Daddario', ""Termaine 'Trey Songz' Neverson"", 'Tania Raymonde', 'Dan Yeager']","[['John Luessenhop', 'Director'], ['Adam Marcus', 'Screenwriter'], ['Debra Sullivan', 'Screenwriter'], ['Kirsten Elms', 'Screenwriter'], ['Stephen Susco', 'Story Creator'], ['Adam Marcus', 'Story Creator'], ['Debra Sullivan', 'Story Creator'], ['Kim Henkel', 'Character Creator'], ['Tobe Hooper', 'Character Creator'], ['Carl Mazzocone', 'Producer'], ['Avi Lerner', 'Executive Producer'], ['Mark Burg', 'Executive Producer'], ['Michael Paseornek', 'Executive Producer'], ['Jason Constantine', 'Executive Producer'], ['Eda Kowan', 'Executive Producer'], ['Danny Dimbort', 'Executive Producer'], ['John Thompson', 'Executive Producer'], ['Trevor Short', 'Executive Producer'], ['Tobe Hooper', 'Executive Producer'], ['Rene Besson', 'Executive Producer'], ['Christa Campbell', 'Executive Producer'], ['Lati Grobman', 'Executive Producer'], ['Robert Kuhn', 'Executive Producer'], ['Kim Henkel', 'Executive Producer'], ['William A. Elliott', 'Production Designer'], ['Randy Bricker', 'Editor'], ['Mary E. McLeod', 'Costume Designer'], ['John Frizzell', 'Composer'], ['Gregory Nicotero', 'Special Make-up Effects'], ['Howard Berger', 'Special Make-up Effects'], ['Ferne Cassel', 'Casting by:'], ['Ryan Glorioso', 'Location Casting by:']]","$21,744,470 (63.3% of total gross)",1.58 (domestic box office/biggest weekend),72.0% (domestic box office/worldwide),"$20,000,000 (worldwide box office is 2.4 times production budget)","2,654 opening theaters/2,659 max. theaters, 2.8 weeks average run per theater","$44,738,759","July 6th, 2023 (Limited) (Australia)
",92 minutes,vs. Prom NightCreate your own comparison chart…,Original Screenplay,Horror,Live Action,Contemporary Fiction,United States,English,"January 4th, 2013 (Wide) by Lionsgate","May 14th, 2013 by Lionsgate Home Entertainment","R for strong grisly violence and language throughout.(Rating bulletin 2237, 8/22/2012)","Road Trip, Inheritance, Slasher Horror, 3-D, 3-D - Shot in 3-D, Reboot, Voiceover/Narration, Archival Footage of Previous Installment, Hicksploitation, Interracial Romance, Romance, Dysfunctional Family, Prologue, Delayed Sequel","Lionsgate, Millennium Films, Main Line Pictures",Texas Chainsaw Massacre,"$34,341,945","$13,324,068","$47,666,013","$3,857,224","$2,882,712","$6,739,936"
3,https://www.the-numbers.com/movie/Yi-dai-zong-shi-(China),"['Zhang Ziyi', 'Chang Chen', 'Zhao Benshan', 'Wang Qingxiang', 'Zhang Jin', 'Yuen Woo Ping', 'Cung Le', 'Tony Leung Chiu Wai', 'Song Hye-kyo']","[['Kar-wai Wong (王家卫)', 'Director'], ['Kar-wai Wong (王家卫)', 'Screenwriter'], ['Zou Jingzhi', 'Screenwriter'], ['Xu Haofeng', 'Screenwriter'], ['Kar-wai Wong (王家卫)', 'Story Creator'], ['Kar-wai Wong (王家卫)', 'Producer'], ['Jacky Pang', 'Producer'], ['Chan Ye Cheng', 'Executive Producer'], ['Megan Ellison', 'Executive Producer'], ['Ng See-yuen', 'Executive Producer'], ['Song Dai', 'Executive Producer'], ['William Chang', 'Production Designer'], ['William Chang', 'Editor'], ['Shigeru Umebayashi', 'Composer'], ['Philippe Le Sourd', 'Director of Photography']]","$132,617 (2.0% of total gross)",2.66 (domestic box office/biggest weekend),11.4% (domestic box office/worldwide),"$38,600,000 (worldwide box office is 1.5 times production budget)","7 opening theaters/804 max. theaters, 3.7 weeks average run per theater","$8,476,915","January 8th, 2013 (Wide) (China)
December 13th, 2013 (Wide), released as O Grande Mestre (Portugal)
March 14th, 2014 (Wide) (Turkey)
September 4th, 2014 (Limited), released as The Grandmaster (Australia)
January 8th, 2015 (Wide) (China)
... Show all releases
",130 minutes,vs. 13 Hours: The Secret Soldiers of BenghaziCreate your own comparison chart…,Based on Real Life Events,Drama,Live Action,Dramatization,"China, Hong Kong","Cantonese, Japanese, Mandarin","August 23rd, 2013 (Limited) by Weinstein Co., released as The Grandmaster","March 4th, 2014 by Anchor Bay Home Entertainment, released as The Grandmaster","PG-13 for violence, some smoking, brief drug use and language.(Rating bulletin 3383 (Cert #48540), 7/31/2013)","Biography, Martial Arts, World War II, Epilogue, Unrequited Love, Revenge, Non-Chronological, Traitor, Biographical Drama","Block 2 Pictures, Jet Tone Films, Sil-Metropole Organisation, Bona International Film Group",,"$6,594,959","$51,391,701","$57,986,660","$1,247,815","$717,727","$1,965,542"
4,https://www.the-numbers.com/movie/Gangster-Squad-The,"['Sean Penn', 'Ryan Gosling', 'Nick Nolte', 'Emma Stone', 'Anthony Mackie', 'Giovanni Ribisi', 'Michael Peña', 'Robert Patrick', 'Josh Brolin']","[['Ruben Fleischer', 'Director'], ['Will Beall', 'Screenwriter'], ['Dan Lin', 'Producer'], ['Kevin McCormick', 'Producer'], ['Michael Tadross', 'Producer'], ['Paul Lieberman', 'Executive Producer'], ['Ruben Fleischer', 'Executive Producer'], ['Bruce Berman', 'Executive Producer'], ['Dion Beebe', 'Cinematographer'], ['Maher Ahmad', 'Production Designer'], ['Alan Baumgarten', 'Editor'], ['James Herbert', 'Editor'], ['John Papsidera', 'Casting'], ['Mary Zophres', 'Costume Designer'], ['Steve Jablonsky', 'Composer'], ['Ariel Velasco Shaw', 'Visual Effects Supervisor'], ['Jon Silk', 'Co-Producer'], ['Paul Lieberman', 'Based on the book ""Gangster Squad""'], [""Timothy D. O'Brien"", 'Art Director'], ['Gene Serdena', 'Set Decorator'], ['Thomas T. Taylor', 'Set Designer']]","$17,070,347 (37.1% of total gross)",2.69 (domestic box office/biggest weekend),44.2% (domestic box office/worldwide),"$60,000,000 (worldwide box office is 1.7 times production budget)","3,103 opening theaters/3,103 max. theaters, 3.9 weeks average run per theater","$59,127,845","January 9th, 2013 (Wide) (Belgium)
January 10th, 2013 (Wide) (Australia)
January 10th, 2013 (Wide) (Chile)
January 10th, 2013 (Wide) (Croatia)
January 10th, 2013 (Wide) (Netherlands)
... Show all releases
",110 minutes,vs. GoodfellasCreate your own comparison chart…,Based on Factual Book/Article,Action,Live Action,Dramatization,United States,English,"January 11th, 2013 (Wide) by Warner Bros.","April 23rd, 2013 by Warner Home Video","R for strong violence and language.(Rating bulletin 2242, 9/26/2012)","Organized Crime, Mafia, Narcotics, Prostitution, Gambling, Corrupt Cops, Government Corruption, Film Noir, Ensemble, Action Thriller","Warner Bros., Village Roadshow Productions, Lin Pictures, Kevin McCormick",,"$46,000,903","$58,100,000","$104,100,903","$9,684,694","$6,730,147","$16,414,841"
5,https://www.the-numbers.com/movie/Schlussmacher,[],[],,,,,,,"January 9th, 2013 (Wide), released as schlussmacher (Belgium)
January 10th, 2013 (Wide), released as Break Up Man (International title)
 (Germany)
January 10th, 2013 (Wide), released as schlussmacher (Switzerland)
January 11th, 2013 (Wide), released as schlussmacher (Austria)
",110 minutes,Create your own comparison chart…,Original Screenplay,Comedy,Live Action,Contemporary Fiction,Germany,German,,,"R for language and some sexual material.(Rating bulletin 2292 (Cert #48694), 10/2/2013)",,,,n/a,"$27,416,995","$27,416,995",,,
6,https://www.the-numbers.com/movie/Hannah-Arendt,"['Axel Milberg', 'Janet McTeer', 'Julia Jentsch', 'Ulrich Noethen', 'Michael Degen', 'Nicholas Woodeson', 'Sascha Ley', 'Victoria Trauttmansdorff', 'Klaus Pohl', 'Friederike Becht', 'Megan Gay', 'Tom Leick', 'Harvey Friedman', 'Barbara Sukowa']","[['Margarethe Von Trotta', 'Director'], ['Pamela Katz', 'Screenwriter'], ['Margarethe Von Trotta', 'Screenwriter'], ['Bettina Brokemper', 'Producer'], ['Johannes Rexin', 'Producer'], ['Volker Schaeffer', 'Production Designer'], ['Bettina Bohler', 'Editor'], ['Andre Mergenthaler', 'Composer'], ['Caroline Champetier', 'Cinematographer']]","$31,270 (4.4% of total gross)",19.66 (domestic box office/biggest weekend),9.9% (domestic box office/worldwide),,"1 opening theaters/21 max. theaters, 7.8 weeks average run per theater","$921,868","January 10th, 2013 (Wide) (Germany)
January 17th, 2013 (Wide) (Switzerland)
February 22nd, 2013 (Wide) (Austria)
March 22nd, 2013 (Wide) (Bulgaria)
April 24th, 2013 (Wide) (Belgium)
... Show all releases
",113 minutes,vs. Mrs. Parker and the Vicious CircleCreate your own comparison chart…,Based on Real Life Events,Drama,Live Action,Dramatization,Germany,"English, German","May 29th, 2013 (Limited) by Zeitgeist","November 19th, 2013 by Zeitgeist Home",Not Rated,"Biography, Nazis, Courtroom Drama, Writing and Writers, Jewish, Archive Footage, News, War Crimes, Holocaust","Heimafilm, Amour Fou Luxembourg, Mact Productions, Sophie Dulac, Metro Communications, WDR, BR, ARD/Degeto",,"$717,205","$6,502,580","$7,219,785","$219,868","$51,233","$271,101"
7,https://www.the-numbers.com/movie/Stand-Up-Guys,"['Julianna Margulies', 'Al Pacino', 'Christopher Walken', 'Alan Arkin']","[['Fisher Stevens', 'Director'], ['Sidney Kimmel', 'Producer'], ['Tom Rosenberg', 'Producer'], ['Gary Lucchesi', 'Producer'], ['Jim Tauber', 'Producer'], ['Noah Haidle', 'Screenwriter'], ['Michael Grady', 'Director of Photography'], ['Mark Livolsi', 'Editor'], ['Maher Ahmad', 'Production Designer'], ['Lindsay Ann McKay', 'Costume Designer'], ['Eric Reid', 'Executive Producer'], ['Ted Gidlow', 'Executive Producer'], ['Bruce Toll', 'Executive Producer'], ['Bingham Ray', 'Executive Producer'], ['Matt Berenson', 'Executive Producer'], ['Lyle Workman', 'Composer'], ['Tom Taylor', 'Art Director']]","$1,486,390 (44.9% of total gross)",2.23 (domestic box office/biggest weekend),54.1% (domestic box office/worldwide),,"659 opening theaters/670 max. theaters, 2.2 weeks average run per theater","$4,254,582","January 10th, 2013 (Wide) (Lebanon)
January 24th, 2013 (Wide) (Argentina)
February 22nd, 2013 (Wide) (Latvia)
March 7th, 2013 (Wide) (Chile)
March 7th, 2013 (Wide) (Hungary)
... Show all releases
",95 minutes,vs. Happy GilmoreCreate your own comparison chart…,Original Screenplay,Drama,Live Action,Contemporary Fiction,United States,"English, Korean, Ukrainian","December 14th, 2012 (Oscar Qualifying Run) by Roadside AttractionsFebruary 1st, 2013 (Wide) by Roadside Attractions","May 21st, 2013 by Lionsgate Home Entertainment","R for language, sexual content, violence and brief drug use.(Rating bulletin 2237, 8/22/2012)","Life on the Outside, Mafia, One Last Job, Organized Crime, Hitmen, Dysfunctional Family, Retirement, Prostitution, Kidnap, Revenge, Autumn Years, Death of a Son or Daughter, Sex Crimes, One Day, Digital Cinematography","Lionsgate, Sidney Kimmel Entertainment, Lakeshore Entertainment",,"$3,310,031","$2,808,766","$6,118,797","$3,223,754","$1,383,340","$4,607,094"
8,https://www.the-numbers.com/movie/Haunted-House-A,"['Marlon Wayans', 'Essence Atkins', 'Cedric the Entertainer', 'Nick Swardson', 'David Koechner']","[['Michel Tiddes', 'Director'], ['Marlon Wayans', 'Screenwriter'], ['Rick Alvarez', 'Screenwriter'], ['Marlon Wayans', 'Producer'], ['Rick Alvarez', 'Producer'], ['Stuart Ford', 'Executive Producer'], ['Lisa Blum', 'Executive Producer'], ['Deepak Nayar', 'Executive Producer'], ['Steve Squillante', 'Executive Producer'], ['Brian Kavanaugh-Jones', 'Executive Producer'], ['Todd King', 'Co-Executive Producer']]","$18,101,682 (45.2% of total gross)",2.21 (domestic box office/biggest weekend),66.8% (domestic box office/worldwide),"$2,500,000 (worldwide box office is 24.0 times production budget)","2,160 opening theaters/2,160 max. theaters, 4.4 weeks average run per theater","$51,468,089","January 16th, 2013 (Wide) (Philippines)
January 17th, 2013 (Wide) (Italy)
January 17th, 2013 (Wide) (Russia (CIS))
January 31st, 2013 (Wide) (Singapore)
February 1st, 2013 (Wide) (Brazil)
... Show all releases
",86 minutes,vs. Fifty Shades of BlackCreate your own comparison chart…,Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,English,"January 11th, 2013 (Wide) by Open Road","April 23rd, 2013 by Universal Home Entertainment","R for crude and sexual content, language and some drug use.(Rating bulletin 2246, 10/24/2012)","Spoof, Found Footage, Haunting, Possessed, Paranormal Investigation, Religious, Psychics, Screenplay Written By the Star, Horror Comedy","Open Road Films, IM Global, Endgame Entertainment, Automatik, Baby Way",A Haunted House,"$40,041,683","$19,880,875","$59,922,558","$6,354,292","$3,158,836","$9,513,128"
9,https://www.the-numbers.com/movie/Horrid-Henry,"['Theo Stevenson', 'Richard E. Grant', 'Parminder Nagra', 'Kimberly Walsh', 'Mathew Horne', 'Noel Fielding', 'Jo Brand', 'Anjelica Huston']","[['Nick Moore', 'Director'], ['Lucinda Whiteley', 'Screenwriter'], ['Rupert Preston', 'Producer'], ['Lucinda Whiteley', 'Producer'], ['Allan Niblo', 'Executive Producer'], ['Mike Watts', 'Executive Producer'], ['Nigel Williams', 'Executive Producer'], ['James Robinson', 'Executive Producer'], ['James Swarbrick', 'Executive Producer'], ['Paul Brett', 'Executive Producer'], ['Tim Smith', 'Executive Producer'], ['Sam McCurdy', 'Cinematographer'], ['Simon Cozens', 'Editor'], ['Michael Price', 'Composer'], ['Richard Bullock', 'Production Designer']]",,,,,,,,93 minutes,vs. Mostly Ghostly: Have You Met My GhoulfriendCreate your own comparison chart…,Based on Fiction Book/Short Story,Adventure,Live Action,Kids Fiction,United States,English,"January 11th, 2013 (Limited) by Phase 4 Films",,"PG for some rude humor.(Rating bulletin 2223, 5/16/2012)","Rock 'n' Roll, Breaking the Fourth Wall, 3-D, 3-D - Shot in 3-D, Talent Contest, Dysfunctional Family, Sibling Rivalry",,,n/a,"$6,136,575","$6,136,575",,,
