,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Production Budget:,Theater counts:,Infl. Adj. Dom. BO,Domestic Releases:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production/Financing Companies:,Production Countries:,Languages:,Video Release:,Franchise:,International Releases:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
146,https://www.the-numbers.com/movie/Royal-Tenenbaums-The,"['Danny Glover', 'Gene Hackman', 'Anjelica Huston', 'Ben Stiller', 'Gwyneth Paltrow', 'Luke Wilson', 'Owen Wilson', 'Bill Murray']","[['Wes Anderson', 'Director'], ['Wes Anderson', 'Screenwriter'], ['Owen Wilson', 'Screenwriter'], ['Wes Anderson', 'Producer'], ['Barry Mendel', 'Producer'], ['Scott Rudin', 'Producer'], ['Rudd Simmons', 'Executive Producer'], ['Owen Wilson', 'Executive Producer'], ['Robert Yeoman', 'Director of Photography'], ['David Wasco', 'Production Designer'], ['Dylan Tichenor', 'Editor'], ['Karen Patch', 'Costume Designer'], ['Douglas Aibel', 'Casting Director'], ['Mark Mothersbaugh', 'Composer'], ['Randall Poster', 'Music Supervisor']]","$276,981 (0.5% of total gross)",6.15 (domestic box office/biggest weekend),73.3% (domestic box office/worldwide),"$28,000,000 (worldwide box office is 2.6 times production budget)","5 opening theaters/999 max. theaters, 7.9 weeks average run per theater","$83,496,160","December 14th, 2001 (Limited) by Walt Disney","R for some language, sexuality/nudity and drug content",108 minutes,vs. The Darjeeling LimitedCreate your own comparison chart…,"Dysfunctional Family, Terminal Illness, Child Prodigy, Ensemble, Black Comedy",Original Screenplay,Black Comedy,Live Action,Contemporary Fiction,Touchstone Pictures,United States,English,"July 9th, 2002 by Walt Disney Home Entertainment",,"May 2nd, 2002 (Wide) (New Zealand)
February 11th, 2021 (Wide) (Australia)
","$52,353,636","$19,077,240","$71,430,876",,
147,https://www.the-numbers.com/movie/Vanilla-Sky,"['Penélope Cruz', 'Kurt Russell', 'Jason Lee', 'Noah Taylor', 'Cameron Diaz', 'Tom Cruise']","[['Cameron Crowe', 'Director'], ['Tom Cruise', 'Producer'], ['Paula Wagner', 'Producer'], ['Cameron Crowe', 'Producer'], ['Cameron Crowe', 'Written by'], ['Alejandro Amenábar', 'Based on the film by'], ['Mateo Gil', 'Based on the film by'], ['Michael Doven', 'Associate Producer'], ['Jonathan Sanger', 'Executive Producer'], ['Danny Bramson', 'Executive Producer'], ['Fernando Bovaira', 'Executive Producer'], ['Bill Block', 'Executive Producer'], ['Patrick Wachsberger', 'Executive Producer'], ['John Toll', 'Cinematographer'], ['Catherine Hardwicke', 'Production Designer'], ['Joe Hutshing', 'Editor'], ['Betsy Heimann', 'Costume Designer'], ['Nancy Wilson', 'Music by']]","$25,015,518 (24.9% of total gross)",4.02 (domestic box office/biggest weekend),49.6% (domestic box office/worldwide),"$70,000,000 (worldwide box office is 2.9 times production budget)","2,742 opening theaters/2,842 max. theaters, 8.1 weeks average run per theater","$162,193,183","December 14th, 2001 (Wide) by Paramount Pictures",R for sexuality and strong language,130 minutes,vs. Starship TroopersCreate your own comparison chart…,"Faulty Memory, Foreign-Language Remake, Remake, Remake with Returning Cast Member",Remake,Thriller/Suspense,Live Action,Contemporary Fiction,"Cruise-Wagner, Vynil Films",United States,English,"May 21st, 2002 by Paramount Home Video",,"December 21st, 2001 (Wide), released as Vanilla Sky (바닐라 스카이) (South Korea)
June 7th, 2023 (Limited), released as Vanilla Sky (바닐라 스카이) (South Korea)
","$100,614,858","$102,111,747","$202,726,605",,
148,https://www.the-numbers.com/movie/Lord-of-the-Rings-The-Fellowship-of-the-Ring-The,"['Liv Tyler', 'Sean Astin', 'Cate Blanchett', 'John Rhys-Davies', 'Billy Boyd', 'Dominic Monaghan', 'Orlando Bloom', 'Chistopher Lee*', 'Hugo Weaving', 'Sean Bean', 'Ian Holm', 'Andy Serkis', 'Marton Csokas', 'Craig Parker', 'Lawrence Makoare', 'Elijah Wood', 'Ian McKellen', 'Viggo Mortensen']","[['Barrie M. Osborne', 'Producer'], ['Peter Jackson', 'Director'], ['Peter Jackson', 'Producer'], ['Fran Walsh', 'Producer'], ['Tim Sanders', 'Producer'], ['Mark Ordesky', 'Executive Producer'], ['Bob Weinstein', 'Executive Producer'], ['Harvey Weinstein', 'Executive Producer'], ['Robert Shaye', 'Executive Producer'], ['Michael Lynne', 'Executive Producer'], ['Rick Porras', 'Co-Producer'], ['Jamie Selkirk', 'Co-Producer'], ['Fran Walsh', 'Screenwriter'], ['Philippa Boyens', 'Screenwriter'], ['Peter Jackson', 'Screenwriter'], ['J.R.R. Tolkien', 'Story Creator']]","$47,211,490 (15.0% of total gross)",6.68 (domestic box office/biggest weekend),35.4% (domestic box office/worldwide),"$93,000,000 (worldwide box office is 9.6 times production budget)","3,359 opening theaters/3,381 max. theaters, 11.6 weeks average run per theater","$506,312,233","December 19th, 2001 (Wide) by New LineDecember 5th, 2003 (Limited) by New LineJune 14th, 2011 (Special Engagement) by Warner Bros.February 5th, 2021 (IMAX) by Warner Bros.",PG-13 for epic battle sequences and some scary images.,179 minutes,"Holiday, 2002Eragonvs. Gulliver's TravelsCreate your own comparison chart…","Lord of the Rings, Visual Effects, Heroic Adventure, 2002 Oscars Best Picture Nominee",Based on Fiction Book/Short Story,Adventure,Animation/Live Action,Fantasy,"New Line Cinema, Wingnut Films","New Zealand, United States",English,"August 6th, 2002 by New Line Home Video",Peter Jackson's Lord of the Rings,"December 19th, 2001 (Wide) (United Kingdom)
December 20th, 2001 (Wide) (New Zealand)
December 21st, 2001 (Wide), released as El Señor De Los Anillos: La Comunidad Del Anillo (Mexico)
January 11th, 2002 (Wide), released as Pán prstenů: Společenstvo prstenu (Czech Republic)
January 18th, 2002 (Wide), released as Il Signore degli Anelli — La compagnia dell'Anello (Italy)
... Show all releases
","$315,544,750","$575,672,074","$891,216,824",,
149,https://www.the-numbers.com/movie/Beautiful-Mind-A,"['Ed Harris', 'Jennifer Connelly', 'Paul Bettany', 'Adam Goldberg', 'Judd Hirsch', 'Josh Lucas', 'Anthony Rapp', 'Christopher Plummer', 'Austin Pendleton', 'Jason Gray-Stanford', 'Vivien Cardone', 'Russell Crowe']","[['Ron Howard', 'Director'], ['Akiva Goldsman', 'Screenwriter'], ['Sylvia Nasar', 'Story Creator'], ['Brian Grazer', 'Producer'], ['Ron Howard', 'Producer'], ['Karen Kehela Sherwood', 'Executive Producer'], ['Todd Hallowell', 'Executive Producer'], ['Maureen Peyrot', 'Co-Producer']]","$367,151 (0.2% of total gross)",10.30 (domestic box office/biggest weekend),53.7% (domestic box office/worldwide),"$78,000,000 (worldwide box office is 4.1 times production budget)","524 opening theaters/2,250 max. theaters, 14.1 weeks average run per theater","$271,012,491","December 21st, 2001 (Wide) by Universal","PG-13 for intense thematic material, sexual content and a scene of violence",134 minutes,Best Picture Oscar Winnersvs. The Man Who Knew InfinityCreate your own comparison chart…,"Biography, Surprise Twist, Mental Illness, Academics, War, Hallucinations, Oscars Best Picture Winner, Biographical Drama, 2002 Oscars Best Picture Nominee",Based on Factual Book/Article,Drama,Live Action,Dramatization,"DreamWorks Pictures, Imagine Entertainment, Brian Grazer Productions",United States,English,"June 25th, 2002 by Universal Home Entertainment",,,"$170,708,996","$146,959,062","$317,668,058",,
150,https://www.the-numbers.com/movie/How-High,[],[],"$7,102,260 (22.8% of total gross)",4.39 (domestic box office/biggest weekend),99.8% (domestic box office/worldwide),"$12,000,000 (worldwide box office is 2.6 times production budget)","1,266 opening theaters/1,275 max. theaters, 5.8 weeks average run per theater","$50,181,009","December 21st, 2001 (Wide) by Universal","R for pervasive drug use and language, and for sexual dialogue.",94 minutes,vs. Half BakedCreate your own comparison chart…,"Hood Film, Stoner Comedy, Delayed Adulthood, Friendly Ghost, Death of a Best Friend, College, Revenge, Romance",Original Screenplay,Comedy,Live Action,Contemporary Fiction,Jersey Films,United States,English,"September 10th, 2002 by Universal Home Entertainment",,,"$31,155,435","$66,960","$31,222,395",,
151,https://www.the-numbers.com/movie/Jimmy-Neutron-Boy-Genius,[],"[['John A. Davis', 'Director'], ['J. David Stem', 'Screenwriter'], ['Jon Price', 'Editor'], ['John Debney', 'Composer']]","$13,832,786 (17.1% of total gross)",5.38 (domestic box office/biggest weekend),78.6% (domestic box office/worldwide),"$25,000,000 (worldwide box office is 4.1 times production budget)","3,139 opening theaters/3,151 max. theaters, 6.9 weeks average run per theater","$130,350,248","December 21st, 2001 (Wide) by Paramount Pictures",G,83 minutes,vs. Meet the RobinsonsCreate your own comparison chart…,,Based on TV,Adventure,Digital Animation,Kids Fiction,"Nickelodeon Films, Paramount Pictures, O Entertainment   ",United States,English,"July 2nd, 2002 by Paramount Home Video, released as Jimmy Neutron - Boy Genius",,,"$80,936,232","$22,056,304","$102,992,536",,
152,https://www.the-numbers.com/movie/Joe-Somebody,[],"[['John Pasquin', 'Director'], ['George S. Clinton', 'Composer'], ['Mark Mothersbaugh', 'Composer']]","$3,553,725 (15.6% of total gross)",4.49 (domestic box office/biggest weekend),92.9% (domestic box office/worldwide),"$38,000,000 (worldwide box office is 0.6 times production budget)","2,506 opening theaters/2,517 max. theaters, 4.3 weeks average run per theater","$36,766,134","December 21st, 2001 (Wide) by 20th Century Fox","PG for language, thematic elements and some mild violence",98 minutes,vs. Why Him?Create your own comparison chart…,"Comedy Drama, Single Parent, Bullies, Corporate Life, Romance",Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Regency Enterprises, Kopelson Entertainment, Fox 2000 Pictures",United States,English,"January 14th, 2003 by 20th Century Studios",,,"$22,770,864","$1,745,126","$24,515,990",,
153,https://www.the-numbers.com/movie/Majestic-The,"['Bob Balaban', 'Brent Briscoe', 'Jeffrey DeMunn', 'Allen Garfield', 'Hal Holbrook', 'Laurie Holden', 'Martin Landau', 'Ron Rifkin', 'David Ogden Stiers', 'James Whitmore', 'Jim Carrey', 'Amanda Detmer']","[['Frank Darabont', 'Director'], ['Michael Sloane', 'Screenwriter'], ['Frank Darabont', 'Producer'], ['Jim Behnke', 'Executive Producer'], ['David Tattersall', 'Director of Photography'], ['Gregory Melton', 'Production Designer'], ['Jim Page', 'Editor'], ['Karyn Wagner', 'Costume Designer'], ['Mark Isham', 'Composer']]","$4,904,339 (17.6% of total gross)",5.13 (domestic box office/biggest weekend),74.5% (domestic box office/worldwide),"$72,000,000 (worldwide box office is 0.5 times production budget)","2,361 opening theaters/2,361 max. theaters, 4.8 weeks average run per theater","$44,852,084","December 21st, 2001 (Wide) by Warner Bros.",PG for language and mile thematic elements,152 minutes,vs. Saving Private RyanCreate your own comparison chart…,"Romantic Drama, Romance, Faulty Memory, Car Accident, Life in a Small Town, Blacklisted, 1950s, Commies, Red Scare, Mistaken Identity",Original Screenplay,Drama,Live Action,Historical Fiction,"Castle Rock Entertainment, Village Roadshow Productions, NPV Entertainment, Darkwoods",United States,English,"June 18th, 2002 by Warner Home Video",,"May 16th, 2002 (Wide) (Australia)
","$27,796,042","$9,510,292","$37,306,334",,
154,https://www.the-numbers.com/movie/Ali-(2001),"['Jamie Foxx', 'Jon Voight', 'Mario Van Peebles', 'Ron Silver', 'Jeffrey Wright', 'Mykelti Williamson', 'Will Smith']","[['Michael Mann', 'Director'], ['Stephen J. Rivele', 'Screenwriter'], ['Christopher Wilkinson', 'Screenwriter'], ['Eric Roth', 'Screenwriter'], ['Michael Mann', 'Screenwriter'], ['Gregory Allen Howard', 'Story Creator'], ['Jon Peters', 'Producer'], ['James Lassiter', 'Producer'], ['Paul Ardaji', 'Producer'], ['Michael Mann', 'Producer'], ['A. Kitman Ho', 'Producer'], ['Howard Bingham', 'Executive Producer'], ['Graham King', 'Executive Producer'], ['Michael Waxman', 'Co-Producer'], ['John D. Schofield', 'Co-Producer']]","$14,710,892 (25.3% of total gross)",3.96 (domestic box office/biggest weekend),66.4% (domestic box office/worldwide),"$109,000,000 (worldwide box office is 0.8 times production budget)","2,446 opening theaters/2,521 max. theaters, 4.0 weeks average run per theater","$93,901,653","December 25th, 2001 (Wide) by Sony PicturesJune 10th, 2016 (Special Engagement) by Sony Pictures",R for some language and brief violence,158 minutes,vs. SelmaCreate your own comparison chart…,"Biography, Boxing, African Americans, Biographical Drama",Based on Real Life Events,Drama,Live Action,Dramatization,"Initial Entertainment Group, Columbia Pictures, Peters Entertainment, Forward Pass, Lee Caplin, Picture Entertainment Corporation",United States,English,"January 1st, 2002 by Sony Pictures Home Entertainment",,,"$58,183,966","$29,500,000","$87,683,966",,
155,https://www.the-numbers.com/movie/Kate-and-Leopold,"['Liev Schreiber', 'Breckin Meyer', 'Natasha Lyonne', 'Bradley Whitford', 'Philip Bosco', 'Meg Ryan', 'Hugh Jackman']","[['James Mangold', 'Director'], ['Cathy Konrad', 'Producer'], ['Steven Rogers', 'Story Creator'], ['James Mangold', 'Screenwriter'], ['Steven Rogers', 'Screenwriter'], ['Kerry Orent', 'Executive Producer'], ['Bob Weinstein', 'Executive Producer'], ['Harvey Weinstein', 'Executive Producer'], ['Meryl Poster', 'Executive Producer'], ['Christopher Goode', 'Co-Producer'], ['Stuart Dryburgh', 'Cinematographer'], ['Mark Friedberg', 'Production Designer'], ['David Brenner', 'Editor'], ['Rolfe Kent', 'Composer'], ['Donna Zakowska', 'Costume Designer'], ['Billy Hopkins', 'Casting Director'], ['Suzanne Smith', 'Casting Director']]","$9,725,408 (20.7% of total gross)",4.84 (domestic box office/biggest weekend),66.4% (domestic box office/worldwide),"$48,000,000 (worldwide box office is 1.5 times production budget)","2,459 opening theaters/2,467 max. theaters, 5.3 weeks average run per theater","$75,610,804","December 25th, 2001 (Wide) by Miramax",PG-13 for brief strong language,120 minutes,vs. Warm BodiesCreate your own comparison chart…,"Time Travel, Romance",Original Screenplay,Romantic Comedy,Live Action,Fantasy,,United States,,"June 11th, 2002 by Lionsgate Home Entertainment, released as Kate & Leopold",,,"$47,095,453","$23,842,325","$70,937,778",,
