,territory,release_date,opening_wknd,opening_wknd_screens,max_screens,theatrical_engagements,total_bo,report_date,url,country_url,int_total,total_report_date
0,Australia,7/17/1953,$0,0,0,0,$0,,https://www.the-numbers.com/movie/House-of-Wax,https://www.the-numbers.com/movie/House-of-Wax/Australia#tab=box-office,$0,
0,Australia,7/17/1953,$0,0,0,0,$0,,https://www.the-numbers.com/movie/House-of-Wax,https://www.the-numbers.com/movie/House-of-Wax/Australia#tab=box-office,$0,
0,Australia,11/12/2020,$430,1,1,2,$0,11/20/2020,https://www.the-numbers.com/movie/Gentlemen-Prefer-Blondes,https://www.the-numbers.com/movie/Gentlemen-Prefer-Blondes/Australia#tab=box-office,$418,6/12/2023
1,New Zealand,7/21/2022,$0,0,1,1,$418,6/12/2023,https://www.the-numbers.com/movie/Gentlemen-Prefer-Blondes,https://www.the-numbers.com/movie/Gentlemen-Prefer-Blondes/New-Zealand#tab=box-office,$418,6/12/2023
0,Australia,11/12/2020,$430,1,1,2,$0,11/20/2020,https://www.the-numbers.com/movie/Gentlemen-Prefer-Blondes,https://www.the-numbers.com/movie/Gentlemen-Prefer-Blondes/Australia#tab=box-office,$418,6/12/2023
1,New Zealand,7/21/2022,$0,0,1,1,$418,6/12/2023,https://www.the-numbers.com/movie/Gentlemen-Prefer-Blondes,https://www.the-numbers.com/movie/Gentlemen-Prefer-Blondes/New-Zealand#tab=box-office,$418,6/12/2023
0,Australia,12/26/1953,$0,0,0,0,$0,,https://www.the-numbers.com/movie/From-Here-to-Eternity,https://www.the-numbers.com/movie/From-Here-to-Eternity/Australia#tab=box-office,$0,
0,Australia,12/26/1953,$0,0,0,0,$0,,https://www.the-numbers.com/movie/From-Here-to-Eternity,https://www.the-numbers.com/movie/From-Here-to-Eternity/Australia#tab=box-office,$0,
0,South Korea,12/31/1986,$0,0,1,3,"$10,887",12/28/2022,https://www.the-numbers.com/movie/Robe-The,https://www.the-numbers.com/movie/Robe-The/South-Korea#tab=box-office,"$10,887",12/28/2022
0,South Korea,12/31/1986,$0,0,1,3,"$10,887",12/28/2022,https://www.the-numbers.com/movie/Robe-The,https://www.the-numbers.com/movie/Robe-The/South-Korea#tab=box-office,"$10,887",12/28/2022
0,Australia,4/8/1954,$0,0,4,4,$0,,https://www.the-numbers.com/movie/How-to-Marry-a-Millionaire,https://www.the-numbers.com/movie/How-to-Marry-a-Millionaire/Australia#tab=box-office,$742,5/30/2023
1,New Zealand,5/18/2023,$0,0,1,1,$742,5/30/2023,https://www.the-numbers.com/movie/How-to-Marry-a-Millionaire,https://www.the-numbers.com/movie/How-to-Marry-a-Millionaire/New-Zealand#tab=box-office,$742,5/30/2023
0,Australia,4/8/1954,$0,0,4,4,$0,,https://www.the-numbers.com/movie/How-to-Marry-a-Millionaire,https://www.the-numbers.com/movie/How-to-Marry-a-Millionaire/Australia#tab=box-office,$742,5/30/2023
1,New Zealand,5/18/2023,$0,0,1,1,$742,5/30/2023,https://www.the-numbers.com/movie/How-to-Marry-a-Millionaire,https://www.the-numbers.com/movie/How-to-Marry-a-Millionaire/New-Zealand#tab=box-office,$742,5/30/2023
