,id,date,rank,gross,pct_change,theaters,per_theater,total_gross,kind,kind_num,pct_lw
0,https://www.the-numbers.com/movie/Sound-of-Music-The/Australia#tab=box-office,2015/06/19,36,"$4,883", ,3,"$1,628","  $4,883",weekend,"2,634",
1,https://www.the-numbers.com/movie/Sound-of-Music-The/Australia#tab=box-office,2018/09/21,-,"$1,694", ,1,"$1,694","  $66,873",weekend,"2,804",
2,https://www.the-numbers.com/movie/Sound-of-Music-The/Australia#tab=box-office,2020/08/07,-,"$3,882", ,18,$216,"  $79,201",weekend,"2,902",
3,https://www.the-numbers.com/movie/Sound-of-Music-The/Australia#tab=box-office,2020/10/09,-,$706, ,3,$235,"  $83,284",weekend,"2,911",
0,https://www.the-numbers.com/movie/Sound-of-Music-The/New-Zealand#tab=box-office,2015/05/08,26,"$7,468", ,48,$156,"  $7,468",weekend,1,
1,https://www.the-numbers.com/movie/Sound-of-Music-The/New-Zealand#tab=box-office,2020/08/07,-,$595, ,10,$60,"  $8,426",weekend,275,
2,https://www.the-numbers.com/movie/Sound-of-Music-The/New-Zealand#tab=box-office,2020/08/14,-,$13,-98%,3,$4,"  $8,382",weekend,276,
3,https://www.the-numbers.com/movie/Sound-of-Music-The/New-Zealand#tab=box-office,2020/08/28,-,$302, ,2,$151,"  $8,964",weekend,278,
4,https://www.the-numbers.com/movie/Sound-of-Music-The/New-Zealand#tab=box-office,2020/09/04,-,$174,-42%,3,$58,"  $9,192",weekend,279,
5,https://www.the-numbers.com/movie/Sound-of-Music-The/New-Zealand#tab=box-office,2020/09/11,-,$89,-49%,2,$45,"  $9,256",weekend,280,
6,https://www.the-numbers.com/movie/Sound-of-Music-The/New-Zealand#tab=box-office,2020/09/18,-,$115,+29%,2,$58,"  $9,525",weekend,281,
7,https://www.the-numbers.com/movie/Sound-of-Music-The/New-Zealand#tab=box-office,2021/01/01,-,$54, ,1,$54,"  $10,230",weekend,296,
8,https://www.the-numbers.com/movie/Sound-of-Music-The/New-Zealand#tab=box-office,2023/03/10,-,$708, ,1,$708,"  $9,539",weekend,410,
0,https://www.the-numbers.com/movie/Sound-of-Music-The/United-Kingdom#tab=box-office,2018/05/18,-,"$8,227", ,10,$823,"  $8,227",weekend,"2,773",
0,https://www.the-numbers.com/movie/Sound-of-Music-The/Australia#tab=box-office,2015/06/19,36,"$4,883", ,3,"$1,628","  $4,883",weekend,"2,634",
1,https://www.the-numbers.com/movie/Sound-of-Music-The/Australia#tab=box-office,2018/09/21,-,"$1,694", ,1,"$1,694","  $66,873",weekend,"2,804",
2,https://www.the-numbers.com/movie/Sound-of-Music-The/Australia#tab=box-office,2020/08/07,-,"$3,882", ,18,$216,"  $79,201",weekend,"2,902",
3,https://www.the-numbers.com/movie/Sound-of-Music-The/Australia#tab=box-office,2020/10/09,-,$706, ,3,$235,"  $83,284",weekend,"2,911",
0,https://www.the-numbers.com/movie/Sound-of-Music-The/New-Zealand#tab=box-office,2015/05/08,26,"$7,468", ,48,$156,"  $7,468",weekend,1,
1,https://www.the-numbers.com/movie/Sound-of-Music-The/New-Zealand#tab=box-office,2020/08/07,-,$595, ,10,$60,"  $8,426",weekend,275,
