,id,date,rank,gross,pct_change,theaters,per_theater,total_gross,kind,kind_num,pct_lw
0,https://www.the-numbers.com/movie/Conqueror-The/South-Korea#tab=box-office,2020/07/31,-,$445, ,1,$445,"  $16,347",weekend,"2,264",
0,https://www.the-numbers.com/movie/Conqueror-The/South-Korea#tab=box-office,2020/07/31,-,$445, ,1,$445,"  $16,347",weekend,"2,264",
0,https://www.the-numbers.com/movie/Moby-Dick/Portugal#tab=box-office,2022/04/15,-,$303, ,1,$303,  $303,weekend,"3,420",
0,https://www.the-numbers.com/movie/Moby-Dick/South-Korea#tab=box-office,2021/05/07,-,$215, ,1,$215,"  $11,686",weekend,687,
1,https://www.the-numbers.com/movie/Moby-Dick/South-Korea#tab=box-office,2021/05/14,-,$351,+63%,1,$351,"  $12,099",weekend,688,
2,https://www.the-numbers.com/movie/Moby-Dick/South-Korea#tab=box-office,2023/02/10,-,$913, ,1,$913,"  $11,537",weekend,779,
0,https://www.the-numbers.com/movie/Moby-Dick/Portugal#tab=box-office,2022/04/15,-,$303, ,1,$303,  $303,weekend,"3,420",
0,https://www.the-numbers.com/movie/Moby-Dick/South-Korea#tab=box-office,2021/05/07,-,$215, ,1,$215,"  $11,686",weekend,687,
1,https://www.the-numbers.com/movie/Moby-Dick/South-Korea#tab=box-office,2021/05/14,-,$351,+63%,1,$351,"  $12,099",weekend,688,
2,https://www.the-numbers.com/movie/Moby-Dick/South-Korea#tab=box-office,2023/02/10,-,$913, ,1,$913,"  $11,537",weekend,779,
0,https://www.the-numbers.com/movie/King-and-I-The-(1956)/New-Zealand#tab=box-office,2020/12/11,-,$65, ,1,$65,  $65,weekend,9,
1,https://www.the-numbers.com/movie/King-and-I-The-(1956)/New-Zealand#tab=box-office,2021/06/11,-,$292, ,1,$292,  $358,weekend,35,
2,https://www.the-numbers.com/movie/King-and-I-The-(1956)/New-Zealand#tab=box-office,2021/07/02,-,$20, ,1,$20,  $413,weekend,38,
0,https://www.the-numbers.com/movie/King-and-I-The-(1956)/New-Zealand#tab=box-office,2020/12/11,-,$65, ,1,$65,  $65,weekend,9,
1,https://www.the-numbers.com/movie/King-and-I-The-(1956)/New-Zealand#tab=box-office,2021/06/11,-,$292, ,1,$292,  $358,weekend,35,
2,https://www.the-numbers.com/movie/King-and-I-The-(1956)/New-Zealand#tab=box-office,2021/07/02,-,$20, ,1,$20,  $413,weekend,38,
0,https://www.the-numbers.com/movie/War-and-Peace/South-Korea#tab=box-office,2019/02/01,-,"$1,029", ,1,"$1,029","  $24,028",weekend,"2,158",
1,https://www.the-numbers.com/movie/War-and-Peace/South-Korea#tab=box-office,2019/10/04,-,$428, ,1,$428,"  $23,097",weekend,"2,193",
2,https://www.the-numbers.com/movie/War-and-Peace/South-Korea#tab=box-office,2021/06/04,-,$704, ,1,$704,"  $26,685",weekend,"2,280",
0,https://www.the-numbers.com/movie/War-and-Peace/South-Korea#tab=box-office,2019/02/01,-,"$1,029", ,1,"$1,029","  $24,028",weekend,"2,158",
1,https://www.the-numbers.com/movie/War-and-Peace/South-Korea#tab=box-office,2019/10/04,-,$428, ,1,$428,"  $23,097",weekend,"2,193",
2,https://www.the-numbers.com/movie/War-and-Peace/South-Korea#tab=box-office,2021/06/04,-,$704, ,1,$704,"  $26,685",weekend,"2,280",
0,https://www.the-numbers.com/movie/Ten-Commandments-The-(1956)/South-Korea#tab=box-office,2019/02/01,-,$976, ,1,$976,"  $33,925",weekend,"2,382",
1,https://www.the-numbers.com/movie/Ten-Commandments-The-(1956)/South-Korea#tab=box-office,2020/08/07,-,$236, ,1,$236,"  $33,338",weekend,"2,461",
2,https://www.the-numbers.com/movie/Ten-Commandments-The-(1956)/South-Korea#tab=box-office,2021/12/03,-,"$10,903", ,81,$135,"  $21,431",weekend,"2,530",
3,https://www.the-numbers.com/movie/Ten-Commandments-The-(1956)/South-Korea#tab=box-office,2022/01/07,-,$341, ,2,$171,"  $25,141",weekend,"2,535",
0,https://www.the-numbers.com/movie/Ten-Commandments-The-(1956)/South-Korea#tab=box-office,2019/02/01,-,$976, ,1,$976,"  $33,925",weekend,"2,382",
1,https://www.the-numbers.com/movie/Ten-Commandments-The-(1956)/South-Korea#tab=box-office,2020/08/07,-,$236, ,1,$236,"  $33,338",weekend,"2,461",
2,https://www.the-numbers.com/movie/Ten-Commandments-The-(1956)/South-Korea#tab=box-office,2021/12/03,-,"$10,903", ,81,$135,"  $21,431",weekend,"2,530",
3,https://www.the-numbers.com/movie/Ten-Commandments-The-(1956)/South-Korea#tab=box-office,2022/01/07,-,$341, ,2,$171,"  $25,141",weekend,"2,535",
0,https://www.the-numbers.com/movie/Giant-(1956)/Australia#tab=box-office,2020/09/18,-,$349, ,1,$349,  $349,weekend,1,
0,https://www.the-numbers.com/movie/Giant-(1956)/South-Korea#tab=box-office,2021/12/24,-,$147, ,1,$147,"  $16,365",weekend,"2,496",
1,https://www.the-numbers.com/movie/Giant-(1956)/South-Korea#tab=box-office,2022/05/06,-,$199, ,1,$199,"  $15,441",weekend,"2,515",
0,https://www.the-numbers.com/movie/Giant-(1956)/Australia#tab=box-office,2020/09/18,-,$349, ,1,$349,  $349,weekend,1,
0,https://www.the-numbers.com/movie/Giant-(1956)/South-Korea#tab=box-office,2021/12/24,-,$147, ,1,$147,"  $16,365",weekend,"2,496",
1,https://www.the-numbers.com/movie/Giant-(1956)/South-Korea#tab=box-office,2022/05/06,-,$199, ,1,$199,"  $15,441",weekend,"2,515",
