,url,cast,crew,Domestic Share:,Production Budget:,Domestic Releases:,Video Release:,MPAA Rating:,Running Time:,Comparisons:,Source:,Genre:,Production Method:,Creative Type:,Production/Financing Companies:,Production Countries:,Languages:,Keywords:,Domestic Box Office,International Box Office,Worldwide Box Office
0,https://www.the-numbers.com/movie/San-Francisco,"['Jack Holt', 'Ted Healy', 'Jessie Ralph', 'Clark Gable', 'Jeanette MacDonald', 'Spencer Tracy']","[['W.S. Van Dyke', 'Director'], ['Anita Loos', 'Screenwriter'], ['John Emerson', 'Producer'], ['Bernard H. Hyman', 'Producer'], ['W.S. Van Dyke', 'Producer']]",54.4% (domestic box office/worldwide),"$1,300,000 (worldwide box office is 4.1 times production budget)","June 26th, 1936 (Wide)","June 20th, 2006 by Warner Home Video",Not Rated,115 minutes,vs. The Great ZiegfeldCreate your own comparison chart…,Original Screenplay,Musical,Live Action,Contemporary Fiction,Metro-Goldwyn-Mayer Pictures,United States,English,,"$2,868,000","$2,405,000","$5,273,000"
1,https://www.the-numbers.com/movie/How-to-Become-a-Detective,[],[],100.0% (domestic box office/worldwide),,"October 17th, 1936 (Wide)",,Not Rated,9 minutes,vs. Modern TimesCreate your own comparison chart…,,,,,,United States,English,Short Film,"$6,000,000",,
