,id,date,rank,gross,pct_change,theaters,per_theater,total_gross,kind,kind_num,pct_lw
0,https://www.the-numbers.com/movie/Deep-Sea-3D/Malaysia#tab=box-office,2015/08/14,16,$351, ,2,$176,  $351,weekend,1,
0,https://www.the-numbers.com/movie/Deep-Sea-3D/Malaysia#tab=box-office,2015/08/14,16,$351, ,2,$176,  $351,weekend,1,
0,https://www.the-numbers.com/movie/Hills-Have-Eyes-The/New-Zealand#tab=box-office,2020/10/02,-,$356, ,1,$356,  $356,weekend,752,
0,https://www.the-numbers.com/movie/Hills-Have-Eyes-The/New-Zealand#tab=box-office,2020/10/02,-,$356, ,1,$356,  $356,weekend,752,
0,https://www.the-numbers.com/movie/V-for-Vendetta/South-Korea#tab=box-office,2022/11/04,17,"$11,507", ,38,$303,"  $2,083,664",weekend,1,
1,https://www.the-numbers.com/movie/V-for-Vendetta/South-Korea#tab=box-office,2022/11/11,-,"$4,221",-63%,26,$162,"  $2,155,765",weekend,2,
0,https://www.the-numbers.com/movie/V-for-Vendetta/United-Kingdom#tab=box-office,2020/10/30,-,"$6,914", ,126,$55,"  $6,914",weekend,1,
1,https://www.the-numbers.com/movie/V-for-Vendetta/United-Kingdom#tab=box-office,2020/11/06,-,$451,-93%,3,$150,"  $20,879",weekend,2,
0,https://www.the-numbers.com/movie/V-for-Vendetta/South-Korea#tab=box-office,2022/11/04,17,"$11,507", ,38,$303,"  $2,083,664",weekend,1,
1,https://www.the-numbers.com/movie/V-for-Vendetta/South-Korea#tab=box-office,2022/11/11,-,"$4,221",-63%,26,$162,"  $2,155,765",weekend,2,
0,https://www.the-numbers.com/movie/V-for-Vendetta/United-Kingdom#tab=box-office,2020/10/30,-,"$6,914", ,126,$55,"  $6,914",weekend,1,
1,https://www.the-numbers.com/movie/V-for-Vendetta/United-Kingdom#tab=box-office,2020/11/06,-,$451,-93%,3,$150,"  $20,879",weekend,2,
0,https://www.the-numbers.com/movie/Cars/Australia#tab=box-office,2015/03/13,21,"$39,564", ,72,$550,"  $39,564",weekend,1,
1,https://www.the-numbers.com/movie/Cars/Australia#tab=box-office,2020/09/18,-,"$1,531", ,1,"$1,531","  $12,853,123",weekend,751,
2,https://www.the-numbers.com/movie/Cars/Australia#tab=box-office,2020/10/16,-,"$1,253", ,1,"$1,253","  $41,919",weekend,755,
0,https://www.the-numbers.com/movie/Cars/United-Kingdom#tab=box-office,2020/07/03,-,"$8,709", ,1,"$8,709","  $20,720,484",weekend,728,
0,https://www.the-numbers.com/movie/Cars/Australia#tab=box-office,2015/03/13,21,"$39,564", ,72,$550,"  $39,564",weekend,1,
1,https://www.the-numbers.com/movie/Cars/Australia#tab=box-office,2020/09/18,-,"$1,531", ,1,"$1,531","  $12,853,123",weekend,751,
2,https://www.the-numbers.com/movie/Cars/Australia#tab=box-office,2020/10/16,-,"$1,253", ,1,"$1,253","  $41,919",weekend,755,
0,https://www.the-numbers.com/movie/Cars/United-Kingdom#tab=box-office,2020/07/03,-,"$8,709", ,1,"$8,709","  $20,720,484",weekend,728,
0,https://www.the-numbers.com/movie/Mission-Impossible-III/Australia#tab=box-office,2020/11/27,-,$118, ,1,$118,  $127,weekend,1,
0,https://www.the-numbers.com/movie/Mission-Impossible-III/Australia#tab=box-office,2020/11/27,-,$118, ,1,$118,  $127,weekend,1,
0,https://www.the-numbers.com/movie/Fast-and-the-Furious-Tokyo-Drift-The/New-Zealand#tab=box-office,2021/05/07,-,"$4,149", ,15,$277,"  $4,149",weekend,778,
