,url,cast,crew,Domestic Share:,Infl. Adj. Dom. BO,Production Budget:,Opening Weekend:,Legs:,Theater counts:,Domestic Releases:,Video Release:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production/Financing Companies:,Production Countries:,Languages:,International Releases:,Franchise:,MPAA Rating:,Domestic Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales,International Box Office,Worldwide Box Office
43,https://www.the-numbers.com/movie/Up-the-Academy,[],"[['Robert Downey, Sr.', 'Director'], ['Bernie Brillstein', 'Executive Producer'], ['Tom Patchett', 'Screenwriter'], ['Jay Tarses', 'Screenwriter'], ['Marvin Worth', 'Producer'], ['Danton Rissner', 'Producer']]",100.0% (domestic box office/worldwide),"$34,089,218",,,,,"June 6th, 1980 (Wide) by Warner Bros.",,88 minutes,Create your own comparison chart…,"Farcical / Slapstick Comedy, Military Life, Boarding School, Famously Bad, Cult Movie",Original Screenplay,Comedy,Live Action,Contemporary Fiction,Warner Bros.,United States,,,,R,"$10,000,000",,,,
44,https://www.the-numbers.com/movie/Urban-Cowboy-(1980),[],"[['James Bridges', 'Director']]",100.0% (domestic box office/worldwide),"$159,940,774",,,,,"June 6th, 1980 (Wide) by Paramount Pictures","April 25th, 2017 by Paramount Home Video",132 minutes,vs. GreaseCreate your own comparison chart…,,Original Screenplay,Western,Live Action,Contemporary Fiction,,United States,English,,,PG,"$46,918,287",,,,
45,https://www.the-numbers.com/movie/Bronco-Billy,[],"[['Clint Eastwood', 'Director']]",100.0% (domestic box office/worldwide),"$82,719,736",,"$3,708,710 (15.3% of total gross)",6.54 (domestic box office/biggest weekend),"1,321 opening theaters/1,321 max. theaters, 1.0 weeks average run per theater","June 11th, 1980 (Wide) by Warner Bros.","June 1st, 2010 by Warner Home Video",,vs. Star Wars Ep. V: The Empire Strikes BackCreate your own comparison chart…,,Original Screenplay,Adventure,Live Action,Contemporary Fiction,,United States,,,,,"$24,265,659",,,,
46,https://www.the-numbers.com/movie/Island-The,"['Angela Punch McGregor', 'Michael Caine', 'David Warner']","[['Michael Ritchie', 'Director']]",100.0% (domestic box office/worldwide),"$53,577,431","$22,000,000 (worldwide box office is 0.7 times production budget)","$3,123,267 (19.9% of total gross)",5.03 (domestic box office/biggest weekend),"584 opening theaters/584 max. theaters, 1.0 weeks average run per theater","June 13th, 1980 (Wide) by Universal",,109 minutes,vs. KicksCreate your own comparison chart…,,Based on Fiction Book/Short Story,Adventure,Live Action,Contemporary Fiction,Zanuck/Brown,United States,English,,,"PG-13 for intense sequences of violence and action, some sexuality and language.","$15,716,828",,,,
47,https://www.the-numbers.com/movie/Wholly-Moses,[],"[['Gary Weis', 'Director'], ['Guy Thomas', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$48,255,392",,"$3,625,280 (25.6% of total gross)",3.90 (domestic box office/biggest weekend),"608 opening theaters/608 max. theaters, 1.0 weeks average run per theater","June 13th, 1980 (Wide) by Sony Pictures",,104 minutes,Create your own comparison chart…,"Satirical Comedy, Satire, Religious, Spoof, Ancient Egypt, Middle East, Ensemble",Original Screenplay,Comedy,Live Action,Fantasy,,United States,,,,,"$14,155,617",,,,
48,https://www.the-numbers.com/movie/Rough-Cut,[],"[['Don Siegel', 'Director']]",100.0% (domestic box office/worldwide),"$56,779,430",,,,,"June 19th, 1980 (Wide) by Paramount Pictures",,,Create your own comparison chart…,,,,,,,United States,,,,,"$16,656,125",,,,
49,https://www.the-numbers.com/movie/Blue-Lagoon-The-(1980),[],"[['Randal Kleiser', 'Director'], ['Douglas Day Stewart', 'Screenwriter'], ['Henry De Vere Stacpoole', 'Based on the novel by'], ['Basil Poledouris', 'Composer']]",100.0% (domestic box office/worldwide),"$163,368,474","$4,500,000 (worldwide box office is 10.6 times production budget)",,174.24 (domestic box office/biggest weekend),,"June 20th, 1980 (Wide) by UniversalAugust 14th, 1981 (Limited) by Universal","June 4th, 1996 by Sony Pictures Home Entertainment",105 minutes,vs. Blue Lagoon: The AwakeningCreate your own comparison chart…,"Survival Drama, Romance, Coming of Age, Marooned",Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction,Columbia Pictures,United States,English,,The Blue Lagoon,R,"$47,923,795",,,,
50,https://www.the-numbers.com/movie/Blues-Brothers-The,"['James Brown', 'Cab Calloway', 'Ray Charles', 'Carrie Fisher', 'Aretha Franklin', 'Henry Gibson', 'John Belushi', 'Dan Aykroyd']","[['John Landis', 'Director'], ['Robert K. Weiss', 'Producer'], ['Bernie Brillstein', 'Executive Producer'], ['Dan Aykroyd', 'Screenwriter'], ['John Landis', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$195,092,227","$27,000,000 (worldwide box office is 2.1 times production budget)","$4,858,152 (8.5% of total gross)",11.78 (domestic box office/biggest weekend),"594 opening theaters/594 max. theaters, 1.0 weeks average run per theater","June 20th, 1980 (Wide) by UniversalNovember 29th, 2020 (Special Engagement) by Fathom Events, released as The Blues Brothers (1980)","September 8th, 1998 by Universal Home Entertainment",133 minutes,vs. Starship TroopersCreate your own comparison chart…,"Life on the Outside, Car Chase, Neo Nazis, Saturday Night Live",Based on TV,Musical,Live Action,Contemporary Fiction,Universal Pictures,United States,English,"October 8th, 2020 (Special Engagement) (Australia)
",Blues Brothers,R,"$57,229,890",,,"$15,203","$57,245,093"
51,https://www.the-numbers.com/movie/Brubaker,[],"[['Bob Rafelson', 'Director'], ['Arthur A. Ross', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$126,545,000",,"$2,748,079 (7.4% of total gross)",13.51 (domestic box office/biggest weekend),"594 opening theaters/594 max. theaters, 1.0 weeks average run per theater","June 20th, 1980 (Wide) by 20th Century Fox","May 7th, 2013 by Fox Home Entertainment",131 minutes,vs. The Blues BrothersCreate your own comparison chart…,"Biographical Drama, Biography, Cruel Wardens or Prison Guards, Government Corruption, Political",Based on Factual Book/Article,Drama,Live Action,Dramatization,,United States,English,,,R,"$37,121,708",,,,
52,https://www.the-numbers.com/movie/Last-Flight-of-Noahs-Ark-The,[],[],100.0% (domestic box office/worldwide),"$37,498,138",,,,,"June 25th, 1980 (Wide) by Walt Disney, released as The Last Flight of Noah's Ark",,,vs. God’s Not DeadCreate your own comparison chart…,,,,,,,United States,,,,,"$11,000,000",,,,
