,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Theater counts:,Infl. Adj. Dom. BO,Production Budget:,Domestic Releases:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Franchise:,Production Countries:,Languages:,International Releases:,Video Release:,Production/Financing Companies:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
103,https://www.the-numbers.com/movie/Specialist-The,[],[],"$14,317,765 (25.0% of total gross)",4.01 (domestic box office/biggest weekend),33.7% (domestic box office/worldwide),"2,522 opening theaters/2,522 max. theaters, 7.7 weeks average run per theater","$128,757,043","$45,000,000 (worldwide box office is 3.8 times production budget)","October 7th, 1994 (Wide) by Warner Bros.","R for strong violence, sexuality and language",,vs. Judge DreddCreate your own comparison chart…,"Mafia, Action Thriller, 1980s, Prologue, Drug Cartels, Corrupt Cops, Young Child Dealing with the Death of a Parent, Revenge, C.I.A., Surprise Twist, Fired",Based on Fiction Book/Short Story,Action,Live Action,Contemporary Fiction,,United States,,,,,"$57,362,581","$113,000,000","$170,362,581",,
104,https://www.the-numbers.com/movie/Exit-to-Eden,[],"[['Garry Marshall', 'Director'], ['Deborah Amelon', 'Screenwriter'], ['Patrick Doyle', 'Composer']]","$3,012,695 (44.2% of total gross)",2.26 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,670 opening theaters/1,670 max. theaters, 1.6 weeks average run per theater","$15,313,827",,"October 14th, 1994 (Wide) by Savoy",R for nudity and sex-related scenes,114 minutes,vs. Celtic PrideCreate your own comparison chart…,"Crime Comedy, Smuggler, Undercover, Police Detective, Sexual Awakening, Sexual Fetishism",Based on Fiction Book/Short Story,Comedy,Live Action,Contemporary Fiction,,,,,,,"$6,813,570",,,,
105,https://www.the-numbers.com/movie/Heavenly-Creatures,"['Kate Winslet', 'Melanie Lynskey']","[['Peter Jackson', 'Director']]",,15.14 (domestic box office/biggest weekend),56.0% (domestic box office/worldwide),,"$6,627,242","$5,000,000 (worldwide box office is 1.1 times production budget)","November 16th, 1994 (Wide) by Miramax",R for a chilling murder and some sexuality,,vs. Little MonstersCreate your own comparison chart…,"Coming of Age, LGBTQ+",Based on Real Life Events,Drama,Live Action,Dramatization,,"Germany, New Zealand","English, French","October 14th, 1994 (Wide) (New Zealand)
May 4th, 2023 (Limited) (New Zealand)
",,,"$3,046,086","$2,392,034","$5,438,120",,
106,https://www.the-numbers.com/movie/Hoop-Dreams,[],"[['Steve James', 'Director']]",,11.36 (domestic box office/biggest weekend),66.0% (domestic box office/worldwide),,"$16,656,434","$700,000 (worldwide box office is 16.8 times production budget)","October 14th, 1994 (Wide) by Fine Line",PG-13 for drug content and some strong language,,vs. The Heart of the GameCreate your own comparison chart…,Basketball,Based on Real Life Events,Documentary,Live Action,Factual,,United States,English,,"March 31st, 2015 by Criterion",,"$7,768,371","$4,000,000","$11,768,371","$187,700","$187,700"
107,https://www.the-numbers.com/movie/Little-Giants,[],"[['Duwayne Dunham', 'Director'], ['James Ferguson', 'Screenwriter'], ['Robert Shallcross', 'Screenwriter'], ['Tommy Swerdlow', 'Screenwriter'], ['Michael Goldberg', 'Screenwriter'], ['John Debney', 'Composer']]","$4,778,029 (24.7% of total gross)",4.04 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"2,022 opening theaters/2,022 max. theaters, 5.9 weeks average run per theater","$43,391,991",,"October 14th, 1994 (Wide) by Warner Bros.",PG for kids' rude language and pranks,106 minutes,vs. The LongshotsCreate your own comparison chart…,"Football, Sports Comedy, Underdog, Sibling Rivalry, Dysfunctional Family",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,United States,,,,,"$19,306,362",,,,
108,https://www.the-numbers.com/movie/New-Nightmare,[],"[['Wes Craven', 'Director'], ['J. Peter Robinson', 'Composer']]","$6,667,118 (36.9% of total gross)",2.71 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,850 opening theaters/1,873 max. theaters, 4.4 weeks average run per theater","$40,537,315","$8,000,000 (worldwide box office is 2.3 times production budget)","October 14th, 1994 (Wide) by New Line","R for explicit horror violence and gore, and for language",,vs. Freddy’s Dead: The Final NightmareCreate your own comparison chart…,Slasher Horror,Original Screenplay,Horror,Live Action,Fantasy,Nightmare on Elm Street,United States,,,,,"$18,090,181",,,,
109,https://www.the-numbers.com/movie/Bullets-Over-Broadway,[],"[['Woody Allen', 'Director'], ['Woody Allen', 'Screenwriter'], ['Douglas McGrath', 'Screenwriter']]",,9.60 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),,"$29,439,276","$20,000,000 (worldwide box office is 0.7 times production budget)","October 21st, 1994 (Wide) by Miramax",R for some language,98 minutes,vs. The Great GatsbyCreate your own comparison chart…,"Writing and Writers, Crime Comedy, 1920s, Organized Crime, Mafia, Broadway, Backstage, Relationships Gone Wrong, Infidelity",Original Screenplay,Comedy,Live Action,Historical Fiction,,United States,English,,,,"$13,383,747",,,,
110,https://www.the-numbers.com/movie/Love-Affair,"['Garry Shandling', 'Chloe Webb', 'Pierce Brosnan', 'Kate Capshaw', 'Katharine Hepburn', 'Warren Beatty', 'Annette Bening']","[['Glenn Gordon Caron', 'Director'], ['Robert Towne', 'Screenwriter'], ['Warren Beatty', 'Screenwriter']]","$5,438,758 (29.8% of total gross)",3.36 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,585 opening theaters/1,585 max. theaters, 4.9 weeks average run per theater","$41,069,221",,"October 21st, 1994 (Wide) by Warner Bros.",PG-13 for one use of strong language,108 minutes,Create your own comparison chart…,"Romantic Drama, Screenplay Written By the Star, Romance, Relationships Gone Wrong, Former Professional Athlete, Singers, Car Accident, Artists",Remake,Drama,Live Action,Contemporary Fiction,,United States,English,,,,"$18,272,894",,,,
111,https://www.the-numbers.com/movie/Puppet-Masters-The,"['Keith David', 'Donald Sutherland', 'Will Patton']","[['Stuart Orme', 'Director'], ['David S. Goyer', 'Screenwriter'], ['Robert A. Heinlein', 'Screenwriter'], ['Ted Elliott', 'Screenwriter'], ['Terry Rossio', 'Screenwriter'], ['James P. Axiotis', 'Producer'], ['Michael Engelberg', 'Producer'], ['Ralph Winter', 'Producer']]","$4,069,057 (47.4% of total gross)",2.11 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,481 opening theaters/1,482 max. theaters, 2.8 weeks average run per theater","$19,283,125",,"October 21st, 1994 (Wide) by Walt Disney","R for violence, sci-fi gore and brief language",109 minutes,vs. Star KidCreate your own comparison chart…,"Alien Invasion, Psychological Horror, Political, Parasite, Washington, D.C.",Based on Fiction Book/Short Story,Horror,Live Action,Science Fiction,,United States,English,,"September 3rd, 2002 by Walt Disney Home Entertainment",Hollywood Pictures,"$8,579,626",,,,
112,https://www.the-numbers.com/movie/Last-Seduction-The,[],"[['John Dahl', 'Director']]",,17.33 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),,"$12,483,827",,"October 26th, 1994 (Wide) by October Films","R for strong sexuality and language, and for violence",110 minutes,Create your own comparison chart…,"Film Noir, Erotic Thriller",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,The Last Seduction,United States,,,"July 24th, 2018 by Shout Factory",,"$5,751,320",,,,
