,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Theater counts:,Infl. Adj. Dom. BO,Production Budget:,Domestic Releases:,Video Release:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,MPAA Rating:,Production/Financing Companies:,Franchise:,International Releases:,Domestic Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales,International Box Office,Worldwide Box Office
27,https://www.the-numbers.com/movie/Gardens-of-Stone,[],"[['Francis Ford Coppola', 'Director'], ['Ronald Bass', 'Screenwriter']]","$1,645,588 (31.3% of total gross)",3.20 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"612 opening theaters/612 max. theaters, 2.0 weeks average run per theater","$12,340,913",,"May 8th, 1987 (Wide) by Sony Pictures",,112 minutes,vs. Apocalypse NowCreate your own comparison chart…,"Vietnam War, War Drama, Anti-war, Military Life, Political, Death of a Best Friend, Romance, War, Non-Chronological, 1960s, Newspaper Industry, Investigative Journalist",Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction,United States,English,,,,,"$5,262,047",,,,
28,https://www.the-numbers.com/movie/Hot-Pursuit-(1987),[],[],"$1,507,645 (35.8% of total gross)",2.80 (domestic box office/biggest weekend),79.4% (domestic box office/worldwide),"800 opening theaters/800 max. theaters, 1.0 weeks average run per theater","$9,887,314",,"May 8th, 1987 (Wide) by Paramount Pictures","February 19th, 2002 by Paramount Home Video",,vs. The WolfmanCreate your own comparison chart…,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,,,,,"July 31st, 2015 (Wide) (United Kingdom)
","$4,215,859",,,"$1,095,016","$5,310,875"
29,https://www.the-numbers.com/movie/Gate-The,"['Stephen Dorff', 'Christa Denton']","[['Tibor Takacs', 'Director'], ['Michael Nankin', 'Screenwriter'], ['John Kemeny', 'Producer'], ['J. Peter Robinson', 'Composer']]","$4,258,063 (32.8% of total gross)",3.05 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,139 opening theaters/1,395 max. theaters, 3.3 weeks average run per theater","$30,488,489",,"May 15th, 1987 (Wide) by New Century Vista Film Company","October 6th, 2009 by Lionsgate Home Entertainment",85 minutes,vs. George Of The JungleCreate your own comparison chart…,"Supernatural Horror, Supernatural, Demons, Cult Movie",Original Screenplay,Horror,Live Action,Fantasy,"Canada, United States",English,PG-13,,Gate,,"$13,000,000",,,,
30,https://www.the-numbers.com/movie/Ishtar,[],"[['Elaine May', 'Director'], ['Elaine May', 'Screenwriter']]","$4,331,817 (30.1% of total gross)",3.32 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,139 opening theaters/1,139 max. theaters, 3.9 weeks average run per theater","$33,713,652","$40,000,000 (worldwide box office is 0.4 times production budget)","May 15th, 1987 (Wide) by Sony Pictures","June 8th, 2013 by Sony Pictures Home Entertainment",107 minutes,vs. GhostbustersCreate your own comparison chart…,"Farcical / Slapstick Comedy, Famously Bad, Songwriter, C.I.A., Mistaken Identity, Blackmail",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,,PG-13,,,,"$14,375,181",,,,
31,https://www.the-numbers.com/movie/Beverly-Hills-Cop-II,[],"[['Harold Faltermeyer', 'Composer'], ['Tony Scott', 'Director']]","$26,348,555 (17.1% of total gross)",5.83 (domestic box office/biggest weekend),55.5% (domestic box office/worldwide),"2,326 opening theaters/2,326 max. theaters, 8.5 weeks average run per theater","$360,385,768","$20,000,000 (worldwide box office is 13.8 times production budget)","May 20th, 1987 (Wide) by Paramount Pictures","January 29th, 2002 by Paramount Home Video",102 minutes,vs. Machete KillsCreate your own comparison chart…,Buddy Cop,Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,English,R,,Beverly Hills Cop,,"$153,665,036",,,"$123,000,000","$276,665,036"
32,https://www.the-numbers.com/movie/Chipmunk-Adventure-The-(1987),[],"[['Janice Karman', 'Director']]","$2,584,720 (38.0% of total gross)",2.63 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"916 opening theaters/916 max. theaters, 2.9 weeks average run per theater","$15,957,937",,"May 22nd, 1987 (Wide) by Samuel Goldwyn Films","March 17th, 1998 by Universal Home Entertainment, released as Chipmunk Adventure, The",78 minutes,vs. Alvin and the ChipmunksCreate your own comparison chart…,,Based on TV,Adventure,Hand Animation,Kids Fiction,United States,English,,,,,"$6,804,312",,,,
33,https://www.the-numbers.com/movie/Ernest-Goes-to-Camp,[],[],"$6,171,957 (26.3% of total gross)",3.81 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,541 opening theaters/1,541 max. theaters, 4.6 weeks average run per theater","$55,135,808",,"May 22nd, 1987 (Wide) by Walt Disney",,92 minutes,vs. Ernest Goes to JailCreate your own comparison chart…,"Farcical / Slapstick Comedy, Summer Camp, Juvenile Delinquent, Corporate Malfeasance",Based on TV,Comedy,Live Action,Contemporary Fiction,United States,English,PG,,Ernest,,"$23,509,382",,,,
34,https://www.the-numbers.com/movie/Untouchables-The-(1987),[],"[['Brian De Palma', 'Director'], ['Ennio Morricone', 'Composer']]","$10,023,094 (13.1% of total gross)",7.61 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,012 opening theaters/1,501 max. theaters, 5.8 weeks average run per theater","$178,874,688","$25,000,000 (worldwide box office is 3.1 times production budget)","June 3rd, 1987 (Wide) by Paramount Pictures","May 9th, 2017 by Paramount Home Video",119 minutes,vs. TombstoneCreate your own comparison chart…,"Mafia, Corrupt Judge, Crime Drama, 1930s, Prohibition Era, Set in Chicago, Character POV shot, Filmed in Chicago, IL, Filmed in Illinois, United States, Filmed in United States",Based on TV,Drama,Live Action,Dramatization,United States,English,R,,Untouchables,"September 4th, 1987 (Wide), released as Untouchables, The (Australia)
","$76,270,454","$469,276","$469,276","$1,541","$76,271,995"
35,https://www.the-numbers.com/movie/Benji-the-Hunted,[],[],,4.33 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),,"$35,677,481",,"June 5th, 1987 (Wide) by Walt Disney","June 18th, 1998 by Buena Vista Home Entertainment",89 minutes,Create your own comparison chart…,Animal Lead,Original Screenplay,Adventure,Live Action,Contemporary Fiction,United States,English,G,,Benji,,"$15,212,539",,,,
36,https://www.the-numbers.com/movie/Harry-and-the-Hendersons,[],"[['William Dear', 'Director'], ['Bruce Broughton', 'Composer']]","$4,154,740 (14.0% of total gross)",7.10 (domestic box office/biggest weekend),91.4% (domestic box office/worldwide),"1,418 opening theaters/1,424 max. theaters, 4.0 weeks average run per theater","$69,796,621",,"June 5th, 1987 (Wide) by Universal","April 24th, 2007 by Universal Home Entertainment, released as Harry and the Hendersons (Special Edition)",110 minutes,vs. Spy KidsCreate your own comparison chart…,"Monster, Family Comedy, Camping, Bigfoot, Hunting, Cryptozoology",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,English,PG,,,,"$29,760,613",,,"$2,800,000","$32,560,613"
