,url,cast,crew,Legs:,Domestic Share:,Infl. Adj. Dom. BO,Opening Weekend:,Theater counts:,Production Budget:,Domestic Releases:,International Releases:,Video Release:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,Production/Financing Companies:,Franchise:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
99,https://www.the-numbers.com/movie/Malcolm-X,[],"[['Spike Lee', 'Director'], ['Terence Blanchard', 'Composer']]",4.88 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$106,456,566","$9,871,125 (20.5% of total gross)","1,124 opening theaters/1,249 max. theaters, 8.7 weeks average run per theater","$35,000,000 (worldwide box office is 1.4 times production budget)","November 18th, 1992 (Wide) by Warner Bros.",,"January 18th, 2000 by Warner Home Video","PG-13 for a scene of violence, and for drugs and some language.",202 minutes,vs. Soul FoodCreate your own comparison chart…,"Biography, Black Urban, African Americans, Biographical Drama",Based on Fiction Book/Short Story,Drama,Live Action,Dramatization,United States,English,"Largo Entertainment, 40 Acres and a Mule Filmworks, JVC Entertainment",,"$48,169,910",,,,
100,https://www.the-numbers.com/movie/Home-Alone-2-Lost-in-New-York,"['John Heard', 'Tim Curry', 'Brenda Fricker', ""Catherine O'Hara"", 'Macaulay Culkin', 'Joe Pesci', 'Daniel Stern']","[['Chris Columbus', 'Director'], ['John Williams', 'Composer'], ['John Hughes', 'Screenwriter'], ['John Hughes', 'Producer'], ['Mark Radcliffe', 'Executive Producer'], ['Duncan Henderson', 'Executive Producer'], ['Richard Vane', 'Executive Producer'], ['Julio Macat', 'Director of Photography'], ['Sandy Veneziano', 'Production Designer'], ['Raja Gosnell', 'Editor'], ['John Williams', 'Composer']]",5.58 (domestic box office/biggest weekend),48.4% (domestic box office/worldwide),"$383,690,590","$31,126,882 (17.9% of total gross)","2,222 opening theaters/2,461 max. theaters, 10.0 weeks average run per theater","$20,000,000 (worldwide box office is 17.9 times production budget)","November 20th, 1992 (Wide) by 20th Century Fox","December 10th, 1992 (Wide) (New Zealand)
June 12th, 2018 (Wide), released as Home Alone 2: Lost In New York (Re: 2018) (United Kingdom)
December 3rd, 2020 (Limited) (Australia)
","October 5th, 1999 by Fox Home Entertainment",PG for comic action and mild language,120 minutes,vs. Home AloneCreate your own comparison chart…,"Christmas, Set in New York City, Lost",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,English,Twentieth Century Fox,Home Alone,"$173,585,516","$185,409,334","$358,994,850",,
101,https://www.the-numbers.com/movie/Bodyguard-The,"['Mike Starr', 'Bill Cobbs', 'Richard Schiff', 'Robert Wuhl', 'Gary Kemp', 'Ralph Waite', 'Michele Lamar Richards', 'Kevin Costner', 'Whitney Houston']","[['Mick Jackson', 'Director'], ['Lawrence Kasdan', 'Producer'], ['Jim Wilson', 'Producer'], ['Kevin Costner', 'Producer'], ['Lawrence Kasdan', 'Screenwriter'], ['Andrew Dunn', 'Cinematographer'], ['Jeffrey Beecroft', 'Production Designer'], ['Richard A. Harris', 'Editor'], ['Donn Cambern', 'Editor'], ['Alan Silvestri', 'Composer']]",7.34 (domestic box office/biggest weekend),29.7% (domestic box office/worldwide),"$269,706,188","$16,611,793 (13.6% of total gross)","1,717 opening theaters/1,806 max. theaters, 10.4 weeks average run per theater","$25,000,000 (worldwide box office is 16.4 times production budget)","November 25th, 1992 (Wide) by Warner Bros.March 28th, 2012 (Special Engagement) by NCM FathomNovember 6th, 2022 (Special Engagement) by Fathom Events (30th Anniversary)
","December 5th, 1992 (Wide) (South Korea)
January 14th, 1993 (Limited) (Australia)
November 4th, 2022 (Limited), released as The Bodyguard (30th Anniversary) (United Kingdom)
November 6th, 2022 (Limited) (Australia)
December 7th, 2022 (Limited) (South Korea)
... Show all releases
","November 23rd, 1993 by Warner Home Video",R for language.,129 minutes,vs. GhostCreate your own comparison chart…,"Musicians, Romance, Stalker, Secret Service Agent, Interracial Romance, Hallucinations",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,United States,English,"Warner Bros., Tig Productions",,"$122,006,740","$289,000,000","$411,006,740",,
102,https://www.the-numbers.com/movie/Crying-Game-The-(1992),[],"[['Neil Jordan', 'Director']]",12.00 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$138,510,576",,,"$4,000,000 (worldwide box office is 15.6 times production budget)","November 25th, 1992 (Wide) by Miramax",,"January 20th, 1998 by Live / Artisan","R for sexuality, strong violence and language. ",111 minutes,vs. Annie HallCreate your own comparison chart…,"Surprise Twist, Terrorism, Crime Thriller, Kidnap, LGBTQ+, Set in Northern Ireland, Romance, Interracial Romance, Irish Republican Army, 1993 Oscars Best Picture Nominee",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,"Japan, United Kingdom",English,,,"$62,546,695",,,,
103,https://www.the-numbers.com/movie/Distinguished-Gentleman-The,[],[],4.38 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$102,632,098","$10,611,040 (22.9% of total gross)","1,933 opening theaters/1,984 max. theaters, 6.0 weeks average run per theater",,"December 4th, 1992 (Wide) by Walt Disney",,,R for language and a scene of sexuality.,,Create your own comparison chart…,"Confidence Men, Crime Comedy, Mistaken Identity, Political, Political Campaign, Government Corruption",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,,,,"$46,434,570",,,,
104,https://www.the-numbers.com/movie/Few-Good-Men-A,"['Kevin Bacon', 'Kevin Pollak', 'James Marshall', 'J.T. Walsh', 'Kiefer Sutherland', 'Tom Cruise', 'Jack Nicholson', 'Demi Moore']","[['Rob Reiner', 'Director'], ['David Brown', 'Producer'], ['Rob Reiner', 'Producer'], ['Andrew Scheinman', 'Producer'], ['Aaron Sorkin', 'Screenwriter'], ['Steve Nicolaides', 'Co-Producer'], ['Jeffrey Stott', 'Co-Producer'], ['William Gilmore', 'Executive Producer'], ['Rachel Pfeffer', 'Executive Producer'], ['Robert Richardson', 'Director of Photography'], ['J. Michael Riva', 'Production Designer'], ['Robert Leighton', 'Supervising Film Editor'], ['Marc Shaiman', 'Composer']]",9.11 (domestic box office/biggest weekend),59.8% (domestic box office/worldwide),"$312,648,885","$15,517,468 (11.0% of total gross)","1,925 opening theaters/2,201 max. theaters, 10.7 weeks average run per theater","$33,000,000 (worldwide box office is 7.2 times production budget)","December 11th, 1992 (Wide) by Sony Pictures","December 18th, 1992 (Wide), released as A Few Good Men (어 퓨 굿 맨) (South Korea)
June 7th, 2023 (Limited), released as A Few Good Men (어 퓨 굿 맨) (South Korea)
",,R for language.,138 minutes,vs. Out of the FurnaceCreate your own comparison chart…,"Lawyers, Courtroom Drama, Military Life, 1993 Oscars Best Picture Nominee",Based on Play,Drama,Live Action,Contemporary Fiction,United States,English,Castle Rock Entertainment,,"$141,340,178","$95,159,822","$236,500,000",,
105,https://www.the-numbers.com/movie/Forever-Young-(1992),[],"[['Steve Miner', 'Director'], ['Jerry Goldsmith', 'Composer']]",7.29 (domestic box office/biggest weekend),43.7% (domestic box office/worldwide),"$123,702,511",,,,"December 11th, 1992 (Wide) by Warner Bros.",,,PG for some language and domestic conflict.,102 minutes,vs. Lethal Weapon 3Create your own comparison chart…,"Romantic Drama, Cryogenics",Original Screenplay,Drama,Live Action,Science Fiction,United States,English,,,"$55,942,530","$72,000,000","$127,942,530",,
106,https://www.the-numbers.com/movie/Muppet-Christmas-Carol-The,[],"[['Brian Henson', 'Director'], ['Jerry Juhl', 'Screenwriter'], ['Charles Dickens', 'Story Creator']]",5.46 (domestic box office/biggest weekend),86.3% (domestic box office/worldwide),"$60,385,395","$5,010,109 (18.3% of total gross)","2,075 opening theaters/2,084 max. theaters, 6.0 weeks average run per theater","$12,000,000 (worldwide box office is 2.6 times production budget)","December 11th, 1992 (Wide) by Walt DisneyDecember 18th, 2020 (Special Engagement) by Walt Disney","December 11th, 1992 (Wide) (New Zealand)
December 8th, 2017 (Wide), released as The Muppet Christmas Carol (Re: 2017) (United Kingdom)
November 26th, 2020 (Limited) (Australia)
December 2nd, 2022 (Limited) (United Kingdom)
","October 6th, 1995 by Walt Disney Home Entertainment",G,85 minutes,vs. The Great Muppet CaperCreate your own comparison chart…,"Christmas, Breaking the Fourth Wall, Voiceover/Narration, Haunting, Boss From Hell, Terminal Illness, Family Comedy, Ensemble, Dysfunctional Family, Relationships Gone Wrong",Based on TV,Comedy,Live Action,Historical Fiction,United States,English,,Muppets,"$27,379,507","$4,345,043","$31,724,550",,
107,https://www.the-numbers.com/movie/Passion-Fish,[],"[['John Sayles', 'Director'], ['John Sayles', 'Screenwriter']]",17.33 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$11,979,009",,,,"December 11th, 1992 (Wide) by Miramax",,,R for language.,135 minutes,Create your own comparison chart…,"Life Drama, Accidental Injury, Wheelchair User, Paralysis, TV Actor, You Can't Go Home Again, Set in Louisiana, Depression, Addiction, Nurse",Original Screenplay,Drama,Live Action,Contemporary Fiction,United States,,,,"$5,414,619",,,,
108,https://www.the-numbers.com/movie/Used-People,[],"[['Beeban Kidron', 'Director'], ['Todd Graff', 'Screenwriter']]",4.10 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$39,749,722",,,,"December 16th, 1992 (Wide) by 20th Century Fox",,"May 9th, 2011 by Warner Home Video",PG-13 for elements of sensuality and language.,115 minutes,Create your own comparison chart…,"Comedy Drama, Romance, 1960s, Funeral Reunions, Widow/Widower, Death of a Spouse or Fiancée / Fiancé, F-Rated",Based on Play,Comedy,Live Action,Contemporary Fiction,United States,English,,,"$17,957,265",,,,
109,https://www.the-numbers.com/movie/Leap-of-Faith,"['Lolita Davidovich', 'Liam Neeson', 'Lukas Haas', 'Steve Martin', 'Debra Winger']","[['Richard Pearce', 'Director'], ['Janus Cercone', 'Screenwriter']]",5.50 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$49,289,704","$3,222,768 (14.5% of total gross)","1,554 opening theaters/1,600 max. theaters, 4.2 weeks average run per theater",,"December 18th, 1992 (Wide) by Paramount Pictures",,"April 16th, 1996 by Paramount Home Video",PG-13 for some language.,108 minutes,vs. Waking Ned DevineCreate your own comparison chart…,"Religious, Comedy Drama, Faith Healer, Confidence Men, Set in Kansas, Romance, Young Child Dealing with the Death of a Parent, Car Accident",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,English,Paramount Pictures,,"$22,293,343",,,,
110,https://www.the-numbers.com/movie/Toys,"['Michael Gambon', 'Joan Cusack', 'Robin Wright', 'LL Cool J', 'Robin Williams']","[['Barry Levinson', 'Director'], ['Barry Levinson', 'Producer'], ['Mark Johnson', 'Producer'], ['Barry Levinson', 'Screenwriter'], ['Valerie Curtin', 'Screenwriter'], ['Adam Greenberg', 'Director of Photography'], ['Ferdinando Scarfiotti', 'Production Designer'], ['Albert Wolsky', 'Costume Designer'], ['Charles Newirth', 'Co-Producer'], ['Peter Giullano', 'Co-Producer'], ['Hans Zimmer', 'Composer'], ['Trevor Horn', 'Composer']]",4.46 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$47,411,862","$4,810,027 (22.4% of total gross)","1,272 opening theaters/1,294 max. theaters, 3.9 weeks average run per theater",,"December 18th, 1992 (Wide) by 20th Century Fox",,,PG-13 for some language and sensuality,123 minutes,vs. WarcraftCreate your own comparison chart…,"Satirical Comedy, Satire, Dysfunctional Family, Sibling Rivalry, Romance, War, Surprise Twist, Young Child Dealing with the Death of a Parent, Inheritance, Robot",Original Screenplay,Comedy,Live Action,Fantasy,United States,,20th Century Fox,,"$21,452,082",,,,
111,https://www.the-numbers.com/movie/Damage,[],"[['Louis Malle', 'Director'], ['David Hare', 'Screenwriter']]",4.54 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$16,664,311",,,,"December 23rd, 1992 (Wide) by New Line",,,"R for strong sexuality, and for language. (edited version)",111 minutes,Create your own comparison chart…,"Erotic Drama, Romance, Infidelity, Politicians, Dysfunctional Family, Love Triangle, Obsessive Love",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,,,,,"$7,532,911",,,,
112,https://www.the-numbers.com/movie/Indochine,"['Linh-Dan Pham', 'Catherine Deneuve', 'Vincent Perez']","[['Regis Wargnier', 'Director'], ['Érik Orsenna', 'Screenwriter'], ['Louis Gardel', 'Screenwriter'], ['Catherine Cohen', 'Screenwriter'], ['Regis Wargnier', 'Screenwriter'], ['Patrick Doyle', 'Composer']]",27.34 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$11,589,422",,,,"December 23rd, 1992 (Wide) by Sony Pictures Classics",,"February 15th, 2000 by Columbia Pictures Home Entertainment","PG-13 for some violence, sensuality and drug related scenes.",159 minutes,Create your own comparison chart…,"Historical Drama, 1930s, 1940s, 1950s, Set in Vietnam, Non-Chronological, Prologue, Adopted Family, Single Parent, Romance, Relationships Gone Wrong, Communism, Epilogue, Revolution, Ensemble, Voiceover/Narration, Faked Suicide",Original Screenplay,Drama,Live Action,Historical Fiction,France,,,,"$5,243,537",,,,
113,https://www.the-numbers.com/movie/Scent-of-a-Woman-(1992),"['James Rebhorn', 'Gabrielle Anwar', 'Philip Seymour Hoffman', 'Richard Venture', 'Al Pacino', ""Chris O'Donnell""]","[['Martin Brest', 'Director'], ['Bo Goldman', 'Screenwriter'], ['Martin Brest', 'Producer'], ['Donald E. Thorin', 'Cinematographer'], ['William Steinkamp', 'Editor'], ['Michael Tronick', 'Editor'], ['Harvey Rosenstock', 'Editor'], ['Thomas Newman', 'Composer'], ['Angelo Graham', 'Art Director']]",9.87 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$141,480,601",,,,"December 23rd, 1992 (Wide) by Universal",,"February 8th, 1994 by Universal Home Entertainment",R for language.,157 minutes,vs. Pirates of the Caribbean: Dead Men Tell No TalesCreate your own comparison chart…,"Life Drama, 1993 Oscars Best Picture Nominee",Remake,Drama,Live Action,Contemporary Fiction,United States,English,"Universal Pictures, City Light",,"$63,895,607",,,,
114,https://www.the-numbers.com/movie/Chaplin,"['Dan Aykroyd', 'Geraldine Chaplin', 'Kevin Dunn', 'Anthony Hopkins', 'Milla Jovovich', 'Moira Kelly', 'Kevin Kline', 'Diane Lane', 'Penelope Ann Miller', 'John Thaw', 'Marisa Tomei', 'Nancy Travis', 'James Woods', 'Robert Downey, Jr.']","[['Richard Attenborough', 'Director'], ['Richard Attenborough', 'Producer'], ['Mario Kassar', 'Producer'], ['William Boyd', 'Screenwriter'], ['Bryan Forbes', 'Screenwriter'], ['William Goldman', 'Screenwriter'], ['Diana Hawkins', 'Story Creator'], ['Terence Clegg', 'Co-Producer'], ['Diana Hawkins', 'Associate Producer'], ['Sven Nykvist', 'Director of Photography'], ['Stuart Craig', 'Production Designer'], ['Anne V. Coates', 'Editor'], ['John Barry', 'Composer'], ['Ellen Mirojnick', 'Costume Designer'], ['John Mollo', 'Costume Designer']]",2.85 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$20,566,155",,,,"December 25th, 1992 (Wide) by Sony Pictures",,"May 2nd, 1995 by Lionsgate Home Entertainment",PG-13,135 minutes,vs. Ed WoodCreate your own comparison chart…,"Biography, Biographical Drama, Movie Director, Movie Business, Non-Chronological, 1910s, 1920s, 1970s, Relationships Gone Wrong, Death of a Son or Daughter",Based on Factual Book/Article,Drama,Live Action,Dramatization,United States,English,Tri-Star Pictures,,"$9,289,349",,,,
115,https://www.the-numbers.com/movie/Hoffa,"['Armand Assante', 'J.T. Walsh', 'Robert Prosky', 'Jack Nicholson']","[['Danny DeVito', 'Director'], ['Edward R. Pressman', 'Producer'], ['Danny DeVito', 'Producer'], ['Caldecot Chubb', 'Producer'], ['David Mamet', 'Screenwriter'], ['Joseph Isgro', 'Executive Producer'], ['Harold Schneider', 'Co-Producer'], ['Stephen H. Burum', 'Director of Photography'], ['Ida Random', 'Production Designer'], ['Lynzee Klingman', 'Editor'], ['David Newman', 'Composer']]",3.65 (domestic box office/biggest weekend),82.3% (domestic box office/worldwide),"$51,669,300","$6,406,012 (27.4% of total gross)","1,066 opening theaters/1,103 max. theaters, 3.4 weeks average run per theater","$35,000,000 (worldwide box office is 0.8 times production budget)","December 25th, 1992 (Wide) by 20th Century Fox",,"September 18th, 2012 by Fox Home Entertainment",R for violence and strong language.,132 minutes,vs. AmeliaCreate your own comparison chart…,"Mafia, Biography, Biographical Drama, Unions, Organized Crime, 1930s, 1960s, 1970s, Arson, Crime",Based on Real Life Events,Drama,Live Action,Dramatization,United States,English,"Jersey Films, 20th Century Fox",,"$23,365,858","$5,025,615","$28,391,473",,
116,https://www.the-numbers.com/movie/Trespass-(1992),[],"[['Walter Hill', 'Director'], ['Bob Gale', 'Screenwriter'], ['Robert Zemeckis', 'Screenwriter'], ['Neil Canton', 'Producer']]",2.74 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$30,390,792","$5,012,910 (36.5% of total gross)","1,022 opening theaters/1,027 max. theaters, 3.1 weeks average run per theater",,"December 25th, 1992 (Wide) by Universal",,"January 20th, 2004 by Universal Home Entertainment",R for violence and language.,104 minutes,vs. Judgment NightCreate your own comparison chart…,"Film Noir, Hood Film, Action Thriller, Firefighter, Treasure Hunters, Heist, Gangs, Witnessing a Crime",Original Screenplay,Action,Live Action,Contemporary Fiction,,,,,"$13,747,138",,,,
117,https://www.the-numbers.com/movie/Lorenzos-Oil,"['Nick Nolte', 'Susan Sarandon']","[['George Miller', 'Director'], ['George Miller', 'Screenwriter'], ['Nick Enright', 'Screenwriter'], ['George Miller', 'Producer'], ['Doug Mitchell', 'Producer']]",4.31 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$15,808,677","$79,353 (1.1% of total gross)","3 opening theaters/456 max. theaters, 1.9 weeks average run per theater",,"December 30th, 1992 (Limited) by Universal",,"February 8th, 1994 by Universal Home Entertainment",PG-13 for a child’s life threatening ordeal.,129 minutes,vs. The Witches of EastwickCreate your own comparison chart…,"Biographical Drama, Biography, Medical and Hospitals, Terminal Illness, Alternative Medicines",Original Screenplay,Drama,Live Action,Contemporary Fiction,United States,English,,,"$7,144,115",,,,
