,id,date,rank,gross,pct_change,theaters,per_theater,total_gross,kind,kind_num,pct_lw
0,https://www.the-numbers.com/movie/Jungle-Book-The-(1967),"Jul 27, 1984",3,"$5,291,670", ,"1,430","$3,700","  $5,291,670",weekend,876,
1,https://www.the-numbers.com/movie/Jungle-Book-The-(1967),"Aug 3, 1984",4,"$3,807,156",-28%,"1,463","$2,602","  $12,628,938",weekend,877,
2,https://www.the-numbers.com/movie/Jungle-Book-The-(1967),"Aug 10, 1984",8,"$2,141,714",-44%,"1,463","$1,464","  $17,189,138",weekend,878,
3,https://www.the-numbers.com/movie/Jungle-Book-The-(1967),"Aug 17, 1984",13,"$1,216,037",-43%,"1,109","$1,097","  $19,918,798",weekend,879,
4,https://www.the-numbers.com/movie/Jungle-Book-The-(1967),"Aug 24, 1984",14,"$853,188",-30%,778,"$1,097","  $21,496,580",weekend,880,
5,https://www.the-numbers.com/movie/Jungle-Book-The-(1967),"Aug 31, 1984",16,"$845,717",-1%,637,"$1,328","  $23,001,559",weekend,881,
6,https://www.the-numbers.com/movie/Jungle-Book-The-(1967),"Jul 13, 1990",4,"$7,708,029", ,"1,901","$4,055","  $7,708,029",weekend,"1,187",
7,https://www.the-numbers.com/movie/Jungle-Book-The-(1967),"Jul 20, 1990",5,"$6,055,527",-21%,"1,923","$3,149","  $18,060,841",weekend,"1,188",
8,https://www.the-numbers.com/movie/Jungle-Book-The-(1967),"Jul 27, 1990",7,"$4,016,178",-34%,"1,795","$2,237","  $26,299,503",weekend,"1,189",
9,https://www.the-numbers.com/movie/Jungle-Book-The-(1967),"Aug 3, 1990",10,"$2,761,487",-31%,"1,478","$1,868","  $31,767,724",weekend,"1,190",
10,https://www.the-numbers.com/movie/Jungle-Book-The-(1967),"Aug 10, 1990",13,"$1,905,134",-31%,"1,246","$1,529","  $35,556,102",weekend,"1,191",
11,https://www.the-numbers.com/movie/Jungle-Book-The-(1967),"Aug 17, 1990",16,"$1,306,499",-31%,"1,082","$1,207","  $37,969,769",weekend,"1,192",
12,https://www.the-numbers.com/movie/Jungle-Book-The-(1967),"Oct 5, 1990",20,"$427,601", ,570,$750,"  $43,481,063",weekend,"1,199",
0,https://www.the-numbers.com/movie/Jungle-Book-The-(1967),"Jul 27, 1984",3,"$8,821,782", ,"1,430","$6,169","  $8,821,782",daily,877,
1,https://www.the-numbers.com/movie/Jungle-Book-The-(1967),"Aug 3, 1984",4,"$6,225,642",-29%,"1,463","$4,255","  $15,047,424",daily,878,
2,https://www.the-numbers.com/movie/Jungle-Book-The-(1967),"Aug 10, 1984",8,"$3,655,337",-41%,"1,463","$2,499","  $18,702,761",daily,879,
3,https://www.the-numbers.com/movie/Jungle-Book-The-(1967),"Aug 17, 1984",13,"$1,940,631",-47%,"1,109","$1,750","  $20,643,392",daily,880,
4,https://www.the-numbers.com/movie/Jungle-Book-The-(1967),"Aug 24, 1984",13,"$1,512,450",-22%,778,"$1,944","  $22,155,842",daily,881,
5,https://www.the-numbers.com/movie/Jungle-Book-The-(1967),"Jul 13, 1990",3,"$12,005,314", ,"1,901","$6,315","  $12,005,314",daily,"1,188",
6,https://www.the-numbers.com/movie/Jungle-Book-The-(1967),"Jul 20, 1990",4,"$10,278,011",-14%,"1,923","$5,345","  $22,283,325",daily,"1,189",
7,https://www.the-numbers.com/movie/Jungle-Book-The-(1967),"Jul 27, 1990",6,"$6,722,912",-35%,"1,795","$3,745","  $29,006,237",daily,"1,190",
8,https://www.the-numbers.com/movie/Jungle-Book-The-(1967),"Aug 3, 1990",10,"$4,644,731",-31%,"1,478","$3,143","  $33,650,968",daily,"1,191",
9,https://www.the-numbers.com/movie/Jungle-Book-The-(1967),"Aug 10, 1990",13,"$3,012,302",-35%,"1,246","$2,418","  $36,663,270",daily,"1,192",
0,https://www.the-numbers.com/movie/Jungle-Book-The-(1967),"Jul 27, 1984",3,"$8,821,782", ,"1,430","$6,169","  $8,821,782",weekly,877,
1,https://www.the-numbers.com/movie/Jungle-Book-The-(1967),"Aug 3, 1984",4,"$6,225,642",-29%,"1,463","$4,255","  $15,047,424",weekly,878,
2,https://www.the-numbers.com/movie/Jungle-Book-The-(1967),"Aug 10, 1984",8,"$3,655,337",-41%,"1,463","$2,499","  $18,702,761",weekly,879,
3,https://www.the-numbers.com/movie/Jungle-Book-The-(1967),"Aug 17, 1984",13,"$1,940,631",-47%,"1,109","$1,750","  $20,643,392",weekly,880,
4,https://www.the-numbers.com/movie/Jungle-Book-The-(1967),"Aug 24, 1984",13,"$1,512,450",-22%,778,"$1,944","  $22,155,842",weekly,881,
5,https://www.the-numbers.com/movie/Jungle-Book-The-(1967),"Jul 13, 1990",3,"$12,005,314", ,"1,901","$6,315","  $12,005,314",weekly,"1,188",
6,https://www.the-numbers.com/movie/Jungle-Book-The-(1967),"Jul 20, 1990",4,"$10,278,011",-14%,"1,923","$5,345","  $22,283,325",weekly,"1,189",
7,https://www.the-numbers.com/movie/Jungle-Book-The-(1967),"Jul 27, 1990",6,"$6,722,912",-35%,"1,795","$3,745","  $29,006,237",weekly,"1,190",
8,https://www.the-numbers.com/movie/Jungle-Book-The-(1967),"Aug 3, 1990",10,"$4,644,731",-31%,"1,478","$3,143","  $33,650,968",weekly,"1,191",
9,https://www.the-numbers.com/movie/Jungle-Book-The-(1967),"Aug 10, 1990",13,"$3,012,302",-35%,"1,246","$2,418","  $36,663,270",weekly,"1,192",
0,https://www.the-numbers.com/movie/Graduate-The,"Feb 14, 1997",60,"$37,948", ,2,"$18,974","  $37,948",weekend,"1,522",
1,https://www.the-numbers.com/movie/Graduate-The,"Feb 21, 1997",58,"$26,284",-31%,3,"$8,761","  $75,702",weekend,2,
2,https://www.the-numbers.com/movie/Graduate-The,"Apr 27, 2012",96,"$2,266", ,1,"$2,266","  $77,968",weekend,"2,315",
3,https://www.the-numbers.com/movie/Graduate-The,"May 4, 2012",79,"$6,686",+195%,2,"$3,343","  $84,654",weekend,"2,316",
4,https://www.the-numbers.com/movie/Graduate-The,"May 18, 2012",103,$873, ,2,$437,"  $85,527",weekend,"2,318",
5,https://www.the-numbers.com/movie/Graduate-The,"Jun 15, 2012",80,"$2,577", ,1,"$2,577","  $88,104",weekend,"2,322",
6,https://www.the-numbers.com/movie/Graduate-The,"Aug 3, 2012",75,"$4,046", ,1,"$4,046","  $92,150",weekend,"2,329",
7,https://www.the-numbers.com/movie/Graduate-The,"Aug 10, 2012",92,"$1,103",-73%,1,"$1,103","  $93,253",weekend,"2,330",
8,https://www.the-numbers.com/movie/Graduate-The,"Aug 17, 2012",89,"$1,023",-7%,1,"$1,023","  $94,276",weekend,"2,331",
0,https://www.the-numbers.com/movie/Graduate-The,"Feb 14, 1997",52,"$49,418", ,2,"$24,709","  $49,418",daily,"1,523",
0,https://www.the-numbers.com/movie/Graduate-The,"Feb 14, 1997",52,"$49,418", ,2,"$24,709","  $49,418",weekly,"1,523",
