,territory,release_date,opening_wknd,opening_wknd_screens,max_screens,theatrical_engagements,total_bo,report_date,url,country_url,int_total,total_report_date
0,South Korea,1/1/2013,$0,0,0,0,$0,,https://www.the-numbers.com/movie/Baksoogundal,https://www.the-numbers.com/movie/Baksoogundal/South-Korea#tab=box-office,"$23,593,168",
0,South Korea,1/1/2013,$0,0,0,0,$0,,https://www.the-numbers.com/movie/Baksoogundal,https://www.the-numbers.com/movie/Baksoogundal/South-Korea#tab=box-office,"$23,593,168",
0,Australia,7/6/2023,"$1,383",1,4,5,"$4,289",7/17/2023,https://www.the-numbers.com/movie/Texas-Chainsaw-3D-(2013),https://www.the-numbers.com/movie/Texas-Chainsaw-3D-(2013)/Australia#tab=box-office,"$13,324,068",7/17/2023
1,Rest of World,,,,,,"$13,319,779",,https://www.the-numbers.com/movie/Texas-Chainsaw-3D-(2013),,"$13,324,068",7/17/2023
0,Australia,7/6/2023,"$1,383",1,4,5,"$4,289",7/17/2023,https://www.the-numbers.com/movie/Texas-Chainsaw-3D-(2013),https://www.the-numbers.com/movie/Texas-Chainsaw-3D-(2013)/Australia#tab=box-office,"$13,324,068",7/17/2023
1,Rest of World,,,,,,"$13,319,779",,https://www.the-numbers.com/movie/Texas-Chainsaw-3D-(2013),,"$13,324,068",7/17/2023
0,Australia,9/4/2014,$0,0,1,2,"$26,373",10/20/2022,https://www.the-numbers.com/movie/Yi-dai-zong-shi-(China),https://www.the-numbers.com/movie/Yi-dai-zong-shi-(China)/Australia#tab=box-office,"$51,391,701",10/20/2022
1,China,1/8/2015,$0,0,"9,733","11,400","$9,150,000",8/28/2018,https://www.the-numbers.com/movie/Yi-dai-zong-shi-(China),https://www.the-numbers.com/movie/Yi-dai-zong-shi-(China)/China#tab=box-office,"$51,391,701",10/20/2022
2,Portugal,12/13/2013,$0,0,1,1,"$25,912",10/20/2022,https://www.the-numbers.com/movie/Yi-dai-zong-shi-(China),https://www.the-numbers.com/movie/Yi-dai-zong-shi-(China)/Portugal#tab=box-office,"$51,391,701",10/20/2022
3,Turkey,3/14/2014,$0,0,0,0,"$18,211",12/31/2018,https://www.the-numbers.com/movie/Yi-dai-zong-shi-(China),https://www.the-numbers.com/movie/Yi-dai-zong-shi-(China)/Turkey#tab=box-office,"$51,391,701",10/20/2022
4,Rest of World,,,,,,"$42,171,205",,https://www.the-numbers.com/movie/Yi-dai-zong-shi-(China),,"$51,391,701",10/20/2022
0,Australia,9/4/2014,$0,0,1,2,"$26,373",10/20/2022,https://www.the-numbers.com/movie/Yi-dai-zong-shi-(China),https://www.the-numbers.com/movie/Yi-dai-zong-shi-(China)/Australia#tab=box-office,"$51,391,701",10/20/2022
1,China,1/8/2015,$0,0,"9,733","11,400","$9,150,000",8/28/2018,https://www.the-numbers.com/movie/Yi-dai-zong-shi-(China),https://www.the-numbers.com/movie/Yi-dai-zong-shi-(China)/China#tab=box-office,"$51,391,701",10/20/2022
2,Portugal,12/13/2013,$0,0,1,1,"$25,912",10/20/2022,https://www.the-numbers.com/movie/Yi-dai-zong-shi-(China),https://www.the-numbers.com/movie/Yi-dai-zong-shi-(China)/Portugal#tab=box-office,"$51,391,701",10/20/2022
3,Turkey,3/14/2014,$0,0,0,0,"$18,211",12/31/2018,https://www.the-numbers.com/movie/Yi-dai-zong-shi-(China),https://www.the-numbers.com/movie/Yi-dai-zong-shi-(China)/Turkey#tab=box-office,"$51,391,701",10/20/2022
4,Rest of World,,,,,,"$42,171,205",,https://www.the-numbers.com/movie/Yi-dai-zong-shi-(China),,"$51,391,701",10/20/2022
0,Argentina,1/17/2013,"$250,875",70,77,180,"$540,899",12/30/2018,https://www.the-numbers.com/movie/Gangster-Squad-The,https://www.the-numbers.com/movie/Gangster-Squad-The/Argentina#tab=box-office,"$58,100,000",12/30/2018
1,Australia,1/10/2013,"$2,361,215",205,205,817,"$7,538,427",12/14/2015,https://www.the-numbers.com/movie/Gangster-Squad-The,https://www.the-numbers.com/movie/Gangster-Squad-The/Australia#tab=box-office,"$58,100,000",12/30/2018
2,Austria,1/25/2013,"$66,074",26,26,89,"$231,692",12/14/2015,https://www.the-numbers.com/movie/Gangster-Squad-The,https://www.the-numbers.com/movie/Gangster-Squad-The/Austria#tab=box-office,"$58,100,000",12/30/2018
3,Belgium,1/9/2013,"$372,362",40,44,223,"$1,125,277",12/14/2015,https://www.the-numbers.com/movie/Gangster-Squad-The,https://www.the-numbers.com/movie/Gangster-Squad-The/Belgium#tab=box-office,"$58,100,000",12/30/2018
4,Bolivia,1/17/2013,"$11,486",7,7,12,"$23,699",12/30/2018,https://www.the-numbers.com/movie/Gangster-Squad-The,https://www.the-numbers.com/movie/Gangster-Squad-The/Bolivia#tab=box-office,"$58,100,000",12/30/2018
5,Brazil,2/1/2013,"$307,173",172,172,541,"$1,028,380",12/14/2015,https://www.the-numbers.com/movie/Gangster-Squad-The,https://www.the-numbers.com/movie/Gangster-Squad-The/Brazil#tab=box-office,"$58,100,000",12/30/2018
