,id,date,rank,gross,pct_change,theaters,per_theater,total_gross,kind,kind_num,pct_lw
0,https://www.the-numbers.com/movie/Intersection/Australia#tab=box-office,2020/11/06,-,$305, ,1,$305,"  $1,514,243",weekend,1,
0,https://www.the-numbers.com/movie/Intersection/Australia#tab=box-office,2020/11/06,-,$305, ,1,$305,"  $1,514,243",weekend,1,
0,https://www.the-numbers.com/movie/Four-Weddings-and-a-Funeral/New-Zealand#tab=box-office,2020/09/04,-,$45, ,1,$45,  $45,weekend,"1,370",
0,https://www.the-numbers.com/movie/Four-Weddings-and-a-Funeral/United-Kingdom#tab=box-office,2023/02/10,-,"$1,492", ,1,"$1,492","  $32,386,725",weekend,1,
0,https://www.the-numbers.com/movie/Four-Weddings-and-a-Funeral/New-Zealand#tab=box-office,2020/09/04,-,$45, ,1,$45,  $45,weekend,"1,370",
0,https://www.the-numbers.com/movie/Four-Weddings-and-a-Funeral/United-Kingdom#tab=box-office,2023/02/10,-,"$1,492", ,1,"$1,492","  $32,386,725",weekend,1,
0,https://www.the-numbers.com/movie/No-Escape-(1994)/United-Kingdom#tab=box-office,2015/09/04,3,"$968,895", ,427,"$2,269","  $968,895",weekend,1,
1,https://www.the-numbers.com/movie/No-Escape-(1994)/United-Kingdom#tab=box-office,2015/09/11,9,"$392,385",-60%,426,$921,"  $1,874,203",weekend,2,
0,https://www.the-numbers.com/movie/No-Escape-(1994)/United-Kingdom#tab=box-office,2015/09/04,3,"$968,895", ,427,"$2,269","  $968,895",weekend,1,
1,https://www.the-numbers.com/movie/No-Escape-(1994)/United-Kingdom#tab=box-office,2015/09/11,9,"$392,385",-60%,426,$921,"  $1,874,203",weekend,2,
0,https://www.the-numbers.com/movie/Crow-The/Australia#tab=box-office,2022/02/25,-,$98, ,1,$98,  $98,weekend,"1,441",
1,https://www.the-numbers.com/movie/Crow-The/Australia#tab=box-office,2022/07/01,-,$194, ,1,$194,"  $1,572",weekend,"1,459",
0,https://www.the-numbers.com/movie/Crow-The/New-Zealand#tab=box-office,2020/06/26,-,$64, ,1,$64,"  $454,367",weekend,"1,339",
1,https://www.the-numbers.com/movie/Crow-The/New-Zealand#tab=box-office,2022/07/29,-,$94, ,1,$94,  $94,weekend,"1,448",
0,https://www.the-numbers.com/movie/Crow-The/Australia#tab=box-office,2022/02/25,-,$98, ,1,$98,  $98,weekend,"1,441",
1,https://www.the-numbers.com/movie/Crow-The/Australia#tab=box-office,2022/07/01,-,$194, ,1,$194,"  $1,572",weekend,"1,459",
0,https://www.the-numbers.com/movie/Crow-The/New-Zealand#tab=box-office,2020/06/26,-,$64, ,1,$64,"  $454,367",weekend,"1,339",
1,https://www.the-numbers.com/movie/Crow-The/New-Zealand#tab=box-office,2022/07/29,-,$94, ,1,$94,  $94,weekend,"1,448",
0,https://www.the-numbers.com/movie/Speed/Australia#tab=box-office,2020/11/27,-,$679, ,2,$340,  $974,weekend,1,
0,https://www.the-numbers.com/movie/Speed/New-Zealand#tab=box-office,2021/02/19,-,$866, ,1,$866,  $866,weekend,"1,382",
1,https://www.the-numbers.com/movie/Speed/New-Zealand#tab=box-office,2021/05/07,-,$400, ,2,$200,  $400,weekend,"1,393",
2,https://www.the-numbers.com/movie/Speed/New-Zealand#tab=box-office,2021/12/10,-,$136, ,1,$136,  $136,weekend,"1,424",
3,https://www.the-numbers.com/movie/Speed/New-Zealand#tab=box-office,2022/09/30,-,$559, ,1,$559,  $559,weekend,"1,466",
4,https://www.the-numbers.com/movie/Speed/New-Zealand#tab=box-office,2023/01/27,-,$414, ,1,$414,  $414,weekend,"1,483",
0,https://www.the-numbers.com/movie/Speed/Australia#tab=box-office,2020/11/27,-,$679, ,2,$340,  $974,weekend,1,
0,https://www.the-numbers.com/movie/Speed/New-Zealand#tab=box-office,2021/02/19,-,$866, ,1,$866,  $866,weekend,"1,382",
1,https://www.the-numbers.com/movie/Speed/New-Zealand#tab=box-office,2021/05/07,-,$400, ,2,$200,  $400,weekend,"1,393",
2,https://www.the-numbers.com/movie/Speed/New-Zealand#tab=box-office,2021/12/10,-,$136, ,1,$136,  $136,weekend,"1,424",
3,https://www.the-numbers.com/movie/Speed/New-Zealand#tab=box-office,2022/09/30,-,$559, ,1,$559,  $559,weekend,"1,466",
4,https://www.the-numbers.com/movie/Speed/New-Zealand#tab=box-office,2023/01/27,-,$414, ,1,$414,  $414,weekend,"1,483",
0,https://www.the-numbers.com/movie/Lion-King-The/Australia#tab=box-office,2016/03/04,14,"$118,963", ,70,"$1,699","  $2,370,702",weekend,"1,124",
1,https://www.the-numbers.com/movie/Lion-King-The/Australia#tab=box-office,2018/03/16,18,"$64,026", ,74,$865,"  $2,532,989",weekend,"1,230",
2,https://www.the-numbers.com/movie/Lion-King-The/Australia#tab=box-office,2018/08/24,16,"$51,866", ,119,$436,"  $2,463,588",weekend,"1,253",
3,https://www.the-numbers.com/movie/Lion-King-The/Australia#tab=box-office,2020/10/23,-,$224, ,1,$224,"  $248,211",weekend,"1,366",
4,https://www.the-numbers.com/movie/Lion-King-The/Australia#tab=box-office,2022/06/24,-,"$3,135", ,13,$241,"  $3,135",weekend,"1,453",
5,https://www.the-numbers.com/movie/Lion-King-The/Australia#tab=box-office,2022/07/01,-,$694,-78%,4,$174,"  $5,315",weekend,"1,454",
6,https://www.the-numbers.com/movie/Lion-King-The/Australia#tab=box-office,2022/07/08,-,$159,-77%,2,$80,"  $5,536",weekend,"1,455",
0,https://www.the-numbers.com/movie/Lion-King-The/Netherlands#tab=box-office,2016/09/02,30,"$5,531", ,28,$198,"  $5,561",weekend,1,
1,https://www.the-numbers.com/movie/Lion-King-The/Netherlands#tab=box-office,2016/09/09,30,"$9,004",+63%,28,$322,"  $14,593",weekend,2,
0,https://www.the-numbers.com/movie/Lion-King-The/New-Zealand#tab=box-office,2022/06/24,6,"$106,409", ,82,"$1,298","  $106,409",weekend,"1,453",
1,https://www.the-numbers.com/movie/Lion-King-The/New-Zealand#tab=box-office,2022/07/01,8,"$25,512",-76%,63,$405,"  $165,265",weekend,"1,454",
2,https://www.the-numbers.com/movie/Lion-King-The/New-Zealand#tab=box-office,2022/07/08,8,"$17,631",-31%,30,$588,"  $198,235",weekend,"1,455",
3,https://www.the-numbers.com/movie/Lion-King-The/New-Zealand#tab=box-office,2022/07/15,16,"$5,349",-70%,32,$167,"  $208,386",weekend,"1,456",
4,https://www.the-numbers.com/movie/Lion-King-The/New-Zealand#tab=box-office,2022/07/22,16,"$3,575",-33%,25,$143,"  $214,759",weekend,"1,457",
5,https://www.the-numbers.com/movie/Lion-King-The/New-Zealand#tab=box-office,2022/07/29,-,"$2,935",-18%,14,$210,"  $223,771",weekend,"1,458",
6,https://www.the-numbers.com/movie/Lion-King-The/New-Zealand#tab=box-office,2022/08/05,-,$385,-87%,13,$30,"  $225,078",weekend,"1,459",
7,https://www.the-numbers.com/movie/Lion-King-The/New-Zealand#tab=box-office,2022/08/12,-,$917,+138%,4,$229,"  $224,601",weekend,"1,460",
8,https://www.the-numbers.com/movie/Lion-King-The/New-Zealand#tab=box-office,2022/08/19,-,$773,-16%,3,$258,"  $232,501",weekend,"1,461",
9,https://www.the-numbers.com/movie/Lion-King-The/New-Zealand#tab=box-office,2022/09/16,-,"$2,685", ,9,$298,"  $224,739",weekend,"1,465",
