,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Theater counts:,Infl. Adj. Dom. BO,Production Budget:,Domestic Releases:,MPAA Rating:,Comparisons:,Source:,Genre:,Production Method:,Creative Type:,Video Release:,Running Time:,Keywords:,Production/Financing Companies:,Production Countries:,Languages:,Franchise:,International Releases:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
32,https://www.the-numbers.com/movie/That-Old-Feeling,"['Bette Midler', 'Dennis Farina']","[['Carl Reiner', 'Director']]","$5,103,075 (31.1% of total gross)",3.22 (domestic box office/biggest weekend),95.2% (domestic box office/worldwide),"1,575 opening theaters/1,599 max. theaters, 4.6 weeks average run per theater","$32,781,319",,"April 4th, 1997 (Wide) by Universal",PG-13 for language and sex-related material,Create your own comparison chart…,Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,,,Romance,,,,,,"$16,408,534","$830,684","$17,239,218",,
33,https://www.the-numbers.com/movie/Anaconda-(1997),"['Eric Stoltz', 'Owen Wilson', 'Danny Trejo', 'Jonathan Hyde', 'Frank Welker', 'Jennifer Lopez', 'Ice Cube', 'Jon Voight']","[['Luis Llosa', 'Director'], ['Hans Bauer', 'Screenwriter'], ['John Mandel', 'Screenwriter'], ['Jim Cash', 'Screenwriter'], ['Jack Epps, Jr.', 'Screenwriter'], ['Verna Harrah', 'Producer'], ['Leonard Rabinowitz', 'Producer'], ['Carole Little', 'Producer'], ['Susan Ruskin', 'Executive Producer'], ['Kirk M. Petruccelli', 'Production Designer'], ['Michael R. Miller', 'Editor'], ['Randy Edelman', 'Composer'], ['Bill Butler', 'Director of Photography']]","$16,620,887 (25.3% of total gross)",3.95 (domestic box office/biggest weekend),47.9% (domestic box office/worldwide),"2,456 opening theaters/2,456 max. theaters, 8.4 weeks average run per theater","$131,054,889","$45,000,000 (worldwide box office is 3.0 times production budget)","April 11th, 1997 (Wide) by Sony Pictures","PG-13 for intense adventure violence, and for brief language and sensuality.",vs. Doctor SleepCreate your own comparison chart…,Original Screenplay,Horror,Live Action,Contemporary Fiction,"January 20th, 1998 by Sony Pictures Home Entertainment",89 minutes,"Animals Gone Bad, Nature Horror","Columbia Pictures, CL Cinema Line Films Corporation","Brazil, United States",English,Anaconda,,"$65,598,907","$71,400,000","$136,998,907",,
34,https://www.the-numbers.com/movie/Grosse-Point-Blank,[],[],"$6,870,397 (24.5% of total gross)",4.09 (domestic box office/biggest weekend),90.4% (domestic box office/worldwide),"1,227 opening theaters/1,242 max. theaters, 7.5 weeks average run per theater","$56,107,525","$15,000,000 (worldwide box office is 2.1 times production budget)","April 11th, 1997 (Wide) by Walt Disney","R for strong violence, language and some drug content",vs. Bad SantaCreate your own comparison chart…,Original Screenplay,Black Comedy,Live Action,Contemporary Fiction,"April 28th, 1998 by Walt Disney Home Entertainment",,"High School Reunions, Hitmen, Therapists / Therapy, Depression, Radio Industry, Romance, You Can't Go Home Again, Mental Illness, Revenge, Screenplay Written By the Star, Black Comedy",,,,,,"$28,084,357","$2,986,055","$31,070,412",,
35,https://www.the-numbers.com/movie/Murder-at-1600,[],"[['Dwight H. Little', 'Director'], ['Christopher Young', 'Composer']]","$7,962,268 (30.8% of total gross)",3.25 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"2,152 opening theaters/2,158 max. theaters, 5.4 weeks average run per theater","$51,627,742",,"April 18th, 1997 (Wide) by Warner Bros.","R for sexuality, violence and some language",Create your own comparison chart…,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,,,"Action Thriller, Political, Murder Mystery, Conspiracy Theory, Political Assassination, Government Corruption",Regency Enterprises,United States,,,,"$25,842,024",,,,
36,https://www.the-numbers.com/movie/Romy-and-Micheles-High-School-Reunion,"['Janeane Garofalo', 'Mira Sorvino', 'Lisa Kudrow']","[['David Mirkin', 'Director'], ['James Newton Howard', 'Composer']]","$7,429,406 (25.4% of total gross)",3.94 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,602 opening theaters/1,607 max. theaters, 6.9 weeks average run per theater","$58,407,004",,"April 25th, 1997 (Wide) by Walt Disney, released as Romy and Michelle's High School Reunion",R for language,vs. Freddy Got FingeredCreate your own comparison chart…,Based on Play,Comedy,Live Action,Contemporary Fiction,,91 minutes,"High School Reunions, Novel or Other Work Adapted by Author, Buddy Comedy, Dream Sequence, High School Hell, Non-Chronological, Bullies, Unrequited Love, Romance, Fashion",,United States,English,,"May 22nd, 1997 (Wide) (Australia)
","$29,235,353",,,,
37,https://www.the-numbers.com/movie/Volcano,"['Gaby Hoffmann', 'Don Cheadle', 'Keith David', 'Tommy Lee Jones', 'Anne Heche']","[['Mick Jackson', 'Director'], ['Jerome Armstrong', 'Screenwriter'], ['Billy Ray', 'Screenwriter'], ['Jerome Armstrong', 'Story Creator'], ['Neal H. Moritz', 'Producer'], ['Andrew Z. Davis', 'Producer'], ['Lauren Shuler Donner', 'Executive Producer'], ['Theo Van de Sande', 'Cinematographer'], ['Jackson DeGovia', 'Production Designer'], ['Michael Tronick', 'Editor'], ['Don Brochu', 'Editor'], ['Kirsten Everberg', 'Costume Designer'], ['Alan Silvestri', 'Composer']]","$14,581,740 (30.7% of total gross)",3.26 (domestic box office/biggest weekend),39.6% (domestic box office/worldwide),"2,774 opening theaters/2,777 max. theaters, 6.1 weeks average run per theater","$108,249,241","$90,000,000 (worldwide box office is 1.3 times production budget)","April 25th, 1997 (Wide) by 20th Century Fox",PG-13 for intense depiction of urban disaster and related injuries,vs. The Lost World: Jurassic ParkCreate your own comparison chart…,Original Screenplay,Action,Live Action,Contemporary Fiction,"March 9th, 1999 by Fox Home Entertainment",102 minutes,Disaster,Twentieth Century Fox,United States,English,,,"$47,546,796","$72,553,204","$120,100,000",,
38,https://www.the-numbers.com/movie/Austin-Powers-International-Man-of-Mystery,"['Michael York', 'Mimi Rogers', 'Mike Myers', 'Elizabeth Hurley']","[['Jay Roach', 'Director'], ['Mike Myers', 'Screenwriter'], ['Suzanne Todd', 'Producer'], ['Demi Moore', 'Producer'], ['Jennifer Todd', 'Producer'], ['Mike Myers', 'Producer'], ['Eric McLeod', 'Executive Producer'], ['Claire Rudnick Polstein', 'Executive Producer'], ['Peter Deming', 'Director of Photography'], ['Cynthia Charette', 'Production Designer'], ['Debra Neil-Fisher', 'Editor'], ['Deena Appel', 'Costume Designer'], ['John Papsidera', 'Casting Director'], ['George S. Clinton', 'Composer']]","$9,548,111 (17.7% of total gross)",5.64 (domestic box office/biggest weekend),79.6% (domestic box office/worldwide),"2,187 opening theaters/2,187 max. theaters, 9.1 weeks average run per theater","$107,650,582","$18,000,000 (worldwide box office is 3.8 times production budget)","May 2nd, 1997 (Wide) by New Line","PG-13 for nudity, sex-related dialogue and humor",vs. Austin Powers: The Spy Who Shagged MeCreate your own comparison chart…,Original Screenplay,Comedy,Live Action,Contemporary Fiction,"March 10th, 1998 by New Line Home Video",87 minutes,"Secret Agent, Spoof, Time Travel, Same Actor, Multiple Roles, Farcical / Slapstick Comedy",New Line Cinema,United States,English,Austin Powers,,"$53,883,989","$13,800,000","$67,683,989",,
39,https://www.the-numbers.com/movie/Breakdown,"['J.T. Walsh', 'Kathleen Quinlan', 'Kurt Russell']","[['Jeffrey W. Byrd', 'Director'], ['Jonathan Mostow', 'Director'], ['Basil Poledouris', 'Composer']]","$12,307,128 (24.5% of total gross)",4.08 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"2,108 opening theaters/2,348 max. theaters, 7.9 weeks average run per theater","$114,196,743","$36,000,000 (worldwide box office is 1.4 times production budget)","May 2nd, 1997 (Wide) by Paramount Pictures",R for strong violence/terror and language,vs. Secret in Their EyesCreate your own comparison chart…,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,"November 1st, 1998 by Warner Home Video",93 minutes,"Crime Thriller, Kidnap, Ransom","Paramount Pictures, Dino De Laurentiis, Spelling Films",United States,English,,,"$50,159,144",,,,
40,https://www.the-numbers.com/movie/Warriors-of-Virtue,[],"[['Ronny Yu', 'Director'], ['Michael Vickerman', 'Screenwriter'], ['Hugh Kelley', 'Screenwriter']]","$3,277,084 (50.8% of total gross)",1.97 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"2,101 opening theaters/2,101 max. theaters, 3.4 weeks average run per theater","$12,883,584","$35,000,000 (worldwide box office is 0.2 times production budget)","May 2nd, 1997 (Wide) by MGM",PG for fantasy action violence and some language,vs. VolcanoCreate your own comparison chart…,Original Screenplay,Action,Live Action,Contemporary Fiction,,101 minutes,"Action Adventure, Martial Arts, Middle School, Disability, Good vs. Evil, Betrayal",,,,,,"$6,448,817",,,,
41,https://www.the-numbers.com/movie/Fathers-Day,"['Julia Louis-Dreyfus', 'Nastassja Kinski', 'Robin Williams', 'Billy Crystal']","[['Ivan Reitman', 'Director'], ['James Newton Howard', 'Composer']]","$8,776,159 (30.6% of total gross)",3.27 (domestic box office/biggest weekend),80.4% (domestic box office/worldwide),"2,482 opening theaters/2,507 max. theaters, 5.1 weeks average run per theater","$57,299,671","$85,000,000 (worldwide box office is 0.4 times production budget)","May 9th, 1997 (Wide) by Warner Bros.",PG-13 for some sex-related humor and drug references,vs. HamletCreate your own comparison chart…,Remake,Comedy,Live Action,Contemporary Fiction,"June 25th, 2019 by Kino Lorber",98 minutes,"Road Trip, Family Comedy, Unexpected Families, Dysfunctional Family, Runaway, Lawyers, Writing and Writers, Depression, First Love, Romance, Gratuitous Cameos",Silver Pictures,United States,English,,,"$28,681,080","$7,000,000","$35,681,080",,
