,id,date,rank,gross,pct_change,theaters,per_theater,total_gross,kind,kind_num,pct_lw
0,https://www.the-numbers.com/movie/Texas-Chainsaw-3D-(2013)/Australia#tab=box-office,2023/07/07,-,"$1,383", ,1,"$1,383","  $1,383",weekend,1,
1,https://www.the-numbers.com/movie/Texas-Chainsaw-3D-(2013)/Australia#tab=box-office,2023/07/14,-,"$2,901",+110%,4,$725,"  $4,289",weekend,2,
0,https://www.the-numbers.com/movie/Texas-Chainsaw-3D-(2013)/Australia#tab=box-office,2023/07/07,-,"$1,383", ,1,"$1,383","  $1,383",weekend,1,
1,https://www.the-numbers.com/movie/Texas-Chainsaw-3D-(2013)/Australia#tab=box-office,2023/07/14,-,"$2,901",+110%,4,$725,"  $4,289",weekend,2,
0,https://www.the-numbers.com/movie/Yi-dai-zong-shi-(China)/Australia#tab=box-office,2021/10/22,-,$467, ,1,$467,"  $27,183",weekend,373,
1,https://www.the-numbers.com/movie/Yi-dai-zong-shi-(China)/Australia#tab=box-office,2022/01/21,-,$63, ,1,$63,"  $26,373",weekend,386,
0,https://www.the-numbers.com/movie/Yi-dai-zong-shi-(China)/China#tab=box-office,2015/01/09,4,"$2,660,000", ,"9,733",$273,"  $4,580,000",weekly,105,
1,https://www.the-numbers.com/movie/Yi-dai-zong-shi-(China)/China#tab=box-office,2015/01/16,7,"$1,550,000",-42%,"1,667",$930,"  $8,960,000",weekly,106,
0,https://www.the-numbers.com/movie/Yi-dai-zong-shi-(China)/Portugal#tab=box-office,2021/06/18,-,$209, ,1,$209,"  $25,912",weekend,393,
0,https://www.the-numbers.com/movie/Yi-dai-zong-shi-(China)/Australia#tab=box-office,2021/10/22,-,$467, ,1,$467,"  $27,183",weekend,373,
1,https://www.the-numbers.com/movie/Yi-dai-zong-shi-(China)/Australia#tab=box-office,2022/01/21,-,$63, ,1,$63,"  $26,373",weekend,386,
0,https://www.the-numbers.com/movie/Yi-dai-zong-shi-(China)/China#tab=box-office,2015/01/09,4,"$2,660,000", ,"9,733",$273,"  $4,580,000",weekly,105,
1,https://www.the-numbers.com/movie/Yi-dai-zong-shi-(China)/China#tab=box-office,2015/01/16,7,"$1,550,000",-42%,"1,667",$930,"  $8,960,000",weekly,106,
0,https://www.the-numbers.com/movie/Yi-dai-zong-shi-(China)/Portugal#tab=box-office,2021/06/18,-,$209, ,1,$209,"  $25,912",weekend,393,
0,https://www.the-numbers.com/movie/Gangster-Squad-The/Argentina#tab=box-office,2013/01/18,2,"$250,875", ,70,"$3,584","  $253,068",weekend,1,
1,https://www.the-numbers.com/movie/Gangster-Squad-The/Argentina#tab=box-office,2013/01/25,5,"$98,096",-61%,77,"$1,274","  $460,302",weekend,2,
2,https://www.the-numbers.com/movie/Gangster-Squad-The/Argentina#tab=box-office,2013/02/01,10,"$26,430",-73%,27,$979,"  $526,756",weekend,3,
3,https://www.the-numbers.com/movie/Gangster-Squad-The/Argentina#tab=box-office,2013/02/08,17,"$2,052",-92%,6,$342,"  $540,899",weekend,4,
0,https://www.the-numbers.com/movie/Gangster-Squad-The/Australia#tab=box-office,2013/01/11,1,"$2,361,215", ,205,"$11,518","  $2,361,215",weekend,1,
1,https://www.the-numbers.com/movie/Gangster-Squad-The/Australia#tab=box-office,2013/01/18,3,"$1,593,816",-33%,205,"$7,775","  $4,957,570",weekend,2,
2,https://www.the-numbers.com/movie/Gangster-Squad-The/Australia#tab=box-office,2013/01/25,5,"$738,211",-54%,204,"$3,619","  $6,401,851",weekend,3,
3,https://www.the-numbers.com/movie/Gangster-Squad-The/Australia#tab=box-office,2013/02/01,9,"$354,691",-52%,133,"$2,667","  $7,276,191",weekend,4,
4,https://www.the-numbers.com/movie/Gangster-Squad-The/Australia#tab=box-office,2013/02/08,10,"$157,994",-55%,70,"$2,257","  $7,538,427",weekend,5,
0,https://www.the-numbers.com/movie/Gangster-Squad-The/Austria#tab=box-office,2013/01/25,7,"$66,074", ,26,"$2,541","  $76,515",weekend,1,
1,https://www.the-numbers.com/movie/Gangster-Squad-The/Austria#tab=box-office,2013/02/08,12,"$22,765", ,26,$876,"  $203,812",weekend,3,
2,https://www.the-numbers.com/movie/Gangster-Squad-The/Austria#tab=box-office,2013/02/15,16,"$10,857",-52%,25,$434,"  $223,104",weekend,4,
3,https://www.the-numbers.com/movie/Gangster-Squad-The/Austria#tab=box-office,2013/02/22,24,"$3,148",-71%,12,$262,"  $231,692",weekend,5,
0,https://www.the-numbers.com/movie/Gangster-Squad-The/Belgium#tab=box-office,2013/01/11,3,"$372,362", ,40,"$9,309","  $378,890",weekend,1,
1,https://www.the-numbers.com/movie/Gangster-Squad-The/Belgium#tab=box-office,2013/01/18,4,"$210,653",-43%,44,"$4,788","  $640,785",weekend,2,
2,https://www.the-numbers.com/movie/Gangster-Squad-The/Belgium#tab=box-office,2013/01/25,6,"$155,954",-26%,40,"$3,899","  $834,485",weekend,3,
3,https://www.the-numbers.com/movie/Gangster-Squad-The/Belgium#tab=box-office,2013/02/01,9,"$100,191",-36%,36,"$2,783","  $992,468",weekend,4,
4,https://www.the-numbers.com/movie/Gangster-Squad-The/Belgium#tab=box-office,2013/02/08,11,"$52,108",-48%,29,"$1,797","  $1,063,186",weekend,5,
5,https://www.the-numbers.com/movie/Gangster-Squad-The/Belgium#tab=box-office,2013/02/15,16,"$28,371",-46%,22,"$1,290","  $1,110,318",weekend,6,
6,https://www.the-numbers.com/movie/Gangster-Squad-The/Belgium#tab=box-office,2013/02/22,21,"$11,254",-60%,12,$938,"  $1,125,277",weekend,7,
0,https://www.the-numbers.com/movie/Gangster-Squad-The/Bolivia#tab=box-office,2013/01/18,5,"$11,486", ,7,"$1,641","  $11,486",weekend,1,
1,https://www.the-numbers.com/movie/Gangster-Squad-The/Bolivia#tab=box-office,2013/01/25,7,"$4,679",-59%,5,$936,"  $23,699",weekend,2,
0,https://www.the-numbers.com/movie/Gangster-Squad-The/Brazil#tab=box-office,2013/02/01,6,"$307,173", ,172,"$1,786","  $307,173",weekend,1,
1,https://www.the-numbers.com/movie/Gangster-Squad-The/Brazil#tab=box-office,2013/02/08,7,"$136,839",-55%,172,$796,"  $844,926",weekend,2,
2,https://www.the-numbers.com/movie/Gangster-Squad-The/Brazil#tab=box-office,2013/02/15,8,"$81,065",-41%,128,$633,"  $947,997",weekend,3,
3,https://www.the-numbers.com/movie/Gangster-Squad-The/Brazil#tab=box-office,2013/02/22,17,"$15,202",-81%,49,$310,"  $999,795",weekend,4,
4,https://www.the-numbers.com/movie/Gangster-Squad-The/Brazil#tab=box-office,2013/03/01,21,"$4,353",-71%,18,$242,"  $1,022,119",weekend,5,
5,https://www.the-numbers.com/movie/Gangster-Squad-The/Brazil#tab=box-office,2013/03/15,28,$746, ,2,$373,"  $1,028,380",weekend,7,
0,https://www.the-numbers.com/movie/Gangster-Squad-The/Bulgaria#tab=box-office,2013/02/08,2,"$20,251", ,23,$880,"  $102,507",weekend,2,
1,https://www.the-numbers.com/movie/Gangster-Squad-The/Bulgaria#tab=box-office,2013/02/15,3,"$8,532",-58%,18,$474,"  $123,770",weekend,3,
2,https://www.the-numbers.com/movie/Gangster-Squad-The/Bulgaria#tab=box-office,2013/02/22,5,"$5,109",-40%,14,$365,"  $135,587",weekend,4,
3,https://www.the-numbers.com/movie/Gangster-Squad-The/Bulgaria#tab=box-office,2013/03/01,11,"$1,841",-64%,7,$263,"  $135,448",weekend,5,
4,https://www.the-numbers.com/movie/Gangster-Squad-The/Bulgaria#tab=box-office,2013/03/08,16,$130,-93%,2,$65,"  $137,070",weekend,6,
0,https://www.the-numbers.com/movie/Gangster-Squad-The/Chile#tab=box-office,2013/01/11,6,"$46,511", ,23,"$2,022","  $46,511",weekend,1,
1,https://www.the-numbers.com/movie/Gangster-Squad-The/Chile#tab=box-office,2013/01/18,8,"$19,642",-58%,23,$854,"  $86,101",weekend,2,
2,https://www.the-numbers.com/movie/Gangster-Squad-The/Chile#tab=box-office,2013/01/25,10,"$2,596",-87%,5,$519,"  $97,709",weekend,3,
3,https://www.the-numbers.com/movie/Gangster-Squad-The/Chile#tab=box-office,2013/02/01,11,$989,-62%,2,$495,"  $101,956",weekend,4,
4,https://www.the-numbers.com/movie/Gangster-Squad-The/Chile#tab=box-office,2013/02/08,12,"$2,636",+167%,2,"$1,318","  $105,154",weekend,5,
0,https://www.the-numbers.com/movie/Gangster-Squad-The/Colombia#tab=box-office,2013/02/22,2,"$106,813", ,57,"$1,874","  $107,979",weekend,1,
1,https://www.the-numbers.com/movie/Gangster-Squad-The/Colombia#tab=box-office,2013/03/01,4,"$54,306",-49%,53,"$1,025","  $201,272",weekend,2,
2,https://www.the-numbers.com/movie/Gangster-Squad-The/Colombia#tab=box-office,2013/03/08,6,"$23,217",-57%,27,$860,"  $244,686",weekend,3,
3,https://www.the-numbers.com/movie/Gangster-Squad-The/Colombia#tab=box-office,2013/03/15,9,"$6,486",-72%,11,$590,"  $258,021",weekend,4,
4,https://www.the-numbers.com/movie/Gangster-Squad-The/Colombia#tab=box-office,2013/03/22,11,"$2,847",-56%,6,$475,"  $263,470",weekend,5,
5,https://www.the-numbers.com/movie/Gangster-Squad-The/Colombia#tab=box-office,2013/03/29,13,"$2,154",-24%,6,$359,"  $269,051",weekend,6,
6,https://www.the-numbers.com/movie/Gangster-Squad-The/Colombia#tab=box-office,2013/04/05,18,"$1,017",-53%,1,"$1,017","  $268,179",weekend,7,
7,https://www.the-numbers.com/movie/Gangster-Squad-The/Colombia#tab=box-office,2013/04/12,11,"$1,928",+90%,2,$964,"  $270,531",weekend,8,
0,https://www.the-numbers.com/movie/Gangster-Squad-The/Croatia#tab=box-office,2013/01/11,3,"$44,468", ,15,"$2,965","  $44,468",weekend,1,
1,https://www.the-numbers.com/movie/Gangster-Squad-The/Croatia#tab=box-office,2013/01/18,6,"$17,205",-61%,15,"$1,147","  $73,941",weekend,2,
