,url,cast,crew,Legs:,Domestic Share:,Infl. Adj. Dom. BO,Production Budget:,Opening Weekend:,Theater counts:,Domestic Releases:,Video Release:,MPAA Rating:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Running Time:,Franchise:,Languages:,Production/Financing Companies:,International Releases:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
89,https://www.the-numbers.com/movie/Ricochet,"['Ice-T', 'Kevin Pollak', 'Denzel Washington', 'John Lithgow']","[['Russell Mulcahy', 'Director'], ['Joel Silver', 'Producer'], ['Michael Levy', 'Producer'], ['Steven E. de Souza', 'Screenwriter'], ['Fred Dekker', 'Story by'], ['Menno Meyjes', 'Story by'], ['Barry Josephson', 'Executive Producer'], ['James Herbert', 'Co-Producer'], ['Suzanne Todd', 'Co-Producer'], ['Peter Levy', 'Director of Photography'], ['Peter Honess', 'Editor'], ['Marilyn Vance-Straker*', 'Costume Designer'], ['Alan Silvestri', 'Composer']]",4.50 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$47,388,121",,"$4,831,181 (22.2% of total gross)","1,560 opening theaters/1,560 max. theaters, 3.9 weeks average run per theater","October 4th, 1991 (Wide) by Warner Bros.","November 15th, 2005 by HBO Home Video","R for strong violence and sensuality, and for language and drug content.",Create your own comparison chart…,"Revenge, Crime Thriller, 1980s, Prologue, Police Detective, Prison Riot, Prison Break, No Honor Among Thieves, Framed, Kidnap, Prostitution, Childhood Friends, Drug Dealer, Tortured for Information, Death of a Partner",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,United States,104 minutes,,English,"HBO Films, Cinema Plus, L.P. , Silver Pictures",,"$21,756,163",,,,
90,https://www.the-numbers.com/movie/Super-The,[],"[['Rod Daniel', 'Director'], ['Sam Simon', 'Screenwriter']]",3.01 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$23,961,494",,"$3,656,390 (33.2% of total gross)","1,578 opening theaters/1,581 max. theaters, 2.1 weeks average run per theater","October 4th, 1991 (Wide) by 20th Century Fox",,R for language.,Create your own comparison chart…,"Satirical Comedy, Satire, Inspired by a True Story, Corporate Malfeasance, Class Warfare",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,86 minutes,,,,,"$11,000,863",,,,
91,https://www.the-numbers.com/movie/Little-Man-Tate,[],"[['Jodie Foster', 'Director'], ['Scott Frank', 'Screenwriter'], ['Mark Isham', 'Composer']]",7.04 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$54,431,433",,,,"October 9th, 1991 (Wide) by Orion Pictures",,PG,Create your own comparison chart…,"Child Prodigy, Family Drama, Directing Yourself, Dysfunctional Family, Abandoned Child, Inspirational Teacher, College, Actors Making Their Directorial Debut, Inspired by a True Story, Autobiographical",Original Screenplay,Drama,Live Action,Contemporary Fiction,United States,99 minutes,,English,,,"$24,989,789",,,,
92,https://www.the-numbers.com/movie/Ernest-Scared-Stupid,['Jim Varney'],"[['John Cherry', 'Director'], ['Charlie Gale', 'Screenwriter'], ['Coke Sams', 'Screenwriter']]",3.50 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$30,806,138",,"$4,037,926 (28.6% of total gross)","1,782 opening theaters/1,787 max. theaters, 3.4 weeks average run per theater","October 11th, 1991 (Wide) by Walt Disney","August 15th, 1992 by Touchstone Home Video",PG,vs. Ernest Goes to JailCreate your own comparison chart…,"Horror Comedy, Halloween, 1800s",Original Screenplay,Comedy,Live Action,Fantasy,United States,91 minutes,Ernest,English,"Touchstone Pictures, Touchwood Pacific Partners ",,"$14,143,280",,,,
93,https://www.the-numbers.com/movie/Frankie-and-Johnny-(1991),[],"[['Garry Marshall', 'Director'], ['Terrence McNally', 'Screenwriter']]",5.34 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$49,604,106",,"$4,266,345 (18.7% of total gross)","1,150 opening theaters/1,150 max. theaters, 5.8 weeks average run per theater","October 11th, 1991 (Wide) by Paramount Pictures",,R for language and sensuality.,vs. FractureCreate your own comparison chart…,"Abusive boyfriend, Romance, Life on the Outside, Romantic Drama, Troubled Pregnancy or Miscarriage, Infertility, Domestic Abuse, Divorcée Romance, Relationships Gone Wrong",Based on Play,Drama,Live Action,Contemporary Fiction,United States,117 minutes,,English,,,"$22,773,535",,,,
94,https://www.the-numbers.com/movie/Shattered-(1991),[],"[['Wolfgang Petersen', 'Director'], ['Alan Silvestri', 'Composer']]",3.72 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$25,072,715",,"$3,098,433 (26.9% of total gross)","1,283 opening theaters/1,288 max. theaters, 2.3 weeks average run per theater","October 11th, 1991 (Wide) by MGM","October 13th, 2015 by Kino Lorber","R for sensuality, language and violence.",Create your own comparison chart…,"Film Noir, Erotic Thriller",Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Contemporary Fiction,United States,98 minutes,,English,,,"$11,511,031",,,"$64,277","$64,277"
95,https://www.the-numbers.com/movie/Antarctica-(1991-IMAX),[],"[['John Weiley', 'Director']]",,98.4% (domestic box office/worldwide),"$161,342,033",,,,"October 18th, 1991 (IMAX)",,Not Rated,vs. Space StationCreate your own comparison chart…,Short Film,Based on Real Life Events,Documentary,Live Action,Factual,Australia,40 minutes,,English,,"September 26th, 1996 (IMAX) (Australia)
June 23rd, 2022 (Special Engagement) (Australia)
","$65,000,000","$1,070,389","$66,070,389",,
96,https://www.the-numbers.com/movie/Other-Peoples-Money,['Danny DeVito'],"[['Norman Jewison', 'Director'], ['David Newman', 'Composer']]",7.12 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$77,720,647",,"$5,012,332 (14.0% of total gross)","1,246 opening theaters/1,249 max. theaters, 5.7 weeks average run per theater","October 18th, 1991 (Wide) by Warner Bros.",,R for language and sex-related dialogue.,vs. The Fisher KingCreate your own comparison chart…,"Money Troubles, Corporate Life, Corporations vs. Mom and Pop Store, Romance, Satirical Comedy",Based on Play,Comedy,Live Action,Contemporary Fiction,United States,,,,,,"$35,682,000",,,,
97,https://www.the-numbers.com/movie/House-Party-2,[],"[['Doug McHenry', 'Director'], ['George Jackson', 'Director'], ['Daryl G. Nickens', 'Screenwriter'], ['Rusty Cundieff', 'Screenwriter']]",3.23 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$42,340,210","$5,000,000 (worldwide box office is 3.9 times production budget)","$6,027,105 (31.0% of total gross)","1,165 opening theaters/1,185 max. theaters, 3.9 weeks average run per theater","October 23rd, 1991 (Wide) by New Line",,R for language and sensuality.,vs. Next Day AirCreate your own comparison chart…,"Farcical / Slapstick Comedy, Music Industry, Corporate Malfeasance, Parties Gone Wild",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,94 minutes,House Party,English,,,"$19,438,638",,,,
98,https://www.the-numbers.com/movie/Butchers-Wife-The,[],"[['Terry Hughes', 'Director'], ['Ezra Litwak', 'Screenwriter'], ['Marjorie Schwartz Nielsen', 'Screenwriter']]",3.97 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$21,105,846",,"$2,442,229 (25.2% of total gross)","800 opening theaters/800 max. theaters, 2.9 weeks average run per theater","October 25th, 1991 (Wide) by Paramount Pictures",,PG-13,vs. Two if by SeaCreate your own comparison chart…,"Romantic Comedy, Psychics, LGBTQ+, Set in New York City, Relationships Gone Wrong, Romance",Original Screenplay,Romantic Comedy,Live Action,Fantasy,United States,107 minutes,,English,,,"$9,689,816",,,,
99,https://www.the-numbers.com/movie/Curly-Sue,"['James Belushi', 'Kelly Lynch', 'Alisan Porter']","[['John Hughes', 'Director'], ['John Hughes', 'Screenwriter'], ['John Hughes', 'Producer'], ['Tarquin Gotch', 'Executive Producer'], ['Georges Delerue', 'Composer'], ['Doug Kraner', 'Production Designer'], ['Jeffrey Kimball', 'Director of Photography']]",6.32 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$73,282,523",,"$4,974,958 (14.8% of total gross)","1,634 opening theaters/1,634 max. theaters, 7.3 weeks average run per theater","October 25th, 1991 (Wide) by Warner Bros.",,PG,vs. Look Who's TalkingCreate your own comparison chart…,"Comedy Drama, Young Child Dealing with the Death of a Parent, White Collar Crime, Romance, Relationships Gone Wrong, Poverty, Homeless, Illiteracy / Learning to Read",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,102 minutes,,English,Warner Bros.,,"$33,644,430",,,,
100,https://www.the-numbers.com/movie/Billy-Bathgate,[],"[['Robert Benton', 'Director'], ['Tom Stoppard', 'Screenwriter'], ['Mark Isham', 'Composer']]",3.84 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$33,903,645",,"$4,051,590 (26.0% of total gross)","912 opening theaters/1,177 max. theaters, 3.6 weeks average run per theater","November 1st, 1991 (Wide) by Walt Disney",,"R for some gangster violence, and for language.",Create your own comparison chart…,"Mafia, Biographical Drama, Crime, 1930s, Romance, Infidelity, No Honor Among Thieves",Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction,United States,106 minutes,,English,,,"$15,565,363",,,,
101,https://www.the-numbers.com/movie/Highlander-II-The-Quickening,[],"[['Russell Mulcahy', 'Director'], ['Peter Bellwood', 'Screenwriter']]",2.69 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$30,895,124",,"$5,280,490 (37.2% of total gross)","960 opening theaters/1,009 max. theaters, 2.9 weeks average run per theater","November 1st, 1991 (Wide) by InterStar Releasing","November 2nd, 2010 by Lionsgate Home Entertainment, released as Highlander 2","R for strong violence, and some sexuality and language.",vs. Mac and MeCreate your own comparison chart…,"Action Adventure, Prologue, Near Future, Environment, 1990s, 2020s, Corporate Malfeasance",Original Screenplay,Action,Live Action,Fantasy,"Argentina, France, United Kingdom, United States",100 minutes,Highlander,,,,"$14,184,134",,,,
102,https://www.the-numbers.com/movie/People-Under-the-Stairs-The,[],"[['Wes Craven', 'Director'], ['Wes Craven', 'Screenwriter']]",4.38 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$52,719,871",,"$5,522,250 (22.8% of total gross)","1,850 opening theaters/1,850 max. theaters, 4.9 weeks average run per theater","November 1st, 1991 (Wide) by Universal","August 11th, 2015 by Shout Factory",R for terror/violence.,vs. CandymanCreate your own comparison chart…,"Horror Comedy, Class Warfare, Dysfunctional Family, Money Troubles, Raised by Kidnappers, Incest, Cannibalism, Escape, Rescue",Original Screenplay,Horror,Live Action,Contemporary Fiction,United States,103 minutes,,English,,,"$24,204,000",,,"$286,352","$286,352"
103,https://www.the-numbers.com/movie/Year-of-the-Gun,[],"[['John Frankenheimer', 'Director'], ['David Ambrose', 'Screenwriter']]",,100.0% (domestic box office/worldwide),"$25,745,692",,,,"November 1st, 1991 (Wide)",,"R for violence, sensuality and language.",Create your own comparison chart…,"Action Thriller, 1970s, Set in Italy, Political, Political Assassination, Political Extremism, Writing and Writers, Infidelity, Romance, Kidnap",Based on Fiction Book/Short Story,Action,Live Action,Historical Fiction,United States,111 minutes,,"English, Italian",,,"$11,820,000",,,,
