,id,date,rank,gross,pct_change,theaters,per_theater,total_gross,kind,kind_num,pct_lw
0,https://www.the-numbers.com/movie/King-Kong-(1933)/New-Zealand#tab=box-office,2016/04/22,36,$650, ,12,$54,  $650,weekend,1,
1,https://www.the-numbers.com/movie/King-Kong-(1933)/New-Zealand#tab=box-office,2021/09/24,-,$347, ,1,$347,"  $1,781",weekend,284,
0,https://www.the-numbers.com/movie/King-Kong-(1933)/New-Zealand#tab=box-office,2016/04/22,36,$650, ,12,$54,  $650,weekend,1,
1,https://www.the-numbers.com/movie/King-Kong-(1933)/New-Zealand#tab=box-office,2021/09/24,-,$347, ,1,$347,"  $1,781",weekend,284,
