,url,cast,crew,Production Budget:,Opening Weekend:,Legs:,Domestic Share:,Theater counts:,Infl. Adj. Dom. BO,International Releases:,Running Time:,Comparisons:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,Franchise:,Domestic Releases:,Video Release:,MPAA Rating:,Keywords:,Production/Financing Companies:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic DVD Sales,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
326,https://www.the-numbers.com/movie/Er-ist-wieder-da,['Oliver Masucci'],"[['David Wnendt', 'Director'], ['Timur Vermes', 'Director']]",,,,,,,"October 8th, 2015 (Wide) (Germany)
October 9th, 2015 (Wide) (Austria)
November 26th, 2015 (Wide) (Netherlands)
January 13th, 2016 (Wide) (Belgium)
March 10th, 2016 (Wide) (Czech Republic)
... Show all releases
",116 minutes,vs. Mad Max: Fury RoadCreate your own comparison chart…,Based on Fiction Book/Short Story,Comedy,Live Action,Fantasy,Germany,German,,,,Not Rated,,,n/a,"$25,283,394","$25,283,394",,,
327,https://www.the-numbers.com/movie/Seong-nan-Byeon-ho-sa,[],"[['Jong-ho Huh', 'Director']]",,,,,,,"October 8th, 2015 (Wide) (South Korea)
",,Create your own comparison chart…,Original Screenplay,Drama,Live Action,Contemporary Fiction,Republic of Korea,Korean,,,,,,,n/a,"$7,457,770","$7,457,770",,,
328,https://www.the-numbers.com/movie/etudiante-et-Monsieur-Henri-L-(france),"['Guillaume de Tonquedec', 'Frederique Bel', 'Claude Brasseur', 'Noemie Schmidt']","[['Ivan Calbérac', 'Director'], ['Ivan Calbérac', 'Screenwriter'], ['Isabelle Grellat Doublet', 'Producer'], ['Eric Altmayer', 'Producer'], ['Nicolas Altmayer', 'Producer'], ['Vincent Mathias', 'Director of Photography'], ['Veronique Parnet', 'Editor'], ['Laurent Aknin', 'Composer'], ['Philippe Fabbri', 'Sound Designer'], ['Damien Aubry', 'Sound Designer'], ['Emmanuel Croset', 'Sound Designer'], ['Claire Lacaze', 'Costume Designer'], ['Sylvie Olive', 'Set Designer'], ['Elodie Demey', 'Casting Director'], ['Reno Epelboin', 'First Assistant Director'], ['Lucie Truffaut', 'Script Supervisor'], ['Frederic Grunenwald', 'Production Manager'], ['Patricia Colombat', 'Post Production Manager']]",,$486 (63.9% of total gross),1.57 (domestic box office/biggest weekend),0.0% (domestic box office/worldwide),"1 opening theaters/1 max. theaters, 1.0 weeks average run per theater",$909,"October 9th, 2015 (Wide) (France)
June 10th, 2016 (Limited), released as Student and Mister Henri, The (New Zealand)
July 22nd, 2016 (Wide) (Germany)
March 3rd, 2017 (Wide), released as El Sr. Henri comparte piso (Spain)
",98 minutes,Create your own comparison chart…,Based on Play,Romantic Comedy,Live Action,Contemporary Fiction,France,French,,"August 19th, 2016 (Limited) by Distrib Films, released as The Student and Mr. Henri",,Not Rated,"Voiceover/Narration, Set in Paris, Set in France, Set in London, Set in England, Nightclub, Widow/Widower, Dysfunctional Family","Mandarin Cinema, StudioCanal, France 2 Cinema, Les Belles Histoires Productions",$761,"$5,319,528","$5,320,289",,,
329,https://www.the-numbers.com/movie/Hamlet-NT-Live-2015,[],"[['Sarah Frankcom', 'Director'], ['Margaret Williams', 'Director']]",,,,,,,"October 9th, 2015 (Wide), released as Hamlet - NT Live 2015 (Theatre) (United Kingdom)
October 16th, 2015 (Wide) (Russia (CIS))
November 5th, 2015 (Limited), released as National Theatre Live: Hamlet (2015) - Encore (Australia)
November 26th, 2015 (Limited), released as NT Live: Hamlet (New Zealand)
August 17th, 2016 (Wide) (South Korea)
... Show all releases
",,Create your own comparison chart…,Based on Play,Concert/Performance,Live Action,Historical Fiction,United Kingdom,English,,,,Not Rated,,,n/a,"$5,350,452","$5,350,452",,,
330,https://www.the-numbers.com/movie/Steve-Jobs-(2015),"['Kate Winslet', 'Seth Rogen', 'Jeff Daniels', 'Michael Fassbender']","[['Danny Boyle', 'Director'], ['Aaron Sorkin', 'Screenwriter'], ['Walter Isaacson', 'Story Creator'], ['Scott Rudin', 'Producer'], ['Christian Colson', 'Producer'], ['Mark Gordon', 'Producer'], ['Guymon Casady', 'Producer'], ['Danny Boyle', 'Producer'], ['Bernard Bellew', 'Executive Producer'], ['Bryan Zuriff', 'Executive Producer'], ['Eli Bush', 'Executive Producer'], ['Guy Hendrix Dyas', 'Production Designer'], ['Elliot Graham', 'Editor'], ['Daniel Pemberton', 'Composer'], ['Alwin Kuchler', 'Director of Photography']]","$30,000,000 (worldwide box office is 1.2 times production budget)","$521,522 (2.9% of total gross)",2.50 (domestic box office/biggest weekend),49.9% (domestic box office/worldwide),"4 opening theaters/2,493 max. theaters, 2.4 weeks average run per theater","$22,023,908","November 12th, 2015 (Wide) (Austria)
November 12th, 2015 (Wide) (Czech Republic)
November 12th, 2015 (Wide) (Germany)
November 12th, 2015 (Wide) (Iraq)
November 12th, 2015 (Wide) (Israel)
... Show all releases
",121 minutes,vs. The Theory of EverythingCreate your own comparison chart…,Based on Factual Book/Article,Drama,Live Action,Dramatization,United States,English,,"October 9th, 2015 (Limited) by UniversalOctober 23rd, 2015 (Expands Wide) by Universal","February 2nd, 2016 by Universal Home Entertainment","R for language.(Rating bulletin 2387, 8/19/2015)","Biography, Biographical Drama, Inventor, Entrepreneur, 1980s, 1990s","Scott Rudin Productions, Entertainment 360, The Mark Gordon Company, Decibel Films, Cloud Eight  ","$17,766,658","$17,812,349","$35,579,007","$1,328,293","$1,720,581","$3,048,874"
331,https://www.the-numbers.com/movie/Toshokan-Sensoi-The-Last-Mission-(Japan)-(2015),[],[],,,,,,,"October 9th, 2015 (Wide) (Japan)
March 11th, 2016 (Wide) (Hong Kong)
",,Create your own comparison chart…,,,,,Japan,,,,,,,,n/a,"$13,597,694","$13,597,694",,,
332,https://www.the-numbers.com/movie/Bridge-of-Spies,"['Mark Rylance', 'Amy Ryan', 'Alan Alda', 'Tom Hanks']","[['Steven Spielberg', 'Director'], ['Joel Coen', 'Screenwriter'], ['Ethan Coen', 'Screenwriter'], ['Matt Charman', 'Screenwriter'], ['Steven Spielberg', 'Producer'], ['Marc Platt', 'Producer'], ['Kristie Macosko Krieger', 'Producer'], ['Adam Somner', 'Executive Producer'], ['Daniel Lupi', 'Executive Producer'], ['Jeff Skoll', 'Executive Producer'], ['Jonathan King', 'Executive Producer'], ['Bernhard Henrich', 'Production Designer'], ['Janusz Kaminski', 'Director of Photography'], ['Adam Stockhausen', 'Production Designer'], ['Michael Kahn', 'Editor'], ['Kasia Walicka Maimone', 'Costume Designer'], ['Thomas Newman', 'Composer'], ['Christoph Fisser', 'Co-Producer'], ['Henning Molfenter', 'Co-Producer'], ['Charlie Woebcken', 'Co-Producer'], ['Ellen Lewis', 'Casting Director']]","$40,000,000 (worldwide box office is 4.1 times production budget)","$15,371,203 (21.3% of total gross)",4.70 (domestic box office/biggest weekend),44.5% (domestic box office/worldwide),"2,811 opening theaters/2,873 max. theaters, 6.7 weeks average run per theater","$89,587,892","October 14th, 2015 (Wide) (Philippines)
October 15th, 2015 (Wide) (Bolivia)
October 15th, 2015 (Wide) (Central America)
October 15th, 2015 (Wide) (Chile)
October 15th, 2015 (Wide) (Malaysia)
... Show all releases
",141 minutes,"Best Picture Oscar Nominees, 2016vs. SullyCreate your own comparison chart…",Original Screenplay,Thriller/Suspense,Live Action,Historical Fiction,United States,"English, German, Russian",,"October 16th, 2015 (Wide) by Walt Disney","February 2nd, 2016 by Walt Disney Home Entertainment","PG-13 for some violence and brief strong language.(Rating bulletin 2385, 8/4/2015)","2016 Oscars Best Picture Nominee, Cold War, Set in Berlin, Set in East / West Berlin, Secret Agent, 1960s, C.I.A., Political Thriller","DreamWorks Pictures, Fox 2000 Pictures, Reliance Entertainment, Participant Media, Afterworks Limited, Studio Babelsberg, Amblin Entertainment, Marc Platt Productions","$72,313,754","$90,184,584","$162,498,338","$6,757,832","$5,435,091","$12,192,923"
333,https://www.the-numbers.com/movie/Crimson-Peak,"['Jim Beaver', 'Mia Wasikowska', 'Jessica Chastain', 'Tom Hiddleston', 'Charlie Hunnam']","[['Guillermo del Toro', 'Director'], ['Guillermo del Toro', 'Screenwriter'], ['Matthew Robbins', 'Screenwriter'], ['Thomas Tull', 'Producer'], ['Jon Jashni', 'Producer'], ['Guillermo del Toro', 'Producer'], ['Callum Greene', 'Producer'], ['Jillian Share', 'Executive Producer'], ['Dan Laustsen', 'Director of Photography'], ['Tom Sanders', 'Production Designer'], ['Bernat Vilaplana', 'Editor'], ['Kate Hawley', 'Costume Designer'], ['Fernando Velazquez', 'Composer']]","$55,000,000 (worldwide box office is 1.4 times production budget)","$13,143,310 (42.3% of total gross)",2.37 (domestic box office/biggest weekend),41.5% (domestic box office/worldwide),"2,984 opening theaters/2,991 max. theaters, 3.3 weeks average run per theater","$38,540,196","October 14th, 2015 (Wide) (Egypt)
October 14th, 2015 (Wide) (France)
October 14th, 2015 (Wide) (Philippines)
October 14th, 2015 (Wide) (Switzerland)
October 15th, 2015 (Wide) (Argentina)
... Show all releases
",118 minutes,vs. The Woman in BlackCreate your own comparison chart…,Original Screenplay,Horror,Live Action,Contemporary Fiction,United States,English,,"October 16th, 2015 (Wide) by UniversalOctober 16th, 2015 (IMAX) by Universal","January 26th, 2016 by Universal Home Entertainment","R for bloody violence, some sexual content and brief strong language.(Rating bulletin 2359, 2/4/2015)","Gothic Horror, Haunting, Haunted House, Romance, Relationships Gone Wrong, Dysfunctional Family, Newlyweds, Surprise Twist, IMAX: DMR","Legendary Pictures, DDY","$31,090,320","$43,876,534","$74,966,854","$3,938,401","$3,495,220","$7,433,621"
334,https://www.the-numbers.com/movie/Goosebumps,"['Amy Ryan', 'Ryan Lee', 'Jillian Bell', 'Jack Black', 'Dylan Minette', 'Odeya Rush']","[['Rob Letterman', 'Director'], ['Deborah Forte', 'Producer'], ['Neal H. Moritz', 'Producer'], ['Darren Lemke', 'Screenwriter'], ['R.L. Stine', 'Based on the Goosebumps Books Written By'], ['Scott Alexander', 'Story Creator'], ['Larry Karaszewski', 'Story Creator'], ['Tania Landau', 'Executive Producer'], ['Bill Bannerman', 'Executive Producer'], ['Ben Waisbren', 'Executive Producer'], ['Bruce Berman', 'Executive Producer'], ['Greg Basser', 'Executive Producer'], ['Javier Aguirresarobe', 'Director of Photography'], ['Sean Haworth', 'Production Designer'], ['Jim May', 'Editor'], ['Judianna Makovsky', 'Costume Designer'], ['Danny Elfman', 'Composer']]","$58,000,000 (worldwide box office is 2.7 times production budget)","$23,618,556 (29.5% of total gross)",3.39 (domestic box office/biggest weekend),50.4% (domestic box office/worldwide),"3,501 opening theaters/3,618 max. theaters, 5.8 weeks average run per theater","$99,226,199","October 14th, 2015 (Wide) (Indonesia)
October 14th, 2015 (Wide) (Malaysia)
October 15th, 2015 (Wide) (Aruba)
October 15th, 2015 (Wide) (Curacao)
October 15th, 2015 (Wide) (Israel)
... Show all releases
",103 minutes,"vs. Alexander and the Terrible, Horrible, No Good, Very Bad DayCreate your own comparison chart…",Based on Fiction Book/Short Story,Horror,Animation/Live Action,Kids Fiction,United States,English,Goosebumps,"October 16th, 2015 (Wide) by Sony Pictures","January 12th, 2016 by Sony Pictures Home Entertainment","PG for scary and intense creature action and images, and for some rude humor.(Rating bulletin 2380, 7/1/2015)","Writing and Writers, Young Adult Book Adaptation, Creature Feature, Werewolf, Killer Inanimate Objects, Bigfoot, Fiction / Reality Crossover, Monster, 3-D, 3-D - Post-production Conversion, Kids Horror","Columbia Pictures, Sony Pictures Animation, LStar Capital, Village Roadshow Productions, Original Film, Scholastic Entertainment Inc.","$80,069,458","$78,882,785","$158,952,243","$12,382,649","$8,211,150","$20,593,799"
335,https://www.the-numbers.com/movie/nouvelles-aventures-d-Aladin-Les,[],"[['Arthur Benzaquen', 'Director']]",,,,,,,"October 14th, 2015 (Wide) (Belgium)
October 16th, 2015 (Wide) (France)
December 10th, 2015 (Wide) (Thailand)
February 11th, 2016 (Wide) (Greece)
February 11th, 2016 (Wide) (Russia (CIS))
... Show all releases
",107 minutes,Create your own comparison chart…,Original Screenplay,Comedy,Live Action,Contemporary Fiction,France,French,,,,,,,n/a,"$34,510,866","$34,510,866",,,
