,id,date,rank,gross,pct_change,theaters,per_theater,total_gross,kind,kind_num,pct_lw
0,https://www.the-numbers.com/movie/Woodstock/Netherlands#tab=box-office,2019/08/16,6,"$179,651", ,124,"$1,449","  $179,651",weekend,1,
1,https://www.the-numbers.com/movie/Woodstock/Netherlands#tab=box-office,2019/08/23,19,"$12,183",-93%,44,$277,"  $194,156",weekend,2,
0,https://www.the-numbers.com/movie/Woodstock/Netherlands#tab=box-office,2019/08/16,6,"$179,651", ,124,"$1,449","  $179,651",weekend,1,
1,https://www.the-numbers.com/movie/Woodstock/Netherlands#tab=box-office,2019/08/23,19,"$12,183",-93%,44,$277,"  $194,156",weekend,2,
0,https://www.the-numbers.com/movie/Aristocats-The/New-Zealand#tab=box-office,2022/09/30,-,$269, ,1,$269,  $269,weekend,541,
0,https://www.the-numbers.com/movie/Aristocats-The/New-Zealand#tab=box-office,2022/09/30,-,$269, ,1,$269,  $269,weekend,541,
0,https://www.the-numbers.com/movie/Ryans-Daughter/Portugal#tab=box-office,2022/02/25,-,$230, ,1,$230,  $230,weekend,"2,672",
0,https://www.the-numbers.com/movie/Ryans-Daughter/Portugal#tab=box-office,2022/02/25,-,$230, ,1,$230,  $230,weekend,"2,672",
