,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Theater counts:,Infl. Adj. Dom. BO,Production Budget:,Domestic Releases:,MPAA Rating:,Comparisons:,Source:,Genre:,Production Method:,Creative Type:,Running Time:,Keywords:,Production Countries:,Languages:,International Releases:,Video Release:,Production/Financing Companies:,Franchise:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
13,https://www.the-numbers.com/movie/Catch-That-Kid,[],"[['Bart Freundlich', 'Director'], ['Michael Brandt', 'Screenwriter'], ['Derek Haas', 'Screenwriter'], ['Mikkel Bondesen', 'Executive Producer'], ['James Dodson', 'Executive Producer'], ['Damien Saccani', 'Executive Producer'], ['George S. Clinton', 'Composer']]","$5,824,860 (34.9% of total gross)",2.87 (domestic box office/biggest weekend),98.5% (domestic box office/worldwide),"2,847 opening theaters/2,848 max. theaters, 3.1 weeks average run per theater","$24,665,668","$18,000,000 (worldwide box office is 0.9 times production budget)","February 6th, 2004 (Wide) by 20th Century Fox",PG,vs. KicksCreate your own comparison chart…,Remake,Adventure,Live Action,Contemporary Fiction,91 minutes,"Kid Spies, Heist","Germany, United States",English,"April 8th, 2004 (Limited) (Australia)
","June 1st, 2004 by Fox Home Entertainment",,,"$16,703,799","$255,815","$16,959,614",,
14,https://www.the-numbers.com/movie/Dreamers-The,[],"[['Bernardo Bertolucci', 'Director']]","$142,632 (5.6% of total gross)",6.05 (domestic box office/biggest weekend),16.5% (domestic box office/worldwide),"5 opening theaters/116 max. theaters, 6.1 weeks average run per theater","$3,738,077",,"February 6th, 2004 (Limited) by Fox Searchlight",NC-17,vs. Below Her MouthCreate your own comparison chart…,Original Screenplay,Drama,Live Action,Historical Fiction,115 minutes,Erotic Drama,"France, Italy, United Kingdom, United States","English, French","April 29th, 2004 (Wide) (Australia)
March 25th, 2005 (Wide) (South Korea)
September 11th, 2020 (Wide), released as Мечтатели (Russia (CIS))
",,,,"$2,531,462","$12,775,651","$15,307,113",,
15,https://www.the-numbers.com/movie/Miracle-(2004),"['Patricia Clarkson', 'Noah Emmerich', 'Kurt Russell']","[['Mark Isham', 'Composer']]","$19,377,577 (30.1% of total gross)",3.32 (domestic box office/biggest weekend),99.9% (domestic box office/worldwide),"2,605 opening theaters/2,755 max. theaters, 5.5 weeks average run per theater","$95,063,941","$28,000,000 (worldwide box office is 2.3 times production budget)","February 6th, 2004 (Wide) by Walt Disney",PG for language and some rough sports action.,vs. 42Create your own comparison chart…,Based on Real Life Events,Drama,Live Action,Dramatization,135 minutes,"Hockey, Inspirational Coach, Epilogue, Inspirational Sports, Sports Drama",United States,English,,"May 18th, 2004 by Walt Disney Home Entertainment",Walt Disney Pictures,,"$64,378,093","$96,612","$64,474,705",,
16,https://www.the-numbers.com/movie/Return-The,"['Vladimir Garin', 'Ivan Dobronravov']","[['Andrey Zvyagintsev', 'Director'], ['Vladimir Moiseyenko', 'Screenwriter'], ['Aleksandr Novototskiy', 'Screenwriter'], ['Dmitri Lesnevsky', 'Producer']]","$19,795 (3.9% of total gross)",14.48 (domestic box office/biggest weekend),8.4% (domestic box office/worldwide),"3 opening theaters/18 max. theaters, 11.3 weeks average run per theater","$740,908","$15,000,000 (worldwide box office is 0.4 times production budget)","February 6th, 2004 (Limited) by Kino International","PG-13 for violence, terror and disturbing images",vs. KynodontasCreate your own comparison chart…,Original Screenplay,Drama,Live Action,Contemporary Fiction,110 minutes,,Russian Federation,Russian,"July 1st, 2004 (Wide) (Australia)
","October 19th, 2004 by Kino Lorber","Ren Film   , United King Films",,"$501,752","$5,452,134","$5,953,886",,
17,https://www.the-numbers.com/movie/What-the-Bleep-Do-We-Know,[],"[['William H. Arntz', 'Director'], ['Betsy Chasse', 'Director'], ['Mark Vicente', 'Director']]",,28.04 (domestic box office/biggest weekend),93.5% (domestic box office/worldwide),,"$16,118,054","$4,000,000 (worldwide box office is 2.9 times production budget)","February 6th, 2004 (Limited) by Captured Light",Not Rated,vs. HealCreate your own comparison chart…,Based on Real Life Events,Documentary,Live Action,Factual,,Meaning of Life,,,"April 8th, 2005 (Wide), released as What The Bleep Do We Know?! (Australia)
","March 15th, 2005 by Fox Home Entertainment, released as What the Bleep Do We Know!?",,What the Bleep,"$10,941,801","$762,967","$11,704,768",,
18,https://www.the-numbers.com/movie/50-First-Dates,"['Rob Schneider', 'Sean Astin', 'Lusia Strus', 'Missi Pyle', ""Pomaika'i Brown"", 'Blake Clark', 'Lynn Collins', 'Allen Covert', 'Maya Rudolph', 'Adam del Rio', 'Amy Hill', 'Dan Aykroyd', 'Adam Sandler', 'Drew Barrymore']","[['Peter Segal', 'Director'], ['George Wing', 'Screenwriter'], ['Jack Giarraputo', 'Producer'], ['Steve Golin', 'Producer'], ['Nancy Juvonen', 'Producer'], ['Daniel Lupi', 'Executive Producer'], ['Michael Ewing', 'Executive Producer'], ['M. Jay Roach*', 'Executive Producer'], ['Larry Kennar', 'Co-Producer'], ['Scott Backston', 'Co-Producer'], ['Jack N. Green', 'Cinematographer'], ['Jeff Gourson', 'Editor'], ['Teddy Castellucci', 'Composer'], ['Michael Dilbeck', 'Music Supervisor'], ['Alan Au', 'Production Designer'], ['Domenic Silvestri', 'Art Director'], ['James R. Bayliss', 'Set Designer'], ['Martha Johnston', 'Set Designer'], ['Robert Greenfield', 'Set Decorator'], ['Ellen Lutter', 'Costume Designer'], ['David Kelson', 'Sound Mixer'], ['Elmo Weber', 'Supervising Sound Editor'], ['Kevin Grady', 'Associate Producer'], ['John E. Hockridge', 'Assistant Director'], ['James D. Bissell', 'Second Unit Director'], ['Roger Mussenden', 'Casting Director']]","$39,852,237 (33.0% of total gross)",3.03 (domestic box office/biggest weekend),61.5% (domestic box office/worldwide),"3,591 opening theaters/3,612 max. theaters, 6.3 weeks average run per theater","$178,345,175","$75,000,000 (worldwide box office is 2.6 times production budget)","February 13th, 2004 (Wide) by Sony Pictures",PG-13 for crude sexual humor and drug references,vs. Just Go With ItCreate your own comparison chart…,Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,96 minutes,"Mental Illness, Faulty Memory, Romance",United States,English,"March 25th, 2004 (Wide) (Australia)
April 15th, 2004 (Wide) (South Korea)
","June 15th, 2004 by Sony Pictures Home Entertainment",Happy Madison,,"$120,776,832","$75,543,497","$196,320,329",,
19,https://www.the-numbers.com/movie/Monsieur-Ibrahim,[],"[['François Dupeyron', 'Director']]","$53,174 (1.9% of total gross)",11.67 (domestic box office/biggest weekend),29.5% (domestic box office/worldwide),"7 opening theaters/92 max. theaters, 10.6 weeks average run per theater","$4,170,599",,"February 13th, 2004 (Limited) by Sony Pictures Classics",R,Create your own comparison chart…,Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,96 minutes,Foreign Language,France,"French, Turkish","May 20th, 2004 (Wide), released as Monsieur Ibrahim and thé Flowers of the Koran (Australia)
",,,,"$2,824,365","$6,739,202","$9,563,567",,
20,https://www.the-numbers.com/movie/Passion-of-the-Christ-The,"['Monica Bellucci', 'Maia Morgenstern', 'Sergio Rubini', 'James Caviezel']","[['Mel Gibson', 'Director'], ['Benedict Fitzgerald', 'Screenwriter'], ['Mel Gibson', 'Screenwriter'], ['Bruce Davey', 'Producer'], ['Stephen McEveety', 'Producer'], ['Mel Gibson', 'Producer'], ['Enzo Sisti', 'Executive Producer'], ['Caleb Deschanel', 'Director of Photography'], ['Francesco Frigeri', 'Production Designer'], ['John Wright', 'Editor'], ['Maurizio Millenotti', 'Costume Designer'], ['John Debney', 'Composer'], ['Shaila Rubin', 'Casting Director']]","$83,848,082 (22.6% of total gross)",4.42 (domestic box office/biggest weekend),59.6% (domestic box office/worldwide),"3,043 opening theaters/3,408 max. theaters, 10.5 weeks average run per theater","$547,493,401","$25,000,000 (worldwide box office is 24.9 times production budget)","February 25th, 2004 (Wide) by Newmarket FilmsMarch 11th, 2005 (Limited) by Newmarket Films",R for sequences of graphic violence.,vs. DeadpoolCreate your own comparison chart…,Based on Religious Text,Drama,Live Action,Dramatization,127 minutes,"Religious, Dead Language, Faith-Based Film, Faith-Based Drama, Filmed in Cinecittà Studios, Rome, Italy, Filmed in Rome, Italy, Filmed in Italy, Filmed in Matera, Italy, Filmed in Craco, Italy",United States,"Aramaic, Latin","February 19th, 2004 (Wide) (Australia)
April 2nd, 2004 (Wide), released as The Passion Of Christ (South Korea)
March 25th, 2021 (Wide) (New Zealand)
","August 31st, 2004 by Fox Home Entertainment","Icon Productions, Newmarket Films",,"$370,782,930","$251,530,705","$622,313,635",,
21,https://www.the-numbers.com/movie/Against-the-Ropes,[],"[['Charles S. Dutton', 'Director'], ['Michael Kamen', 'Composer']]","$3,038,546 (51.7% of total gross)",1.94 (domestic box office/biggest weekend),91.5% (domestic box office/worldwide),"1,601 opening theaters/1,601 max. theaters, 2.8 weeks average run per theater","$9,897,216","$39,000,000 (worldwide box office is 0.2 times production budget)","February 20th, 2004 (Wide) by Paramount Pictures","PG-13 for crude language, violence, brief sensuality and some drug material",vs. Taking WoodstockCreate your own comparison chart…,Based on Real Life Events,Drama,Live Action,Dramatization,111 minutes,"Boxing, Sports Drama, Woman in a Male Dominated Profession, Addiction, Underdog, 1970s, Epilogue, Intertitle","Germany, United States",English,"August 5th, 2004 (Wide) (Australia)
",,,,"$5,881,504","$548,361","$6,429,865",,
22,https://www.the-numbers.com/movie/Confessions-of-a-Teenage-Drama-Queen,"['Adam Garcia', 'Glenne Headly', 'Alison Pill', 'Carol Kane', 'Lindsay Lohan']","[['Sara Sugarman', 'Director'], ['Gail Parent', 'Screenwriter'], ['Mark Mothersbaugh', 'Composer']]","$9,350,572 (31.9% of total gross)",3.14 (domestic box office/biggest weekend),88.6% (domestic box office/worldwide),"2,503 opening theaters/2,503 max. theaters, 4.8 weeks average run per theater","$43,311,735","$15,000,000 (worldwide box office is 2.2 times production budget)","February 20th, 2004 (Wide) by Walt Disney",PG for mild thematic elements and brief language.,vs. Mean GirlsCreate your own comparison chart…,Based on Fiction Book/Short Story,Comedy,Live Action,Contemporary Fiction,89 minutes,"Tween, Family Comedy, New Guy/Girl in School, Set in New Jersey, High School, F-Rated","Germany, United States",English,"April 8th, 2004 (Limited) (Australia)
","July 20th, 2004 by Walt Disney Home Entertainment",,,"$29,331,068","$3,787,786","$33,118,854",,
