,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Theater counts:,Infl. Adj. Dom. BO,Production Budget:,Domestic Releases:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,International Releases:,Languages:,Video Release:,Franchise:,Production/Financing Companies:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
28,https://www.the-numbers.com/movie/Candyman-Farewell-to-Flesh-(1995),[],"[['Bill Condon', 'Director'], ['Clive Barker', 'Story by'], ['Clive Barker', 'Executive Producer']]","$6,046,825 (43.5% of total gross)",2.30 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,605 opening theaters/1,605 max. theaters, 3.7 weeks average run per theater","$29,336,967",,"March 17th, 1995 (Wide) by Gramercy","R for violence and gore, and for some sexuality and language.",95 minutes,vs. CandymanCreate your own comparison chart…,"Supernatural, Slasher Horror",Original Screenplay,Horror,Live Action,Contemporary Fiction,,,,,Candyman,,"$13,916,665",,,,
29,https://www.the-numbers.com/movie/Losing-Isaiah,"['David Strathairn', 'Cuba Gooding, Jr.', 'Samuel L. Jackson', 'Jessica Lange', 'Halle Berry']","[['Stephen Gyllenhaal', 'Director'], ['Naomi Foner', 'Screenwriter'], ['Howard W. Koch', 'Producer'], ['Naomi Foner', 'Producer'], ['Andrzej Bartkowiak', 'Director of Photography'], ['Jeannine Oppewall', 'Production Designer'], ['Harvey Rosenstock', 'Editor'], ['Mark Isham', 'Composer'], ['Seth Margolis', 'Story Creator'], ['Mary Malin', 'Costume Designer']]","$2,520,972 (33.3% of total gross)",3.00 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"912 opening theaters/912 max. theaters, 4.4 weeks average run per theater","$15,946,538",,"March 17th, 1995 (Wide) by Paramount Pictures",R for drug related material and brief strong language,108 minutes,Create your own comparison chart…,"Family Drama, Addiction, Narcotics, Abandoned Child, Social Worker, Adopted Family, Rehab / Former Addict, Dysfunctional Family",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,United States,,English,"September 9th, 2003 by Paramount Home Video",,Howard W. Koch,"$7,564,608",,,,
30,https://www.the-numbers.com/movie/Dolores-Claiborne,[],"[['Taylor Hackford', 'Director'], ['Tony Gilroy', 'Screenwriter'], ['Danny Elfman', 'Composer']]","$5,721,920 (23.6% of total gross)",4.24 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,216 opening theaters/1,256 max. theaters, 7.3 weeks average run per theater","$51,145,813",,"March 24th, 1995 (Wide) by Sony Pictures",R for language and domestic abuse,131 minutes,vs. Sleeping with the EnemyCreate your own comparison chart…,"Psychological Thriller, Dysfunctional Family, Prologue, 1990s, 1970s, Child Abuse, Sex Crimes, Pedophilia, Killing in Self Defence, Single Parent, Money Troubles, Addiction, Faulty Memory",Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Contemporary Fiction,,,,,,Castle Rock Entertainment,"$24,262,193",,,,
31,https://www.the-numbers.com/movie/Major-Payne,[],"[['Nick Castle', 'Director']]","$7,011,225 (23.8% of total gross)",4.19 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,989 opening theaters/1,991 max. theaters, 7.1 weeks average run per theater","$62,001,946",,"March 24th, 1995 (Wide) by Universal",PG-13 for some crude humor and behavior,95 minutes,vs. Major League IICreate your own comparison chart…,"Farcical / Slapstick Comedy, Military Life, Romance, Bad Teachers, Returning Soldiers, Dysfunctional Family, Step-Family, Adopted Family, Screenplay Written By the Star, Remake",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,,,"February 20th, 1996 by Universal Home Entertainment",,,"$29,412,050",,,,
32,https://www.the-numbers.com/movie/Tall-Tale,[],"[['Jeremiah Chechik', 'Director']]","$3,046,181 (36.9% of total gross)",2.71 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"2,065 opening theaters/2,065 max. theaters, 3.4 weeks average run per theater","$17,386,375",,"March 24th, 1995 (Wide) by Walt Disney",PG for western action violence,98 minutes,vs. The Santa ClauseCreate your own comparison chart…,,Original Screenplay,Western,Live Action,Kids Fiction,United States,,,,,,"$8,247,627",,,,
33,https://www.the-numbers.com/movie/Tommy-Boy,"['Bo Derek', 'Brian Dennehy', 'Chris Farley', 'David Spade']","[['Peter Segal', 'Director'], ['Lorne Michaels', 'Producer'], ['Bonnie Turner', 'Screenwriter'], ['Terry Turner', 'Screenwriter'], ['Fred Wolf', 'Screenwriter'], ['Robert K. Weiss', 'Executive Producer'], ['Victor J. Kemper', 'Director of Photography'], ['Stephen Lineweaver', 'Production Designer'], ['Barnaby Thompson', 'Co-Producer'], ['Michael Ewing', 'Associate Producer'], ['David Newman', 'Composer'], ['G. Marq Roswell', 'Music Supervisor']]","$8,027,843 (24.6% of total gross)",4.07 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"2,165 opening theaters/2,186 max. theaters, 6.7 weeks average run per theater","$68,824,903",,"March 31st, 1995 (Wide) by Paramount Pictures","PG-13 for sex-related humor, some drug content and nudity",95 minutes,vs. Black SheepCreate your own comparison chart…,"Buddy Comedy, Father’s Footsteps, Inheritance, Young Child Dealing with the Death of a Parent, Confidence Men, Romance, Faked Romance, False Identity, Professional Rivalry, Corporate Malfeasance",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,,English,"February 7th, 2017 by Paramount Home Video",,"Paramount Pictures, Lorne Michaels","$32,648,673",,,,
34,https://www.the-numbers.com/movie/Bad-Boys,"['Tcheky Karyo', 'Theresa Randle', 'Joe Pantoliano', 'Martin Lawrence', 'Will Smith', 'Téa Leoni']","[['Michael Bay', 'Director'], ['Michael Barrie', 'Screenwriter'], ['Jim Mulholland', 'Screenwriter'], ['Doug Richardson', 'Screenwriter'], ['Don Simpson', 'Producer'], ['Jerry Bruckheimer', 'Producer'], ['Lucas Foster', 'Executive Producer'], ['Mark Mancina', 'Composer'], ['Michael Dilbeck', 'Music Supervisor'], ['Happy Walters', 'Music Supervisor'], ['Christian Wagner', 'Editor'], ['John Vallone', 'Production Designer'], ['Howard Atherton', 'Director of Photography'], ['George Gallo', 'Story Creator']]","$15,523,358 (23.6% of total gross)",4.23 (domestic box office/biggest weekend),46.5% (domestic box office/worldwide),"2,132 opening theaters/2,132 max. theaters, 8.6 weeks average run per theater","$138,387,762","$23,000,000 (worldwide box office is 6.1 times production budget)","April 7th, 1995 (Wide) by Sony Pictures",R for intense violent action and pervasive strong language,106 minutes,vs. Bad Boys IICreate your own comparison chart…,"Buddy Cop, Buddy Comedy, African Americans",Original Screenplay,Action,Live Action,Contemporary Fiction,United States,,,"May 7th, 2002 by Sony Pictures Home Entertainment",Bad Boys,"Columbia Pictures, Don Simpson, Jerry Bruckheimer","$65,647,413","$75,600,000","$141,247,413",,
35,https://www.the-numbers.com/movie/Don-Juan-DeMarco,"['Rachel Ticotin', 'Bob Dishy', 'Géraldine Pailhas', 'Marlon Brando', 'Johnny Depp', 'Faye Dunaway']","[['Jeremy Leven', 'Director'], ['Jeremy Leven', 'Screenwriter'], ['Francis Ford Coppola', 'Producer'], ['Fred Fuchs', 'Producer'], ['Patrick Palmer', 'Producer'], ['Ruth Vitale', 'Executive Producer'], ['Michael De Luca', 'Executive Producer'], ['Robert Newmyer', 'Co-Executive Producer'], ['Brian Reilly', 'Co-Executive Producer'], ['Jeffrey Silver', 'Co-Executive Producer'], ['Ralf Bode', 'Director of Photography'], ['Sharon Seymour', 'Production Designer'], ['Tony Gibbs', 'Film Editor'], ['Kirsten Everbergv', 'Costume Designer'], ['Michael Kamen', 'Music by'], ['Lynn Kressel', 'Casting by'], ['Michael Kamen', 'Words and Music']]","$4,556,274 (20.7% of total gross)",4.84 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,110 opening theaters/1,226 max. theaters, 7.6 weeks average run per theater","$46,445,802","$25,000,000 (worldwide box office is 0.9 times production budget)","April 7th, 1995 (Wide) by New Line",PG-13 for sexual content.,92 minutes,vs. The GamblerCreate your own comparison chart…,"Romantic Drama, Mental Illness, Therapists / Therapy, Romance, Mental Hospital, One Last Job, Retirement",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,United States,,"English, Spanish",,,"New Line Cinema, American Zoetrope","$22,032,635",,,,
36,https://www.the-numbers.com/movie/Goofy-Movie-A,[],"[['Kevin Lima', 'Director'], ['Brian Pimental', 'Screenwriter'], ['Chris Matheson', 'Screenwriter'], ['Jymn Magon', 'Screenwriter'], ['Dan Rounds', 'Producer'], ['Carter Burwell', 'Composer']]","$6,129,557 (17.3% of total gross)",5.76 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"2,159 opening theaters/2,176 max. theaters, 7.9 weeks average run per theater","$74,490,835",,"April 7th, 1995 (Wide) by Walt Disney",G,78 minutes,vs. Finding NemoCreate your own comparison chart…,,Based on Short Film,Adventure,Hand Animation,Kids Fiction,,,English,"June 20th, 2000 by Walt Disney Home Entertainment",,,"$35,336,439",,,,
37,https://www.the-numbers.com/movie/Rob-Roy,"['John Hurt', 'Tim Roth', 'Eric Stoltz', 'Brian Cox', 'Liam Neeson', 'Jessica Lange']","[['Michael Caton-Jones', 'Director'], ['Peter Broughan', 'Producer'], ['Richard Jackson', 'Producer'], ['Alan Sharp', 'Screenwriter'], ['Michael Caton-Jones', 'Executive Producer'], ['Karl Walter Lindenlaub', 'Director of Photography'], ['Assheton Gorton', 'Production Designer'], ['Peter Honess', 'Editor'], ['Sandy Powell', 'Costume Designer'], ['Larry DeWaay', 'Co-Producer'], ['Carter Burwell', 'Composer']]","$2,023,272 (6.4% of total gross)",4.37 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"133 opening theaters/1,885 max. theaters, 5.9 weeks average run per theater","$66,172,792","$28,000,000 (worldwide box office is 1.1 times production budget)","April 7th, 1995 (Wide) by MGM",R for violence and sexuality,139 minutes,vs. Cry FreedomCreate your own comparison chart…,"Biography, 1700s, Historical Drama, Set in Scotland, Sex Crimes",Based on Real Life Events,Drama,Live Action,Dramatization,United States,,English,,,United Artists,"$31,390,587",,,,
