,id,date,rank,gross,pct_change,theaters,per_theater,total_gross,kind,kind_num,pct_lw
0,https://www.the-numbers.com/movie/Hairspray-(1988)/United-Kingdom#tab=box-office,2023/06/09,-,"$2,901", ,59,$49,"  $2,901",weekend,1,
0,https://www.the-numbers.com/movie/Hairspray-(1988)/United-Kingdom#tab=box-office,2023/06/09,-,"$2,901", ,59,$49,"  $2,901",weekend,1,
0,https://www.the-numbers.com/movie/Beetlejuice/Australia#tab=box-office,2020/08/07,-,"$1,222", ,2,$611,"  $568,720",weekend,"1,666",
0,https://www.the-numbers.com/movie/Beetlejuice/New-Zealand#tab=box-office,2023/03/17,-,$421, ,1,$421,  $421,weekend,125,
0,https://www.the-numbers.com/movie/Beetlejuice/United-Kingdom#tab=box-office,2018/10/26,-,"$43,382", ,100,$434,"  $43,382",weekend,1,
0,https://www.the-numbers.com/movie/Beetlejuice/Australia#tab=box-office,2020/08/07,-,"$1,222", ,2,$611,"  $568,720",weekend,"1,666",
0,https://www.the-numbers.com/movie/Beetlejuice/New-Zealand#tab=box-office,2023/03/17,-,$421, ,1,$421,  $421,weekend,125,
0,https://www.the-numbers.com/movie/Beetlejuice/United-Kingdom#tab=box-office,2018/10/26,-,"$43,382", ,100,$434,"  $43,382",weekend,1,
0,https://www.the-numbers.com/movie/Tonari-no-Totoro-(Japan)/Australia#tab=box-office,2020/09/25,34,"$2,409", ,5,$482,"  $46,515",weekend,1,
1,https://www.the-numbers.com/movie/Tonari-no-Totoro-(Japan)/Australia#tab=box-office,2020/10/09,-,"$1,002", ,3,$334,"  $38,796",weekend,3,
2,https://www.the-numbers.com/movie/Tonari-no-Totoro-(Japan)/Australia#tab=box-office,2020/12/04,-,$446, ,1,$446,  $446,weekend,11,
0,https://www.the-numbers.com/movie/Tonari-no-Totoro-(Japan)/China#tab=box-office,2018/12/14,2,"$12,940,000", ,"62,574",$207,"  $13,030,000",weekend,1,
1,https://www.the-numbers.com/movie/Tonari-no-Totoro-(Japan)/China#tab=box-office,2018/12/21,6,"$3,210,000",-75%,"18,422",$174,"  $20,080,000",weekend,2,
2,https://www.the-numbers.com/movie/Tonari-no-Totoro-(Japan)/China#tab=box-office,2018/12/28,8,"$880,000",-73%,"8,448",$104,"  $22,430,000",weekend,3,
0,https://www.the-numbers.com/movie/Tonari-no-Totoro-(Japan)/Czech-Republic#tab=box-office,2021/12/10,12,"$7,246", ,51,$142,"  $12,049",weekend,1,
1,https://www.the-numbers.com/movie/Tonari-no-Totoro-(Japan)/Czech-Republic#tab=box-office,2021/12/17,18,"$3,303",-54%,33,$100,"  $18,185",weekend,2,
2,https://www.the-numbers.com/movie/Tonari-no-Totoro-(Japan)/Czech-Republic#tab=box-office,2021/12/24,13,$854,-74%,4,$214,"  $21,487",weekend,3,
3,https://www.the-numbers.com/movie/Tonari-no-Totoro-(Japan)/Czech-Republic#tab=box-office,2021/12/31,19,"$1,265",+48%,12,$105,"  $23,694",weekend,4,
0,https://www.the-numbers.com/movie/Tonari-no-Totoro-(Japan)/Finland#tab=box-office,2022/01/28,20,$513, ,1,$513,"  $20,385",weekend,801,
0,https://www.the-numbers.com/movie/Tonari-no-Totoro-(Japan)/New-Zealand#tab=box-office,2020/06/26,-,$139, ,1,$139,  $139,weekend,5,
1,https://www.the-numbers.com/movie/Tonari-no-Totoro-(Japan)/New-Zealand#tab=box-office,2020/07/10,-,$30, ,1,$30,  $172,weekend,7,
2,https://www.the-numbers.com/movie/Tonari-no-Totoro-(Japan)/New-Zealand#tab=box-office,2020/09/25,-,$46, ,1,$46,  $445,weekend,18,
3,https://www.the-numbers.com/movie/Tonari-no-Totoro-(Japan)/New-Zealand#tab=box-office,2020/10/02,-,$10,-78%,1,$10,  $528,weekend,19,
4,https://www.the-numbers.com/movie/Tonari-no-Totoro-(Japan)/New-Zealand#tab=box-office,2020/12/11,-,$602, ,5,$120,  $602,weekend,29,
5,https://www.the-numbers.com/movie/Tonari-no-Totoro-(Japan)/New-Zealand#tab=box-office,2021/06/18,-,$243, ,1,$243,  $796,weekend,56,
0,https://www.the-numbers.com/movie/Tonari-no-Totoro-(Japan)/Russia-(CIS)#tab=box-office,2020/10/23,14,"$40,464", ,230,$176,"  $48,726",weekend,658,
1,https://www.the-numbers.com/movie/Tonari-no-Totoro-(Japan)/Russia-(CIS)#tab=box-office,2022/03/11,18,"$27,109", ,198,$137,"  $88,516",weekend,730,
0,https://www.the-numbers.com/movie/Tonari-no-Totoro-(Japan)/South-Korea#tab=box-office,2019/05/31,17,"$10,204", ,4,"$2,551","  $14,811",weekend,932,
1,https://www.the-numbers.com/movie/Tonari-no-Totoro-(Japan)/South-Korea#tab=box-office,2019/06/07,4,"$437,903","+4,191%",435,"$1,007","  $702,635",weekend,933,
2,https://www.the-numbers.com/movie/Tonari-no-Totoro-(Japan)/South-Korea#tab=box-office,2019/06/14,6,"$181,316",-59%,295,$615,"  $992,518",weekend,934,
3,https://www.the-numbers.com/movie/Tonari-no-Totoro-(Japan)/South-Korea#tab=box-office,2019/06/21,9,"$41,243",-77%,63,$655,"  $1,102,465",weekend,935,
4,https://www.the-numbers.com/movie/Tonari-no-Totoro-(Japan)/South-Korea#tab=box-office,2019/06/28,17,"$14,255",-65%,23,$620,"  $1,118,987",weekend,936,
5,https://www.the-numbers.com/movie/Tonari-no-Totoro-(Japan)/South-Korea#tab=box-office,2019/07/05,20,"$6,546",-54%,12,$546,"  $1,128,127",weekend,937,
0,https://www.the-numbers.com/movie/Tonari-no-Totoro-(Japan)/Spain#tab=box-office,2019/01/04,18,"$60,228", ,105,$574,"  $60,228",weekend,1,
