,territory,release_date,opening_wknd,opening_wknd_screens,max_screens,theatrical_engagements,total_bo,report_date,url,country_url,int_total,total_report_date
0,South Korea,12/24/1972,$0,0,1,2,"$13,672",3/9/2023,https://www.the-numbers.com/movie/Seven-Brides-for-Seven-Brothers,https://www.the-numbers.com/movie/Seven-Brides-for-Seven-Brothers/South-Korea#tab=box-office,"$13,672",3/9/2023
0,South Korea,12/24/1972,$0,0,1,2,"$13,672",3/9/2023,https://www.the-numbers.com/movie/Seven-Brides-for-Seven-Brothers,https://www.the-numbers.com/movie/Seven-Brides-for-Seven-Brothers/South-Korea#tab=box-office,"$13,672",3/9/2023
0,Australia,12/4/2020,$596,4,6,11,"$1,212",12/29/2020,https://www.the-numbers.com/movie/White-Christmas,https://www.the-numbers.com/movie/White-Christmas/Australia#tab=box-office,"$1,212",12/29/2020
0,Australia,12/4/2020,$596,4,6,11,"$1,212",12/29/2020,https://www.the-numbers.com/movie/White-Christmas,https://www.the-numbers.com/movie/White-Christmas/Australia#tab=box-office,"$1,212",12/29/2020
0,New Zealand,6/11/2021,$108,1,1,1,$108,6/8/2021,https://www.the-numbers.com/movie/Dial-M-for-Murder-(1954),https://www.the-numbers.com/movie/Dial-M-for-Murder-(1954)/New-Zealand#tab=box-office,$108,6/8/2021
0,New Zealand,6/11/2021,$108,1,1,1,$108,6/8/2021,https://www.the-numbers.com/movie/Dial-M-for-Murder-(1954),https://www.the-numbers.com/movie/Dial-M-for-Murder-(1954)/New-Zealand#tab=box-office,$108,6/8/2021
0,South Korea,2/18/1977,$0,0,1,3,"$12,630",6/17/2021,https://www.the-numbers.com/movie/Demetrius-and-the-Gladiators,https://www.the-numbers.com/movie/Demetrius-and-the-Gladiators/South-Korea#tab=box-office,"$12,630",6/17/2021
0,South Korea,2/18/1977,$0,0,1,3,"$12,630",6/17/2021,https://www.the-numbers.com/movie/Demetrius-and-the-Gladiators,https://www.the-numbers.com/movie/Demetrius-and-the-Gladiators/South-Korea#tab=box-office,"$12,630",6/17/2021
0,Australia,11/10/2000,$0,0,3,9,"$30,515",1/15/2021,https://www.the-numbers.com/movie/Rear-Window,https://www.the-numbers.com/movie/Rear-Window/Australia#tab=box-office,"$33,188",5/8/2023
1,New Zealand,10/15/2020,$0,0,1,5,$971,5/8/2023,https://www.the-numbers.com/movie/Rear-Window,https://www.the-numbers.com/movie/Rear-Window/New-Zealand#tab=box-office,"$33,188",5/8/2023
2,Portugal,2/23/2023,$888,1,1,2,"$1,702",3/7/2023,https://www.the-numbers.com/movie/Rear-Window,https://www.the-numbers.com/movie/Rear-Window/Portugal#tab=box-office,"$33,188",5/8/2023
0,Australia,11/10/2000,$0,0,3,9,"$30,515",1/15/2021,https://www.the-numbers.com/movie/Rear-Window,https://www.the-numbers.com/movie/Rear-Window/Australia#tab=box-office,"$33,188",5/8/2023
1,New Zealand,10/15/2020,$0,0,1,5,$971,5/8/2023,https://www.the-numbers.com/movie/Rear-Window,https://www.the-numbers.com/movie/Rear-Window/New-Zealand#tab=box-office,"$33,188",5/8/2023
2,Portugal,2/23/2023,$888,1,1,2,"$1,702",3/7/2023,https://www.the-numbers.com/movie/Rear-Window,https://www.the-numbers.com/movie/Rear-Window/Portugal#tab=box-office,"$33,188",5/8/2023
0,South Korea,2/13/1971,$0,0,1,1,"$20,061",12/22/2020,https://www.the-numbers.com/movie/Vera-Cruz,https://www.the-numbers.com/movie/Vera-Cruz/South-Korea#tab=box-office,"$20,061",12/22/2020
0,South Korea,2/13/1971,$0,0,1,1,"$20,061",12/22/2020,https://www.the-numbers.com/movie/Vera-Cruz,https://www.the-numbers.com/movie/Vera-Cruz/South-Korea#tab=box-office,"$20,061",12/22/2020
