,territory,release_date,opening_wknd,opening_wknd_screens,max_screens,theatrical_engagements,total_bo,report_date,url,country_url,int_total,total_report_date
0,Australia,8/29/2002,$0,0,0,0,$0,,https://www.the-numbers.com/movie/Orange-County,https://www.the-numbers.com/movie/Orange-County/Australia#tab=box-office,"$2,248,991",
0,Australia,8/29/2002,$0,0,0,0,$0,,https://www.the-numbers.com/movie/Orange-County,https://www.the-numbers.com/movie/Orange-County/Australia#tab=box-office,"$2,248,991",
0,South Korea,6/21/2002,$0,0,25,25,"$6,744",12/11/2018,https://www.the-numbers.com/movie/Walk-to-Remember-A,https://www.the-numbers.com/movie/Walk-to-Remember-A/South-Korea#tab=box-office,"$4,833,792",12/11/2018
1,Rest of World,,,,,,"$4,827,048",,https://www.the-numbers.com/movie/Walk-to-Remember-A,,"$4,833,792",12/11/2018
0,South Korea,6/21/2002,$0,0,25,25,"$6,744",12/11/2018,https://www.the-numbers.com/movie/Walk-to-Remember-A,https://www.the-numbers.com/movie/Walk-to-Remember-A/South-Korea#tab=box-office,"$4,833,792",12/11/2018
1,Rest of World,,,,,,"$4,827,048",,https://www.the-numbers.com/movie/Walk-to-Remember-A,,"$4,833,792",12/11/2018
0,Australia,3/7/2002,"$236,963",150,150,150,"$236,963",4/1/2020,https://www.the-numbers.com/movie/Rollerball,https://www.the-numbers.com/movie/Rollerball/Australia#tab=box-office,"$6,861,966",4/1/2020
1,Rest of World,,,,,,"$6,625,003",,https://www.the-numbers.com/movie/Rollerball,,"$6,861,966",4/1/2020
0,Australia,3/7/2002,"$236,963",150,150,150,"$236,963",4/1/2020,https://www.the-numbers.com/movie/Rollerball,https://www.the-numbers.com/movie/Rollerball/Australia#tab=box-office,"$6,861,966",4/1/2020
1,Rest of World,,,,,,"$6,625,003",,https://www.the-numbers.com/movie/Rollerball,,"$6,861,966",4/1/2020
0,Australia,8/1/2002,$0,0,134,134,"$253,620",4/1/2020,https://www.the-numbers.com/movie/Dragonfly,https://www.the-numbers.com/movie/Dragonfly/Australia#tab=box-office,"$253,620",4/1/2020
0,Australia,8/1/2002,$0,0,134,134,"$253,620",4/1/2020,https://www.the-numbers.com/movie/Dragonfly,https://www.the-numbers.com/movie/Dragonfly/Australia#tab=box-office,"$253,620",4/1/2020
0,Australia,3/21/2002,"$1,388,253",298,298,298,"$1,388,253",4/1/2020,https://www.the-numbers.com/movie/Ice-Age,https://www.the-numbers.com/movie/Ice-Age/Australia#tab=box-office,"$209,728,938",4/1/2020
1,Rest of World,,,,,,"$208,340,685",,https://www.the-numbers.com/movie/Ice-Age,,"$209,728,938",4/1/2020
0,Australia,3/21/2002,"$1,388,253",298,298,298,"$1,388,253",4/1/2020,https://www.the-numbers.com/movie/Ice-Age,https://www.the-numbers.com/movie/Ice-Age/Australia#tab=box-office,"$209,728,938",4/1/2020
1,Rest of World,,,,,,"$208,340,685",,https://www.the-numbers.com/movie/Ice-Age,,"$209,728,938",4/1/2020
0,Australia,11/5/2020,$419,1,1,1,$0,11/13/2020,https://www.the-numbers.com/movie/Panic-Room,https://www.the-numbers.com/movie/Panic-Room/Australia#tab=box-office,"$101,000,000",11/13/2020
0,Australia,11/5/2020,$419,1,1,1,$0,11/13/2020,https://www.the-numbers.com/movie/Panic-Room,https://www.the-numbers.com/movie/Panic-Room/Australia#tab=box-office,"$101,000,000",11/13/2020
0,Australia,10/31/2002,"$39,748",34,34,34,"$39,748",4/9/2020,https://www.the-numbers.com/movie/Rookie-The-(2002),https://www.the-numbers.com/movie/Rookie-The-(2002)/Australia#tab=box-office,"$4,891,444",4/9/2020
1,Rest of World,,,,,,"$4,851,696",,https://www.the-numbers.com/movie/Rookie-The-(2002),,"$4,891,444",4/9/2020
0,Australia,10/31/2002,"$39,748",34,34,34,"$39,748",4/9/2020,https://www.the-numbers.com/movie/Rookie-The-(2002),https://www.the-numbers.com/movie/Rookie-The-(2002)/Australia#tab=box-office,"$4,891,444",4/9/2020
