,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Production Budget:,Theater counts:,Infl. Adj. Dom. BO,Domestic Releases:,Video Release:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production/Financing Companies:,Production Countries:,Languages:,International Releases:,Franchise:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic DVD Sales,Total Est. Domestic Video Sales,Est. Domestic Blu-ray Sales
91,https://www.the-numbers.com/movie/Sa-Som-i-Himmelen-(2004),[],"[['Kay Pollack', 'Director']]","$2,402 (23.5% of total gross)",4.26 (domestic box office/biggest weekend),0.0% (domestic box office/worldwide),,"1 opening theaters/1 max. theaters, 3.0 weeks average run per theater","$13,067","May 2nd, 2008 (Limited) by Vitagraph Films, released as As It Is in Heaven",,Not Rated,,vs. Snow White and the HuntsmanCreate your own comparison chart…,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,,Sweden,Swedish,,,"$10,236","$36,022,358","$36,032,594",,,
92,https://www.the-numbers.com/movie/Son-of-Rambow-A-Home-Movie,[],[],"$53,789 (3.0% of total gross)",7.40 (domestic box office/biggest weekend),15.9% (domestic box office/worldwide),"$2,000,000 (worldwide box office is 5.6 times production budget)","5 opening theaters/155 max. theaters, 7.0 weeks average run per theater","$2,280,377","May 2nd, 2008 (Limited) by Paramount Vantage","August 26th, 2008 by Paramount Home Video, released as Son of Rambow",PG-13 for some violence and reckless behavior.,95 minutes,vs. The Grand Budapest HotelCreate your own comparison chart…,"Coming of Age, Movie Business",Original Screenplay,Comedy,Live Action,Historical Fiction,"Paramount Vantage, Celluloid Dreams, Good Film Productions, Arte France Cinema, Network Movie, Soficinema 2, Soficinema 3, Hammer & Tongs","France, United Kingdom",English,,,"$1,785,505","$9,477,758","$11,263,263",,,
93,https://www.the-numbers.com/movie/Bhoothnath,[],"[['Vivek Sharma', 'Director']]","$330,246 (73.4% of total gross)",1.36 (domestic box office/biggest weekend),3.9% (domestic box office/worldwide),,"64 opening theaters/64 max. theaters, 2.0 weeks average run per theater","$574,427","May 9th, 2008 (Limited) by Eros Entertainment",,Not Rated,,Create your own comparison chart…,"Bollywood, Foreign Language",Original Screenplay,Drama,Live Action,Fantasy,,India,Hindi,,Bhoothnath,"$449,776","$11,083,019","$11,532,795",,,
94,https://www.the-numbers.com/movie/Fall-The-(2008),[],"[['Tarsem Singh', 'Director']]","$79,611 (3.5% of total gross)",6.61 (domestic box office/biggest weekend),88.4% (domestic box office/worldwide),,"9 opening theaters/111 max. theaters, 6.9 weeks average run per theater","$2,912,364","May 9th, 2008 (Limited) by Roadside Attractions","September 9th, 2008 by Sony Pictures Home Entertainment, released as Fall, The",R for some violent images.,117 minutes,vs. The Dark KnightCreate your own comparison chart…,,Remake,Drama,Live Action,Fantasy,,United States,English,,,"$2,280,348","$300,000","$2,580,348","$3,856,348","$3,856,348",
95,https://www.the-numbers.com/movie/OSS-117-Le-Caire-nid-d-espions-(France)-(2006),[],"[['Michel Hazanavicius', 'Director']]","$31,418 (10.4% of total gross)",9.65 (domestic box office/biggest weekend),1.3% (domestic box office/worldwide),,"9 opening theaters/13 max. theaters, 14.5 weeks average run per theater","$387,396","May 9th, 2008 (Exclusive) by Music Box Films, released as OSS 117May 7th, 2010 (Limited) by Music Box Films, released as OSS 117",,Not Rated,99 minutes,Create your own comparison chart…,Secret Agent,,Action,Live Action,Contemporary Fiction,,France,"Arabic, French, German","July 1st, 2021 (Wide), released as Agente speciale 117 al servizio della Repubblica — Missione Cairo (Italy)
",OSS 117,"$303,328","$23,423,032","$23,726,360",,,
96,https://www.the-numbers.com/movie/Speed-Racer,"['Christina Ricci', 'John Goodman', 'Susan Sarandon', 'Matthew Fox', 'Benno Furmann', 'Hiroyuki Sanada', 'Rain*', 'Richard Roundtree', 'Emile Hirsch']","[['The Wachowski Brothers*', 'Director'], ['The Wachowski Brothers*', 'Director'], ['The Wachowski Brothers*', 'Screenwriter'], ['The Wachowski Brothers*', 'Screenwriter'], ['Joel Silver', 'Producer'], ['Grant Hill', 'Producer'], ['Andy Wachowski', 'Producer'], ['Larry Wachowski*', 'Producer'], ['David Lane Seltzer', 'Executive Producer'], ['Michael Lambert', 'Executive Producer'], ['Bruce Berman', 'Executive Producer'], ['David Tattersall', 'Director of Photography'], ['Owen Paterson', 'Production Designer'], ['Zach Staenberg', 'Editor'], ['Roger Barton', 'Editor'], ['Kym Barrett', 'Costume Designer'], ['Michael Giacchino', 'Composer']]","$18,561,337 (42.2% of total gross)",2.37 (domestic box office/biggest weekend),47.1% (domestic box office/worldwide),"$120,000,000 (worldwide box office is 0.8 times production budget)","3,606 opening theaters/3,606 max. theaters, 4.1 weeks average run per theater","$56,125,719","May 9th, 2008 (Wide) by Warner Bros.May 9th, 2008 (IMAX) by Warner Bros.","September 16th, 2008 by Warner Home Video","PG for sequences of action, some violence, language and brief smoking",135 minutes,vs. Tron: LegacyCreate your own comparison chart…,"Live Action Cartoon, Visual Effects, Auto Racing, IMAX: DMR, Digital Cinematography",Based on TV,Action,Live Action,Science Fiction,Warner Bros.,United States,English,,,"$43,945,766","$49,448,696","$93,394,462","$14,908,240","$14,908,240",
97,https://www.the-numbers.com/movie/What-Happens-in-Vegas,"['Rob Corddry', 'Lake Bell', 'Jason Sudeikis', 'Treat Williams', ""Deirdre O'Connell"", 'Michelle Krusiec', 'Dennis Farina', 'Zach Galifianakis', 'Queen Latifah', 'Dennis Miller', 'Cameron Diaz', 'Ashton Kutcher']","[['Tom Vaughan', 'Director'], ['Dana Fox', 'Screenwriter'], ['Michael Aguilar', 'Producer'], ['Shawn Levy', 'Producer'], ['Jimmy Miller', 'Producer'], ['Arnon Milchan', 'Executive Producer'], ['Joe Caracciolo, Jr.', 'Executive Producer'], ['Dean Georgaris', 'Executive Producer']]","$20,172,474 (25.1% of total gross)",3.98 (domestic box office/biggest weekend),36.7% (domestic box office/worldwide),"$35,000,000 (worldwide box office is 6.2 times production budget)","3,215 opening theaters/3,255 max. theaters, 5.9 weeks average run per theater","$102,527,303","May 3rd, 2008 (Sneak Peek) by 20th Century FoxMay 9th, 2008 (Wide) by 20th Century Fox","August 26th, 2008 by Fox Home Entertainment, released as What Happens in Vegas","PG-13 for some sexual and crude content, and language, including a drug reference",98 minutes,vs. Live Free or Die HardCreate your own comparison chart…,"Gambling, Romance, Epilogue, Black Out Drunk, Accidental Engagement or Marriage",Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,"20th Century Fox, Regency Enterprises, 21 Laps Entertainment, Mosaic Media",United States,English,,,"$80,277,646","$138,258,062","$218,535,708","$26,533,175","$26,533,175",
98,https://www.the-numbers.com/movie/Chronicles-of-Narnia-Prince-Caspian-The,"['Georgie Henley', 'Skandar Keynes', 'William Moseley', 'Anna Popplewell']","[['Andrew Adamson', 'Director'], ['Andrew Adamson', 'Screenwriter'], ['Christopher Markus', 'Screenwriter'], ['Stephen McFeely', 'Screenwriter'], ['Mark Johnson', 'Producer'], ['Andrew Adamson', 'Producer'], ['Philip Steuer', 'Producer'], ['Perry Moore', 'Executive Producer'], ['Douglas Gresham', 'Co-Producer'], ['Carl Walter Lindenlaub', 'Director of Photography'], ['Roger Ford', 'Production Designer'], ['Sim Evan-Jones', 'Editor'], ['Dean Wright', 'Visual Effects Supervisor'], ['Wendy Rogers', 'Visual Effects Supervisor'], ['Isis Mussenden', 'Costume Designer'], ['Harry Gregson-Williams', 'Composer'], ['Tim Coddington', 'Unit Production Manager'], ['Philip Steuer', 'Unit Production Manager'], ['K.C. Hodenfield', 'First Assistant Director'], ['Jeff Okabayashi', 'Second Assistant Director']]","$55,034,805 (38.9% of total gross)",2.57 (domestic box office/biggest weekend),33.9% (domestic box office/worldwide),"$225,000,000 (worldwide box office is 1.9 times production budget)","3,929 opening theaters/3,929 max. theaters, 5.4 weeks average run per theater","$180,873,124","May 16th, 2008 (Wide) by Walt Disney","December 2nd, 2008 by Walt Disney Home Entertainment, released as Chronicles of Narnia: Prince Caspian, The",PG for epic battle action and violence.,144 minutes,"vs. The Chronicles of Narnia: The Lion, the Witch and the WardrobeCreate your own comparison chart…","Talking Animals, Visual Effects",Based on Fiction Book/Short Story,Adventure,Animation/Live Action,Fantasy,"Walt Disney Pictures, Walden Media, Mark Johnson, Silverbell Films",United States,English,,Chronicles of Narnia,"$141,621,490","$275,719,798","$417,341,288","$90,575,167","$90,575,167",
99,https://www.the-numbers.com/movie/Jannat,[],[],"$30,316 (100.0% of total gross)",1.00 (domestic box office/biggest weekend),0.5% (domestic box office/worldwide),,"14 opening theaters/14 max. theaters, 1.0 weeks average run per theater","$38,716","May 16th, 2008 (Limited) by Shemaroo Entertainment",,Not Rated,,Create your own comparison chart…,Miscellaneous Sports,Original Screenplay,Drama,Live Action,Contemporary Fiction,,India,,,,"$30,316","$6,604,366","$6,634,682",,,
100,https://www.the-numbers.com/movie/Auf-der-anderen-Seite,[],[],"$18,593 (2.5% of total gross)",13.63 (domestic box office/biggest weekend),3.9% (domestic box office/worldwide),,"1 opening theaters/20 max. theaters, 9.9 weeks average run per theater","$948,095","May 21st, 2008 (Limited) by Strand, released as The Edge of Heaven",,Not Rated,123 minutes,Create your own comparison chart…,,Original Screenplay,Drama,Live Action,Contemporary Fiction,,"Germany, Turkey","English, German, Turkish",,,"$742,349","$18,442,280","$19,184,629",,,
