,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Production Budget:,Theater counts:,Infl. Adj. Dom. BO,Domestic Releases:,International Releases:,Video Release:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,Franchise:,Production/Financing Companies:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic DVD Sales,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
162,https://www.the-numbers.com/movie/Rent,[],"[['Chris Columbus', 'Director']]","$10,016,021 (34.4% of total gross)",2.90 (domestic box office/biggest weekend),91.8% (domestic box office/worldwide),"$40,000,000 (worldwide box office is 0.8 times production budget)","2,433 opening theaters/2,437 max. theaters, 3.3 weeks average run per theater","$41,596,679","November 23rd, 2005 (Wide) by Sony Pictures",,"February 21st, 2006 by Sony Pictures Home Entertainment","PG-13 for mature thematic material involving drugs and sexuality, and for some strong language",135 minutes,vs. Star Wars Ep. III: Revenge of the SithCreate your own comparison chart…,"LGBTQ+, Christmas in November, Historical Battles",Based on Musical or Opera,Musical,Live Action,Historical Fiction,United States,English,,1492 Pictures,"$29,077,547","$2,593,073","$31,670,620","$31,562,700",,"$31,562,700"
163,https://www.the-numbers.com/movie/Syriana,"['Matt Damon', 'Jeffrey Wright', 'Chris Cooper', 'William Hurt', 'Tim Blake Nelson', 'Amanda Peet', 'Alexander Siddig', 'Christopher Plummer', 'Mazhar Munir', 'Greta Scacchi', 'George Clooney']","[['Stephen Gaghan', 'Director'], ['Stephen Gaghan', 'Screenwriter'], ['Jennifer Fox', 'Producer'], ['Michael Nozik', 'Producer'], ['Georgia Kacandes', 'Producer'], ['Robert Baer*', 'Story Creator'], ['George Clooney', 'Executive Producer'], ['Steven Soderbergh', 'Executive Producer'], ['Ben Cosgrove', 'Executive Producer'], ['Jeff Skoll', 'Executive Producer'], ['Robert Elswit', 'Director of Photography'], ['Dan Weil', 'Production Designer'], ['Tim Squyres', 'Editor'], ['Alexandre Desplat', 'Composer']]","$374,502 (0.7% of total gross)",4.33 (domestic box office/biggest weekend),54.8% (domestic box office/worldwide),"$50,000,000 (worldwide box office is 1.9 times production budget)","5 opening theaters/1,775 max. theaters, 7.4 weeks average run per theater","$72,307,990","November 23rd, 2005 (Limited) by Warner Bros.December 9th, 2005 (Expands Wide) by Warner Bros.",,"June 20th, 2006 by Warner Home Video",R for violence and language,127 minutes,vs. SicarioCreate your own comparison chart…,"Political Thriller, Government Corruption, Corporate Malfeasance, Royalty, Death of a Son or Daughter, Accidental Death, Arms Dealer, C.I.A., Demoted, Suicide Bomber, Terrorism",Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Contemporary Fiction,United States,English,,Participant Media,"$50,824,620","$41,866,339","$92,690,959","$15,433,276",,"$15,433,276"
164,https://www.the-numbers.com/movie/Yours-Mine-and-Ours-(2005),"['Rip Torn', 'Linda Hunt', 'Dennis Quaid', 'Rene Russo']","[['Raja Gosnell', 'Director'], ['Christophe Beck', 'Composer']]","$17,461,108 (32.7% of total gross)",3.06 (domestic box office/biggest weekend),73.7% (domestic box office/worldwide),"$45,000,000 (worldwide box office is 1.6 times production budget)","3,206 opening theaters/3,210 max. theaters, 5.3 weeks average run per theater","$76,255,162","November 23rd, 2005 (Wide) by Paramount Pictures",,"February 28th, 2006 by Paramount Home Video, released as Yours, Mine & Ours",PG for some mild crude humor.,88 minutes,vs. Here Comes the BoomCreate your own comparison chart…,"Unexpected Families, Dysfunctional Family, Family Comedy",Remake,Comedy,Live Action,Contemporary Fiction,United States,English,,"Paramount Pictures, Metro-Goldwyn-Mayer Pictures, Nickelodeon Films, Columbia Pictures","$53,359,917","$19,000,000","$72,359,917","$27,514,725",,"$27,514,725"
165,https://www.the-numbers.com/movie/Aeon-Flux,[],"[['Stephen Hopkins', 'Director'], ['Graeme Revell', 'Composer']]","$12,661,112 (49.0% of total gross)",2.04 (domestic box office/biggest weekend),48.0% (domestic box office/worldwide),"$55,000,000 (worldwide box office is 1.0 times production budget)","2,608 opening theaters/2,608 max. theaters, 3.6 weeks average run per theater","$42,123,501","December 2nd, 2005 (Wide) by Paramount Pictures",,"April 25th, 2006 by Paramount Home Video",PG-13 for sequences of violence and sexual content,92 minutes,vs. Death RaceCreate your own comparison chart…,"Visual Effects, Action Adventure, Dystopia, Cyberpunk, F-Rated, Femme Fatale, Secret Agent, Epidemic, Cloning, Secret Societies, Political, Government Corruption, Human Experimentation, Infertility, Surprise Twist, Research Scientist, Death of a Sibling",Based on TV,Action,Live Action,Science Fiction,United States,English,,"MTV Films, Lakeshore Entertainment","$25,857,987","$28,055,586","$53,913,573","$22,270,198",,"$22,270,198"
166,https://www.the-numbers.com/movie/Brokeback-Mountain,"['Linda Cardellini', 'Anna Faris', 'Anne Hathaway', 'Michelle Williams', 'Randy Quaid', 'Heath Ledger', 'Jake Gyllenhaal']","[['Ang Lee', 'Director'], ['Larry McMurtry', 'Screenwriter'], ['Annie Proulx', 'Story Creator'], ['Diana Ossana', 'Producer'], ['James Schamus', 'Producer'], ['William Pohlad*', 'Executive Producer'], ['Larry McMurtry', 'Executive Producer'], ['Michael Costigan', 'Executive Producer'], ['Michael Hausman', 'Executive Producer'], ['Avy Kaufman', 'Casting Director']]","$547,425 (0.7% of total gross)",11.18 (domestic box office/biggest weekend),46.9% (domestic box office/worldwide),"$13,900,000 (worldwide box office is 12.7 times production budget)","5 opening theaters/2,089 max. theaters, 7.1 weeks average run per theater","$116,685,508","December 9th, 2005 (Limited) by Focus Features","March 1st, 2006 (Wide) (South Korea)
","April 4th, 2006 by Universal Home Entertainment","R for sexuality, nudity, language and some violence. ",134 minutes,vs. CarolCreate your own comparison chart…,"LGBTQ+, Cowboys in Modern Times, Cowboys, Life on a Farm, Romance, Forbidden Romance, Romantic Drama, 2006 Oscars Best Picture Nominee",Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction,United States,English,,River Road Entertainment,"$83,043,761","$93,937,102","$176,980,863","$32,541,590",,"$32,541,590"
167,https://www.the-numbers.com/movie/Chronicles-of-Narnia-The-Lion-the-Witch-and-the-Wardrobe-The,"['James McAvoy', 'Jim Broadbent', 'Kiran Shah', 'James Cosmo', 'Judy McIntosh', 'Elizabeth Hawthorne', 'Georgie Henley', 'Skandar Keynes', 'William Moseley', 'Anna Popplewell', 'Tilda Swinton', 'Liam Neeson']","[['Andrew Adamson', 'Director'], ['C.S. Lewis', 'Story Creator'], ['Ann Peacock', 'Screenwriter'], ['Andrew Adamson', 'Screenwriter'], ['Christopher Markus', 'Screenwriter'], ['Stephen McFeely', 'Screenwriter'], ['Mark Johnson', 'Producer'], ['Andrew Adamson', 'Executive Producer'], ['Perry Moore', 'Executive Producer'], ['Donald M. McAlpine', 'Director of Photography'], ['Roger Ford', 'Production Designer'], ['Sim Evan-Jones', 'Editor'], ['Jim May', 'Editor'], ['Dean Wright', 'Visual Effects Supervisor'], ['Harry Gregson-Williams', 'Composer'], ['Douglas Gresham', 'Co-Producer'], ['Pippa Hall', 'Casting'], ['Gail Stevens', 'Casting'], ['Beth De Patie', 'Unit Production Manager'], ['Tim Coddington', 'Unit Production Manager'], ['Philip Steuer', 'Unit Production Manager'], ['K.C. Hodenfield', 'First Assistant Director'], ['Jeff Okabayashi', 'First Assistant Director']]","$65,556,312 (22.5% of total gross)",4.45 (domestic box office/biggest weekend),40.5% (domestic box office/worldwide),"$180,000,000 (worldwide box office is 4.0 times production budget)","3,616 opening theaters/3,853 max. theaters, 8.7 weeks average run per theater","$415,051,320","December 9th, 2005 (Wide) by Walt Disney",,"April 4th, 2006 by Walt Disney Home Entertainment",PG for battle sequences and frightening moments.,140 minutes,"Blockbusters, 2005Eragonvs. The Hobbit: An Unexpected JourneyCreate your own comparison chart…","Alternative Dimensions / Parallel universe, Talking Animals, Visual Effects, World War II",Based on Fiction Book/Short Story,Adventure,Animation/Live Action,Fantasy,"United Kingdom, United States",English,Chronicles of Narnia,"Walt Disney Pictures, Walden Media, Mark Johnson","$291,710,957","$428,828,615","$720,539,572","$369,989,283",,"$369,989,283"
168,https://www.the-numbers.com/movie/Memoirs-of-a-Geisha,[],"[['Rob Marshall', 'Director'], ['Robin Swicord', 'Screenwriter'], ['Arthur Golden', 'Story Creator'], ['Lucy Fisher', 'Producer'], ['Douglas Wick', 'Producer'], ['Steven Spielberg', 'Producer'], ['Roger Birnbaum', 'Executive Producer'], ['Gary Barber', 'Executive Producer'], ['Patricia Whitcher', 'Executive Producer'], ['Bobby Cohen', 'Executive Producer'], ['John Myhre', 'Production Designer'], ['Pietro Scalia', 'Editor'], ['John Williams', 'Composer'], ['Dion Beebe', 'Director of Photography']]","$682,504 (1.2% of total gross)",7.36 (domestic box office/biggest weekend),35.3% (domestic box office/worldwide),"$85,000,000 (worldwide box office is 1.9 times production budget)","8 opening theaters/1,654 max. theaters, 6.2 weeks average run per theater","$80,676,358","December 9th, 2005 (Exclusive) by Sony PicturesDecember 16th, 2005 (Limited) by Sony PicturesDecember 23rd, 2005 (Expands Wide) by Sony Pictures",,"March 28th, 2006 by Sony Pictures Home Entertainment",PG-13 for mature subject matter and some sexual content.,137 minutes,vs. Extremely Loud and Incredibly CloseCreate your own comparison chart…,"Coming of Age, Historical Drama, 1920s, 1930s, Set in Japan",Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction,United States,English,,"Columbia Pictures, DreamWorks Pictures, Spyglass Entertainment","$57,010,853","$104,500,000","$161,510,853","$32,900,200",,"$32,900,200"
169,https://www.the-numbers.com/movie/Mrs-Henderson-Presents,[],"[['Stephen Frears', 'Director'], ['Martin Sherman', 'Screenwriter'], ['George Fenton', 'Composer']]","$55,344 (0.5% of total gross)",10.62 (domestic box office/biggest weekend),39.6% (domestic box office/worldwide),"$20,000,000 (worldwide box office is 1.4 times production budget)","6 opening theaters/522 max. theaters, 6.8 weeks average run per theater","$15,463,811","December 9th, 2005 (Exclusive) by Weinstein Co.January 13th, 2006 (Exclusive) by Weinstein Co.February 3rd, 2006 (Expands Wide) by Weinstein Co.",,"April 18th, 2006 by Weinstein Co./Genius","R for sexual content, nudity, language and drug use",103 minutes,vs. The Grand Budapest HotelCreate your own comparison chart…,"Comedy Drama, Biography, Non-Drama Biographies, Theater, 1930s, World War II, Romance, Relationships Gone Wrong, Epilogue, Death of a Girlfriend / Boyfriend",Original Screenplay,Comedy,Live Action,Historical Fiction,United Kingdom,,,"Pathe Pictures, BBC Films, Future Films, Micro-Fusion, Weinstein Company, UK Film Council, Heyman-Hoskins Productions","$11,036,366","$16,800,000","$27,836,366","$5,839,947",,"$5,839,947"
170,https://www.the-numbers.com/movie/King-Kong-(2005),"['Naomi Watts', 'Jack Black', 'Adrien Brody', 'Thomas Kretschmann', 'Colin Hanks', 'Jamie Bell', 'Evan Dexter Parke', 'Kyle Chandler', 'Andy Serkis']","[['Peter Jackson', 'Director'], ['Peter Jackson', 'Screenwriter'], ['Fran Walsh', 'Screenwriter'], ['Edgar Wallace', 'Screenwriter'], ['Jan Blenkin', 'Producer'], ['Carolynne Cunningham', 'Producer'], ['Fran Walsh', 'Producer'], ['Peter Jackson', 'Producer'], ['Philippa Boyens', 'Producer'], ['Merian C. Cooper', 'Story Creator'], ['Barry Read', 'Set Designer']]","$50,130,145 (23.0% of total gross)",4.35 (domestic box office/biggest weekend),39.6% (domestic box office/worldwide),"$207,000,000 (worldwide box office is 2.7 times production budget)","3,568 opening theaters/3,627 max. theaters, 6.5 weeks average run per theater","$310,464,444","December 14th, 2005 (Wide) by Universal",,"March 28th, 2006 by Universal Home EntertainmentMarch 28th, 2006 by Universal Home Entertainment",PG-13 for frightening adventure violence and some disturbing images.,189 minutes,"Blockbusters, 2005vs. Kong: Skull IslandCreate your own comparison chart…","Animals Gone Bad, Creature Feature, Visual Effects, Motion Capture Performance, Action Adventure",Remake,Adventure,Animation/Live Action,Fantasy,"New Zealand, United States",English,King Kong,Wingnut Films,"$218,080,025","$332,437,332","$550,517,357","$142,384,959","$3,943,743","$146,328,702"
171,https://www.the-numbers.com/movie/Tres-entierros-de-Melquiades-Estrada-Los,[],"[['Tommy Lee Jones', 'Director'], ['Guillermo Arriaga', 'Screenwriter'], ['Marco Beltrami', 'Composer']]","$23,859 (0.5% of total gross)",4.78 (domestic box office/biggest weekend),37.4% (domestic box office/worldwide),"$15,000,000 (worldwide box office is 0.9 times production budget)","5 opening theaters/356 max. theaters, 5.8 weeks average run per theater","$7,039,717","December 14th, 2005 (Limited) by Sony Pictures Classics, released as The Three Burials of Melquiades Estrada",,"June 6th, 2006 by Sony Pictures Home Entertainment, released as Three Burials of Melquiades Estrada, The","R for language, violence and sexuality",121 minutes,vs. Brokeback MountainCreate your own comparison chart…,"Film Noir, Revisionist Western, Border Town, Border Agents, Corrupt Cops, Kidnap, Relationships Gone Wrong, Police Brutality, Non-Chronological",Original Screenplay,Western,Live Action,Historical Fiction,United States,,,,"$5,027,684","$8,426,790","$13,454,474","$6,811,432",,"$6,811,432"
