,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Production Budget:,Theater counts:,Infl. Adj. Dom. BO,Domestic Releases:,International Releases:,Video Release:,MPAA Rating:,Franchise:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,Running Time:,Production/Financing Companies:,Domestic Box Office,International Box Office,Worldwide Box Office
13,https://www.the-numbers.com/movie/How-to-Lose-a-Guy-in-10-Days,[],"[['Donald Petrie', 'Director'], ['David Newman', 'Composer']]","$23,774,850 (22.5% of total gross)",4.45 (domestic box office/biggest weekend),59.3% (domestic box office/worldwide),"$50,000,000 (worldwide box office is 3.6 times production budget)","2,923 opening theaters/2,923 max. theaters, 8.0 weeks average run per theater","$160,904,633","February 7th, 2003 (Wide) by Paramount Pictures","April 18th, 2003 (Wide) (United Kingdom)
","July 1st, 2003 by Paramount Home Video",PG-13 for some sex-related material,,vs. Darkness FallsCreate your own comparison chart…,"Relationship Advice, Romance",Based on Fiction Book/Short Story,Romantic Comedy,Live Action,Contemporary Fiction,United States,,116 minutes,,"$105,807,520","$72,696,268","$178,503,788"
14,https://www.the-numbers.com/movie/Shanghai-Knights,[],"[['David Dobkin', 'Director']]","$19,603,630 (32.4% of total gross)",3.08 (domestic box office/biggest weekend),68.5% (domestic box office/worldwide),"$50,000,000 (worldwide box office is 1.8 times production budget)","2,753 opening theaters/2,755 max. theaters, 5.8 weeks average run per theater","$91,958,851","February 7th, 2003 (Wide) by Walt Disney","April 4th, 2003 (Wide) (United Kingdom)
","July 15th, 2003 by Walt Disney Home Entertainment",PG-13 for action violence and sexual content.,Shanghai Noon,vs. Robin Hood: Prince of ThievesCreate your own comparison chart…,"Martial Arts, Culture Clash, 1880s, Underwater, Scotland Yard, Set in London, Set in England, Outtakes During Credits, Police Detective, Assassination, Fugitive / On the Run, Dream Sequence, Genre Mashup",Original Screenplay,Western,Live Action,Historical Fiction,United States,English,110 minutes,,"$60,470,220","$27,846,615","$88,316,835"
15,https://www.the-numbers.com/movie/Ocean-Wonderland,[],"[['Jean-Jacques Mantello', 'Director']]",,,,,,,"February 11th, 2003 (IMAX) by 3D Entertainment","February 14th, 2004 (IMAX), released as Ocean Wonderland 3D (Australia)
","June 7th, 2011 by Universal Home Entertainment",,,Create your own comparison chart…,"3-D, 3-D - Shot in 3-D, Short Film",Based on Real Life Events,Documentary,Live Action,Factual,France,English,41 minutes,,n/a,"$25,977,417","$25,977,417"
16,https://www.the-numbers.com/movie/Daredevil,"['Joe Pantoliano', 'Jon Favreau', 'David Keith', 'Ben Affleck', 'Jennifer Garner', 'Michael Clarke Duncan', 'Colin Farrell']","[['Mark Steven Johnson', 'Director'], ['Arnon Milchan', 'Producer'], ['Gary Foster', 'Producer'], ['Avi Arad', 'Producer'], ['Mark Steven Johnson', 'Screenwriter'], ['Stan Lee', 'Executive Producer'], ['Bernie Williams', 'Executive Producer'], ['Ericson Core', 'Director of Photography'], ['Barry Chusid', 'Production Designer'], ['Dennis Virkler', 'Editor'], ['Armen Minasian', 'Editor'], ['James Acheson', 'Costume Designer'], ['Rich Thorne', 'Visual Effects Supervisor'], ['Dave Jordan', 'Music Supervisor'], ['Graeme Revell', 'Composer']]","$40,310,418 (39.3% of total gross)",2.54 (domestic box office/biggest weekend),56.1% (domestic box office/worldwide),"$80,000,000 (worldwide box office is 2.3 times production budget)","3,471 opening theaters/3,474 max. theaters, 5.5 weeks average run per theater","$155,940,967","February 14th, 2003 (Wide) by 20th Century Fox",,"July 29th, 2003 by Fox Home Entertainment",PG-13 for action/violence and some sensuality,,vs. The PunisherCreate your own comparison chart…,"Marvel Comics, Visual Effects, Film Noir",Based on Comic/Graphic Novel,Action,Live Action,Super Hero,United States,English,125 minutes,"Regency Enterprises, 20th Century Fox, Marvel Studios, New Regency, Horseshoe Bay","$102,543,518","$80,239,000","$182,782,518"
17,https://www.the-numbers.com/movie/Jungle-Book-2-The,"['Jim Cummings', 'Haley Joel Osment', 'John Goodman']",[],"$11,441,733 (23.9% of total gross)",4.19 (domestic box office/biggest weekend),34.2% (domestic box office/worldwide),"$20,000,000 (worldwide box office is 7.0 times production budget)","2,808 opening theaters/2,815 max. theaters, 6.1 weeks average run per theater","$72,845,352","February 14th, 2003 (Wide) by Walt Disney","April 11th, 2003 (Wide) (United Kingdom)
","June 10th, 2003 by Walt Disney Home Entertainment, released as Jungle Book 2, The",G,Jungle Book,vs. The Land Before TimeCreate your own comparison chart…,"Animal Lead, Talking Animals, Animals Gone Bad, Adopted Family, Coming of Age, Runaway, Rescue",Based on Fiction Book/Short Story,Adventure,Hand Animation,Historical Fiction,United States,,,,"$47,901,582","$92,022,620","$139,924,202"
18,https://www.the-numbers.com/movie/Dark-Blue,[],"[['Ron Shelton', 'Director'], ['Terence Blanchard', 'Composer']]","$3,880,688 (42.0% of total gross)",2.38 (domestic box office/biggest weekend),75.3% (domestic box office/worldwide),"$15,000,000 (worldwide box office is 0.8 times production budget)","2,176 opening theaters/2,176 max. theaters, 2.8 weeks average run per theater","$14,047,688","February 21st, 2003 (Wide) by MGM","July 11th, 2003 (Wide) (United Kingdom)
","June 24th, 2003 by MGM Video","R for violence, language and brief sexuality",,vs. Everybody's FineCreate your own comparison chart…,"Corrupt Cops, Film Noir, Crime Thriller",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,,,118 minutes,,"$9,237,470","$3,024,595","$12,262,065"
19,https://www.the-numbers.com/movie/Gods-and-Generals,[],"[['Ronald F. Maxwell*', 'Director'], ['Ronald F. Maxwell*', 'Screenwriter']]","$4,675,246 (36.3% of total gross)",2.76 (domestic box office/biggest weekend),99.7% (domestic box office/worldwide),"$55,000,000 (worldwide box office is 0.2 times production budget)","1,533 opening theaters/1,533 max. theaters, 3.6 weeks average run per theater","$19,591,457","February 21st, 2003 (Wide) by Warner Bros.",,,PG-13 for sustained battle sequences,Gettysburg,vs. Old SchoolCreate your own comparison chart…,"Historical Battles, War, Delayed Sequel, Historical Drama, Biography, Famously Bad",Based on Factual Book/Article,Drama,Live Action,Historical Fiction,,,219 minutes,,"$12,882,934","$41,002","$12,923,936"
20,https://www.the-numbers.com/movie/Life-of-David-Gale-The,"['Laura Linney', 'Gabriel Mann', 'Kevin Spacey', 'Kate Winslet']","[['Alan Parker', 'Director'], ['Charles Randolph', 'Screenwriter']]","$7,117,225 (36.1% of total gross)",2.77 (domestic box office/biggest weekend),68.1% (domestic box office/worldwide),"$50,000,000 (worldwide box office is 0.6 times production budget)","2,002 opening theaters/2,003 max. theaters, 3.6 weeks average run per theater","$29,950,210","February 21st, 2003 (Wide) by Universal","March 14th, 2003 (Wide) (United Kingdom)
","July 22nd, 2003 by Universal Home Entertainment","R for violent images, nudity, language and sexuality",,vs. Premium RushCreate your own comparison chart…,"Crime Drama, Sex Crimes, Wrongfully Convicted, Political, Political Activist, Death Row, Surprise Twist, Dysfunctional Family, Framed",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,United States,English,130 minutes,,"$19,694,635","$9,225,553","$28,920,188"
21,https://www.the-numbers.com/movie/Old-School,"['Luke Wilson', 'Will Ferrell', 'Vince Vaughn']","[['Todd Phillips', 'Director'], ['Todd Phillips', 'Screenwriter'], ['Court Crandall', 'Story Creator'], ['Todd Phillips', 'Story Creator'], ['Scot Armstrong', 'Story Creator'], ['Daniel Goldberg', 'Producer'], ['Joe Medjuck', 'Producer'], ['Todd Phillips', 'Producer'], ['Ivan Reitman', 'Executive Producer'], ['Tom Pollock', 'Executive Producer'], ['Paul Deason', 'Co-Producer'], ['Theodore Shapiro', 'Composer']]","$17,453,216 (23.2% of total gross)",4.31 (domestic box office/biggest weekend),86.6% (domestic box office/worldwide),"$24,000,000 (worldwide box office is 3.6 times production budget)","2,689 opening theaters/2,742 max. theaters, 6.0 weeks average run per theater","$114,290,433","February 21st, 2003 (Wide) by Dreamworks SKG","May 9th, 2003 (Wide) (United Kingdom)
","December 16th, 2008 by Warner Home Video","R for some strong sexual content, nudity and language",Old School,vs. Cradle 2 the GraveCreate your own comparison chart…,"Buddy Comedy, Frat Pack, Fraternity/Sorority",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,English,90 minutes,Montecito Picture Company,"$75,155,000","$11,582,464","$86,737,464"
22,https://www.the-numbers.com/movie/Cradle-2-the-Grave,"['Anthony Anderson', 'Kelly Hu', 'Tom Arnold', 'Mark Dacascos', 'Gabrielle Union', 'Jet Li', 'DMX']","[['Joel Silver', 'Producer'], ['Hebert W. Gians', 'Executive Producer'], ['Ray D. Copeland', 'Executive Producer'], ['Melina Kevorkian', 'Co-Producer'], ['Susan Levin', 'Co-Producer'], ['Andrzej Bartkowiak', 'Director'], [""John O'Brien"", 'Screenwriter'], ['Channing Gibson', 'Screenwriter'], [""John O'Brien"", 'Story Creator']]","$16,521,486 (47.7% of total gross)",2.10 (domestic box office/biggest weekend),61.4% (domestic box office/worldwide),"$25,000,000 (worldwide box office is 2.3 times production budget)","2,625 opening theaters/2,625 max. theaters, 3.7 weeks average run per theater","$52,705,034","February 28th, 2003 (Wide) by Warner Bros.","March 28th, 2003 (Wide) (United Kingdom)
",,"R for violence, language and some sexual content",,vs. Old SchoolCreate your own comparison chart…,"Action Thriller, Heist, Enemies Forced to Work Together, Cops and Robbers, Secret Agent, Surprise Twist, Weapons of Mass Destruction, Organized Crime",Original Screenplay,Action,Live Action,Contemporary Fiction,United States,"Cantonese, English",99 minutes,Silver Pictures,"$34,657,731","$21,777,211","$56,434,942"
