,id,date,rank,gross,pct_change,theaters,per_theater,total_gross,kind,kind_num,pct_lw
0,https://www.the-numbers.com/movie/Internal-Affairs,"Jan 12, 1990",4,"$5,043,516", ,975,"$5,173","  $5,043,516",weekend,1,
1,https://www.the-numbers.com/movie/Internal-Affairs,"Jan 19, 1990",4,"$4,032,145",-20%,975,"$4,136","  $11,141,289",weekend,2,
2,https://www.the-numbers.com/movie/Internal-Affairs,"Jan 26, 1990",5,"$3,175,053",-21%,986,"$3,220","  $15,656,136",weekend,3,
3,https://www.the-numbers.com/movie/Internal-Affairs,"Feb 2, 1990",6,"$2,701,795",-15%,986,"$2,740","  $19,470,878",weekend,4,
4,https://www.the-numbers.com/movie/Internal-Affairs,"Feb 9, 1990",9,"$1,713,111",-37%,983,"$1,743","  $21,994,042",weekend,5,
5,https://www.the-numbers.com/movie/Internal-Affairs,"Feb 23, 1990",14,"$726,295", ,464,"$1,565","  $24,846,085",weekend,7,
0,https://www.the-numbers.com/movie/Internal-Affairs,"Jan 12, 1990",4,"$7,109,144", ,975,"$7,291","  $7,109,144",daily,1,
1,https://www.the-numbers.com/movie/Internal-Affairs,"Jan 19, 1990",3,"$5,371,939",-24%,975,"$5,510","  $12,481,083",daily,2,
2,https://www.the-numbers.com/movie/Internal-Affairs,"Jan 26, 1990",4,"$4,288,000",-20%,986,"$4,349","  $16,769,083",daily,3,
3,https://www.the-numbers.com/movie/Internal-Affairs,"Feb 2, 1990",5,"$3,511,848",-18%,986,"$3,562","  $20,280,931",daily,4,
0,https://www.the-numbers.com/movie/Internal-Affairs,"Jan 12, 1990",4,"$7,109,144", ,975,"$7,291","  $7,109,144",weekly,1,
1,https://www.the-numbers.com/movie/Internal-Affairs,"Jan 19, 1990",3,"$5,371,939",-24%,975,"$5,510","  $12,481,083",weekly,2,
2,https://www.the-numbers.com/movie/Internal-Affairs,"Jan 26, 1990",4,"$4,288,000",-20%,986,"$4,349","  $16,769,083",weekly,3,
3,https://www.the-numbers.com/movie/Internal-Affairs,"Feb 2, 1990",5,"$3,511,848",-18%,986,"$3,562","  $20,280,931",weekly,4,
0,https://www.the-numbers.com/movie/Nuovo-cinema-Paradiso,"Mar 23, 1990",30,"$184,715", ,39,"$4,736","  $1,213,487",weekend,8,
1,https://www.the-numbers.com/movie/Nuovo-cinema-Paradiso,"Jun 14, 2002",47,"$25,899", ,3,"$8,633","  $25,899",weekend,646,
2,https://www.the-numbers.com/movie/Nuovo-cinema-Paradiso,"Jun 21, 2002",49,"$26,618",+3%,7,"$3,803","  $66,556",weekend,647,
3,https://www.the-numbers.com/movie/Nuovo-cinema-Paradiso,"Jun 28, 2002",39,"$56,103",+111%,15,"$3,740","  $141,907",weekend,648,
4,https://www.the-numbers.com/movie/Nuovo-cinema-Paradiso,"Jul 5, 2002",44,"$51,915",-7%,15,"$3,461","  $239,630",weekend,649,
5,https://www.the-numbers.com/movie/Nuovo-cinema-Paradiso,"Jul 12, 2002",53,"$29,200",-44%,15,"$1,947","  $292,887",weekend,650,
6,https://www.the-numbers.com/movie/Nuovo-cinema-Paradiso,"Jul 19, 2002",54,"$33,743",+16%,15,"$2,250","  $351,836",weekend,651,
7,https://www.the-numbers.com/movie/Nuovo-cinema-Paradiso,"Jul 26, 2002",61,"$22,098",-35%,14,"$1,578","  $392,045",weekend,652,
0,https://www.the-numbers.com/movie/Nuovo-cinema-Paradiso,"Jun 14, 2002",47,"$39,938", ,3,"$13,313","  $39,938",daily,646,
1,https://www.the-numbers.com/movie/Nuovo-cinema-Paradiso,"Jun 21, 2002",45,"$45,866",+15%,7,"$6,552","  $85,804",daily,647,
2,https://www.the-numbers.com/movie/Nuovo-cinema-Paradiso,"Jun 28, 2002",39,"$101,911",+122%,15,"$6,794","  $187,715",daily,648,
3,https://www.the-numbers.com/movie/Nuovo-cinema-Paradiso,"Jul 5, 2002",43,"$75,972",-25%,15,"$5,065","  $263,687",daily,649,
4,https://www.the-numbers.com/movie/Nuovo-cinema-Paradiso,"Jul 12, 2002",51,"$54,406",-28%,15,"$3,627","  $318,093",daily,650,
5,https://www.the-numbers.com/movie/Nuovo-cinema-Paradiso,"Jul 19, 2002",57,"$51,854",-5%,15,"$3,457","  $369,947",daily,651,
0,https://www.the-numbers.com/movie/Nuovo-cinema-Paradiso,"Jun 14, 2002",47,"$39,938", ,3,"$13,313","  $39,938",weekly,646,
1,https://www.the-numbers.com/movie/Nuovo-cinema-Paradiso,"Jun 21, 2002",45,"$45,866",+15%,7,"$6,552","  $85,804",weekly,647,
2,https://www.the-numbers.com/movie/Nuovo-cinema-Paradiso,"Jun 28, 2002",39,"$101,911",+122%,15,"$6,794","  $187,715",weekly,648,
3,https://www.the-numbers.com/movie/Nuovo-cinema-Paradiso,"Jul 5, 2002",43,"$75,972",-25%,15,"$5,065","  $263,687",weekly,649,
4,https://www.the-numbers.com/movie/Nuovo-cinema-Paradiso,"Jul 12, 2002",51,"$54,406",-28%,15,"$3,627","  $318,093",weekly,650,
5,https://www.the-numbers.com/movie/Nuovo-cinema-Paradiso,"Jul 19, 2002",57,"$51,854",-5%,15,"$3,457","  $369,947",weekly,651,
