,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Theater counts:,Infl. Adj. Dom. BO,Production Budget:,Domestic Releases:,Video Release:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production/Financing Companies:,Production Countries:,Languages:,Franchise:,International Releases:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
78,https://www.the-numbers.com/movie/Fabulous-Baker-Boys-The,[],"[['Steve Kloves', 'Director'], ['Steve Kloves', 'Screenwriter']]","$3,313,815 (18.3% of total gross)",5.47 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"858 opening theaters/860 max. theaters, 3.9 weeks average run per theater","$41,647,187",,"October 13th, 1989 (Wide) by 20th Century Fox",,R,114 minutes,vs. The Little MermaidCreate your own comparison chart…,"Musicians, Comedy Drama, Romance, Singers, Sibling Rivalry, Dysfunctional Family",Original Screenplay,Comedy,Live Action,Contemporary Fiction,Mirage,United States,English,,,"$18,121,297",,,,
79,https://www.the-numbers.com/movie/Halloween-5-The-Revenge-of-Michael-Myers-(1989),"['Donald Pleasance', 'Ellie Cornell', 'Beau Starr', 'Wendy Kaplan', 'Tamara Glynn', 'Danielle Harris']","[['Dominique Othenin-Girard', 'Director'], ['Moustapha Akkad', 'Executive Producer'], ['Ramsey Thomas', 'Producer'], ['Michael Jacobs', 'Screenwriter'], ['Dominique Othenin-Girard', 'Screenwriter'], ['Shem Bitterman', 'Screenwriter'], ['Robert Draper', 'Director of Photography'], ['Rick Nathanson', 'Line Producer'], ['Alan Howarth', 'Composer'], ['John Carpenter', 'Composer']]","$5,093,428 (43.7% of total gross)",2.29 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,483 opening theaters/1,495 max. theaters, 3.2 weeks average run per theater","$26,756,758","$6,000,000 (worldwide box office is 1.9 times production budget)","October 13th, 1989 (Wide) by Galaxy International Releasing","August 21st, 2012 by Anchor Bay Home Entertainment",R,96 minutes,vs. Halloween 4: The Return of Michael MyersCreate your own comparison chart…,"Slasher Horror, Supernatural",Original Screenplay,Horror,Live Action,Contemporary Fiction,Magnum Motion Pictures,United States,English,Halloween,,"$11,642,254",,,"$543,561","$543,561"
80,https://www.the-numbers.com/movie/Look-Whos-Talking,"['Olympia Dukakis', 'George Segal', 'Abe Vigoda', 'Bruce Willis', 'John Travolta', 'Kirstie Alley']","[['Amy Heckerling', 'Director'], ['Amy Heckerling', 'Screenwriter'], ['Jonathan D. Krane', 'Producer'], ['Thomas Del Ruth', 'Director of Photography'], ['David Kitay', 'Composer'], ['Susan Molloy', 'Additional Costume Designer']]","$12,107,784 (8.6% of total gross)",9.90 (domestic box office/biggest weekend),47.2% (domestic box office/worldwide),"1,208 opening theaters/1,651 max. theaters, 12.0 weeks average run per theater","$319,493,465",,"October 13th, 1989 (Wide) by Sony Pictures","March 17th, 1998 by Sony Pictures Home Entertainment",PG-13 Adult situations/language,96 minutes,vs. Curly SueCreate your own comparison chart…,Talking Babies,Original Screenplay,Comedy,Live Action,Contemporary Fiction,MCEG,"Canada, United States",English,Look Who's Talking,,"$140,088,813","$157,011,187","$297,100,000",,
81,https://www.the-numbers.com/movie/Gross-Anatomy,[],"[['Thom Eberhardt', 'Director'], ['Ron Nyswaner', 'Screenwriter'], ['Mark Spragg', 'Screenwriter'], ['David Newman', 'Composer']]","$2,830,387 (24.9% of total gross)",4.01 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"853 opening theaters/1,080 max. theaters, 2.8 weeks average run per theater","$26,076,316",,"October 20th, 1989 (Wide) by Walt Disney","May 10th, 2011 by Mill Creek Entertainment",PG-13,109 minutes,Create your own comparison chart…,"Life Drama, Medical Students, Medical and Hospitals, Doctors, Doctor as Patient, Romance, Underdog",Original Screenplay,Drama,Live Action,Contemporary Fiction,,United States,English,,,"$11,346,186",,,,
82,https://www.the-numbers.com/movie/Next-of-Kin,['Patrick Swayze'],"[['John Irvin', 'Director'], ['Michael Jenning', 'Screenwriter'], ['Jeb Stuart', 'Screenwriter']]","$4,805,516 (30.1% of total gross)",3.32 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,358 opening theaters/1,358 max. theaters, 3.7 weeks average run per theater","$36,640,074",,"October 20th, 1989 (Wide) by Warner Bros.","September 7th, 2004 by Warner Home Video",R,101 minutes,vs. Next FridayCreate your own comparison chart…,"Action Thriller, Death of a Sibling, Revenge, Ex-soldier, Organized Crime, Set in Chicago",Original Screenplay,Action,Live Action,Contemporary Fiction,,United States,English,,,"$15,942,628",,,,
83,https://www.the-numbers.com/movie/Ours-L,[],"[['Jean-Jacques Annaud', 'Director']]","$3,676,530 (12.4% of total gross)",5.83 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"858 opening theaters/1,056 max. theaters, 6.5 weeks average run per theater","$67,946,408",,"October 25th, 1989 (Wide) by Sony/TriStar, released as The Bear",,PG,94 minutes,vs. The Muppet MovieCreate your own comparison chart…,"Family Adventure, Animal Lead, 1880s, Set in British Columbia",Based on Fiction Book/Short Story,Adventure,Live Action,Contemporary Fiction,,France,,,,"$29,564,471",,,,
84,https://www.the-numbers.com/movie/Dad,"['Olympia Dukakis', 'Kathy Baker', 'Kevin Spacey', 'Jack Lemmon', 'Ted Danson', 'Ethan Hawke']","[['Gary David Goldberg', 'Director'], ['Gary David Goldberg', 'Screenwriter'], ['Gary David Goldberg', 'Producer'], ['Joseph Stern', 'Producer'], ['William Wharton', 'Story Creator'], ['Steven Spielberg', 'Executive Producer'], ['Frank Marshall', 'Executive Producer'], ['Kathleen Kennedy', 'Executive Producer'], ['Jan Kiesser', 'Director of Photography'], ['Jack DeGovia', 'Production Designer'], ['Eric Sears', 'Editor'], ['James Horner', 'Composer']]",,4.38 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),,"$45,362,798",,"October 27th, 1989 (Wide) by Universal",,PG,118 minutes,vs. TwinsCreate your own comparison chart…,"Comedy Drama, Dysfunctional Family, Autumn Years, Terminal Illness, Coma, Medical and Hospitals, Adult Child Dealing with the Death of a Parent",Based on Fiction Book/Short Story,Comedy,Live Action,Contemporary Fiction,"Amblin Entertainment, Universal Pictures",United States,English,,,"$19,738,015",,,,
85,https://www.the-numbers.com/movie/Immediate-Family,"['Glenn Close', 'James Woods', 'Mary Stuart Masterson', 'Kevin Dillon']","[['Jonathan Kaplan', 'Director'], ['Barbara Benedek', 'Screenwriter']]","$1,675,344 (28.7% of total gross)",3.49 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"836 opening theaters/836 max. theaters, 1.0 weeks average run per theater","$13,424,706",,"October 27th, 1989 (Wide) by Sony Pictures","April 22nd, 2003 by Sony Pictures Home Entertainment",,100 minutes,Create your own comparison chart…,"Family Drama, Pregnant Women, Unconventional Pregnancies, Adopted Family",Original Screenplay,Drama,Live Action,Contemporary Fiction,,United States,English,,,"$5,841,286",,,,
86,https://www.the-numbers.com/movie/Shocker,[],"[['Wes Craven', 'Director']]","$4,510,990 (27.2% of total gross)",3.67 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,783 opening theaters/1,795 max. theaters, 2.8 weeks average run per theater","$38,046,761",,"October 27th, 1989 (Wide) by Universal","September 8th, 2015 by Shout Factory",R,110 minutes,vs. Pet SemataryCreate your own comparison chart…,"Slasher Horror, Supernatural, Serial Killer",Original Screenplay,Horror,Live Action,Fantasy,,United States,English,,,"$16,554,699",,,"$335,196","$335,196"
87,https://www.the-numbers.com/movie/Second-Sight,[],"[['Joel Zwick', 'Director'], ['Tom Schulman', 'Screenwriter'], ['Patricia Resnick', 'Screenwriter'], ['John Morris', 'Composer']]","$2,156,742 (43.1% of total gross)",2.32 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"815 opening theaters/815 max. theaters, 2.0 weeks average run per theater","$11,491,220",,"November 3rd, 1989 (Wide) by Warner Bros.",,,83 minutes,Create your own comparison chart…,"Black Comedy, Psychics, Paranormal Investigation, Missing Person, Famously Bad",Original Screenplay,Black Comedy,Live Action,Science Fiction,,United States,,,,"$5,000,000",,,,
