,url,cast,crew,Legs:,Domestic Share:,Production Budget:,Domestic Releases:,International Releases:,Video Release:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production/Financing Companies:,Production Countries:,Languages:,Domestic Box Office,International Box Office,Worldwide Box Office
0,https://www.the-numbers.com/movie/Casablanca,"['Paul Henreid', 'Claude Rains', 'Conrad Veidt', 'Peter Lorre', 'Frank Puglia', 'Humphrey Bogart', 'Ingrid Bergman']","[['Michael Curtiz', 'Director'], ['Julius J. Epstein', 'Screenwriter'], ['Philip G. Epstein', 'Screenwriter'], ['Howard Koch', 'Screenwriter'], ['Murry Burnett', 'Based on the play by'], ['Joan Scholl', 'Based on the play by'], ['M.K. Jerome', 'Song Writer'], ['Jack Scholl', 'Song Writer'], ['Arthur Edeson', 'Cinematographer'], ['Owen Marks', 'Editor']]",57.65 (domestic box office/biggest weekend),99.0% (domestic box office/worldwide),"$1,039,000 (worldwide box office is 10.2 times production budget)","January 23rd, 1943 (Limited) by Warner Bros.March 21st, 2012 (Special Engagement) by NCM FathomApril 26th, 2012 (Special Engagement) by NCM FathomApril 3rd, 2013 (Special Engagement) by CinemarkMarch 5th, 2023 (Special Engagement) by Fathom Events","April 3rd, 1999 (Wide) (South Korea)
October 28th, 2010 (Wide) (New Zealand)
February 15th, 2019 (Wide), released as Casablanca (re: 2018) (Australia)
November 20th, 2020 (Limited) (Australia)
October 26th, 2022 (Wide) (South Korea)
... Show all releases
","October 13th, 1998 by Warner Home Video","PG for mild violence.
Rating is for 1992 Re-Issue",99 minutes,vs. Gone with the WindCreate your own comparison chart…,"World War II, Film Noir, War, Romance, Resistance Fighter, Nazis, Immigration, Corrupt Cops, Romantic Drama",Based on Play,Drama,Live Action,Contemporary Fiction,Hal B. Wallis,United States,English,"$10,462,500","$102,732","$10,565,232"
1,https://www.the-numbers.com/movie/For-Whom-the-Bell-Tolls,"['Akim Tamiroff', 'Arturo de Cordova', 'Joseph Calleia', 'Katina Paxinou', 'Gary Cooper', 'Ingrid Bergman']","[['Sam Wood', 'Director'], ['Dudley Nichols', 'Screenwriter'], ['Ernest Hemingway', ""Based on the novel 'For Whom the Bell Tolls' by""], ['Sam Wood', 'Producer'], ['B.G. DeSylva', 'Executive Producer'], ['William Cameron Menzies', 'Production Designer'], ['John Link', 'Editor'], ['Sherman Todd', 'Editor'], ['Victor Young', 'Composer'], ['Ray Rennahan', 'Director of Photography']]",,100.0% (domestic box office/worldwide),,"July 14th, 1943 (Wide)",,,G,170 minutes,vs. A Guy Named JoeCreate your own comparison chart…,,Based on Fiction Book/Short Story,Multiple Genres,Live Action,Historical Fiction,Paramount Pictures,United States,English,"$17,800,000",,
2,https://www.the-numbers.com/movie/This-is-the-Army,"['George Tobias', 'Alan Hale', 'Chas. Butterworth*', 'George Murphy', 'Joan Leslie', 'Lt. Ronald Reagan*']","[['Michael Curtiz', 'Director'], ['Casey Robinson', 'Screenwriter'], ['Claude Binyon', 'Screenwriter'], ['Jack L. Warner*', 'Producer'], ['Hal B. Wallis*', 'Producer'], ['George Amy', 'Editor'], ['Irving Berlin', 'Composer'], ['Bert Glennon', 'Director of Photography'], ['Sol Polito', 'Director of Photography']]",,100.0% (domestic box office/worldwide),,"August 14th, 1943 (Wide)",,,Not Rated,105 minutes,vs. The Song of BernadetteCreate your own comparison chart…,,Based on Musical or Opera,Musical,Live Action,Contemporary Fiction,Warner Bros.,United States,English,"$19,500,000",,
3,https://www.the-numbers.com/movie/Guy-Named-Joe-A,"['Van Johnson', 'Ward Bond', 'James Gleason', 'Lionel Barrymore', 'Esther Williams', 'Spencer Tracy', 'Irene Dunne']","[['Victor Fleming', 'Director'], ['Dalton Trumbo', 'Screenwriter'], ['Frederick Hazlitt Brennan', 'Screenwriter'], ['Chandler Sprague', 'Story Creator'], ['David Boehm', 'Story Creator']]",,100.0% (domestic box office/worldwide),"$2,627,000 (worldwide box office is 2.0 times production budget)","December 24th, 1943 (Wide) by MGM",,,Not Rated Passed,122 minutes,vs. This is the ArmyCreate your own comparison chart…,"Romantic Drama, Romance, 1940s, Supernatural, Death of a Girlfriend / Boyfriend, One Last Job, In a Plane, Haunting, Friendly Ghost, Love Triangle, Remade, Heaven and Hell",Original Screenplay,Drama,Live Action,Contemporary Fiction,,United States,English,"$5,363,000",,
4,https://www.the-numbers.com/movie/Song-of-Bernadette-The,"['William Eythe', 'Charles Bickford', 'Vincent Price', 'Lee J. Cobb', 'Gladys Cooper', 'Jennifer Jones']","[['Karen Arthur', 'Director'], ['Henry King', 'Director'], ['George Seaton', 'Screenwriter'], ['Franz Werfel', ""Based on the 1941 novel 'The Song of Bernadette' by""], ['William Perlberg', 'Producer'], ['Barbara McLean', 'Editor'], ['Alfred Newman', 'Composer'], ['Arthur Miller', 'Director of Photography']]",,100.0% (domestic box office/worldwide),,"December 25th, 1943 (Wide)",,,Not Rated,156 minutes,vs. This is the ArmyCreate your own comparison chart…,"Biographical Drama, Biography, Religious, 1800s, Poverty, Miracle, Set in France",Based on Factual Book/Article,Drama,Live Action,Dramatization,Twentieth Century Fox,United States,English,"$12,500,000",,
