,url,cast,crew,Domestic Share:,Infl. Adj. Dom. BO,Opening Weekend:,Legs:,Theater counts:,Production Budget:,Domestic Releases:,Comparisons:,Production Countries:,Running Time:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Video Release:,MPAA Rating:,Languages:,Franchise:,Production/Financing Companies:,International Releases:,Domestic Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales,International Box Office,Worldwide Box Office
61,https://www.the-numbers.com/movie/First-Blood,[],"[['Ted Kotcheff', 'Director'], ['Jerry Goldsmith', 'Composer']]",37.7% (domestic box office/worldwide),"$146,422,287","$6,642,005 (14.1% of total gross)",7.11 (domestic box office/biggest weekend),"901 opening theaters/1,047 max. theaters, 10.3 weeks average run per theater","$14,000,000 (worldwide box office is 8.9 times production budget)","October 22nd, 1982 (Wide) by Orion Pictures",vs. PlatoonCreate your own comparison chart…,United States,,"Returning Soldiers, Vietnam War, War, PTSD, Corrupt Cops, Non-Chronological, Revenge, Accidental Death",Based on Fiction Book/Short Story,Action,Live Action,Contemporary Fiction,"October 21st, 1998 by Live / Artisan",R,English,Rambo,,"March 8th, 2019 (Wide), released as First Blood (1982) (re:2019) (Australia)
November 5th, 2020 (Wide) (New Zealand)
June 24th, 2022 (Limited) ((40th ANNIVERSARY))
 (United Kingdom)
March 30th, 2023 (Limited), released as First Blood – 40th Anniversary (re-release) (Netherlands)
","$47,212,904",,,"$78,000,000","$125,212,904"
62,https://www.the-numbers.com/movie/Halloween-3-Season-of-the-Witch,"['Tom Atkins', 'Stacey Nelkin', 'Daniel O’Herlihy']","[['Tommy Lee Wallace', 'Director'], ['Tommy Lee Wallace', 'Screenwriter'], ['Debra Hill', 'Producer'], ['John Carpenter', 'Producer'], ['Irwin Yablans', 'Executive Producer'], ['Joseph Wolf', 'Executive Producer'], ['Barry Bernardi', 'Associate Producer'], ['Dean Cundey', 'Director of Photography'], ['John Carpenter', 'Composer'], ['Alan Howarth', 'Composer']]",100.0% (domestic box office/worldwide),"$44,914,284","$6,333,259 (44.0% of total gross)",2.27 (domestic box office/biggest weekend),"1,297 opening theaters/1,328 max. theaters, 2.8 weeks average run per theater","$2,500,000 (worldwide box office is 5.8 times production budget)","October 22nd, 1982 (Wide) by Universal",vs. Halloween IICreate your own comparison chart…,United States,98 minutes,Slasher Horror,Original Screenplay,Horror,Live Action,Contemporary Fiction,"November 7th, 1996 by Gaiam",R,English,Halloween,"Moustapha Akkad, Universal Pictures",,"$14,400,000",,,,
63,https://www.the-numbers.com/movie/Monsignor,[],"[['Frank Perry', 'Director'], ['Abraham Polonsky', 'Screenwriter'], ['Wendell Mayes', 'Screenwriter'], ['John Williams', 'Composer']]",100.0% (domestic box office/worldwide),"$38,701,343","$3,631,834 (29.3% of total gross)",3.42 (domestic box office/biggest weekend),"857 opening theaters/857 max. theaters, 4.6 weeks average run per theater",,"October 22nd, 1982 (Wide) by 20th Century Fox",Create your own comparison chart…,United States,121 minutes,"Religious, World War II, Historical Drama, Set in Vatican City, Mafia, Vietnam War, Scandal, 1940s, 1950s",Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction,,,,,,,"$12,408,066",,,,
64,https://www.the-numbers.com/movie/National-Lampoons-Class-Reunion,[],"[['Michael Miller', 'Director'], ['John Hughes', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$51,622,497","$3,086,525 (18.6% of total gross)",5.36 (domestic box office/biggest weekend),"1,121 opening theaters/1,125 max. theaters, 3.8 weeks average run per theater",,"October 29th, 1982 (Wide) by 20th Century Fox",vs. MegaforceCreate your own comparison chart…,United States,85 minutes,"High School Reunions, Black Comedy, 1970s, Delayed Release, Famously Bad, Prank Gone Wrong, Mental Illness",Original Screenplay,Black Comedy,Live Action,Contemporary Fiction,"February 8th, 2000 by Starz / Anchor Bay",R,English,National Lampoon,,,"$16,550,727",,,,
65,https://www.the-numbers.com/movie/Man-From-Snowy-River-The,"['Kirk Douglas', 'Jack Thompson', 'Tom Burlinson', 'Sigrid Thornton', 'Lorraine Bayly']","[['George T. Miller', 'Director'], ['John Dixon', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$61,502,291","$694,126 (3.4% of total gross)",16.03 (domestic box office/biggest weekend),"158 opening theaters/517 max. theaters, 16.3 weeks average run per theater","$5,000,000 (worldwide box office is 4.1 times production budget)","November 3rd, 1982 (Wide) by 20th Century Fox",vs. The Hateful EightCreate your own comparison chart…,Australia,102 minutes,"Twins, Same Actor, Multiple Roles, Romance, Young Child Dealing with the Death of a Parent, Orphan, Dysfunctional Family, Love Triangle",Based on Poem,Western,Live Action,Historical Fiction,"May 28th, 2002 by Fox Home Entertainment",,English,Man from Snowy River,,,"$20,659,423",,,,
66,https://www.the-numbers.com/movie/Missionary-The,[],"[['Richard Loncraine', 'Director'], ['Michael Palin', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$22,585,582","$1,864,852 (25.8% of total gross)",3.88 (domestic box office/biggest weekend),"532 opening theaters/532 max. theaters, 4.4 weeks average run per theater",,"November 5th, 1982 (Wide) by Sony Pictures",vs. Halloween 3: Season of the WitchCreate your own comparison chart…,United Kingdom,83 minutes,"Religious, Farcical / Slapstick Comedy, Prostitution, Romance, 1900s, Missionary, Screenplay Written By the Star, Epilogue, Relationships Gone Wrong",Original Screenplay,Comedy,Live Action,Historical Fiction,,,,,,,"$7,241,180",,,,
67,https://www.the-numbers.com/movie/Creepshow,[],"[['George A. Romero', 'Director'], ['Stephen King', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$62,493,990","$5,870,889 (29.3% of total gross)",3.41 (domestic box office/biggest weekend),"1,127 opening theaters/1,132 max. theaters, 5.4 weeks average run per theater","$8,000,000 (worldwide box office is 2.5 times production budget)","November 10th, 1982 (Wide) by Warner Bros.",vs. Star Wars Ep. V: The Empire Strikes BackCreate your own comparison chart…,United States,120 minutes,"Segments, Meteorite, Dysfunctional Family, Infidelity, Zombies, Revenge, Relationships Gone Wrong, Monster, Killer Plants, Novel or Other Work Adapted by Author, Genre Mashup",Based on Fiction Book/Short Story,Horror,Live Action,Contemporary Fiction,"September 8th, 2009 by Warner Home Video",,,Creepshow,,,"$20,036,244",,,,
68,https://www.the-numbers.com/movie/They-Call-Me-Bruce,[],[],100.0% (domestic box office/worldwide),"$38,629,368","$1,071,345 (8.3% of total gross)",11.89 (domestic box office/biggest weekend),"165 opening theaters/324 max. theaters, 9.7 weeks average run per theater",,"November 12th, 1982 (Wide) by Artists Releasing Corporation",vs. Halloween 3: Season of the WitchCreate your own comparison chart…,United States,87 minutes,"Mafia, Action Comedy, Road Trip, Immigration, Asian-Americans, Prologue, Same Actor, Multiple Roles, Narcotics, Organized Crime",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,PG,English,,,,"$12,925,437",,,,
69,https://www.the-numbers.com/movie/Last-Unicorn-The,['Tammy Grimes'],[],100.0% (domestic box office/worldwide),"$20,134,477","$2,250,000 (34.9% of total gross)",2.71 (domestic box office/biggest weekend),"648 opening theaters/690 max. theaters, 2.8 weeks average run per theater",,"November 19th, 1982 (Wide) by Jensen Farley Pictures",vs. Teen Titans Go! To The MoviesCreate your own comparison chart…,United States,,"Novel or Other Work Adapted by Author, Secret Identity, Royalty, Prince/Princess, Faulty Memory, Unrequited Love, Dream Sequence, Non-Chronological",Based on Fiction Book/Short Story,Adventure,Hand Animation,Fantasy,"June 9th, 2015 by Shout Factory",,,,,,"$6,455,330","$232,076","$232,076",,
70,https://www.the-numbers.com/movie/Tex,[],"[['Tim Hunter', 'Director'], ['Charles S. Haas*', 'Screenwriter'], ['Tim Hunter', 'Screenwriter'], ['Pino Donaggio', 'Composer']]",100.0% (domestic box office/worldwide),"$22,455,294","$518,795 (7.2% of total gross)",12.97 (domestic box office/biggest weekend),"21 opening theaters/375 max. theaters, 1.6 weeks average run per theater",,"November 19th, 1982 (Wide) by Walt Disney",Create your own comparison chart…,United States,103 minutes,"Coming of Age, Coming-of-Age Drama, Young Child Dealing with the Death of a Parent, Dysfunctional Family, Abandoned Child, Rodeo, Set in Oklahoma",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,,,,,,,"$7,199,408",,,,
71,https://www.the-numbers.com/movie/48-Hrs,"[""Annette O'Toole"", 'Nick Nolte', 'Eddie Murphy']","[['Walter Hill', 'Director'], ['Lawrence Gordon', 'Producer'], ['Joel Silver', 'Producer'], ['Roger Spottiswoode', 'Screenwriter'], ['Walter Hill', 'Screenwriter'], ['Larry Gross', 'Screenwriter'], ['Steven E. de Souza', 'Screenwriter'], ['D. Constantine Conte', 'Executive Producer'], ['James Horner', 'Composer']]",100.0% (domestic box office/worldwide),"$226,182,525","$4,369,868 (5.8% of total gross)",15.57 (domestic box office/biggest weekend),"850 opening theaters/1,050 max. theaters, 17.3 weeks average run per theater",,"December 8th, 1982 (Wide) by Paramount Pictures",vs. Trading PlacesCreate your own comparison chart…,United States,96 minutes,"Buddy Cop, Buddy Comedy, African Americans",Original Screenplay,Action,Live Action,Contemporary Fiction,"February 22nd, 2011 by Warner Home Video",R,English,48 Hrs.,"Paramount Pictures, Lawrence Gordon",,"$75,936,265",,,,
72,https://www.the-numbers.com/movie/Gandhi-(1982),[],"[['Richard Attenborough', 'Director'], ['Richard Attenborough', 'Producer']]",41.3% (domestic box office/worldwide),"$153,888,519","$131,153 (0.2% of total gross)",15.48 (domestic box office/biggest weekend),"4 opening theaters/825 max. theaters, 13.2 weeks average run per theater","$22,000,000 (worldwide box office is 5.8 times production budget)","December 8th, 1982 (Wide) by Sony Pictures",Best Picture Oscar Winnersvs. Terms of EndearmentCreate your own comparison chart…,"India, United Kingdom, United States",191 minutes,"Biography, Non-Chronological, Religious, Oscars Best Picture Winner, Biographical Drama, 1983 Oscars Best Picture Nominee",Based on Real Life Events,Drama,Live Action,Dramatization,"February 20th, 2007 by Sony Pictures Home Entertainment",PG,English,,"Columbia Pictures, Goldcrest Films, International Film Investors, National Film Development Corporation of India, Indo-British Films",,"$52,767,889",,,"$75,000,000","$127,767,889"
73,https://www.the-numbers.com/movie/Verdict-The-(1982),[],"[['Sidney Lumet', 'Director']]",100.0% (domestic box office/worldwide),"$160,538,447","$100,982 (0.2% of total gross)",11.47 (domestic box office/biggest weekend),"3 opening theaters/904 max. theaters, 12.9 weeks average run per theater","$16,000,000 (worldwide box office is 3.4 times production budget)","December 8th, 1982 (Wide) by 20th Century Fox",vs. MargaretCreate your own comparison chart…,United States,129 minutes,"Courtroom Drama, 1983 Oscars Best Picture Nominee",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,"May 7th, 2013 by Fox Home Entertainment",R,English,,,,"$53,977,250",,,,
74,https://www.the-numbers.com/movie/Airplane-II-The-Sequel,[],"[['Ken Finkleman', 'Director'], ['Ken Finkleman', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$77,067,174","$5,329,208 (21.3% of total gross)",4.69 (domestic box office/biggest weekend),"1,150 opening theaters/1,300 max. theaters, 5.4 weeks average run per theater",,"December 10th, 1982 (Wide) by Paramount Pictures",vs. AladdinCreate your own comparison chart…,United States,85 minutes,"Spoof, Flight Attendant, Space Program, Honeymoon, Moonbase, Farcical / Slapstick Comedy, Gratuitous Cameos",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,,,Airplane,,,"$25,009,494",,,,
75,https://www.the-numbers.com/movie/Sophies-Choice,[],"[['Alan J. Pakula', 'Director'], ['Alan J. Pakula', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$73,680,767","$202,131 (0.8% of total gross)",11.60 (domestic box office/biggest weekend),"9 opening theaters/548 max. theaters, 8.5 weeks average run per theater",,"December 10th, 1982 (Wide) by Universal",Create your own comparison chart…,United States,151 minutes,"World War II, 1940s, Set in Poland, Set in New York City, Set in New York, Holocaust, Holocaust Survivor, Nazis, Nazi Collaborators, Mental Illness, Relationships Gone Wrong, Love Triangle, Suicide, Death of a Son or Daughter, Surprise Twist, Non-Chronological, Historical Drama",Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction,"April 29th, 2014 by Shout Factory",,English,,,"November 17th, 2022 (Limited) (New Zealand)
","$25,215,547","$324,299","$324,299",$162,"$25,215,709"
76,https://www.the-numbers.com/movie/Toy-The,[],"[['Richard Donner', 'Director']]",100.0% (domestic box office/worldwide),"$143,508,400","$6,322,804 (13.4% of total gross)",7.45 (domestic box office/biggest weekend),"1,381 opening theaters/1,542 max. theaters, 8.1 weeks average run per theater",,"December 10th, 1982 (Wide) by Sony Pictures",vs. TootsieCreate your own comparison chart…,United States,102 minutes,"Family Comedy, Remake, Foreign-Language Remake, Dysfunctional Family, Unemployed, Money Troubles, Prank Gone Wrong, Ku Klux Klan, News, Newspaper Industry, Investigative Journalist, Blackmail",Based on Fiction Book/Short Story,Comedy,Live Action,Contemporary Fiction,,PG,English,,,,"$47,118,057",,,,
77,https://www.the-numbers.com/movie/Best-Friends,[],"[['Norman Jewison', 'Director'], ['Valerie Curtin', 'Screenwriter'], ['Barry Levinson', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$110,850,802","$4,022,891 (11.0% of total gross)",7.59 (domestic box office/biggest weekend),"1,062 opening theaters/1,080 max. theaters, 9.3 weeks average run per theater",,"December 17th, 1982 (Wide) by Warner Bros.",vs. Airplane II: The SequelCreate your own comparison chart…,United States,107 minutes,"Romantic Comedy, Movie Business, Screenwriters, Romance, Autobiographical, Inspired by a True Story, Relationships Gone Wrong, In-Laws / Future In-Laws, Road Trip, Dysfunctional Family, Anxiety and Phobias",Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,,,,,,,"$36,670,556",,,,
78,https://www.the-numbers.com/movie/Dark-Crystal-The,[],"[['Frank Oz', 'Director']]",100.0% (domestic box office/worldwide),"$122,704,797","$4,657,335 (11.5% of total gross)",7.51 (domestic box office/biggest weekend),"858 opening theaters/1,052 max. theaters, 7.4 weeks average run per theater",,"December 17th, 1982 (Wide) by UniversalMarch 3rd, 2018 (Special Engagement) by Fathom Events, released as The Dark Crystal (1982)",vs. The Big LebowskiCreate your own comparison chart…,"United Kingdom, United States",93 minutes,"Cult Movie, Good vs. Evil, Orphan, Sword & Sorcerer, Same Actor, Multiple Roles, Surrealism / Absurdism, Slavery, Mutants",Original Screenplay,Adventure,Animation/Live Action,Fantasy,"June 25th, 2008 by Sony Pictures Home Entertainment",PG,English,Dark Crystal,Incorporated Television Company,"April 22nd, 1983 (Limited) (Australia)
August 18th, 2022 (Limited) (New Zealand)
","$40,577,001","$1,631,586","$1,631,586",$914,"$40,577,915"
79,https://www.the-numbers.com/movie/Six-Weeks,[],"[['Tony Bill', 'Director'], ['David Seltzer', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$20,409,412","$978,541 (14.7% of total gross)",6.47 (domestic box office/biggest weekend),"613 opening theaters/613 max. theaters, 4.4 weeks average run per theater",,"December 17th, 1982 (Wide) by Universal",Create your own comparison chart…,United States,107 minutes,"Family Drama, Terminal Illness, Cancer, Death of a Son or Daughter, Dancing, Ballet, Romance, Love Triangle, Infidelity",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,,,,,,,"$6,668,025",,,,
80,https://www.the-numbers.com/movie/Tootsie,"['Jessica Lange', 'Teri Garr', 'Dabney Coleman', 'Charles Durning', 'Bill Murray', 'Sydney Pollack', 'George Gaynes', 'Geena Davis', 'Peter Gatto', 'Lynne Thigpen', 'Dustin Hoffman']","[['Sydney Pollack', 'Director']]",100.0% (domestic box office/worldwide),"$524,353,016","$5,540,470 (3.1% of total gross)",15.79 (domestic box office/biggest weekend),"943 opening theaters/1,222 max. theaters, 23.4 weeks average run per theater","$15,000,000 (worldwide box office is 11.8 times production budget)","December 17th, 1982 (Wide) by Sony Pictures",vs. Beverly Hills CopCreate your own comparison chart…,United States,116 minutes,"Cross-Dressing, 1983 Oscars Best Picture Nominee",Original Screenplay,Comedy,Live Action,Contemporary Fiction,"December 16th, 2014 by Criterion",PG on appeal. Originally rated R.,English,,,"August 11th, 2022 (Limited) (New Zealand)
","$177,200,000",,,$262,"$177,200,262"
81,https://www.the-numbers.com/movie/Trail-of-the-Pink-Panther,[],"[['Blake Edwards', 'Director'], ['Frank Waldman', 'Screenwriter'], ['Tom Waldman', 'Screenwriter'], ['Blake Edwards', 'Screenwriter'], ['Geoffrey Edwards', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$22,263,128","$1,341,695 (18.6% of total gross)",5.37 (domestic box office/biggest weekend),"806 opening theaters/806 max. theaters, 3.6 weeks average run per theater",,"December 17th, 1982 (Wide) by MGM",vs. The Pink Panther Strikes AgainCreate your own comparison chart…,"United Kingdom, United States",96 minutes,"Farcical / Slapstick Comedy, Famously Bad, Posthumous Release, Archival Footage of Previous Installment, Police Detective, Mafia, Organized Crime, Investigative Journalist, Missing Person, Non-Chronological, Animated Sequences, Scene in End Credits",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,,,Pink Panther,,,"$7,201,697",,,,
82,https://www.the-numbers.com/movie/Kiss-Me-Goodbye,[],"[['Robert Mulligan', 'Director'], ['Charlie Peters', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$47,394,155","$1,345,672 (8.5% of total gross)",5.55 (domestic box office/biggest weekend),"783 opening theaters/803 max. theaters, 7.1 weeks average run per theater",,"December 22nd, 1982 (Wide) by 20th Century Fox",vs. Trail of the Pink PantherCreate your own comparison chart…,United States,101 minutes,"Romantic Comedy, Death of a Spouse or Fiancée / Fiancé, Widow/Widower, Friendly Ghost, Romance, Remake, Foreign-Language Remake",Based on Fiction Book/Short Story,Romantic Comedy,Live Action,Fantasy,,,,,,,"$15,782,759",,,,
