,id,date,rank,gross,pct_change,theaters,per_theater,total_gross,kind,kind_num,pct_lw
0,https://www.the-numbers.com/movie/Lawrence-of-Arabia/Australia#tab=box-office,2020/07/24,-,"$1,425", ,1,"$1,425","  $24,499",weekend,"1,620",
1,https://www.the-numbers.com/movie/Lawrence-of-Arabia/Australia#tab=box-office,2020/09/04,-,"$1,634", ,2,$817,"  $27,912",weekend,"1,626",
2,https://www.the-numbers.com/movie/Lawrence-of-Arabia/Australia#tab=box-office,2020/09/25,41,"$1,355", ,1,"$1,355","  $238,180",weekend,"1,629",
3,https://www.the-numbers.com/movie/Lawrence-of-Arabia/Australia#tab=box-office,2020/11/20,-,$201, ,2,$101,  $0,weekend,"1,637",
0,https://www.the-numbers.com/movie/Lawrence-of-Arabia/New-Zealand#tab=box-office,2020/09/25,-,$659, ,1,$659,"  $3,043",weekend,120,
1,https://www.the-numbers.com/movie/Lawrence-of-Arabia/New-Zealand#tab=box-office,2022/03/18,-,$504, ,1,$504,"  $402,743",weekend,197,
2,https://www.the-numbers.com/movie/Lawrence-of-Arabia/New-Zealand#tab=box-office,2022/12/02,-,"$1,111", ,2,$556,"  $3,843",weekend,234,
0,https://www.the-numbers.com/movie/Lawrence-of-Arabia/Portugal#tab=box-office,2022/04/15,-,$319, ,1,$319,  $319,weekend,"3,047",
1,https://www.the-numbers.com/movie/Lawrence-of-Arabia/Portugal#tab=box-office,2022/04/29,-,$624, ,1,$624,  $935,weekend,"3,049",
0,https://www.the-numbers.com/movie/Lawrence-of-Arabia/United-Kingdom#tab=box-office,2017/09/22,-,"$12,664", ,1,"$12,664","  $12,664",weekend,1,
1,https://www.the-numbers.com/movie/Lawrence-of-Arabia/United-Kingdom#tab=box-office,2017/09/29,-,"$10,537",-17%,1,"$10,537","  $28,034",weekend,2,
2,https://www.the-numbers.com/movie/Lawrence-of-Arabia/United-Kingdom#tab=box-office,2022/05/20,-,"$4,236", ,10,$424,"  $74,119",weekend,244,
0,https://www.the-numbers.com/movie/Lawrence-of-Arabia/Australia#tab=box-office,2020/07/24,-,"$1,425", ,1,"$1,425","  $24,499",weekend,"1,620",
1,https://www.the-numbers.com/movie/Lawrence-of-Arabia/Australia#tab=box-office,2020/09/04,-,"$1,634", ,2,$817,"  $27,912",weekend,"1,626",
2,https://www.the-numbers.com/movie/Lawrence-of-Arabia/Australia#tab=box-office,2020/09/25,41,"$1,355", ,1,"$1,355","  $238,180",weekend,"1,629",
3,https://www.the-numbers.com/movie/Lawrence-of-Arabia/Australia#tab=box-office,2020/11/20,-,$201, ,2,$101,  $0,weekend,"1,637",
0,https://www.the-numbers.com/movie/Lawrence-of-Arabia/New-Zealand#tab=box-office,2020/09/25,-,$659, ,1,$659,"  $3,043",weekend,120,
1,https://www.the-numbers.com/movie/Lawrence-of-Arabia/New-Zealand#tab=box-office,2022/03/18,-,$504, ,1,$504,"  $402,743",weekend,197,
2,https://www.the-numbers.com/movie/Lawrence-of-Arabia/New-Zealand#tab=box-office,2022/12/02,-,"$1,111", ,2,$556,"  $3,843",weekend,234,
0,https://www.the-numbers.com/movie/Lawrence-of-Arabia/Portugal#tab=box-office,2022/04/15,-,$319, ,1,$319,  $319,weekend,"3,047",
1,https://www.the-numbers.com/movie/Lawrence-of-Arabia/Portugal#tab=box-office,2022/04/29,-,$624, ,1,$624,  $935,weekend,"3,049",
0,https://www.the-numbers.com/movie/Lawrence-of-Arabia/United-Kingdom#tab=box-office,2017/09/22,-,"$12,664", ,1,"$12,664","  $12,664",weekend,1,
1,https://www.the-numbers.com/movie/Lawrence-of-Arabia/United-Kingdom#tab=box-office,2017/09/29,-,"$10,537",-17%,1,"$10,537","  $28,034",weekend,2,
2,https://www.the-numbers.com/movie/Lawrence-of-Arabia/United-Kingdom#tab=box-office,2022/05/20,-,"$4,236", ,10,$424,"  $74,119",weekend,244,
