,territory,release_date,opening_wknd,opening_wknd_screens,max_screens,theatrical_engagements,total_bo,report_date,url,country_url,int_total,total_report_date
0,Russia (CIS),1/1/2015,"$2,778,440",964,964,"3,002","$5,969,148",11/19/2018,https://www.the-numbers.com/movie/8-novykh-svidaniy,https://www.the-numbers.com/movie/8-novykh-svidaniy/Russia-(CIS)#tab=box-office,"$5,977,612",11/19/2018
0,Russia (CIS),1/1/2015,"$2,778,440",964,964,"3,002","$5,969,148",11/19/2018,https://www.the-numbers.com/movie/8-novykh-svidaniy,https://www.the-numbers.com/movie/8-novykh-svidaniy/Russia-(CIS)#tab=box-office,"$5,977,612",11/19/2018
0,Spain,1/2/2015,"$54,053",4,54,104,"$89,800",11/27/2018,https://www.the-numbers.com/movie/Babysitting-(France)(2014),https://www.the-numbers.com/movie/Babysitting-(France)(2014)/Spain#tab=box-office,"$24,564,100",11/27/2018
1,Rest of World,,,,,,"$24,474,300",,https://www.the-numbers.com/movie/Babysitting-(France)(2014),,"$24,564,100",11/27/2018
0,Spain,1/2/2015,"$54,053",4,54,104,"$89,800",11/27/2018,https://www.the-numbers.com/movie/Babysitting-(France)(2014),https://www.the-numbers.com/movie/Babysitting-(France)(2014)/Spain#tab=box-office,"$24,564,100",11/27/2018
1,Rest of World,,,,,,"$24,474,300",,https://www.the-numbers.com/movie/Babysitting-(France)(2014),,"$24,564,100",11/27/2018
0,Turkey,1/2/2015,"$2,334,369",630,630,"3,648","$15,301,749",12/30/2018,https://www.the-numbers.com/movie/Mucize-(Turkey)-(2015),https://www.the-numbers.com/movie/Mucize-(Turkey)-(2015)/Turkey#tab=box-office,"$15,301,749",12/30/2018
0,Turkey,1/2/2015,"$2,334,369",630,630,"3,648","$15,301,749",12/30/2018,https://www.the-numbers.com/movie/Mucize-(Turkey)-(2015),https://www.the-numbers.com/movie/Mucize-(Turkey)-(2015)/Turkey#tab=box-office,"$15,301,749",12/30/2018
0,Italy,1/2/2015,"$8,537,048",0,0,0,"$17,368,660",11/6/2018,https://www.the-numbers.com/movie/Si-accettano-miracoli-(Italy)-(2015),https://www.the-numbers.com/movie/Si-accettano-miracoli-(Italy)-(2015)/Italy#tab=box-office,"$17,368,660",11/6/2018
0,Italy,1/2/2015,"$8,537,048",0,0,0,"$17,368,660",11/6/2018,https://www.the-numbers.com/movie/Si-accettano-miracoli-(Italy)-(2015),https://www.the-numbers.com/movie/Si-accettano-miracoli-(Italy)-(2015)/Italy#tab=box-office,"$17,368,660",11/6/2018
0,Australia,1/8/2015,"$4,610,708",286,290,"1,299","$11,179,884",7/1/2015,https://www.the-numbers.com/movie/Taken-3,https://www.the-numbers.com/movie/Taken-3/Australia#tab=box-office,"$238,400,000",12/30/2018
1,Belgium,1/28/2015,$0,0,3,4,"$2,091,806",6/26/2015,https://www.the-numbers.com/movie/Taken-3,https://www.the-numbers.com/movie/Taken-3/Belgium#tab=box-office,"$238,400,000",12/30/2018
2,Brazil,1/22/2015,"$2,100,000",411,411,411,"$4,152,556",11/5/2018,https://www.the-numbers.com/movie/Taken-3,https://www.the-numbers.com/movie/Taken-3/Brazil#tab=box-office,"$238,400,000",12/30/2018
3,China,3/19/2015,"$15,700,000","36,756","36,756","56,792","$29,560,000",9/3/2018,https://www.the-numbers.com/movie/Taken-3,https://www.the-numbers.com/movie/Taken-3/China#tab=box-office,"$238,400,000",12/30/2018
