,id,date,rank,gross,pct_change,theaters,per_theater,total_gross,kind,kind_num,pct_lw
0,https://www.the-numbers.com/movie/Local-Hero/New-Zealand#tab=box-office,2023/06/02,-,$386, ,1,$386,  $386,weekend,1,
1,https://www.the-numbers.com/movie/Local-Hero/New-Zealand#tab=box-office,2023/06/09,-,$67,-83%,1,$67,  $453,weekend,2,
0,https://www.the-numbers.com/movie/Local-Hero/United-Kingdom#tab=box-office,2021/07/02,-,$790, ,8,$99,  $790,weekend,"1,999",
1,https://www.the-numbers.com/movie/Local-Hero/United-Kingdom#tab=box-office,2021/07/09,-,$868,+10%,4,$217,"  $3,900",weekend,"2,000",
2,https://www.the-numbers.com/movie/Local-Hero/United-Kingdom#tab=box-office,2021/07/16,-,$124,-86%,2,$62,"  $5,880",weekend,"2,001",
3,https://www.the-numbers.com/movie/Local-Hero/United-Kingdom#tab=box-office,2023/05/19,20,"$19,984", ,27,$740,"  $19,984",weekend,"2,097",
4,https://www.the-numbers.com/movie/Local-Hero/United-Kingdom#tab=box-office,2023/06/02,-,"$3,723", ,16,$233,"  $51,510",weekend,"2,099",
5,https://www.the-numbers.com/movie/Local-Hero/United-Kingdom#tab=box-office,2023/06/23,-,"$1,923", ,3,$641,"  $64,437",weekend,"2,102",
6,https://www.the-numbers.com/movie/Local-Hero/United-Kingdom#tab=box-office,2023/06/30,-,$512,-73%,1,$512,"  $67,931",weekend,"2,103",
7,https://www.the-numbers.com/movie/Local-Hero/United-Kingdom#tab=box-office,2023/07/07,-,"$3,016",+489%,4,$754,"  $72,224",weekend,"2,104",
0,https://www.the-numbers.com/movie/Local-Hero/New-Zealand#tab=box-office,2023/06/02,-,$386, ,1,$386,  $386,weekend,1,
1,https://www.the-numbers.com/movie/Local-Hero/New-Zealand#tab=box-office,2023/06/09,-,$67,-83%,1,$67,  $453,weekend,2,
0,https://www.the-numbers.com/movie/Local-Hero/United-Kingdom#tab=box-office,2021/07/02,-,$790, ,8,$99,  $790,weekend,"1,999",
1,https://www.the-numbers.com/movie/Local-Hero/United-Kingdom#tab=box-office,2021/07/09,-,$868,+10%,4,$217,"  $3,900",weekend,"2,000",
2,https://www.the-numbers.com/movie/Local-Hero/United-Kingdom#tab=box-office,2021/07/16,-,$124,-86%,2,$62,"  $5,880",weekend,"2,001",
3,https://www.the-numbers.com/movie/Local-Hero/United-Kingdom#tab=box-office,2023/05/19,20,"$19,984", ,27,$740,"  $19,984",weekend,"2,097",
4,https://www.the-numbers.com/movie/Local-Hero/United-Kingdom#tab=box-office,2023/06/02,-,"$3,723", ,16,$233,"  $51,510",weekend,"2,099",
5,https://www.the-numbers.com/movie/Local-Hero/United-Kingdom#tab=box-office,2023/06/23,-,"$1,923", ,3,$641,"  $64,437",weekend,"2,102",
6,https://www.the-numbers.com/movie/Local-Hero/United-Kingdom#tab=box-office,2023/06/30,-,$512,-73%,1,$512,"  $67,931",weekend,"2,103",
7,https://www.the-numbers.com/movie/Local-Hero/United-Kingdom#tab=box-office,2023/07/07,-,"$3,016",+489%,4,$754,"  $72,224",weekend,"2,104",
0,https://www.the-numbers.com/movie/Outsiders-The/Australia#tab=box-office,2023/06/30,-,$579, ,1,$579,"  $15,276",weekend,"2,064",
0,https://www.the-numbers.com/movie/Outsiders-The/New-Zealand#tab=box-office,2021/10/22,-,$89, ,1,$89,"  $1,311",weekend,2,
1,https://www.the-numbers.com/movie/Outsiders-The/New-Zealand#tab=box-office,2021/10/29,-,$17,-81%,1,$17,"  $1,409",weekend,3,
2,https://www.the-numbers.com/movie/Outsiders-The/New-Zealand#tab=box-office,2021/12/03,-,$622, ,1,$622,"  $1,989",weekend,8,
0,https://www.the-numbers.com/movie/Outsiders-The/United-Kingdom#tab=box-office,2021/10/15,-,"$8,062", ,14,$576,"  $8,062",weekend,1,
0,https://www.the-numbers.com/movie/Outsiders-The/Australia#tab=box-office,2023/06/30,-,$579, ,1,$579,"  $15,276",weekend,"2,064",
0,https://www.the-numbers.com/movie/Outsiders-The/New-Zealand#tab=box-office,2021/10/22,-,$89, ,1,$89,"  $1,311",weekend,2,
1,https://www.the-numbers.com/movie/Outsiders-The/New-Zealand#tab=box-office,2021/10/29,-,$17,-81%,1,$17,"  $1,409",weekend,3,
2,https://www.the-numbers.com/movie/Outsiders-The/New-Zealand#tab=box-office,2021/12/03,-,$622, ,1,$622,"  $1,989",weekend,8,
0,https://www.the-numbers.com/movie/Outsiders-The/United-Kingdom#tab=box-office,2021/10/15,-,"$8,062", ,14,$576,"  $8,062",weekend,1,
0,https://www.the-numbers.com/movie/Evil-Dead-The/New-Zealand#tab=box-office,2020/10/30,-,$449, ,5,$90,"  $62,447",weekend,19,
1,https://www.the-numbers.com/movie/Evil-Dead-The/New-Zealand#tab=box-office,2021/07/16,-,$754, ,1,$754,"  $1,231",weekend,56,
0,https://www.the-numbers.com/movie/Evil-Dead-The/United-Kingdom#tab=box-office,2018/10/26,-,"$2,071", ,4,$518,"  $2,071",weekend,1,
0,https://www.the-numbers.com/movie/Evil-Dead-The/New-Zealand#tab=box-office,2020/10/30,-,$449, ,5,$90,"  $62,447",weekend,19,
1,https://www.the-numbers.com/movie/Evil-Dead-The/New-Zealand#tab=box-office,2021/07/16,-,$754, ,1,$754,"  $1,231",weekend,56,
0,https://www.the-numbers.com/movie/Evil-Dead-The/United-Kingdom#tab=box-office,2018/10/26,-,"$2,071", ,4,$518,"  $2,071",weekend,1,
0,https://www.the-numbers.com/movie/Valley-Girl/New-Zealand#tab=box-office,2023/06/02,-,$276, ,1,$276,  $549,weekend,4,
0,https://www.the-numbers.com/movie/Valley-Girl/New-Zealand#tab=box-office,2023/06/02,-,$276, ,1,$276,  $549,weekend,4,
0,https://www.the-numbers.com/movie/Star-Wars-Ep-VI-Return-of-the-Jedi/Australia#tab=box-office,2020/09/25,5,"$176,373", ,197,$895,"  $176,373",weekend,1,
0,https://www.the-numbers.com/movie/Star-Wars-Ep-VI-Return-of-the-Jedi/New-Zealand#tab=box-office,2020/09/25,8,"$22,560", ,62,$364,"  $22,560",weekend,"1,223",
0,https://www.the-numbers.com/movie/Star-Wars-Ep-VI-Return-of-the-Jedi/United-Kingdom#tab=box-office,2023/04/28,7,"$561,514", ,40,"$14,038","  $561,514",weekend,1,
0,https://www.the-numbers.com/movie/Star-Wars-Ep-VI-Return-of-the-Jedi/Australia#tab=box-office,2020/09/25,5,"$176,373", ,197,$895,"  $176,373",weekend,1,
0,https://www.the-numbers.com/movie/Star-Wars-Ep-VI-Return-of-the-Jedi/New-Zealand#tab=box-office,2020/09/25,8,"$22,560", ,62,$364,"  $22,560",weekend,"1,223",
0,https://www.the-numbers.com/movie/Star-Wars-Ep-VI-Return-of-the-Jedi/United-Kingdom#tab=box-office,2023/04/28,7,"$561,514", ,40,"$14,038","  $561,514",weekend,1,
0,https://www.the-numbers.com/movie/Octopussy/Australia#tab=box-office,2020/09/25,-,$195, ,1,$195,  $195,weekend,1,
0,https://www.the-numbers.com/movie/Octopussy/United-Kingdom#tab=box-office,2022/07/08,18,"$7,762", ,99,$78,"  $7,874",weekend,16,
1,https://www.the-numbers.com/movie/Octopussy/United-Kingdom#tab=box-office,2022/08/12,-,$85, ,1,$85,"  $23,464",weekend,21,
0,https://www.the-numbers.com/movie/Octopussy/Australia#tab=box-office,2020/09/25,-,$195, ,1,$195,  $195,weekend,1,
0,https://www.the-numbers.com/movie/Octopussy/United-Kingdom#tab=box-office,2022/07/08,18,"$7,762", ,99,$78,"  $7,874",weekend,16,
1,https://www.the-numbers.com/movie/Octopussy/United-Kingdom#tab=box-office,2022/08/12,-,$85, ,1,$85,"  $23,464",weekend,21,
0,https://www.the-numbers.com/movie/Terms-of-Endearment/New-Zealand#tab=box-office,2021/05/07,-,$260, ,1,$260,  $260,weekend,1,
0,https://www.the-numbers.com/movie/Terms-of-Endearment/New-Zealand#tab=box-office,2021/05/07,-,$260, ,1,$260,  $260,weekend,1,
0,https://www.the-numbers.com/movie/Christine/New-Zealand#tab=box-office,2023/03/03,-,$510, ,1,$510,  $510,weekend,1,
0,https://www.the-numbers.com/movie/Christine/South-Korea#tab=box-office,2018/11/30,-,"$2,317", ,1,"$2,317","  $2,316",weekend,1,
0,https://www.the-numbers.com/movie/Christine/New-Zealand#tab=box-office,2023/03/03,-,$510, ,1,$510,  $510,weekend,1,
0,https://www.the-numbers.com/movie/Christine/South-Korea#tab=box-office,2018/11/30,-,"$2,317", ,1,"$2,317","  $2,316",weekend,1,
