,url,cast,crew,Domestic Share:,Infl. Adj. Dom. BO,Production Budget:,Opening Weekend:,Legs:,Theater counts:,Domestic Releases:,Video Release:,Running Time:,Franchise:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production/Financing Companies:,Production Countries:,Languages:,MPAA Rating:,International Releases:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
30,https://www.the-numbers.com/movie/Foul-Play,"['Goldie Hawn', 'Chevy Chase']",[],100.0% (domestic box office/worldwide),"$158,379,141",,,,,"July 14th, 1978 (Wide) by Paramount Pictures",,,,vs. GreaseCreate your own comparison chart…,"Crime Comedy, Unbelieving Police, Dwarfism, Albino, Hitmen, Undercover, Romance, Catholic, Assassination, Pope, False Identity",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,United States,,PG,,"$40,415,179",,,,
31,https://www.the-numbers.com/movie/Revenge-of-the-Pink-Panther,['Peter Sellers'],"[['Blake Edwards', 'Director']]",100.0% (domestic box office/worldwide),"$146,319,280",,,,,"July 21st, 1978 (Wide) by United Artists",,99 minutes,Pink Panther,vs. The Return of the Pink PantherCreate your own comparison chart…,"Crime Comedy, Police Detective, Organized Crime, Smuggler, Narcotics, Mafia, Hitmen, Assassination, Infidelity, Relationships Gone Wrong, The Other Woman, Faked Death",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,United Kingdom,,,,"$37,337,746",,,,
32,https://www.the-numbers.com/movie/Hooper,"['Jan-Michael Vincent', 'Sally Field', 'Burt Reynolds']","[['Hal Needham', 'Director']]",100.0% (domestic box office/worldwide),"$200,997,523",,,,,"July 28th, 1978 (Wide) by Warner Bros.","April 7th, 2015 by Warner Home Video",,,vs. Jaws 2Create your own comparison chart…,,Original Screenplay,Action,Live Action,Contemporary Fiction,,United States,English,PG,,"$51,290,536",,,"$83,099","$83,099"
33,https://www.the-numbers.com/movie/National-Lampoons-Animal-House,"['John Belushi', 'Tim Matheson', 'John Vernon', 'Verna Bloom', 'Tom Hulce', 'Donald Sutherland']","[['John Landis', 'Director'], ['Douglas Kenney', 'Screenwriter'], ['Harold Ramis', 'Screenwriter'], ['Elmer Bernstein', 'Composer'], ['Stephen Bishop', 'Composer'], ['Matty Simmons', 'Producer'], ['Ivan Reitman', 'Producer']]",100.0% (domestic box office/worldwide),"$554,902,559","$3,000,000 (worldwide box office is 47.2 times production budget)",,,,"July 28th, 1978 (Wide) by Universal","August 26th, 2003 by Universal Home Entertainment",109 minutes,National Lampoon,vs. CaddyshackCreate your own comparison chart…,"College, Epilogue, Slobs vs. Snobs, Fraternity/Sorority, Breaking the Fourth Wall, Delayed Adulthood, Revenge, New Guy/Girl in School, Parties Gone Wild",Original Screenplay,Comedy,Live Action,Contemporary Fiction,Universal Pictures,United States,English,R,"June 8th, 2023 (Limited), released as Animal House (Italy)
","$141,600,000","$7,202","$141,607,202",,
34,https://www.the-numbers.com/movie/Eyes-of-Laura-Mars,"['Tommy Lee Jones', 'Brad Dourif', 'René Auberjonois', 'R.J.*', 'Faye Dunaway']","[['Irvin Kershner', 'Director'], ['John Carpenter', 'Screenwriter'], ['David Zelag Goodman', 'Screenwriter'], ['John Carpenter', 'Story by'], ['Jon Peters', 'Producer'], ['Jack H. Harris', 'Executive Producer'], ['Michael Kahn', 'Editor'], ['Artie Kane', 'Composer'], ['Laura Ziskin', 'Associate Editor']]",100.0% (domestic box office/worldwide),"$74,065,384",,,,,"August 2nd, 1978 (Wide) by Columbia","April 1st, 2014",104 minutes,,Create your own comparison chart…,"Crime Thriller, Psychics, Serial Killer, Police Detective, Police Shooting, Murder Mystery, Mental Illness, Multiple Personality, Film Noir, Photography, Models, Erotic Thriller",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,"Columbia Pictures, Jon Peters",United States,English,,,"$18,900,000",,,,
35,https://www.the-numbers.com/movie/Interiors,"['Kristin Griffith', 'Mary Beth Hurt', 'Richard Jordan', 'Diane Keaton', 'E.G. Marshall', 'Geraldine Page', 'Maureen Stapleton', 'Sam Waterston']","[['Woody Allen', 'Director'], ['Woody Allen', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$40,882,391",,,,,"August 2nd, 1978 (Wide) by United Artists",,92 minutes,,vs. Mamma Mia!Create your own comparison chart…,"Family Drama, Dysfunctional Family, Relationships Gone Wrong",Original Screenplay,Drama,Live Action,,,United States,,,,"$10,432,366",,,,
36,https://www.the-numbers.com/movie/Up-in-Smoke,"['Cheech Marin', 'Tommy Chong']","[['Tommy Chong', 'Director'], ['Waddy Wachtel', 'Composer']]",100.0% (domestic box office/worldwide),"$162,986,525",,,,,"September 15th, 1978 (Wide) by Paramount Pictures","April 10th, 2018 by Paramount Home Video",,Cheech & Chong,vs. This is the EndCreate your own comparison chart…,,,,,,,United States,,R (appeal upheld),,"$41,590,893",,,"$343,880","$343,880"
37,https://www.the-numbers.com/movie/Midnight-Express,['Brad Davis'],"[['Alan Parker', 'Director']]",100.0% (domestic box office/worldwide),"$137,158,111",,,,,"September 20th, 1978 (Wide) by Columbia",,121 minutes,,vs. National Lampoon's Animal HouseCreate your own comparison chart…,"Crime, Narcotics, Set in Turkey, Biographical Drama, Prison, Smuggler, Cruel Wardens or Prison Guards, Prison Break, 1970s, Based on an UNTRUE Story, Sex Crimes, Mental Hospital, 1979 Oscars Best Picture Nominee",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,,United Kingdom,,,"October 9th, 2020 (Wide) (New Zealand)
","$35,000,000",$134,"$35,000,134",,
38,https://www.the-numbers.com/movie/Death-on-the-Nile,"['Simon MacCorkindale', 'David Niven', 'Maggie Smith', 'Jack Warden', 'Peter Ustinov', 'Jane Birkin', 'Lois Chiles', 'Bette Davis', 'Mia Farrow', 'Jon Finch', 'Olivia Hussey', 'George Kennedy', 'Angela Lansbury']","[['John Guillermin', 'Director'], ['John Brabourne', 'Producer'], ['Richard Goodwin', 'Producer'], ['Anthony Shaffer', 'Screenwriter'], ['Nino Rota', 'Composer']]",100.0% (domestic box office/worldwide),"$70,538,455",,,,,"September 29th, 1978 (Wide) by Paramount Pictures","January 1st, 1998 by Artisan Entertainment",140 minutes,,vs. Death on the NileCreate your own comparison chart…,"Mystery Drama, Murder Mystery, Romance, Relationships Gone Wrong, Murder - Suicide, Inheritance, Surprise Twist, Blackmail, Gold Digger",Original Screenplay,Drama,Live Action,Historical Fiction,"Paramount Pictures, EMI Films, John Brabourne - Richard Goodwin Productions",United Kingdom,English,PG,"September 22nd, 2017 (Wide), released as Death On The Nile (re: 2017) (Australia)
April 14th, 2018 (Wide) (New Zealand)
February 11th, 2022 (Wide) (Mexico)
","$18,000,000","$7,517","$18,007,517",,
39,https://www.the-numbers.com/movie/Halloween-(1978),[],"[['John Carpenter', 'Director'], ['Tommy Lee Wallace', 'Editor']]",67.3% (domestic box office/worldwide),"$184,457,760","$325,000 (worldwide box office is 216.2 times production budget)",,172.53 (domestic box office/biggest weekend),,"October 17th, 1978 (Wide) by Compass InternationalOctober 30th, 2020 (Limited)","September 28th, 1999 by Anchor Bay Home Entertainment",91 minutes,Halloween,vs. Friday the 13thCreate your own comparison chart…,"Slasher Horror, Babysitters",Original Screenplay,Horror,Live Action,Contemporary Fiction,,United States,English,R,"October 10th, 2018 (Limited) (United Kingdom)
October 28th, 2021 (Limited) (New Zealand)
","$47,274,000","$23,000,000","$70,274,000",,
40,https://www.the-numbers.com/movie/Wiz-The,[],"[['Sidney Lumet', 'Director']]",100.0% (domestic box office/worldwide),"$86,213,672","$24,000,000 (worldwide box office is 0.9 times production budget)",,,,"October 24th, 1978 (Wide) by Universal","March 1st, 1992 by Universal Home Entertainment",134 minutes,,vs. I'm Gonna Git You SuckaCreate your own comparison chart…,African Americans,Remake,Musical,Live Action,Fantasy,,United States,English,,,"$22,000,000",,,,
41,https://www.the-numbers.com/movie/Magic,"['Ann-Margret', 'Burgess Meredith', 'Ed Lauter', 'Anthony Hopkins']","[['Richard Attenborough', 'Director'], ['Joseph E. Levine', 'Producer'], ['Richard Levine', 'Producer'], ['William Goldman', 'Screenwriter'], ['William Goldman', 'Story based upon the novel by'], ['Jerry Goldsmith', 'Composer'], ['C.O. Erickson', 'Executive Producer']]",100.0% (domestic box office/worldwide),"$93,267,520",,,,,"November 8th, 1978 (Wide) by 20th Century FoxFebruary 14th, 2020 (Limited) by MyCinema",,107 minutes,,vs. The Princess DiariesCreate your own comparison chart…,"Ventriloquism, Psychological Horror, Mental Illness, Romance, Infidelity, Relationships Gone Wrong, Serial Killer",Based on Fiction Book/Short Story,Horror,Live Action,Contemporary Fiction,,United States,English,R,,"$23,800,000",,,,
42,https://www.the-numbers.com/movie/Paradise-Alley,"['Kevin Conway', 'Anne Archer', 'Joe Spinell', 'Armand Assante', 'Lee Canalito', 'Terry Funk', 'Frank McRae', 'Joyce Ingalls', 'Tom Waits', 'Sylvester Stallone']","[['Sylvester Stallone', 'Director'], ['Sylvester Stallone', 'Screenwriter'], ['John F. Roach', 'Producer'], ['Ronald A. Suppa', 'Producer'], ['Edward R. Pressman', 'Executive Producer'], ['Bill Conti', 'Composer'], ['Laszlo Kovacs', 'Director of Photography'], ['Arthur Chobanian', 'Associate Producer']]",100.0% (domestic box office/worldwide),"$31,350,424",,,,,"November 10th, 1978 (Wide) by 20th Century Fox","March 1st, 2005 by Universal Home Entertainment",108 minutes,,vs. Rocky 2Create your own comparison chart…,"Sports Drama, Actors Making Their Directorial Debut, Wrestling, Romance, Set in New York City, Set in New York, Dysfunctional Family",Original Screenplay,Drama,Live Action,Historical Fiction,,United States,English,,,"$8,000,000",,,,
43,https://www.the-numbers.com/movie/Lord-of-the-Rings-The-(1978),[],"[['Ralph Bakshi', 'Director'], ['Saul Zaentz', 'Producer']]",100.0% (domestic box office/worldwide),"$105,807,687",,"$626,649 (2.3% of total gross)",43.09 (domestic box office/biggest weekend),"31 opening theaters/31 max. theaters, 1.0 weeks average run per theater","November 15th, 1978 (Limited) by United Artists","September 11th, 2001 by Warner Home Video, released as The Lord of the Rings (1978 Animated Film)",,,vs. The Lord of the Rings: The Fellowship of the RingCreate your own comparison chart…,"Lord of the Rings, Heroic Adventure",Based on Fiction Book/Short Story,,Rotoscoping,,,United States,,PG,,"$27,000,000",,,,
